source,target,POS
&,&,conjunction
's-Hertogenbosch,Bois-le-Duc,pronoun
'sblood,palsambleu,interjection
'sblood,parsambleu,interjection
'umra,oumra,noun
-'s,de,particle
-'s,chez,particle
able,able,Suffix
able,ible,Suffix
able,able,Suffix
aemia,émie,Suffix
age,age,Suffix
agogue,agogue,Suffix
amine,amine,Suffix
ance,ance,Suffix
ancy,ance,Suffix
ancy,ancie,Suffix
andry,andrie,Suffix
ane,ane,Suffix
anthropy,anthropie,Suffix
arch,arque,Suffix
ate,ate,Suffix
ate,âtre,Suffix
ation,ation,Suffix
blast,blaste,Suffix
caine,caïne,Suffix
carp,carpe,Suffix
cele,cèle,Suffix
cene,cène,Suffix
cide,cide,Suffix
coccus,coque,Suffix
colous,cole,Suffix
cracy,cratie,Suffix
crat,crate,Suffix
cratic,cratique,Suffix
cycle,cycle,Suffix
cyte,cyte,Suffix
drome,drome,Suffix
ee,é,Suffix
ee,ée,Suffix
ee,eur,Suffix
ee,euse,Suffix
eme,ème,Suffix
ence,ance,Suffix
ence,ence,Suffix
ene,ène,Suffix
er,eur,Suffix
er,euse,Suffix
er,lus,Suffix
ese,ais,Suffix
ese,ois,Suffix
esque,esque,Suffix
ess,e,Suffix
ess,esse,Suffix
ess,euse,Suffix
est,lus,Suffix
est,es,Suffix
est,is,Suffix
est,s,Suffix
free,ans,Suffix
gamy,gamie,Suffix
gate,gate,Suffix
gen,gène,Suffix
genesis,génie,Suffix
gon,gone,Suffix
gram,gramme,Suffix
graph,graphe,Suffix
graphy,raphie,Suffix
hedron,èdre,Suffix
hood,ité,Suffix
ian,ien,Suffix
ible,ible,Suffix
ic,ique,Suffix
ics,ique,Suffix
ide,ide,Suffix
ide,ure,Suffix
ify,ifier,Suffix
-in-law,beau-,adjective
-in-law,belle-,adjective
ing,age,Suffix
ing,ment,Suffix
ing,tion,Suffix
ing,age,Suffix
ing,ant,Suffix
ish,âtre,Suffix
ish,nviron,Suffix
ish, peu près,Suffix
ism,isme,Suffix
ist,iste,Suffix
ite,ite,Suffix
itis,ite,Suffix
itude,itude,Suffix
ity,ité,Suffix
ity,té,Suffix
ive,if,Suffix
ization,isation,Suffix
ize,iser,Suffix
land,lande,Suffix
land,ays,Suffix
land,erre,Suffix
land,ie,Suffix
latry,lâtrie,Suffix
less,ans,Suffix
ling,ette,Suffix
ling,et,Suffix
ling,in,Suffix
ling,ine,Suffix
logical,logique,Suffix
logist,logue,Suffix
logy,logie,Suffix
ly,ment,Suffix
lysis,lyse,Suffix
mancy,mancie,Suffix
mania,manie,Suffix
maniac,mane,Suffix
meter,mètre,Suffix
metry,métrie,Suffix
naut,naute,Suffix
ness,ité,Suffix
ness,esse,Suffix
nomy,nomie,Suffix
oic,oïque,Suffix
ologist,ologue,Suffix
ology,ologie,Suffix
on,on,Suffix
one,one,Suffix
onym,onyme,Suffix
ose,ose,Suffix
osis,ose,Suffix
otic,otique,Suffix
ous,euse,Suffix
ous,eux,Suffix
penia,pénie,Suffix
pexy,pexie,Suffix
phage,phage,Suffix
phile,phile,Suffix
philia,philie,Suffix
phobia,phobie,Suffix
phone,phone,Suffix
phore,phore,Suffix
plegic,plégique,Suffix
ptile,ptile,Suffix
rrhea,rrhée,Suffix
s,s,Suffix
san,san,Suffix
scope,scope,Suffix
scopy,scopie,Suffix
ship,esse,Suffix
ship,eur,Suffix
teen,ze,Suffix
teen,ix-,Suffix
th,ième,Suffix
tion,tion,Suffix
to-be,n devenir,Suffix
trophic,trophe,Suffix
