source,target,POS
&,&,conjunction
's-Hertogenbosch,Bois-le-Duc,pronoun
'sblood,palsambleu,interjection
'sblood,parsambleu,interjection
'umra,oumra,noun
-'s,chez,particle
-'s,de,particle
-in-law,beau-,adjective
-in-law,belle-,adjective
1 Chronicles,1 Chroniques,pronoun
1 Corinthians,1 Corinthiens,pronoun
1 John,1 Jean,pronoun
1 Kings,1 Rois,pronoun
1 Samuel,1 Samuel,pronoun
1 Thessalonians,1 Thessaloniciens,pronoun
1 Timothy,1 Timothée,pronoun
100 metres,100 mètres,noun
100-meter dash,100 mètres,noun
1000th,1.000ème,adjective
1000th,1000e,adjective
1000th,1000ème,adjective
100th,100e,adjective
100th,100ème,adjective
10th,10ème,adjective
11th,11e,adjective
12th,12è,adjective
12th,12ème,adjective
13th,13ème,adjective
14th,14ème,adjective
15 minutes of fame,heure de gloire,noun
1500 metres,1500 mètres,noun
15th,15ème,adjective
17th,17ème,adjective
18 holes,18 trous,noun
18th,18ème,adjective
1992,mille neuf cent quatre-vingt-douze,pronoun
19th,19ème,adjective
1st,1er,adjective
1st,1re,adjective
1st,1ère,adjective
2 Chronicles,2 Chroniques,pronoun
2 Corinthians,2 Corinthiens,pronoun
2 John,2 Jean,pronoun
2 Kings,2 Rois,pronoun
2 Samuel,2 Samuel,pronoun
2 Timothy,2 Timothée,pronoun
200 metres,200 mètres,noun
20th,20ème,adjective
24/7,24 heures sur 24,adverb
24/7,24/24 7/7,adverb
2nd,2e,adjective
2nd,2ème,adjective
3 John,3 Jean,pronoun
30th,30ème,adjective
3D printer,imprimante 3D,noun
3rd,3e,adjective
3rd,3ème,adjective
400 metres,400 mètres,noun
40th,40ème,adjective
4th,4e,adjective
4th,4ème,adjective
5000 metres,5000 mètres,noun
5th,5e,adjective
5th,5ème,adjective
6th,6ème,adjective
7th,7ème,adjective
800 metres,800 mètres,noun
8th,8e,adjective
9 to 5,de neuf à cinq,noun
9/11,11-Septembre,pronoun
9th,9ème,adjective
A Coruña,La Corogne,pronoun
A level,bac,noun
A level,baccalauréat,noun
A major,la majeur,noun
A minor,la mineur,noun
A,A,Symbol
A-bomb,bombe atomique,noun
A-flat major,la bémol majeur,noun
A-sharp major,la dièse majeur,noun
A-shirt,maillot,noun
A-shirt,marcel,noun
AA,AA,pronoun
ABC,b.a.-ba,noun
ABS,ABS,noun
AC/DC,à voile et à vapeur,adjective
AD,ap. J.-C.,adverb
AD,apr. J.-C.,adverb
ADSL,ADSL,noun
AI,IA,pronoun
AIDS,SIDA,noun
AK-47,AK-47,noun
AKA,alias,adverb
AKA,autrement dit,adverb
AMT,AMT,pronoun
APEC,APEC,pronoun
APEC,Coopération économique pour l'Asie-Pacifique,pronoun
ASAP,au plus vite,adverb
ASAP,dès que possible,adverb
ASCII art,art ASCII,noun
ASEAN,ANASE,pronoun
ASEAN,Association des nations de l'Asie du Sud-Est,pronoun
ATM,ATM,noun
ATM,DAB,noun
ATM,GAB,noun
ATM,bancomat,noun
ATV,tout-terrain,noun
Aachen,Aix-la-Chapelle,pronoun
Aalenian,Aalénien,pronoun
Aalenian,aalénien,adjective
Aar,Aar,pronoun
Aarau,Aarau,pronoun
Aargau,Argovie,pronoun
Aaron,Aaron,pronoun
Abaza,abaze,pronoun
Abbas,Abbas,pronoun
Abbeville,Abbeville,pronoun
Abdul,Abdoul,pronoun
Abdullah,Abdallah,pronoun
Abdullah,Abdoullah,pronoun
Abdullah,Abdullah,pronoun
Abecedarian,abécédaire,noun
