Ćeleketić	Ćeleketić.	properNoun
ČSSD	ČSSD.	properNoun
ČTK	Čtk.	properNoun
Čacić	Čacić.	properNoun
Čajkovski	Čajkovski.	properNoun
Čarapić	Čarapić.	properNoun
Čatović	Čatović.	properNoun
Čaušević	Čaušević.	properNoun
Čavić	Čavić.	properNoun
Čekić	Čekić.	properNoun
Čeku	Čeku.	properNoun
Čemerski	Čemerski.	properNoun
Čeranić	Čeranić.	properNoun
Čerić	Čerić.	properNoun
Česen	Česen.	properNoun
Česić	Česić.	properNoun
Češić	Češić.	properNoun
Čikotić	Čikotić.	properNoun
Čirić	Čirić.	properNoun
Čiček	Čiček.	properNoun
Čičevski	Čičevski.	properNoun
Čobanković	Čobanković.	properNoun
Čobanović	Čobanović.	properNoun
Čokrevski	Čokrevski.	properNoun
Čolakovski	Čolakovski.	properNoun
Čolić	Cólica	None
Čolić	a cólica	noun
Čorić	Čorić.	properNoun
Čotrić	Čotrić.	properNoun
Čubrilović	Čubrilović.	properNoun
Čukarić	Čukarić.	properNoun
Čukotić	Čukotić.	properNoun
Čurić	Čurić.	properNoun
Čuričić	Čuričić.	properNoun
Čurković	Čurković.	properNoun
Čurčić	Čurčić.	properNoun
Čučić	Čučić.	properNoun
Đaković	Đaković.	properNoun
Đelić	Đelić.	properNoun
Đerković	Đerković.	properNoun
Đidić	Đidić.	properNoun
Đikanović	Đikanović.	properNoun
Đikić	Đikić.	properNoun
Đinić	Đinić.	properNoun
Đogović	Đogović.	properNoun
Đokić	Đokić.	properNoun
Đoković	Đoković.	properNoun
Đorđević	ORđević.	properNoun
Đukanović	Đukanović.	properNoun
Đukić	Đukić.	properNoun
Đuknović	Đuknović.	properNoun
Đuretić	Đuretić.	properNoun
Đurić	Đurić.	properNoun
Đurović	Đurović.	properNoun
Đurovski	Đurovski.	properNoun
Đurčevski	Đurčevski.	properNoun
Đurđić	Đurđić.	properNoun
‘has-been’	'tem sido'	None
‘has-been’	a pessoa acabada	noun
‘has-been’	as coisa velha	noun
$	$.	properNoun
&	E	properNoun
(	(	properNoun
)	)	properNoun
İzmir	İzmir.	properNoun
1st	1º	properNoun
2-3-5 system	2-3-5 System.	properNoun
20th Century Fox	Fox do século XX.	properNoun
2nd	2º	properNoun
3rd	3º	properNoun
3rd anniversary	3º aniversário.	properNoun
4-3-3 system	4-3-3 Sistema	properNoun
4th	4º	properNoun
Aćimović	Aćimović.	properNoun
A Barbanza	Um barbanza	properNoun
A Baña	Uma baña.	properNoun
A Coruña	Uma coruña.	properNoun
A Estrada	Uma estrada	properNoun
A Fonsagrada	Um fonsagrada	properNoun
A Gaita Gallega	Uma gallega Gaita.	properNoun
A Guarda	Uma guarda	properNoun
A Limia	Uma limação	properNoun
A Mariña	Uma mariña.	properNoun
A Pastoriza	Um pastoriza.	properNoun
A Pobra	Um Pobra.	properNoun
A Pobra de Trives	Um pobra de trives	properNoun
A Ribeira de Piquín	Uma Ribeira de Piquín	properNoun
A Seara	Um seara.	properNoun
A&M University	Universidade A & M	properNoun
A-400	A-400.	properNoun
A/H1N1	A / H1N1.	properNoun
A400	A400.	properNoun
AA	AA.	properNoun
AB Fragrances	Fragrâncias AB.	properNoun
ABBA	ABBA.	properNoun
ABC	abc	None
ABC	grosseiro	adjective
ABC	o abc	noun
ABC	o abecedário	noun
ABC	o alfabeto	noun
ABC	primitivo	adjective
ABC	princípio	adjective
ABC	rudimentar	adjective
ABC	simples	adjective
AC/DC	AC / DC.	properNoun
ACB	ACB.	properNoun
ACB league	Liga da ACB.	properNoun
ACLU	ACLU.	properNoun
ACT	AGIR	None
ACT	a ação	noun
ACT	a lei	noun
ACT	a tese	noun
ACT	agir	verb
ACT	atuar	verb
ACT	desempenhar um papel	verb
ACT	o ato	noun
ACT	o decreto	noun
ACT	o fato	noun
ACT	representar	verb
ADP	Adp.	properNoun
ADSL	Adsl.	properNoun
AECID	AECID.	properNoun
AK-47	AK-47.	properNoun
AK47	AK47.	properNoun
AL	Al.	properNoun
AMD	AMD.	properNoun
AMISOM	Amisom.	properNoun
ANA	Ana	None
ANA	as anedotas	noun
ANA	coleção de citações de pessoas famosas	noun
ANA	em partes iguais	adverb
ANP	ANP.	properNoun
ANSI	ANSI.	properNoun
AOL	AOL.	properNoun
API	Api.	properNoun
ARC	ARCO	None
ARC	arquear	verb
ARC	o arco	noun
ARC	o segmento de círculo	noun
ARE	ESTÃO	None
ARE	a medida de superfície	noun
ARE	o are	noun
ARE	são	auxiliary verb
ASCII	Ascii.	properNoun
ASELE	Asele	properNoun
ASOBAL	Asobal.	properNoun
AZF	AZF.	properNoun
Aablina	Aablina.	properNoun
Aache	Aache	properNoun
Aachen	Aachen.	properNoun
Aaland	Aaland.	properNoun
Aalen	AALEN.	properNoun
Aaliyah	Aaliyah.	properNoun
Aalto	AALTO.	properNoun
Aamodt	Aamodt.	properNoun
Aarhus	Aarhus.	properNoun
Aaron	Aaron.	properNoun
Aaronson	Aaronson.	properNoun
Aartsen	Aartsen.	properNoun
Aarón	Aarón.	properNoun
Aaviksoo	Aaviksoo.	properNoun
Ab	AB.	properNoun
Ab Kamari	Ab Kamari	properNoun
Abaci	Abaci.	None
Abaci	o ábaco	noun
Abaco	Abaco.	properNoun
Abad	Uma má	properNoun
Abad Corrales	Abad Corrales.	properNoun
Abadias	Abadias.	properNoun
Abadjiev	Abadjiev.	properNoun
Abadzhiev	Abadzhiev.	properNoun
Abadía	Abadía.	properNoun
Abadías	Abadías.	properNoun
Abagail	Abagail.	properNoun
Abai	Abai.	properNoun
Abando	ABANDO.	properNoun
Abascal	Abascal.	properNoun
Abasiyanik	Abasiyanik.	properNoun
Abaspahic	Abaspahic.	properNoun
Abat	Um morcego	properNoun
Abay	Abay.	properNoun
Abay studies	Estudos de Abay.	properNoun
Abayzhan	Abayzhan.	properNoun
Abaz	Abaz.	properNoun
Abazi	Abazi.	properNoun
Abazovic	Abazovic.	properNoun
Abazović	Abazović	properNoun
Abbas	Abbas.	properNoun
Abbey	Mosteiro	None
Abbey	a abadia	noun
Abbey	a paróquia	noun
Abbey	o convento	noun
Abbey	o mosteiro	noun
Abbi	Abbi.	properNoun
Abbie	Abbie.	properNoun
Abbigail	Abbigail.	properNoun
Abbing	Abbing.	properNoun
Abbisnet	Abissnet.	properNoun
Abbondanzieri	Abbondanzieri.	properNoun
Abbott	Abbott.	properNoun
Abbottabad	Abbottabad.	properNoun
Abd	Abd.	properNoun
Abdal	Abdal.	properNoun
Abdala	Abdala.	properNoun
Abdallah	Abdallah.	properNoun
Abdel	Abdel.	properNoun
Abdelilah	Abdelilah.	properNoun
Abdelouahed	Abdelouhed.	properNoun
Abdenov	Abdenov.	properNoun
Abdi	Abdi.	properNoun
Abdibaqi	Abdibaqi.	properNoun
Abdibaqit	Abdibaqit.	properNoun
Abdibay	Abdibay.	properNoun
Abdibek	Abdibek.	properNoun
Abdiel	Abdiel.	properNoun
Abdigali	Abdigali.	properNoun
Abdigappar	Abdigappar.	properNoun
Abdigaziz	Abdigaziz.	properNoun
Abdijapar	Abdijapa.	properNoun
Abdikaiym	Abdikaiym.	properNoun
Abdikarim	Abdikarim.	properNoun
Abdinasir	Abdinasir.	properNoun
Abdinur	Abdinur	properNoun
Abdiqayir	Abdiqayir.	properNoun
Abdiqoja	Abdiqoja.	properNoun
Abdirakhman	Abdirakhman	properNoun
Abdiraqim	Abdiraqim.	properNoun
Abdisalam	Abdisalam.	properNoun
Abdisamat	Abdisamat.	properNoun
Abdisattar	Abdisattar.	properNoun
Abdiseyit	Abdiseyit.	properNoun
Abdishev	Abdishev.	properNoun
Abdishukir	Abdishukir.	properNoun
Abdiu	Abdiu.	properNoun
Abdixhiku	Abdixhiku.	properNoun
Abdizhamil	Abdizhamil.	properNoun
Abdo	Abdo	properNoun
Abdolreza	Abdolreza.	properNoun
Abdrakhimov	Abdrakhimov.	properNoun
Abdrakymovich	Abdrakymovich.	properNoun
Abdrashid	Abdrashid.	properNoun
Abdrayimov	Abdraimov.	properNoun
Abdrazak	Abdrazak	properNoun
Abdu	Abdu.	properNoun
Abdul	Abdul.	properNoun
Abdula	Abdula	properNoun
Abduladhim	Abduladhim.	properNoun
Abduladi	Abduladi.	properNoun
Abdulati	Abdulati.	properNoun
Abdulaziz	Abdulaziz.	properNoun
Abdulhamid	Abdulhamid.	properNoun
Abdulkarim	Abdulkarim.	properNoun
Abdulla	Abdulla.	properNoun
Abdullah	Abdullah.	properNoun
Abdullah Gül	Abdullah Gül.	properNoun
Abdullatif	Abdullatif.	properNoun
Abdullayev	Abdullayev.	properNoun
Abdulmajid	Abdulmajid.	properNoun
Abdulrahman	Abdulrahman	properNoun
Abdulrashid	Abdulrashid.	properNoun
Abdulselam	Abdulselam.	properNoun
Abdumalik	Abdumalik.	properNoun
Abdumanap	Abdumanap.	properNoun
Abdumenaf	Abdumenaf.	properNoun
Abdurasul	Abdurasul.	properNoun
Abdurrahman	Abdurrahman	properNoun
Abdyhalyk	Abdyhalyk.	properNoun
Abdykadyr	Abdukadyr	properNoun
Abdykhamit	Abdykhamit.	properNoun
Abdías	Abdías.	properNoun
Abecassis	Abecassis.	properNoun
Abed	Abed.	None
Abed	acamado	adverb
Abed	deitado	adverb
Abedin	Abedin.	properNoun
Abegondo	Abegondo.	properNoun
Abel	Abel.	properNoun
Abela	Abela.	properNoun
Abele	Abele	None
Abele	Abele.	None
Abele	o choupo-branco	noun
Abelle	Abelle.	properNoun
Abelleira	Abeleira.	properNoun
Abellán	Abellán.	properNoun
Abelló	Abelló.	properNoun
Abelson	Abelson.	properNoun
Abenamar	Abenamar	properNoun
Abenza	Abenza.	properNoun
Abercio	ABERCIO.	properNoun
Abercynon	Abercynon.	properNoun
Aberdare	Aberdare	properNoun
Aberdeen	Aberdeen.	properNoun
Aberdeenshire	Aberdeenshire.	properNoun
Aberdour	Aberdour	properNoun
Abertal	Abertal.	properNoun
Abertal Networks	Redes abertas	properNoun
Aberuade	Aberuade.	properNoun
Aberystwyth	Aberystwyth.	properNoun
Abeylegesse	Abeylegesse.	properNoun
Abhinav	ABHINAV.	properNoun
Abi	Abi.	properNoun
Abiba	Abiba.	properNoun
Abid	Uma aposta	properNoun
Abidal	Abidal	properNoun
Abidine	Abidina	properNoun
Abidjan	Abidjan.	properNoun
Abigayle	Abigayle.	properNoun
Abil	Abil	properNoun
Abilgazi	Abilgazi.	properNoun
Abilgaziz	Abilgaziz.	properNoun
Abilio	Abilio.	properNoun
Abilkan	Abilkan.	properNoun
Abilpayiz	Abilpayiz.	properNoun
Abilqayim	Abilqayim.	properNoun
Abilqazi	Abilqazi.	properNoun
Abira	ABIRA.	properNoun
Abish	Abismo	properNoun
Abishev	Abisev.	properNoun
Abishovich	Abisovich.	properNoun
Abizaid	ABIZE.	properNoun
Abkhazia	ABKHAZIA.	properNoun
Ablaketka	Ablaketka.	properNoun
Ablanovo	Ablanovo.	properNoun
Aboi	ABOI.	properNoun
Abolfazl	Abfolfazl.	properNoun
Aboriginal	Aborígene	None
Aboriginal	aborígene	adjective
Aboriginal	aborígene	noun
Aboriginal	indígena	adjective
Aboriginal	nativo	adjective
Aboriginal	o indígena	noun
Aboriginal	o nativo	noun
Aboriginal	primitivo	adjective
Aboujaoude	Aboujaoude.	properNoun
Abra-Real Sporting Club	Clube esportivo Abra-real	properNoun
Abraham	Abraão	properNoun
Abrahamic	Abrahamic.	properNoun
Abrahams	Abrahams.	properNoun
Abrahán	Abrahán.	properNoun
Abramo	Abramo.	properNoun
Abramovich	Abramovich	properNoun
Abrašević	Abrašević.	properNoun
Abrial	Abrial	properNoun
Abril	Abril	properNoun
Abrum	Abrum	properNoun
Abruzzi	Abruzzi.	properNoun
Abruzzo	Abruzzo.	properNoun
Absalam	Absalam	properNoun
Absamat	Absamat.	properNoun
Absieh	Absieh.	properNoun
Absolon	Absolon	properNoun
Abstruse	Abstruso	None
Abstruse	abstruso	adjective
Abstruse	confuso	adjective
Abstruse	de difícil compreensão	adjective
Abstruse	escuro	adjective
Abstruse	obscuro	adjective
Abstruse	pouco claro	adjective
Abstruse	sombrio	adjective
Abu	ABU.	properNoun
Abu Bakr	Abu bakr.	properNoun
Abu Dahdah	Abu Dahdah.	properNoun
Abu Dhabi	Abu Dhabi.	properNoun
Abu Ghraib	Abu Ghraib.	properNoun
Abu Simbel	Abu Simbel.	properNoun
Abu-Dabi	Abu-dhabi.	properNoun
Abubakir	Abubakir.	properNoun
Abuja	Abuja.	properNoun
Abuli	Abuli.	properNoun
Abunasyr	Abunasyr	properNoun
Abusadiq	Abusadiq.	properNoun
Abutalip	Abutalip.	properNoun
Abwgali	Abwgali.	properNoun
Abwgalim	Abwgalim.	properNoun
Abylai	Abilai.	properNoun
Abylaikit	Abylaikit.	properNoun
Abylkasimov	Abilkasimov.	properNoun
Abylkasym	Abilkasym.	properNoun
Abylkhair	Abilkhair	properNoun
Abyraly	Abily.	properNoun
