AA	Aa	properNoun
AAB	Aab	properNoun
AABEF	Aabef	properNoun
AAC	Aac	properNoun
AAE	Aae	properNoun
aaleniano	aalénien	properNoun
Aarab	Aarab	properNoun
Aarão	Aaron	properNoun
abacate	avocat	properNoun
Abadal	Abadal	properNoun
abade	abbé	properNoun
Abadias	Abws	properNoun
Abadías	Un mauvais	properNoun
abadia	une abbaye	properNoun
Abadia	une abbaye	properNoun
Abadía	une abbaye	properNoun
Abad	Un mauvais	properNoun
abaixo de	au dessous de	properNoun
abaixo	mugissement	properNoun
abajur	lampe de chevet	properNoun
abalar	secouer	properNoun
Ábalos	Abalos	properNoun
abandonamento	abandon	properNoun
abandonar	abandonner	properNoun
abandono	abandon	properNoun
abarcar	couverture	properNoun
Abarca	Se renseigner	properNoun
abarrotado	encombré	properNoun
Abás	Abas	properNoun
Abascal	Abascal	properNoun
Abas	Languette	properNoun
Abasolo	Arbre	properNoun
abássida	abandonné	properNoun
abastamento	flanquer	properNoun
abastecer	attiser	properNoun
abastecimento	la fourniture	properNoun
Abate	Abattage	properNoun
abater	abattre	properNoun
abater	diminuer	properNoun
Abaterusso	Diminuer	properNoun
Abati	Abatiter	properNoun
abatimento	réduction	properNoun
Abbado	Abbado	properNoun
Abbas	Abbas	properNoun
Abbatangelo	Abbatatangelo	properNoun
Abbate	Abdomin	properNoun
Abbatucci	Abbatucci	properNoun
Abbiati	Abbiati	properNoun
Abbondanza	Abbondanza	properNoun
Abbondanzieri	Abbondanzieri	properNoun
Abbott	Abbott	properNoun
Abboud	Abboud	properNoun
Abbrescia	Abréger	properNoun
Abbruzzese	Abbruzz	properNoun
ABC	abc	properNoun
Abdallah	Abdallah	properNoun
Abdel	Abdelle	properNoun
Abdias	Abdiah	properNoun
abdicar	abdiquer	properNoun
abdominal	abdominal	properNoun
Abdon	Abdon	properNoun
Abdo	Valiquette	properNoun
Abdrazakov	Abdrazakov	properNoun
abdução	enlèvement	properNoun
abducente	abducteur	properNoun
Abe	Abe	properNoun
Abebe	Le bébé	properNoun
Abecassis	Abecassis	properNoun
Abécassis	Abecassis	properNoun
abecedário	débutant	properNoun
à beira de	sur le point de	properNoun
Abel	Abel	properNoun
Abelardo	Abélaire	properNoun
Abella	Abellé	properNoun
Abella de la Conca	Abella de la conca	properNoun
Abellán	Abelláan	properNoun
Abellard	Abondard	properNoun
Abelleira	Abeller	properNoun
Abelli	Abelli	properNoun
Abelló	Abelló	properNoun
Abelson	Abelson	properNoun
abençoar	bénir	properNoun
Abengoa	Abengoa	properNoun
Abenza	Abriter	properNoun
Aberasturi	Aberturi	properNoun
aberração	aberration	properNoun
aberrante	aberrant	properNoun
abertamente	ouvertement	properNoun
Aberta	Ouvert	properNoun
aberto	ouvert	properNoun
abertura	ouverture	properNoun
abeto	sapin	properNoun
Abi-Ackel	Abi-ackel	properNoun
Abidal	Abdominal	properNoun
Abílio	Accouchement	properNoun
abiótico	abiotique	properNoun
abirritante	abrégnation	properNoun
abismal	épouvantable	properNoun
abismo	abîme	properNoun
abissal	abyssal	properNoun
Abitbol	Abatbol	properNoun
abjeção	abjection	properNoun
abjecção	abjection	properNoun
abjuração	abjuration	properNoun
ablação	ablation	properNoun
ablativo	ablatif	properNoun
ablução	ablution	properNoun
abluente	abluent	properNoun
abnegação	renoncement	properNoun
abnegado	désintéressé	properNoun
abóbada	dôme	properNoun
abocamento	capacité	properNoun
abolição	abolition	properNoun
abolicionismo	abolitionnisme	properNoun
abolicionista	abolitionniste	properNoun
abolir	abolir	properNoun
abolível	abolir	properNoun
abominação	abomination	properNoun
abominável	abominable	properNoun
abominavelmente	abominablement	properNoun
abonador	abonateur	properNoun
abonar	abandonner	properNoun
abonável	terrible	properNoun
abono	allocation	properNoun
abordador	approcher	properNoun
abordagem	approcher	properNoun
abordar	adresse	properNoun
abordável	approchable	properNoun
abordavelmente	abhorance	properNoun
aborrecido	ennuyait	properNoun
aborrecimento	contrariété	properNoun
abortar	avorter	properNoun
abortivo	abortif	properNoun
aborto	Avortement	properNoun
Abós	Parcelle	properNoun
Abou	Abou	properNoun
Aboujaoude	Aboujoude	properNoun
Abraam	Abraham	properNoun
abracadabrante	abracadabrastique	properNoun
abraçadeira	serrer	properNoun
abraçador	embracoir	properNoun
abraçar	étreinte	properNoun
abraço	étreinte	properNoun
Abraham	Abraham	properNoun
Abrahams	Abrahams	properNoun
Abrahão	Abraham	properNoun
Abramo	Étreinte	properNoun
Abrams	Abrams	properNoun
Abran	Abran	properNoun
abrandado	sorte	properNoun
abrandar	adoucir	properNoun
abrangente	embrassement	properNoun
abranger	atteindre	properNoun
Abranis	Abranis	properNoun
Abrantes	Abrasiers	properNoun
Abras	Abrasion	properNoun
abrasador	abrasier	properNoun
abrasamento	abrasion	properNoun
abrasante	à l'étranger	properNoun
abrasão	abrasion	properNoun
abrasivo	abrasif	properNoun
abrazar	embrasser	properNoun
Abrera	Abrace	properNoun
Abreu	Abréviation	properNoun
a breve trecho	court	properNoun
abreviação	abréviation	properNoun
abreviado	abrégé	properNoun
abreviador	abréger	properNoun
abreviar	abréger	properNoun
abreviativo	abréviable	properNoun
abreviatura	abréviation	properNoun
abreviável	abréviable	properNoun
Abric	Abrasif	properNoun
abricó	abricot	properNoun
abrigar	abri	properNoun
Abrignani	Abriignani	properNoun
abril	avril	properNoun
Abril	avril	properNoun
abrir	Ouvert	properNoun
abrir um espaço	ouvrir un espace	properNoun
ab-rogar	abroger	properNoun
abrunheiro	abrupt	properNoun
abruptamente	brusquement	properNoun
abscissa	abscisse	properNoun
absentismo	absentéisme	properNoun
absentista	absent	properNoun
absidal	absorbé	properNoun
abside	abside	properNoun
absíntico	absentément	properNoun
absinto	absinthe	properNoun
absolutamente	Tout à fait	properNoun
absolutismo	absolutisme	properNoun
absolutista	absolutiste	properNoun
absoluto	absolu	properNoun
absolutório	absolument	properNoun
absolver	absoudre	properNoun
absorção	absorption	properNoun
absorciométrico	absorption	properNoun
absortivo	absorbant	properNoun
absorvente	tampon	properNoun
absorver	absorber	properNoun
abstenção	abstention	properNoun
abstenção maciça	abstention massive	properNoun
abstencionista	abstention	properNoun
abster	abstention	properNoun
abstergente	absent	properNoun
abstersivo	absent	properNoun
abstinência	abstinence	properNoun
abstinente	abstinent	properNoun
abstração	abstraction	properNoun
abstracção	abstraction	properNoun
abstractamente	absurfly	properNoun
abstractivo	abstraction	properNoun
abstracto	abstrait	properNoun
abstrair	abstrait	properNoun
abstratamente	abstrait	properNoun
abstrativo	abstrait	properNoun
abstrato	abstrait	properNoun
absurdamente	absurdement	properNoun
absurdidade	absurdité	properNoun
absurdo	de félicitations	properNoun
Abu	Abu	properNoun
Abu Dhabi	Abu Dhabi	properNoun
Abulafia	Abulhia	properNoun
Abuli	Abuli	properNoun
abúlico	un autobus	properNoun
abundância	abondance	properNoun
abundante	abondant	properNoun
abundantemente	abondamment	properNoun
abundar	abonder	properNoun
abusador	abuser	properNoun
abusar	abuser	properNoun
abusivamente	abusivement	properNoun
abusivo	injurieux	properNoun
abuso	abuser de	properNoun
Abyshev	Abysshev	properNoun
acabado	fini	properNoun
acabador	amendes	properNoun
acabamento	finition	properNoun
acabar	pour finir	properNoun
a cabo de	câble	properNoun
acácia	acacia	properNoun
Acácio	Acácio	properNoun
a cada	tous	properNoun
academia	Gym	properNoun
academicamente	ensuite	properNoun
academicismo	académie	properNoun
académico	académique	properNoun
acadêmico	académique	properNoun
academismo	universitaires	properNoun
acadiano	acadien	properNoun
Acádia	Profession	properNoun
acalmar	se calmer	properNoun
acalorado	chauffé	properNoun
acampamento	camp	properNoun
acampar	camper	properNoun
acanhado	choqué	properNoun
acanto	acanthe	properNoun
acantonamento	cantonnement	properNoun
ação	action	properNoun
acariciar	caresse	properNoun
acariciável	acaricable	properNoun
acarretar	entraîner	properNoun
acaso	chance	properNoun
acataléctico	accatal	properNoun
acataléptico	accaaleptique	properNoun
acatamento	figure	properNoun
acatar	J'accepte	properNoun
acaulescente	acayscent	properNoun
acção	action	properNoun
Acciarini	Acciarini	properNoun
Acciaro	ACCIARO	properNoun
Accili	Accueillir	properNoun
accionamento	actionnement	properNoun
accionar	déclencheur	properNoun
accionável	actable	properNoun
accionista	actionnaire	properNoun
Accorinti	Accorinti	properNoun
Accoto	Accoton	properNoun
Acebes	Acebes	properNoun
Acebo	As	properNoun
aceção	accepter	properNoun
aceder	accès	properNoun
Acedo	Accéda	properNoun
aceitabilidade	acceptabilité	properNoun
aceitação	acceptation	properNoun
aceitado	accepté	properNoun
aceitar	J'accepte	properNoun
aceitável	acceptable	properNoun
aceitavelmente	de manière acceptable	properNoun
aceite	accepté	properNoun
Aceituno	Accepter	properNoun
aceleração	accélération	properNoun
aceleradamente	d'accueil	properNoun
acelerador	accélérateur	properNoun
aceleramento	accélération	properNoun
acelerar	accélérer	properNoun
acelga	bettes	properNoun
acelomado	accéléré	properNoun
Aceña	Aceñ	properNoun
acender	allumer	properNoun
acento	accent	properNoun
acentuação	accentuation	properNoun
acentual	accent	properNoun
acentuar	accent	properNoun
acepção	sens	properNoun
aceração	ce qui concerne	properNoun
acerado	d'acier	properNoun
acerbidade	aigreur	properNoun
Acerbo	Accomplir	properNoun
acercar	approcher	properNoun
Acero	Accomplissement	properNoun
acertar	frapper	properNoun
acescente	ascêteur	properNoun
acessar	Accès	properNoun
acessibilidade	accessibilité	properNoun
acessível	accessible	properNoun
acessivelmente	accessible	properNoun
acesso	accès	properNoun
acessório	accessoire	properNoun
acetabilidade	acétabilité	properNoun
acético	acétique	properNoun
acetificação	acétification	properNoun
acetificador	acétification	properNoun
acetificar	acétifier	properNoun
acetilénico	acétylène	properNoun
acetoso	acéteux	properNoun
Acevedo	Aceved	properNoun
ACGTP	Acgtp	properNoun
achado	trouve	properNoun
Achammer	Achammer	properNoun
achar que	penser que	properNoun
achar	trouve	properNoun
Achille	Achille	properNoun
Achilli	Achilli	properNoun
Achim	Achemin	properNoun
Achútegui	Accomplir	properNoun
acíclico	acyclique	properNoun
aciculado	responsable	properNoun
acidamente	d'acidité	properNoun
acidental	accidentel	properNoun
acidentalmente	accidentellement	properNoun
acidentar	exact	properNoun
acidente	accident	properNoun
acidente de viação	accident de la route	properNoun
acidente rodoviário	accident de la route	properNoun
acídico	acide	properNoun
acidificação	acidification	properNoun
acidificante	isogénique	properNoun
acidificar	acidifier	properNoun
acidificável	acidité	properNoun
acidimetria	acidimétrie	properNoun
ácido	acide	properNoun
Acierno	Acier	properNoun
acima de	dessus	properNoun
acima	dessus	properNoun
Acin	Acquiescence	properNoun
acinético	acinétique	properNoun
acinoso	cabine	properNoun
acionador	déclencheur	properNoun
acionamento	conduire	properNoun
acionar	déclencheur	properNoun
acionável	accrédité	properNoun
acionista	actionnaire	properNoun
Acito	Acito	properNoun
Ackerman	Ackerman	properNoun
aclamação	acclamer	properNoun
aclamador	acclamateur	properNoun
aclamar	acclamer	properNoun
aclimatação	acclimatation	properNoun
aclimatar	acclimater	properNoun
aclínico	aclinique	properNoun
aço	acier	properNoun
açoitar	fouetter	properNoun
acolá	là	properNoun
acolhedoramente	bienvenant	properNoun
acolhedor	confortable	properNoun
acolher	d'accueillir	properNoun
acolhimento	accueil	properNoun
a començos de	le	properNoun
acometer	affixe	properNoun
acomodação	hébergement	properNoun
acomodado	hébergé	properNoun
acomodamento	hébergement	properNoun
acomodar	accommoder	properNoun
acomodável	accommodant	properNoun
acompanhador	accusateur	properNoun
acompanhamento	suivre	properNoun
acompanhante	escorte	properNoun
acompanhar	aller le long de	properNoun
Acone	Avance	properNoun
aconfessional	acconfroissant	properNoun
aconítico	aconitique	properNoun
aconselhador	conseiller	properNoun
aconselhamento	conseils	properNoun
aconselhar	conseiller	properNoun
aconselhável	conseillé	properNoun
aconselhavelmente	conseillé	properNoun
acontecer	se passer	properNoun
acontecimento	un événement	properNoun
a contragosto	contrariété	properNoun
acoplamento	couplage	properNoun
acoplar	couplage	properNoun
acordado	éveillé	properNoun
acordante	accord	properNoun
acórdão	jugement	properNoun
acordar	se réveiller	properNoun
acordo	se réveiller	properNoun
Açores	Azores	properNoun
a Corunha	Une corogne	properNoun
acossar	abose	properNoun
Acosta	La côte	properNoun
acostamento	abrasion	properNoun
acostumado	habitué	properNoun
acostumar	habituer	properNoun
acostumbrar	habituer	properNoun
açougue	boucherie	properNoun
Acquarone	Acquis	properNoun
Acquaviva	Exact	properNoun
Acre	Acre	properNoun
