source,POS
inversible,adjective
biologique,adjective
troisième,adjective
fauve,adjective
sadomasochiste,adjective
sirupeux,adjective
apostat,adjective
pénitent,adjective
particulier,adjective
albuminoïde,adjective
électoral,adjective
taciturne,adjective
acétonique,adjective
vite,adjective
expert,adjective
révolté,adjective
xanthique,adjective
désavantageux,adjective
magnanime,adjective
originel,adjective
impur,adjective
nitreux,adjective
de même sexe,adjective
hydraté,adjective
respiratoire,adjective
déconcertant,adjective
à l'aise,adjective
immature,adjective
cérébelleux,adjective
bisexué,adjective
papyrologique,adjective
prêteur,adjective
Fahrenheit,adjective
sylvestre,adjective
tensio-actif,adjective
adjectif,adjective
anachorétique,adjective
sans souris,adjective
xanthogénique,adjective
préhellénique,adjective
quiescent,adjective
déraisonnable,adjective
loquace,adjective
imputrescible,adjective
paraphernal,adjective
déontologique,adjective
commémoratif,adjective
détendu,adjective
lybien,adjective
surinamien,adjective
besanté,adjective
alpestre,adjective
anglais,adjective
proto,adjective
burundais,adjective
bicaténaire,adjective
compressible,adjective
cisalpin,adjective
lancéolé,adjective
gastronomique,adjective
tétraédrique,adjective
États-unien,adjective
rêche,adjective
transhumant,adjective
morphogénique,adjective
pythagorique,adjective
physico-mathématique,adjective
luxembourgeois,adjective
délictuel,adjective
inspecteur,adjective
tué,adjective
neerlandophone,adjective
nodulaire,adjective
salvadorien,adjective
sans catégorie,adjective
diffusif,adjective
envieux,adjective
serré,adjective
pluraliste,adjective
court,adjective
généticien,adjective
filtrable,adjective
monoclinal,adjective
énorme,adjective
préjudiciel,adjective
timocratique,adjective
impondéré,adjective
insoutenable,adjective
de la population,adjective
origéniste,adjective
pétrologique,adjective
commerçant,adjective
affranchi,adjective
nourrissant,adjective
électoraliste,adjective
prismatique,adjective
hydrocarboné,adjective
transformateur,adjective
inexprimable,adjective
rustaud,adjective
zambien,adjective
laborieux,adjective
irréligieux,adjective
tuvaluan,adjective
différent,adjective
interceltique,adjective
féministe,adjective
biomoléculaire,adjective
ripuaire,adjective
préconçu,adjective
préraphaélite,adjective
dynamiste,adjective
coordinateur,adjective
consensuel,adjective
reposé,adjective
à ton aise,adjective
fiable,adjective
mahorais,adjective
infranchissable,adjective
plurilatéral,adjective
osseux,adjective
enclavé,adjective
dopaminergique,adjective
fragmentaire,adjective
structural,adjective
sacciforme,adjective
dédaigneux,adjective
monocotylédone,adjective
vulgarisateur,adjective
acéré,adjective
coulant,adjective
rachidien,adjective
payeur,adjective
adhérent,adjective
démontrable,adjective
baccifère,adjective
performatif,adjective
sombre,adjective
phyto-toxique,adjective
suborbital,adjective
paradigmatique,adjective
supposable,adjective
récalcitrant,adjective
modique,adjective
pernicieux,adjective
lubrique,adjective
amharique,adjective
caractérologique,adjective
néomarxiste,adjective
périlleux,adjective
gujarati,adjective
jaloux,adjective
obscur,adjective
bissau-guinéen,adjective
boer,adjective
prodigue,adjective
ligneux,adjective
myélotoxique,adjective
biodégradable,adjective
complètement encerclé,adjective
immergé,adjective
fidéjussoire,adjective
inabordable,adjective
nociceptif,adjective
bimillénaire,adjective
naturiste,adjective
bigleux,adjective
mélioratif,adjective
aéronautique,adjective
perse,adjective
antiradar,adjective
mésopotamique,adjective
méphistophélique,adjective
diaphasique,adjective
hors-sujet,adjective
secret,adjective
fanée,adjective
chevelu,adjective
déréglé,adjective
néphritique,adjective
prépositionnel,adjective
profitable,adjective
eupeptique,adjective
protestant,adjective
abstrus,adjective
rosé,adjective
jaune,adjective
mystique,adjective
albinos,adjective
concentrique,adjective
foncier,adjective
séparatiste,adjective
occupationnel,adjective
lésothan,adjective
cordonné,adjective
pro,adjective
garant,adjective
écologiste,adjective
hambourgeois,adjective
salutaire,adjective
macroscopique,adjective
pétrarquiste,adjective
invariant,adjective
de sauvetage,adjective
angioneurotique,adjective
non borné,adjective
costaricain,adjective
mourant,adjective
confiné,adjective
térébrant,adjective
purgatif,adjective
alguérois,adjective
soporifique,adjective
milanais,adjective
attique,adjective
tumescent,adjective
manuscrit,adjective
amazigh,adjective
moqueur,adjective
tropique,adjective
semi-aride,adjective
amiboïde,adjective
déterminatif,adjective
étroit,adjective
dérivant,adjective
précapitaliste,adjective
civique,adjective
réflexe,adjective
scrotal,adjective
carminatif,adjective
objectif,adjective
plan,adjective
divorcé,adjective
paraplégique,adjective
franco-vietnamien,adjective
culinaire,adjective
carminé,adjective
reproductif,adjective
placentaire,adjective
expectant,adjective
malawite,adjective
formant un bloc,adjective
mésomorphe,adjective
bimestriel,adjective
fractionnel,adjective
XVIIIème,adjective
concerné,adjective
long,adjective
au chômage,adjective
mandarin,adjective
sulfonique,adjective
unilatéral,adjective
préhistorique,adjective
palliatif,adjective
subséquent,adjective
bouriate,adjective
salarié,adjective
inventif,adjective
presbytéral,adjective
strict,adjective
décolorant,adjective
fidjien,adjective
mamillaire,adjective
élogieux,adjective
gérontologique,adjective
hypertextuel,adjective
escarpé,adjective
XXIe,adjective
extensible,adjective
cornu,adjective
ferroviaire,adjective
vannetais,adjective
télescopique,adjective
caprique,adjective
conservable,adjective
interhumain,adjective
chronique,adjective
lombard,adjective
non-brittophone,adjective
ambitieux,adjective
prépotent,adjective
informulable,adjective
pathétique,adjective
picard,adjective
majorquin,adjective
unicolore,adjective
expansif,adjective
kirghize,adjective
franquiste,adjective
guyanien,adjective
topiaire,adjective
irrévérent,adjective
abasourdi,adjective
intraoculaire,adjective
livide,adjective
documenté,adjective
marron,adjective
précolonial,adjective
muet,adjective
fertile,adjective
terrifiant,adjective
grégaire,adjective
ministériel,adjective
inattentif,adjective
grammatical,adjective
localiste,adjective
coxo-fémoral,adjective
centrosymétrique,adjective
cancéreux,adjective
apostolique,adjective
solutréen,adjective
moratoire,adjective
uni,adjective
bohémien,adjective
de degré,adjective
uricosurique,adjective
infondé,adjective
algorithmique,adjective
ligure,adjective
bureaucratique,adjective
quatorzième,adjective
égocentriste,adjective
cicatriciel,adjective
divisible,adjective
myope,adjective
pimpant,adjective
minorant,adjective
impair,adjective
montueux,adjective
agroécologique,adjective
confiscable,adjective
aéroportuaire,adjective
invocatoire,adjective
sans manières,adjective
baroque,adjective
défait,adjective
actualisable,adjective
piétiste,adjective
galvanoplastique,adjective
quantique,adjective
osmique,adjective
anthropophile,adjective
synclinal,adjective
léonard,adjective
intransitif,adjective
nomothétique,adjective
catalanooccitan,adjective
rasant,adjective
bouddhiste,adjective
runique,adjective
préglaciaire,adjective
dépaysant,adjective
hydrophobique,adjective
bimétallique,adjective
maxillo-facial,adjective
lentiforme,adjective
allégorique,adjective
diversiforme,adjective
infantile,adjective
vieux-breton,adjective
sans gloire,adjective
critériologique,adjective
écoeuré,adjective
