source,POS
trapezoédrico,adjective
pagador,adjective
benzóico,adjective
antiacadémico,adjective
cônico,adjective
alogénico,adjective
estóico,adjective
impudente,adjective
silenciador,adjective
aventureiro,adjective
temperamental,adjective
microclimático,adjective
protréptico,adjective
neocatólico,adjective
córnico,adjective
hispanoparlante,adjective
portátil,adjective
sudanês,adjective
neuroléptico,adjective
anoréctico,adjective
exorreico,adjective
ilimitável,adjective
judaico,adjective
burdigaliano,adjective
sacrificador,adjective
inacostável,adjective
multiplicativo,adjective
indolente,adjective
solene,adjective
cicatrizável,adjective
reconfortante,adjective
idêntico,adjective
copioso,adjective
cômodo,adjective
penível,adjective
hidratante,adjective
platino,adjective
derivado,adjective
octaédrico,adjective
tcheco,adjective
orogénico,adjective
evaporativo,adjective
teluriano,adjective
etanoico,adjective
homofónico,adjective
gomoso,adjective
censurável,adjective
deceptivo,adjective
transitário,adjective
nucleal,adjective
toluico,adjective
macarrónico,adjective
simbiótico,adjective
flexional,adjective
neuromuscular,adjective
vândalo,adjective
neumático,adjective
pompeiano,adjective
endosmótico,adjective
anulador,adjective
simplificador,adjective
hipodérmico,adjective
supranacional,adjective
grueiro,adjective
explicável,adjective
mendicante,adjective
estafado,adjective
interaliado,adjective
acordado,adjective
incurioso,adjective
bilobado,adjective
alumínico,adjective
rebaixado,adjective
pouco,adjective
turco,adjective
unipolar,adjective
negral,adjective
mor,adjective
aberto,adjective
feculoso,adjective
subsônico,adjective
espumejante,adjective
entusiasmado,adjective
incontrovertível,adjective
revolucionário,adjective
usual,adjective
superável,adjective
tintorial,adjective
descontrolado,adjective
desconcertador,adjective
ugandense,adjective
bifônico,adjective
hemoptóico,adjective
hialino,adjective
homônimo,adjective
pospositivo,adjective
fermentescível,adjective
espectacular,adjective
inoperável,adjective
perineal,adjective
semelhante,adjective
uniovular,adjective
indomesticável,adjective
itinerante,adjective
instaurador,adjective
policial,adjective
balear,adjective
antrácico,adjective
percetivo,adjective
mundano,adjective
extramoral,adjective
remoroso,adjective
estomacal,adjective
tarentino,adjective
evasivo,adjective
londrino,adjective
parenquimatoso,adjective
venenoso,adjective
indeciso,adjective
variável,adjective
lúdico,adjective
traumático,adjective
funicular,adjective
épico,adjective
biológico,adjective
eclíptico,adjective
fantasioso,adjective
anexo,adjective
questionável,adjective
eufémico,adjective
automático,adjective
formulista,adjective
tiberino,adjective
oftalmológico,adjective
conjuntivo,adjective
tumoroso,adjective
citoplasmático,adjective
atômico,adjective
fragmentado,adjective
divorciado,adjective
cosmético,adjective
tísico,adjective
instante,adjective
clerical,adjective
milenário,adjective
silencioso,adjective
rústico,adjective
ameríndio,adjective
inestancável,adjective
indefinido,adjective
perfumado,adjective
insondável,adjective
arborescente,adjective
maneirista,adjective
moralizante,adjective
museográfico,adjective
cicatrizante,adjective
inveterado,adjective
oracional,adjective
ascórbico,adjective
perpetrador,adjective
conoidal,adjective
intransferível,adjective
combatível,adjective
isoédrico,adjective
arcaico,adjective
fitoquímico,adjective
béquico,adjective
palestino,adjective
pinacoidal,adjective
inseguro,adjective
inúmero,adjective
vegetal,adjective
solidário,adjective
cartográfico,adjective
paralítico,adjective
estoniano,adjective
límbico,adjective
implicatório,adjective
trifoliolado,adjective
concupiscível,adjective
movível,adjective
inspirador,adjective
filipista,adjective
quadragésimo,adjective
esquizofrênico,adjective
judicioso,adjective
anabaptista,adjective
antinómico,adjective
aguardado,adjective
ártico,adjective
psicopatológico,adjective
antártico,adjective
selvoso,adjective
irremediável,adjective
testificador,adjective
falângico,adjective
anacorético,adjective
decisório,adjective
correspondente,adjective
esterilizador,adjective
tingitano,adjective
jurisdicional,adjective
terminológico,adjective
distintivo,adjective
opaco,adjective
alucinado,adjective
domiciliário,adjective
pérsico,adjective
excedentário,adjective
masticatório,adjective
catarroso,adjective
intercalar,adjective
estatal,adjective
vigésimo quinto,adjective
habitável,adjective
morboso,adjective
aeromântico,adjective
notável,adjective
cupulado,adjective
higroscópico,adjective
hérnico,adjective
centralizador,adjective
manuelino,adjective
gasométrico,adjective
contemplativo,adjective
sexuado,adjective
lanuginoso,adjective
cetônico,adjective
missis,adjective
suprajacente,adjective
ablativo,adjective
fraseológico,adjective
caseoso,adjective
furioso,adjective
detergente,adjective
priscilianista,adjective
oxidado,adjective
assexual,adjective
rizotônico,adjective
entótico,adjective
autotrófico,adjective
aleatório,adjective
ordenador,adjective
ovalado,adjective
arameu,adjective
redondo,adjective
