source,POS
adolescent,adjective
militant,adjective
compact,adjective
adjectival,adjective
changeable,adjective
inaccessible,adjective
cavalier,adjective
anticlinal,adjective
tonal,adjective
incommunicable,adjective
expert,adjective
sculptural,adjective
incalculable,adjective
ductile,adjective
imprescriptible,adjective
opposable,adjective
favorable,adjective
intelligible,adjective
guttural,adjective
pentagonal,adjective
international,adjective
orchestral,adjective
ultraviolet,adjective
unipotent,adjective
amateur,adjective
afghan,adjective
kosovar,adjective
recyclable,adjective
polynomial,adjective
neutrophile,adjective
lusophone,adjective
regrettable,adjective
conjugable,adjective
inexorable,adjective
picaresque,adjective
intangible,adjective
friable,adjective
sacral,adjective
indivisible,adjective
inapplicable,adjective
ardent,adjective
isoclinal,adjective
contractile,adjective
fervent,adjective
immense,adjective
sociable,adjective
binomial,adjective
combinable,adjective
dissonant,adjective
dental,adjective
palatal,adjective
succinct,adjective
démodé,adjective
exact,adjective
incommutable,adjective
matutinal,adjective
anglican,adjective
basal,adjective
multiple,adjective
insoluble,adjective
admissible,adjective
nilpotent,adjective
neural,adjective
affable,adjective
humoral,adjective
cantonal,adjective
inestimable,adjective
inflammable,adjective
idempotent,adjective
constant,adjective
post-mortem,adjective
spectral,adjective
proximal,adjective
pleural,adjective
pastoral,adjective
univariant,adjective
taliban,adjective
vibrant,adjective
vicariant,adjective
architectural,adjective
assimilable,adjective
variant,adjective
sibilant,adjective
disjoint,adjective
tibial,adjective
intense,adjective
covalent,adjective
astral,adjective
incurable,adjective
abrupt,adjective
humble,adjective
transportable,adjective
nominal,adjective
bilabial,adjective
roman,adjective
oblong,adjective
suffixal,adjective
soluble,adjective
saxon,adjective
ordinal,adjective
pop,adjective
intelligent,adjective
extra,adjective
marginal,adjective
quantifiable,adjective
ogival,adjective
miscible,adjective
comparable,adjective
ex,adjective
latin,adjective
inimitable,adjective
inhabitable,adjective
observable,adjective
ignorant,adjective
monotone,adjective
cardinal,adjective
triple,adjective
strict,adjective
direct,adjective
dense,adjective
incandescent,adjective
underground,adjective
rival,adjective
turquoise,adjective
coronal,adjective
omniscient,adjective
vestigial,adjective
anglophone,adjective
important,adjective
fragile,adjective
mini,adjective
