source,POS
adjectival,adjective
articular,adjective
perineal,adjective
tonal,adjective
multidimensional,adjective
aspectual,adjective
medicinal,adjective
vernacular,adjective
supernatural,adjective
incremental,adjective
tabular,adjective
pentagonal,adjective
vectorial,adjective
sexagesimal,adjective
consular,adjective
equilateral,adjective
general,adjective
actuarial,adjective
trapezoidal,adjective
mandibular,adjective
numeral,adjective
cardiovascular,adjective
medieval,adjective
federal,adjective
isoclinal,adjective
textual,adjective
corrector,adjective
binomial,adjective
feudal,adjective
sacramental,adjective
dental,adjective
palatal,adjective
venial,adjective
basal,adjective
dimensional,adjective
clerical,adjective
neural,adjective
humoral,adjective
cantonal,adjective
tubular,adjective
unipolar,adjective
proximal,adjective
pleural,adjective
duodecimal,adjective
coplanar,adjective
incidental,adjective
hexadecimal,adjective
pastoral,adjective
prefixal,adjective
granular,adjective
carnal,adjective
celestial,adjective
senatorial,adjective
tibial,adjective
peculiar,adjective
astral,adjective
nominal,adjective
bilabial,adjective
conoidal,adjective
tutorial,adjective
ornamental,adjective
audiovisual,adjective
intermolecular,adjective
ordinal,adjective
extra,adjective
marginal,adjective
eventual,adjective
ogival,adjective
infinitesimal,adjective
triangular,adjective
molar,adjective
tetragonal,adjective
cardinal,adjective
boreal,adjective
rival,adjective
liberal,adjective
coronal,adjective
vulgar,adjective
singular,adjective
ideal,adjective
dual,adjective
fiscal,adjective
directorial,adjective
posterior,adjective
transcontinental,adjective
umbilical,adjective
hormonal,adjective
perceptual,adjective
regimental,adjective
unicameral,adjective
larval,adjective
curricular,adjective
temperamental,adjective
zonal,adjective
labial,adjective
maternal,adjective
terminal,adjective
vital,adjective
colonial,adjective
radical,adjective
orbital,adjective
duodenal,adjective
coaxial,adjective
fraternal,adjective
verbal,adjective
virtual,adjective
transcendental,adjective
multilateral,adjective
tropical,adjective
papal,adjective
armorial,adjective
floral,adjective
judicial,adjective
neutral,adjective
total,adjective
individual,adjective
diagonal,adjective
renal,adjective
globular,adjective
regular,adjective
gradual,adjective
animal,adjective
vestibular,adjective
vesical,adjective
popular,adjective
equatorial,adjective
grave,adjective
cultural,adjective
