source,POS
expert,adjective
immature,adjective
quiescent,adjective
paraphernal,adjective
compressible,adjective
court,adjective
minimal,adjective
structural,adjective
sexy,adjective
sombre,adjective
consistorial,adjective
filial,adjective
secret,adjective
jovial,adjective
pectoral,adjective
profitable,adjective
protestant,adjective
pro,adjective
invariant,adjective
expectant,adjective
long,adjective
strict,adjective
extensible,adjective
super,adjective
fertile,adjective
grammatical,adjective
neural,adjective
divisible,adjective
baroque,adjective
synclinal,adjective
vertical,adjective
fractal,adjective
naval,adjective
luxuriant,adjective
open,adjective
favorable,adjective
grandiose,adjective
direct,adjective
consonant,adjective
conjoint,adjective
incandescent,adjective
texan,adjective
fervent,adjective
audible,adjective
supranational,adjective
luminescent,adjective
saxon,adjective
spatial,adjective
ancestral,adjective
rampant,adjective
zodiacal,adjective
colonial,adjective
transportable,adjective
inscrutable,adjective
papal,adjective
infernal,adjective
minuscule,adjective
sensible,adjective
inverse,adjective
mercantile,adjective
pronominal,adjective
mental,adjective
local,adjective
capital,adjective
minimum,adjective
pyramidal,adjective
dormant,adjective
algal,adjective
pirate,adjective
vital,adjective
orchestral,adjective
partial,adjective
incommutable,adjective
brave,adjective
fat,adjective
ambivalent,adjective
vacant,adjective
faux,adjective
incapable,adjective
cervical,adjective
polygonal,adjective
underground,adjective
intestinal,adjective
indirect,adjective
nominal,adjective
divergent,adjective
basque,adjective
fluvial,adjective
distinct,adjective
abyssal,adjective
arable,adjective
octal,adjective
binomial,adjective
opulent,adjective
inaugural,adjective
covalent,adjective
indisputable,adjective
inefficient,adjective
joint,adjective
intelligible,adjective
plausible,adjective
endocrine,adjective
dominant,adjective
ductile,adjective
vibrant,adjective
picaresque,adjective
taxable,adjective
certain,adjective
incommensurable,adjective
navigable,adjective
lingual,adjective
novice,adjective
baptismal,adjective
palatal,adjective
sacerdotal,adjective
modal,adjective
configurable,adjective
bourgeois,adjective
distant,adjective
invisible,adjective
docile,adjective
sculptural,adjective
junior,adjective
prescriptible,adjective
immoral,adjective
formidable,adjective
diagonal,adjective
probable,adjective
occitan,adjective
exorbitant,adjective
claustral,adjective
brusque,adjective
nuptial,adjective
andorran,adjective
ordinal,adjective
irascible,adjective
efficient,adjective
crucial,adjective
hydrothermal,adjective
mutant,adjective
amateur,adjective
idiot,adjective
isoclinal,adjective
exempt,adjective
intact,adjective
imputable,adjective
macabre,adjective
orbital,adjective
tropical,adjective
procaryote,adjective
intercontinental,adjective
oriental,adjective
pliable,adjective
personnel,adjective
effervescent,adjective
sage,adjective
premier,adjective
bathyal,adjective
adroit,adjective
live,adjective
immigrant,adjective
ostensible,adjective
trivial,adjective
second,adjective
anticlinal,adjective
light,adjective
basophile,adjective
servile,adjective
doctoral,adjective
longitudinal,adjective
palpable,adjective
multiple,adjective
visible,adjective
infrangible,adjective
content,adjective
matrimonial,adjective
friable,adjective
futile,adjective
monotone,adjective
inflexible,adjective
beige,adjective
inexcusable,adjective
mobile,adjective
sikh,adjective
inadmissible,adjective
inaudible,adjective
contactable,adjective
dense,adjective
applicable,adjective
imperceptible,adjective
doctrinal,adjective
Renaissance,adjective
immobile,adjective
pluvial,adjective
important,adjective
occipital,adjective
solvable,adjective
contractile,adjective
extraterritorial,adjective
permissible,adjective
moral,adjective
choral,adjective
succinct,adjective
polyvalent,adjective
natal,adjective
simple,adjective
verbal,adjective
antisocial,adjective
pontifical,adjective
maximal,adjective
lamentable,adjective
turbulent,adjective
observable,adjective
concomitant,adjective
horizontal,adjective
oblique,adjective
terrible,adjective
flagrant,adjective
impartial,adjective
viable,adjective
tactile,adjective
intermittent,adjective
spectral,adjective
polynomial,adjective
total,adjective
francophone,adjective
communal,adjective
fluent,adjective
affable,adjective
recyclable,adjective
coronal,adjective
fragile,adjective
senior,adjective
colossal,adjective
asocial,adjective
variant,adjective
diligent,adjective
imprudent,adjective
lusophone,adjective
hexagonal,adjective
incontestable,adjective
profane,adjective
latin,adjective
final,adjective
improbable,adjective
omani,adjective
regrettable,adjective
magenta,adjective
mini,adjective
combustible,adjective
grave,adjective
dialectal,adjective
mat,adjective
accessible,adjective
zonal,adjective
suspect,adjective
suave,adjective
malleable,adjective
hostile,adjective
cavalier,adjective
initial,adjective
pentagonal,adjective
central,adjective
exact,adjective
notarial,adjective
arrogant,adjective
idempotent,adjective
ample,adjective
oblong,adjective
multinational,adjective
antimissile,adjective
indestructible,adjective
commercial,adjective
univariant,adjective
disjoint,adjective
monochrome,adjective
interchangeable,adjective
familial,adjective
violent,adjective
inaccessible,adjective
concave,adjective
impertinent,adjective
charitable,adjective
volatile,adjective
infertile,adjective
inestimable,adjective
inculpable,adjective
extra,adjective
musical,adjective
temporal,adjective
ignorant,adjective
normal,adjective
patent,adjective
bivalve,adjective
frank,adjective
pleural,adjective
virulent,adjective
permutable,adjective
dictatorial,adjective
suffixal,adjective
antiviral,adjective
triple,adjective
bizarre,adjective
analogue,adjective
antivirus,adjective
contestable,adjective
violet,adjective
anglican,adjective
manga,adjective
municipal,adjective
soluble,adjective
impeccable,adjective
thermal,adjective
monumental,adjective
axial,adjective
congruent,adjective
acceptable,adjective
provincial,adjective
