source,POS
minimal,adjective
distal,adjective
sexy,adjective
consistorial,adjective
filial,adjective
atonal,adjective
jovial,adjective
pectoral,adjective
super,adjective
cru,adjective
neural,adjective
vertical,adjective
fractal,adjective
naval,adjective
ancestral,adjective
zodiacal,adjective
colonial,adjective
trans,adjective
marial,adjective
papal,adjective
infernal,adjective
pronominal,adjective
amical,adjective
mental,adjective
local,adjective
capital,adjective
vital,adjective
mural,adjective
monoparental,adjective
porno,adjective
cervical,adjective
intestinal,adjective
conforme,adjective
nominal,adjective
estival,adjective
fluvial,adjective
dominical,adjective
octal,adjective
binomial,adjective
inaugural,adjective
sublingual,adjective
participial,adjective
mongol,adjective
arsenical,adjective
triste,adjective
lingual,adjective
baptismal,adjective
palatal,adjective
sacerdotal,adjective
modal,adjective
diagonal,adjective
claustral,adjective
bilingue,adjective
ordinal,adjective
vicarial,adjective
crucial,adjective
salarial,adjective
jugal,adjective
coxal,adjective
mudéjar,adjective
isoclinal,adjective
orbital,adjective
tropical,adjective
intercontinental,adjective
oriental,adjective
curial,adjective
matinal,adjective
foral,adjective
trivial,adjective
terrestre,adjective
longitudinal,adjective
matrimonial,adjective
provençal,adjective
pluvial,adjective
discal,adjective
occipital,adjective
diluvial,adjective
extraterritorial,adjective
nucal,adjective
moral,adjective
natal,adjective
verbal,adjective
argentino,adjective
nodal,adjective
pontifical,adjective
horizontal,adjective
dialogal,adjective
total,adjective
uninominal,adjective
coronal,adjective
colossal,adjective
patrimonial,adjective
hexagonal,adjective
final,adjective
postural,adjective
magenta,adjective
guarani,adjective
grave,adjective
dialectal,adjective
zonal,adjective
suave,adjective
diaconal,adjective
sincipital,adjective
pentagonal,adjective
monolingue,adjective
central,adjective
notarial,adjective
extra,adjective
musical,adjective
normal,adjective
pleural,adjective
subtil,adjective
antiviral,adjective
latino,adjective
bifocal,adjective
inguinal,adjective
manga,adjective
municipal,adjective
augural,adjective
bicipital,adjective
apical,adjective
monumental,adjective
axial,adjective
provincial,adjective
vocal,adjective
conjectural,adjective
facial,adjective
cadastral,adjective
principal,adjective
cortical,adjective
arbitral,adjective
acromial,adjective
oral,adjective
cordial,adjective
viral,adjective
transcendental,adjective
bilabial,adjective
cambial,adjective
marginal,adjective
mitral,adjective
cardinal,adjective
transcontinental,adjective
paradoxal,adjective
paraxial,adjective
rural,adjective
animal,adjective
floral,adjective
costal,adjective
abdominal,adjective
transversal,adjective
basal,adjective
patriarcal,adjective
rival,adjective
standard,adjective
professoral,adjective
primordial,adjective
ventral,adjective
global,adjective
alto,adjective
vernal,adjective
tumoral,adjective
adjectival,adjective
rectal,adjective
intercostal,adjective
marital,adjective
dorsal,adjective
territorial,adjective
directorial,adjective
saburral,adjective
dotal,adjective
gris,adjective
online,adjective
fatal,adjective
interdigital,adjective
austral,adjective
azimutal,adjective
radial,adjective
extraconjugal,adjective
original,adjective
humoral,adjective
patronal,adjective
banal,adjective
binominal,adjective
cubital,adjective
historial,adjective
califal,adjective
labial,adjective
ogival,adjective
monacal,adjective
terminal,adjective
instrumental,adjective
inca,adjective
rostral,adjective
cultural,adjective
astral,adjective
lustral,adjective
subliminal,adjective
absidal,adjective
magistral,adjective
augustal,adjective
plural,adjective
cantonal,adjective
solsticial,adjective
antidoping,adjective
focal,adjective
ducal,adjective
cardial,adjective
tribal,adjective
armorial,adjective
neuronal,adjective
multimédia,adjective
anal,adjective
bestial,adjective
frontal,adjective
inquisitorial,adjective
crural,adjective
adverbial,adjective
sentimental,adjective
cloacal,adjective
hormonal,adjective
nasal,adjective
causal,adjective
trifacial,adjective
intertropical,adjective
paranormal,adjective
parental,adjective
que,adjective
multilingue,adjective
racial,adjective
sutural,adjective
sapiens,adjective
somali,adjective
vicinal,adjective
amoral,adjective
tibial,adjective
radical,adjective
marsupial,adjective
bolchevique,adjective
basilical,adjective
coaxial,adjective
russo,adjective
sural,adjective
nu,adjective
frugal,adjective
nosocomial,adjective
vaginal,adjective
lexical,adjective
conjugal,adjective
caudal,adjective
pré,adjective
sublime,adjective
germinal,adjective
uniforme,adjective
franco,adjective
proverbial,adjective
inerte,adjective
obsidional,adjective
social,adjective
octogonal,adjective
virginal,adjective
tonal,adjective
glacial,adjective
dental,adjective
digital,adjective
proximal,adjective
postal,adjective
fiscal,adjective
bimodal,adjective
nazi,adjective
gay,adjective
trilingue,adjective
coliforme,adjective
africano,adjective
litoral,adjective
cruel,adjective
brutal,adjective
labiodental,adjective
civil,adjective
heptagonal,adjective
dual,adjective
subtropical,adjective
bengali,adjective
pastoral,adjective
anormal,adjective
continental,adjective
co,adjective
piramidal,adjective
idem,adverb
pré,adverb
a priori,adverb
jamais,adverb
quantitativamente,adverb
piano,adverb
mau,adverb
mal,adverb
de facto,adverb
etc,adverb
ou,coordinatingConjunction
eh,interjection
oh,interjection
ah,interjection
bravo,interjection
que,interrogativePronoun
retweet,noun
peste,noun
lance,noun
x,noun
portfolio,noun
atlante,noun
lustre,noun
PSOE,noun
f,noun
comité,noun
bar,noun
kW,noun
quiz,noun
textura,noun
CIA,noun
superficie,noun
