source,POS
coaxial,adjective
temperamental,adjective
germinal,adjective
neuromuscular,adjective
unipolar,adjective
usual,adjective
anal,adjective
perineal,adjective
clerical,adjective
conoidal,adjective
crucial,adjective
vegetal,adjective
oral,adjective
residual,adjective
brutal,adjective
cadastral,adjective
genicular,adjective
concertante,adjective
tutorial,adjective
albino,adjective
matrimonial,adjective
visual,adjective
pleural,adjective
cubital,adjective
multidimensional,adjective
animal,adjective
total,adjective
pentagonal,adjective
vaginal,adjective
secular,adjective
oval,adjective
vulgar,adjective
octal,adjective
textual,adjective
humoral,adjective
jovial,adjective
lateral,adjective
binomial,adjective
ideal,adjective
funeral,adjective
beneficial,adjective
ornamental,adjective
mutual,adjective
fatal,adjective
ministerial,adjective
mineral,adjective
confessional,adjective
gradual,adjective
facial,adjective
bipolar,adjective
testicular,adjective
capital,adjective
trivial,adjective
neonatal,adjective
umbilical,adjective
bilabial,adjective
ogival,adjective
supernatural,adjective
infinitesimal,adjective
extraterritorial,adjective
digital,adjective
molar,adjective
final,adjective
adjectival,adjective
tonal,adjective
natal,adjective
mental,adjective
subliminal,adjective
isoclinal,adjective
paternal,adjective
alveolar,adjective
neonazi,adjective
sectorial,adjective
fraternal,adjective
sensual,adjective
eternal,adjective
sexagesimal,adjective
senatorial,adjective
proverbial,adjective
intestinal,adjective
online,adjective
plural,adjective
semicircular,adjective
divisional,adjective
anticlerical,adjective
departamental,adjective
artificial,adjective
per capita,adjective
venal,adjective
rival,adjective
cortical,adjective
adverbial,adjective
intercontinental,adjective
oriental,adjective
proximal,adjective
arterial,adjective
linear,adjective
peculiar,adjective
perpendicular,adjective
liberal,adjective
neuronal,adjective
viral,adjective
ancestral,adjective
tropical,adjective
modal,adjective
postal,adjective
penal,adjective
bilateral,adjective
extra,adjective
nocturnal,adjective
lacrimal,adjective
vectorial,adjective
neural,adjective
manga,adjective
vernacular,adjective
laminar,adjective
principal,adjective
gay,adjective
social,adjective
prefixal,adjective
imperial,adjective
federal,adjective
pastoral,adjective
articular,adjective
cervical,adjective
dual,adjective
municipal,adjective
globular,adjective
infernal,adjective
episcopal,adjective
material,adjective
medieval,adjective
ventral,adjective
angular,adjective
vertical,adjective
virtual,adjective
particular,adjective
musical,adjective
central,adjective
consistorial,adjective
sacrificial,adjective
heteropolar,adjective
canonical,adjective
polar,adjective
fundamental,adjective
suave,adjective
pontifical,adjective
civil,adjective
prejudicial,adjective
seminal,adjective
virtuoso,adjective
actual,adjective
coplanar,adjective
pronominal,adjective
moral,adjective
duodenal,adjective
real,adjective
minimal,adjective
irregular,adjective
radical,adjective
reticular,adjective
molecular,adjective
trapezoidal,adjective
sentimental,adjective
alto,adjective
marital,adjective
colossal,adjective
fluvial,adjective
frugal,adjective
cardinal,adjective
normal,adjective
hexadecimal,adjective
horizontal,adjective
congenial,adjective
cruel,adjective
decimal,adjective
original,adjective
visceral,adjective
nazi,adjective
carnal,adjective
posterior,adjective
tabular,adjective
banal,adjective
radial,adjective
