source,POS
coaxial,adjective
germinal,adjective
anal,adjective
franco,adjective
crucial,adjective
oral,adjective
bolchevique,adjective
brutal,adjective
cadastral,adjective
guarani,adjective
matrimonial,adjective
porno,adjective
pleural,adjective
cubital,adjective
animal,adjective
total,adjective
pentagonal,adjective
vaginal,adjective
octal,adjective
argentino,adjective
humoral,adjective
jovial,adjective
binomial,adjective
sincipital,adjective
fatal,adjective
bilingue,adjective
rostral,adjective
facial,adjective
capital,adjective
mural,adjective
trivial,adjective
bilabial,adjective
ogival,adjective
extraterritorial,adjective
digital,adjective
final,adjective
diaconal,adjective
adjectival,adjective
tonal,adjective
trans,adjective
natal,adjective
mental,adjective
subliminal,adjective
isoclinal,adjective
terrestre,adjective
proverbial,adjective
intestinal,adjective
marial,adjective
nosocomial,adjective
online,adjective
plural,adjective
saburral,adjective
rival,adjective
cortical,adjective
adverbial,adjective
intercontinental,adjective
oriental,adjective
litoral,adjective
proximal,adjective
neuronal,adjective
inerte,adjective
viral,adjective
vicarial,adjective
conforme,adjective
ancestral,adjective
tropical,adjective
que,adjective
modal,adjective
postal,adjective
binominal,adjective
anormal,adjective
co,adjective
inca,adjective
apical,adjective
extra,adjective
sural,adjective
neural,adjective
participial,adjective
augural,adjective
gris,adjective
virginal,adjective
manga,adjective
mongol,adjective
foral,adjective
principal,adjective
gay,adjective
matinal,adjective
cambial,adjective
social,adjective
patrimonial,adjective
pastoral,adjective
multilingue,adjective
cervical,adjective
dual,adjective
municipal,adjective
infernal,adjective
multimédia,adjective
ventral,adjective
vertical,adjective
intercostal,adjective
lustral,adjective
provençal,adjective
musical,adjective
professoral,adjective
central,adjective
cloacal,adjective
consistorial,adjective
suave,adjective
pontifical,adjective
civil,adjective
trifacial,adjective
pronominal,adjective
moral,adjective
minimal,adjective
radical,adjective
sentimental,adjective
alto,adjective
marital,adjective
colossal,adjective
acromial,adjective
fluvial,adjective
frugal,adjective
cardinal,adjective
normal,adjective
nucal,adjective
latino,adjective
horizontal,adjective
cruel,adjective
nu,adjective
original,adjective
nazi,adjective
russo,adjective
patronal,adjective
nodal,adjective
paradoxal,adjective
banal,adjective
radial,adjective
floral,adjective
mudéjar,adjective
discal,adjective
absidal,adjective
claustral,adjective
standard,adjective
focal,adjective
marginal,adjective
interdigital,adjective
intertropical,adjective
sublime,adjective
vernal,adjective
tumoral,adjective
notarial,adjective
hormonal,adjective
provincial,adjective
naval,adjective
extraconjugal,adjective
sapiens,adjective
racial,adjective
astral,adjective
grave,adjective
territorial,adjective
dialectal,adjective
augustal,adjective
magistral,adjective
antiviral,adjective
frontal,adjective
basal,adjective
obsidional,adjective
transversal,adjective
bengali,adjective
heptagonal,adjective
zodiacal,adjective
jugal,adjective
caudal,adjective
postural,adjective
pectoral,adjective
curial,adjective
axial,adjective
coxal,adjective
fractal,adjective
azimutal,adjective
monoparental,adjective
antidoping,adjective
vocal,adjective
abdominal,adjective
causal,adjective
inguinal,adjective
cordial,adjective
marsupial,adjective
magenta,adjective
verbal,adjective
zonal,adjective
paraxial,adjective
diluvial,adjective
uniforme,adjective
triste,adjective
bifocal,adjective
sexy,adjective
