source,POS
occupational,adjective
person from Lugo,noun
Beirut,properNoun
scare,noun
Latin,noun
next February,adverb
factory,noun
trap,verb
treasure,verb
fellow,adjective
methodical,adjective
ocular,adjective
biosphere,noun
bay,noun
Charleston,properNoun
flirt,verb
presidency,noun
move out,verb
practical,adjective
radioactivity,noun
badger,noun
another,pronoun
life-threatening,adjective
reliance,noun
Navaza,properNoun
buying,adjective
oxygen,noun
surge ahead of,verb
schooling,noun
unblock,verb
Deportivo de La Coruña,properNoun
pull,verb
suffice,verb
total,adverb
statesman,noun
worry,verb
Malaysian,adjective
Grammys,properNoun
set out,verb
imperial,adjective
render Galician,verb
problematic,adjective
outcry,noun
emphasise,verb
burn,verb
positive,adjective
hypothetical,adjective
Oreja,properNoun
necessary,adjective
program,noun
lately,adverb
earn,verb
educational,adjective
ill,adjective
videoconference,noun
casket,noun
venerable,adjective
graduate,verb
die off,verb
even,adjective
natality,noun
eighteen hundred,numeral
blunt,adjective
cathedral,noun
Romania,properNoun
get married,verb
hilly,adjective
devastate,verb
winkle,noun
designate,verb
fishing,noun
be specialised,verb
firm,adjective
depreciate,verb
Elviña,properNoun
enlightenment,noun
alter,verb
wake up,verb
conduct,noun
flattering,adjective
contact,verb
ark,noun
conflicting,adjective
organize,verb
denominator,noun
Trás-os-Montes e Alto Douro,properNoun
start,noun
spider crab,noun
hailstorm,noun
be obstructive,verb
tiny,adjective
slaughtering,noun
nudism,noun
aroma,noun
heave,verb
Pillado,properNoun
flat,adjective
knife,noun
medallist,noun
supply,noun
Cuban,adjective
dash about,verb
attempt,verb
rarity,noun
attribute,verb
agitate,verb
snake,noun
juvenile,noun
state,verb
shut,verb
overwhelm,verb
boat,noun
immediateness,noun
director,noun
northbound,adjective
platinum,noun
finally,adverb
suffocate,verb
our,pronoun
our,possessivePronoun
our,determiner
rookie,adjective
person from Pontevedra,noun
brief,verb
die down,verb
medicine,noun
fearful,adjective
consistent,adjective
speciality,noun
appeal,noun
advance,verb
tubercle,noun
genetically modified food,noun
manual,adjective
brass,noun
constituent,noun
lesson,noun
candy,noun
incapacitate,verb
stab,noun
integrate,verb
reservation,noun
starvation,noun
squatting,adverb
unadulterated,adjective
O Rosal,properNoun
slam,noun
Sigmund,properNoun
thin,adjective
defy,verb
consign,verb
bomb,noun
huntsman,noun
checkpoint,noun
controversy,noun
willingness,noun
odontology,noun
deduce,verb
patriarch,noun
Ephesus,properNoun
severe,adjective
dreaded,adjective
close to,adverb
competitivity,noun
left-handed,adjective
mythical,adjective
at every turn,adverb
bid,noun
linguist,noun
caffeine,noun
very much,adverb
insert,verb
loudmouthed,adjective
prosecution,noun
tax,noun
abuse,noun
silly,adjective
Pacific,properNoun
biologist,noun
homophobic,adjective
abduct,verb
exchange,verb
African,adjective
purely,adverb
minor,noun
right,adjective
publisher,noun
pole,noun
scandalize,verb
G20,noun
motorise,verb
a,determiner
chimaera,noun
Boeotia,properNoun
slanted,adjective
uneconomic,adjective
deal,noun
Holy Seat,properNoun
repulsive,adjective
Comoros,properNoun
spermatozoid,noun
endure,verb
plead,verb
sandpaper,noun
procurement,noun
Clement I,properNoun
warning,noun
after,preposition
farewell,noun
flower,verb
boot,noun
Galician-Portuguese,adjective
flat,noun
awe-inspiring,adjective
elegant,adjective
heavy-duty,adjective
shudder,verb
Southampton,properNoun
castle,noun
anticipate,verb
rabies,noun
effectively,adverb
onion,noun
cripple,noun
sending,noun
bachelor,noun
normally,adverb
restructuring,noun
renew,verb
curly,adjective
esteem,noun
result,noun
treacherous,adjective
Olympic,noun
confirm,verb
lift,noun
research,verb
displace,verb
disadvantaged,adjective
range,verb
fuzzy,adjective
shoulder,noun
properly,adverb
overtake,verb
benchmark,noun
Menorca,properNoun
Soviet,adjective
parade,verb
cloudburst,noun
conspire,verb
show up,verb
Wednesday,noun
little,adjective
cold,noun
concern,noun
precise,adjective
geopolitical,adjective
since,preposition
geriatric,adjective
motive,noun
fire,noun
Yorkshire Ouse,properNoun
homosexuality,noun
syrup,noun
environmentalist,adjective
cleansing,adjective
lightning,noun
Shiite,noun
chin,noun
canoeist,noun
glitch,noun
pull off,verb
town councilor,noun
register,noun
coffee,noun
prefix,noun
copy,verb
internment,noun
jab,noun
honest,adjective
justifiably,adverb
Santiago de Compostela,properNoun
terrifying,adjective
giant,adjective
confiscate,verb
function,noun
accordingly,subordinatingConjunction
imitate,verb
spare,noun
famous,adjective
peak,noun
mother,noun
discontinuous,adjective
chronological,adjective
mutiny,noun
disabled,noun
descendent,noun
heat,noun
eternity,noun
retry,verb
bind,verb
erect,verb
takeover,noun
especially,adverb
Kyrgyz,adjective
water down,verb
surface,verb
spearhead,verb
butterfly,noun
Celanova,properNoun
coordinate,verb
myocardium,noun
how many,adjective
how many,adverb
how many,relativePronoun
how many,pronoun
how many,determiner
how many,interrogativePronoun
Bournemouth,properNoun
time,verb
itself,adverb
microprocessor,noun
insemination,noun
interview,verb
excessively,adverb
Fisk,properNoun
teaching,adjective
link,noun
good afternoon,interjection
Faroe Islands,properNoun
hassle,noun
pride,noun
tender,noun
prank,noun
toothpick,noun
Calvinist,noun
selfishness,noun
