source,POS
occupational,adjective
person from Lugo,noun
Beirut,properNoun
scare,noun
Latin,noun
next February,adverb
factory,noun
trap,verb
treasure,verb
fellow,adjective
methodical,adjective
biosphere,noun
bay,noun
Charleston,properNoun
flirt,verb
presidency,noun
move out,verb
practical,adjective
apparition,noun
speculation,noun
radioactivity,noun
badger,noun
another,pronoun
life-threatening,adjective
reliance,noun
Navaza,properNoun
buying,adjective
oxygen,noun
surge ahead of,verb
schooling,noun
unblock,verb
Deportivo de La Coruña,properNoun
pull,verb
suffice,verb
total,adverb
statesman,noun
worry,verb
Malaysian,adjective
Grammys,properNoun
interposition,noun
set out,verb
render Galician,verb
problematic,adjective
outcry,noun
emphasise,verb
burn,verb
positive,adjective
hypothetical,adjective
Oreja,properNoun
necessary,adjective
program,noun
lately,adverb
earn,verb
educational,adjective
restriction,noun
ill,adjective
avarice,noun
Lancelot du Lac,properNoun
videoconference,noun
casket,noun
venerable,adjective
graduate,verb
die off,verb
even,adjective
natality,noun
eighteen hundred,numeral
blunt,adjective
cathedral,noun
Romania,properNoun
get married,verb
hilly,adjective
devastate,verb
winkle,noun
designate,verb
indisposition,noun
palpable,adjective
fishing,noun
be specialised,verb
firm,adjective
depreciate,verb
Elviña,properNoun
enlightenment,noun
course,noun
alter,verb
wake up,verb
conduct,noun
flattering,adjective
contact,verb
ark,noun
conflicting,adjective
organize,verb
denominator,noun
start,noun
spider crab,noun
hailstorm,noun
be obstructive,verb
tiny,adjective
slaughtering,noun
nudism,noun
heave,verb
Pillado,properNoun
flat,adjective
knife,noun
medallist,noun
supply,noun
Cuban,adjective
dash about,verb
New Jersey,properNoun
attempt,verb
rarity,noun
attribute,verb
agitate,verb
snake,noun
juvenile,noun
state,verb
shut,verb
Jong,properNoun
overwhelm,verb
boat,noun
immediateness,noun
northbound,adjective
platinum,noun
finally,adverb
abstention,noun
suffocate,verb
our,pronoun
our,possessivePronoun
our,determiner
rookie,adjective
extirpation,noun
person from Pontevedra,noun
brief,verb
die down,verb
medicine,noun
fearful,adjective
consistent,adjective
speciality,noun
appeal,noun
advance,verb
generation,noun
tubercle,noun
genetically modified food,noun
brass,noun
constituent,noun
lesson,noun
candy,noun
permanent,adjective
incapacitate,verb
stab,noun
marine,noun
integrate,verb
reservation,noun
starvation,noun
squatting,adverb
unadulterated,adjective
O Rosal,properNoun
obstacle,noun
slam,noun
Sigmund,properNoun
thin,adjective
defy,verb
consign,verb
bomb,noun
huntsman,noun
checkpoint,noun
controversy,noun
willingness,noun
odontology,noun
deduce,verb
choral,adjective
patriarch,noun
Ephesus,properNoun
severe,adjective
dreaded,adjective
respectable,adjective
Rexina,properNoun
close to,adverb
competitivity,noun
left-handed,adjective
mythical,adjective
at every turn,adverb
bid,noun
linguist,noun
caffeine,noun
very much,adverb
insert,verb
loudmouthed,adjective
imputable,adjective
prosecution,noun
tax,noun
convent,noun
abuse,noun
silly,adjective
Pacific,properNoun
conviction,noun
biologist,noun
homophobic,adjective
abduct,verb
liaison,noun
exchange,verb
African,adjective
purely,adverb
minor,noun
right,adjective
publisher,noun
pole,noun
scandalize,verb
G20,noun
motorise,verb
masturbation,noun
a,determiner
chimaera,noun
yen,noun
Boeotia,properNoun
slanted,adjective
uneconomic,adjective
deal,noun
Holy Seat,properNoun
DJ,noun
repulsive,adjective
Comoros,properNoun
spermatozoid,noun
endure,verb
plead,verb
sandpaper,noun
procurement,noun
Clement I,properNoun
warning,noun
after,preposition
farewell,noun
flower,verb
boot,noun
Galician-Portuguese,adjective
flat,noun
awe-inspiring,adjective
elegant,adjective
corner,noun
heavy-duty,adjective
shudder,verb
Southampton,properNoun
castle,noun
slave,noun
anticipate,verb
rabies,noun
effectively,adverb
onion,noun
cripple,noun
sending,noun
bachelor,noun
normally,adverb
restructuring,noun
renew,verb
curly,adjective
esteem,noun
result,noun
treacherous,adjective
Olympic,noun
confirm,verb
lift,noun
research,verb
displace,verb
disadvantaged,adjective
range,verb
fuzzy,adjective
shoulder,noun
properly,adverb
overtake,verb
inadmissible,adjective
benchmark,noun
Menorca,properNoun
Soviet,adjective
parade,verb
cloudburst,noun
conspire,verb
show up,verb
Wednesday,noun
little,adjective
cold,noun
concern,noun
Sergi,properNoun
precise,adjective
geopolitical,adjective
since,preposition
lactation,noun
geriatric,adjective
motive,noun
fire,noun
Yorkshire Ouse,properNoun
homosexuality,noun
syrup,noun
baby-sitter,noun
environmentalist,adjective
cleansing,adjective
match,noun
lightning,noun
Shiite,noun
chin,noun
canoeist,noun
charlatan,noun
triangulation,noun
glitch,noun
pull off,verb
town councilor,noun
register,noun
coffee,noun
prefix,noun
copy,verb
internment,noun
jab,noun
gland,noun
honest,adjective
justifiably,adverb
terrifying,adjective
giant,adjective
confiscate,verb
function,noun
accordingly,subordinatingConjunction
imitate,verb
Alsa,properNoun
spare,noun
famous,adjective
peak,noun
Rob,properNoun
mother,noun
discontinuous,adjective
occurrence,noun
chronological,adjective
mutiny,noun
disabled,noun
descendent,noun
heat,noun
eternity,noun
retry,verb
bind,verb
erect,verb
takeover,noun
especially,adverb
Kyrgyz,adjective
water down,verb
surface,verb
spearhead,verb
