source,POS
éplucher,verb
cependant,adverb
von Kármán,properNoun
pleurite,noun
Filon,properNoun
gangstérisme,noun
Tagliasacchi,properNoun
grouillement,noun
désaccord,noun
vivre,verb
extrêmement,adverb
donner,verb
cachalot,noun
isocèle,adjective
autoritairement,adverb
aphasie,noun
XXVIIème,adjective
Amonarriz,properNoun
atteint,verb
inverseur,noun
utopisme,noun
ACB,noun
demi-finaliste,noun
gratte-ciel,noun
Calil,properNoun
Mir,properNoun
négligence,noun
CSA,noun
musculaire,adjective
règlement,noun
Noferi,properNoun
chef de famille,noun
dysgraphique,adjective
cotiser,verb
Micheloni,properNoun
déduire,verb
vicier,verb
tête de lit,noun
sarde,noun
rénover,verb
influencer,verb
habillement,noun
réduplicatif,adjective
remodelage,noun
Raia,properNoun
enquête,noun
Fadda,properNoun
avec tous les détails,adverb
théisme,noun
aboucher,verb
Siles,properNoun
normaliser,verb
silure,noun
acromégalie,noun
surréaliste,adjective
Reza,properNoun
Palau-saverdera,properNoun
Tymoshenko,properNoun
symphoniste,noun
Marenco,properNoun
dialectologie,noun
antenne,noun
caddie,noun
Franconi,properNoun
inférer,verb
faunistique,adjective
savoureux,adjective
styptique,adjective
pioche,noun
pilosité,noun
Pezzella,properNoun
short,noun
simpliste,adjective
exonérer,verb
despotique,adjective
réaffirmation,noun
Gange,properNoun
Prusse-Orientale,properNoun
souillé,adjective
rétinopathie,noun
graduer,verb
autojustification,noun
Setcases,properNoun
régulièrement,adverb
architecturer,verb
curation,noun
centraliser,verb
Oudmourtie,properNoun
recrutement,noun
permis,noun
raccourci,noun
indubitable,adjective
ductilité,noun
Arenys de Munt,properNoun
dégoûter,verb
à votre aise,adjective
Bucovine,properNoun
antineutrino,noun
fenêtre,noun
siège,noun
Massoteres,properNoun
transporteur,noun
versant,noun
perditance,noun
Bertinelli,properNoun
recouvrement,noun
coupable,adjective
Saint-Vincent-et-les-Grenadines,properNoun
Athènes,properNoun
moralisation,noun
épingler,verb
coïncider,verb
Goti,properNoun
pangermanique,adjective
funeste,adjective
ventilatoire,adjective
communautariste,adjective
Transylvanie,properNoun
tâche,noun
partiel,adjective
algonquin,adjective
à point,adverb
étalage,noun
assorti,adjective
Palop,properNoun
épicycle,noun
controversé,adjective
imide,noun
caoutchouc,noun
castrer,verb
chevaleresque,adjective
reportage,noun
Lafont,properNoun
intermitent,adjective
Ratisbonne,properNoun
unitif,adjective
déroulement,noun
loyaliste,adjective
savant,adjective
faire la gueule,verb
implacable,adjective
Jardim,properNoun
Ruste,properNoun
Ragueneaux,properNoun
classificateur,noun
Assunção,properNoun
vélociste,noun
Enguix,properNoun
océanique,adjective
cylindrique,adjective
Pearl Harbor,properNoun
étonner,verb
fisc,noun
prescient,adjective
Marziano,properNoun
bacilliforme,adjective
Espí,properNoun
farfadet,noun
avocat,noun
intercepter,verb
Montahud,properNoun
Escipió,properNoun
virer,verb
meuble,adjective
inflammabilité,noun
impassible,adjective
médailler,verb
payer des impôts,verb
Mazzarrino,properNoun
développeur,noun
phare,noun
mictionnel,adjective
glucocorticoïde,noun
Prudència,properNoun
Theodor,properNoun
Galuppo,properNoun
repousser,verb
cour des comptes,noun
Ene,properNoun
décret royal,noun
rassemblement,noun
Puglia,properNoun
Senesi,properNoun
Dodsworth,properNoun
Maçanet de Cabrenys,properNoun
Lattanzi,properNoun
gangréner,verb
quatrième,adjective
Chili,properNoun
rom,adjective
structurel,adjective
burgonde,noun
Blázquez,properNoun
acidifiant,adjective
exergie,noun
arrosage,noun
Ronaldinho,properNoun
articuler,verb
chamanique,adjective
