source,POS
éplucher,verb
cependant,adverb
pleurite,noun
gangstérisme,noun
spectre,noun
grouillement,noun
désaccord,noun
vivre,verb
extrêmement,adverb
donner,verb
cachalot,noun
isocèle,adjective
autoritairement,adverb
Giovannina,properNoun
Eddy,properNoun
aphasie,noun
XXVIIème,adjective
atteint,verb
inverseur,noun
utopisme,noun
ACB,noun
demi-finaliste,noun
gratte-ciel,noun
New Nintendo 3DS XL,properNoun
négligence,noun
perspective,noun
CSA,noun
musculaire,adjective
bracelet,noun
règlement,noun
chef de famille,noun
dysgraphique,adjective
cotiser,verb
expert,noun
déduire,verb
vicier,verb
tête de lit,noun
sarde,noun
essence,noun
rénover,verb
influencer,verb
habillement,noun
réduplicatif,adjective
remodelage,noun
enquête,noun
avec tous les détails,adverb
théisme,noun
aboucher,verb
normaliser,verb
silure,noun
acromégalie,noun
surréaliste,adjective
invagination,noun
Reza,properNoun
Tymoshenko,properNoun
symphoniste,noun
fasciculation,noun
dialectologie,noun
antenne,noun
caddie,noun
inférer,verb
faunistique,adjective
savoureux,adjective
styptique,adjective
pioche,noun
pilosité,noun
ascension,noun
short,noun
simpliste,adjective
bourgeois,noun
exonérer,verb
despotique,adjective
réaffirmation,noun
Gange,properNoun
Prusse-Orientale,properNoun
souillé,adjective
rétinopathie,noun
graduer,verb
autojustification,noun
régulièrement,adverb
architecturer,verb
curation,noun
centraliser,verb
Oudmourtie,properNoun
recrutement,noun
permis,noun
insatiable,adjective
hippie,noun
raccourci,noun
Charo,properNoun
indubitable,adjective
ductilité,noun
dégoûter,verb
castration,noun
à votre aise,adjective
Bucovine,properNoun
fenêtre,noun
siège,noun
Airbus,properNoun
transporteur,noun
versant,noun
perditance,noun
recouvrement,noun
coupable,adjective
Saint-Vincent-et-les-Grenadines,properNoun
Athènes,properNoun
moralisation,noun
épingler,verb
coïncider,verb
pangermanique,adjective
funeste,adjective
ventilatoire,adjective
communautariste,adjective
Transylvanie,properNoun
tâche,noun
partiel,adjective
algonquin,adjective
Icahel,properNoun
à point,adverb
étalage,noun
assorti,adjective
épicycle,noun
controversé,adjective
participation,noun
imide,noun
caoutchouc,noun
castrer,verb
Leylén,properNoun
chevaleresque,adjective
reportage,noun
intermitent,adjective
Ratisbonne,properNoun
unitif,adjective
déroulement,noun
loyaliste,adjective
savant,adjective
Bertha,properNoun
faire la gueule,verb
implacable,adjective
Yamilem,properNoun
classificateur,noun
Sahnti,properNoun
vélociste,noun
triton,noun
océanique,adjective
cylindrique,adjective
Pearl Harbor,properNoun
étonner,verb
fisc,noun
prescient,adjective
bacilliforme,adjective
farfadet,noun
avocat,noun
rouble,noun
intercepter,verb
virer,verb
meuble,adjective
inflammabilité,noun
impassible,adjective
médailler,verb
payer des impôts,verb
développeur,noun
Aragon,properNoun
phare,noun
mictionnel,adjective
Ariadna,properNoun
glucocorticoïde,noun
Prudència,properNoun
Theodor,properNoun
repousser,verb
cour des comptes,noun
graffiti,noun
décret royal,noun
rassemblement,noun
littoral,adjective
gangréner,verb
quatrième,adjective
Chili,properNoun
rom,adjective
structurel,adjective
burgonde,noun
Jovina,properNoun
acidifiant,adjective
exergie,noun
plantigrade,noun
arrosage,noun
articuler,verb
chamanique,adjective
Hanae,properNoun
Querubina,properNoun
acéteux,adjective
retard,noun
mâle,noun
arborescent,adjective
essayer,verb
programmeur,noun
paléoanthropologie,noun
Nicaragua,properNoun
sous-bois,noun
vivier,noun
rate,noun
coopérer,verb
ouzbek,adjective
stéreo,adjective
jouer,verb
parallélépipède,noun
padan,adjective
canoë,noun
photogénique,adjective
