source,POS
ilegitimamente,adverb
o qual,relativePronoun
o qual,pronoun
ctônico,adjective
Borea,properNoun
rubefacção,noun
prata,noun
dissimulável,adjective
dispositivo,adjective
Granyena de Segarra,properNoun
Zaragocí,properNoun
Bornemisza,properNoun
inconvertível,adjective
fundamentar,verb
átrio,noun
correlativo,adjective
retweet,noun
insofrível,adjective
alvorada,noun
vara de condão,noun
tecnólogo,noun
snobismo,noun
reciprocamente,adverb
Seller,properNoun
inconstitucional,adjective
recapitalização,noun
custo,noun
sintáctico,adjective
Backer,properNoun
Jarafuel,properNoun
nada,adverb
Melgarejo,properNoun
barroco,noun
autodestruição,noun
estupendamente,adverb
Rui,properNoun
Icaria,properNoun
tomar o café da manhã,verb
veterano,adjective
divisionário,adjective
defeito,noun
levantamento,noun
explosivo,noun
figurativo,adjective
ostentação,noun
fôlego,noun
Bardeen,properNoun
d,noun
Frassinetti,properNoun
Holanda,properNoun
espiralmente,adverb
injustiça,noun
Áureo,properNoun
concentracionário,adjective
Maior,properNoun
areolado,adjective
Mandelbrot,properNoun
perversão,noun
amplo,adjective
Siracusa,properNoun
Berengário,properNoun
Balauru,properNoun
insonorização,noun
sistematicamente,adverb
mitológico,adjective
Capodicasa,properNoun
Karamanou,properNoun
recta,noun
Vernetti,properNoun
conceptualista,adjective
inconsciente,adjective
Etxezarreta,properNoun
Argentin,properNoun
Musante,properNoun
supersticioso,adjective
bibliograficamente,adverb
marisco,noun
decorativamente,adverb
Osterberger,properNoun
Pennoni,properNoun
refrigeração,noun
muito,adverb
inapelavelmente,adverb
Santa Coloma de Queralt,properNoun
embriagador,adjective
castelhanização,noun
Corcuera,properNoun
sacristão,noun
Chirilov,properNoun
eh,interjection
Silaghi,properNoun
a cabo de,preposition
rarefactivo,adjective
somatório,noun
desaparelhado,adjective
mitificação,noun
Desaix,properNoun
sobreiral,noun
projectante,adjective
paraguaio,noun
Fattorini,properNoun
iniciativa,noun
época,noun
constituir,verb
racionalista,noun
inutilidade,noun
Occhipinti,properNoun
Donadi,properNoun
iônico,adjective
marcescível,adjective
arbitrariedade,noun
salineiro,adjective
abolicionismo,noun
ante,preposition
esteárico,adjective
expetorante,adjective
Waldenor,properNoun
aforístico,adjective
melão,noun
vasco,noun
machista,noun
Vilagrassa,properNoun
consola,noun
vingança,noun
malcriado,adjective
secundariamente,adverb
a varejo,adverb
La Mattina,properNoun
tripolitano,adjective
Iruin,properNoun
calar,verb
desorientado,adjective
Bogdan,properNoun
gasolina,noun
partido,noun
catorze,numeral
clareza,noun
vermelho,adjective
investigador,noun
ecossistema,noun
Reventós,properNoun
santuário,noun
de rua,adjective
Flórida,properNoun
Sant Esteve de la Sarga,properNoun
superdotado,adjective
Bisagno,properNoun
Rotaru,properNoun
Cocciu,properNoun
frondoso,adjective
Gener,properNoun
Abasolo,properNoun
expansibilidade,noun
cério,noun
diminuto,adjective
ânsia,noun
Rogério,properNoun
Castellaneta,properNoun
les Franqueses del Vallès,properNoun
octogenário,adjective
cosmográfico,adjective
von Kleist,properNoun
recriminação,noun
nitrogênio,noun
Macaluso,properNoun
reconciliador,adjective
Abi-Ackel,properNoun
cosmólogo,noun
volta,noun
troca,noun
Digard,properNoun
leucocitário,adjective
de perto,adverb
insolubilidade,noun
inofensivamente,adverb
consciente,noun
Gotti,properNoun
Velho,properNoun
pirâmide,noun
gonocórico,adjective
horrífico,adjective
Martorelli,properNoun
Sant Boi de Lluçanès,properNoun
recensão,noun
Dolz,properNoun
conversável,adjective
desempenhar,verb
encolher,verb
ideologia,noun
solicitador,adjective
antroposófico,adjective
envolver,verb
desintegrador,adjective
lapidoso,adjective
rigorosidade,noun
Gervásio,properNoun
Fuentes de Ayódar,properNoun
personagem,noun
incurável,adjective
Mallol,properNoun
legislador,noun
estatuto,noun
cláusula,noun
neolítico,adjective
Svetlana,properNoun
Bálcãs,properNoun
visigótico,adjective
duplicação,noun
fobia,noun
figurável,adjective
Kristeva,properNoun
loubar,verb
gnomónico,adjective
Lladurs,properNoun
sempre,adverb
imaterial,adjective
Fiorelli,properNoun
compulsivo,adjective
matador,adjective
Olocau del Rey,properNoun
hacker,noun
Waneta,properNoun
eucariota,noun
microbiólogo,noun
parasitologista,noun
Piermartini,properNoun
atribuir,verb
Costiniu,properNoun
Trastámaras,properNoun
Juvé,properNoun
Flames,properNoun
Feo,properNoun
quarto,noun
fato,noun
canalizador,noun
biólogo,noun
baixa,noun
olfação,noun
recém,adverb
escudeiro,noun
anabático,adjective
indonésio,noun
Godoy,properNoun
subcomissão,noun
Gallinella,properNoun
Peninha,properNoun
permutabilidade,noun
incrementar,verb
Castell-Platja d'Aro,properNoun
Martinazzoli,properNoun
Scanio,properNoun
foz,noun
muscularmente,adverb
Bargues,properNoun
renúncia,noun
adultério,noun
descongestivo,adjective
amigdalectomia,noun
cordado,adjective
Ganau,properNoun
intercalação,noun
conserto,noun
Ribaudo,properNoun
asserção,noun
Palmero,properNoun
doente,adjective
demográfico,adjective
Salomão,properNoun
elipse,noun
logar,verb
lentidão,noun
Mantica,properNoun
gravanço,noun
ejaculador,adjective
droga,noun
Lavarra,properNoun
fotolitografia,noun
karaté,noun
motivação,noun
fisiográfico,adjective
meteorográfico,adjective
clima,noun
fabricar,verb
fiabilidade,noun
Bisceglie,properNoun
Silli,properNoun
caracterizar,verb
estrangeiro,noun
reabilitar,verb
ástato,noun
Argüeso,properNoun
persuasão,noun
recomendação,noun
ureteral,adjective
algoritmo,noun
reificação,noun
saída,noun
