source,POS
ilegitimamente,adverb
o qual,relativePronoun
o qual,pronoun
ctônico,adjective
rubefacção,noun
prata,noun
dissimulável,adjective
dispositivo,adjective
inconvertível,adjective
fundamentar,verb
átrio,noun
correlativo,adjective
insofrível,adjective
alvorada,noun
vara de condão,noun
tecnólogo,noun
snobismo,noun
reciprocamente,adverb
inconstitucional,adjective
recapitalização,noun
custo,noun
sintáctico,adjective
nada,adverb
barroco,noun
autodestruição,noun
estupendamente,adverb
Rui,properNoun
Icaria,properNoun
tomar o café da manhã,verb
veterano,adjective
divisionário,adjective
defeito,noun
levantamento,noun
explosivo,noun
figurativo,adjective
ostentação,noun
fôlego,noun
Holanda,properNoun
espiralmente,adverb
injustiça,noun
concentracionário,adjective
areolado,adjective
perversão,noun
amplo,adjective
Berengário,properNoun
insonorização,noun
sistematicamente,adverb
mitológico,adjective
recta,noun
conceptualista,adjective
inconsciente,adjective
supersticioso,adjective
bibliograficamente,adverb
marisco,noun
decorativamente,adverb
refrigeração,noun
muito,adverb
inapelavelmente,adverb
embriagador,adjective
castelhanização,noun
sacristão,noun
a cabo de,preposition
rarefactivo,adjective
somatório,noun
desaparelhado,adjective
mitificação,noun
sobreiral,noun
projectante,adjective
paraguaio,noun
iniciativa,noun
época,noun
constituir,verb
racionalista,noun
inutilidade,noun
iônico,adjective
marcescível,adjective
arbitrariedade,noun
salineiro,adjective
abolicionismo,noun
ante,preposition
esteárico,adjective
expetorante,adjective
Waldenor,properNoun
aforístico,adjective
melão,noun
vasco,noun
machista,noun
modular,adjective
consola,noun
vingança,noun
malcriado,adjective
secundariamente,adverb
a varejo,adverb
tripolitano,adjective
calar,verb
desorientado,adjective
gasolina,noun
partido,noun
Vivaldo,properNoun
catorze,numeral
clareza,noun
vermelho,adjective
investigador,noun
ecossistema,noun
santuário,noun
de rua,adjective
Flórida,properNoun
superdotado,adjective
frondoso,adjective
expansibilidade,noun
cério,noun
diminuto,adjective
ânsia,noun
Rogério,properNoun
octogenário,adjective
cosmográfico,adjective
recriminação,noun
nitrogênio,noun
reconciliador,adjective
cosmólogo,noun
volta,noun
troca,noun
leucocitário,adjective
de perto,adverb
insolubilidade,noun
inofensivamente,adverb
consciente,noun
pirâmide,noun
gonocórico,adjective
horrífico,adjective
recensão,noun
conversável,adjective
desempenhar,verb
encolher,verb
ideologia,noun
solicitador,adjective
antroposófico,adjective
envolver,verb
desintegrador,adjective
lapidoso,adjective
rigorosidade,noun
Gervásio,properNoun
personagem,noun
incurável,adjective
legislador,noun
estatuto,noun
cláusula,noun
neolítico,adjective
Bálcãs,properNoun
visigótico,adjective
duplicação,noun
fobia,noun
figurável,adjective
loubar,verb
gnomónico,adjective
sempre,adverb
imaterial,adjective
compulsivo,adjective
matador,adjective
Waneta,properNoun
eucariota,noun
microbiólogo,noun
parasitologista,noun
atribuir,verb
Trastámaras,properNoun
quarto,noun
fato,noun
canalizador,noun
biólogo,noun
baixa,noun
olfação,noun
extracurricular,adjective
recém,adverb
escudeiro,noun
anabático,adjective
indonésio,noun
subcomissão,noun
permutabilidade,noun
incrementar,verb
foz,noun
muscularmente,adverb
renúncia,noun
adultério,noun
descongestivo,adjective
amigdalectomia,noun
cordado,adjective
intercalação,noun
conserto,noun
asserção,noun
doente,adjective
demográfico,adjective
elipse,noun
logar,verb
lentidão,noun
gravanço,noun
ejaculador,adjective
droga,noun
fotolitografia,noun
motivação,noun
fisiográfico,adjective
meteorográfico,adjective
clima,noun
fabricar,verb
fiabilidade,noun
caracterizar,verb
estrangeiro,noun
reabilitar,verb
ástato,noun
persuasão,noun
recomendação,noun
ureteral,adjective
algoritmo,noun
reificação,noun
saída,noun
assibilação,noun
bem como,subordinatingConjunction
engenharia,noun
laudatório,adjective
operacionalmente,adverb
componente,noun
deficit,noun
liberalizador,adjective
desemparelhado,adjective
mnemônico,adjective
Abril,noun
comentar,verb
Bergüzar,properNoun
consulado,noun
maiúsculo,adjective
replicar,verb
epistemológico,adjective
sueco,adjective
exculpação,noun
improcedente,adjective
Etiópia,properNoun
ilírio,adjective
inexcitável,adjective
filarmónico,adjective
recobrável,adjective
russofobia,noun
identificar,verb
recuperador,adjective
beijo,noun
descontente,adjective
equatorial,adjective
empatar,verb
pronunciável,adjective
dragão,noun
tirador,adjective
tessálico,adjective
licenciado,noun
datador,noun
Hannie,properNoun
publicidade,noun
formiga,noun
oração,noun
carbonizar,verb
alucinação,noun
veterano,noun
aspiração,noun
anemometria,noun
ferroviariamente,adverb
medievalidade,noun
sultanado,noun
tradicionalista,noun
diariamente,adverb
altura,noun
afundar,verb
disparar,verb
arrancar,verb
eletrificado,adjective
organização,noun
pernicioso,adjective
canalha,adjective
noroeste,noun
mínimo,adjective
arquitetônico,adjective
festivamente,adverb
Cristóvão,properNoun
esteticamente,adverb
ardentoso,adjective
derrota,noun
binariamente,adverb
nosso,adjective
nosso,possessivePronoun
silenciador,noun
transnacional,adjective
ultimar,verb
tênis,noun
pneumonia,noun
amnistiar,verb
atriz,noun
ao todo,adverb
circassiano,noun
Mediterrâneo,properNoun
proibição,noun
representador,adjective
salazarista,adjective
carvão,noun
conflito,noun
demagogicamente,adverb
retardado,adjective
categorizar,verb
macroeconômico,adjective
sevícia,noun
inofensivo,adjective
totalitário,adjective
videoclipe,noun
chover,verb
parisiense,adjective
generalizável,adjective
contrastação,noun
epagógico,adjective
erigir,verb
platônico,adjective
planamente,adverb
rancoroso,adjective
Homero,properNoun
desratização,noun
quase,adverb
numeral,adjective
Alceu,properNoun
