source,POS
occupational,adjective
windy,adjective
healthful,adjective
sought-after,adjective
adolescent,adjective
orderly,adjective
atheistic,adjective
blasphemous,adjective
federative,adjective
militant,adjective
civilizing,adjective
shameless,adjective
self-styled,adjective
bronchial,adjective
inspiring,adjective
electrochemical,adjective
trojan,adjective
compact,adjective
relativist,adjective
square,adjective
telegraphic,adjective
carboxylic,adjective
disguised,adjective
offshore,adjective
sacrilegist,adjective
scenographical,adjective
intimidating,adjective
marxist,adjective
adjectival,adjective
changeable,adjective
articular,adjective
multifunctional,adjective
university,adjective
acrobatic,adjective
accountable,adjective
subsidized,adjective
archaic,adjective
runaway,adjective
acetic,adjective
cyrillic,adjective
malay,adjective
unhesitant,adjective
slightly overcast,adjective
Sunni,adjective
contributory,adjective
Koranic,adjective
irreverent,adjective
sensory,adjective
fathomless,adjective
officious,adjective
geographical,adjective
corresponding,adjective
accentuated,adjective
perineal,adjective
pickled,adjective
sponsoring,adjective
Teutonic,adjective
hermitian,adjective
ageless,adjective
bigamous,adjective
Orthodox,adjective
purple,adjective
useful,adjective
poikilothermic,adjective
thoughtless,adjective
full right up,adjective
planned,adjective
watertight,adjective
custom-made,adjective
hypnotic,adjective
flemish,adjective
egocentric,adjective
teaser,adjective
undisciplined,adjective
haploid,adjective
inaccessible,adjective
zoophilous,adjective
aground,adjective
reminiscent,adjective
middle-aged,adjective
cavalier,adjective
vertiginous,adjective
amorous,adjective
rail,adjective
polytheistic,adjective
fenced,adjective
drowned,adjective
aragonese,adjective
palatine,adjective
aries,adjective
stressful,adjective
unsuited,adjective
akin,adjective
flared,adjective
venetian,adjective
mongolian,adjective
dilated,adjective
ice-cold,adjective
feminine,adjective
anticlinal,adjective
equinoctial,adjective
shamanistic,adjective
puritan,adjective
apathetic,adjective
czechoslovak,adjective
tonal,adjective
condensed,adjective
prosaic,adjective
recreational,adjective
incommunicable,adjective
opposite,adjective
tolerable,adjective
stormy,adjective
multidimensional,adjective
summable,adjective
discussed,adjective
expert,adjective
hotheaded,adjective
livestock-farming,adjective
innocuous,adjective
shapeless,adjective
sculptural,adjective
incalculable,adjective
nymphomaniac,adjective
piriform,adjective
epileptic,adjective
morganatic,adjective
ravenous,adjective
sleepless,adjective
hedonistic,adjective
euphemistic,adjective
unsearchable,adjective
ochre,adjective
vengeful,adjective
aspectual,adjective
solidary,adjective
candid,adjective
medicinal,adjective
movable,adjective
litigious,adjective
unpaved,adjective
breathable,adjective
face-to-face,adjective
caramelized,adjective
grilled,adjective
european,adjective
stereophonic,adjective
bicuspid,adjective
diatonic,adjective
Pontevedran,adjective
surviving,adjective
just finished,adjective
glassy,adjective
trembling,adjective
despicable,adjective
tortuous,adjective
sedentary,adjective
knock-kneed,adjective
intimidated,adjective
ductile,adjective
egregious,adjective
recently,adjective
dielectric,adjective
vernacular,adjective
biomolecular,adjective
inedible,adjective
manic,adjective
permeable,adjective
wayward,adjective
seductive,adjective
salivary,adjective
imprescriptible,adjective
bulletproof,adjective
renewable,adjective
dependent,adjective
insecticide,adjective
opposable,adjective
nonmaterial,adjective
questionable,adjective
expendable,adjective
argotic,adjective
quinary,adjective
supernatural,adjective
greasy,adjective
tragic,adjective
diversionary,adjective
Swedish,adjective
heliocentric,adjective
Somali,adjective
instantaneous,adjective
downhearted,adjective
colourful,adjective
erudite,adjective
traitorous,adjective
ontological,adjective
confusing,adjective
contiguous,adjective
sky-blue,adjective
transgenic,adjective
ventilated,adjective
symmetrical,adjective
favorable,adjective
displayable,adjective
salient,adjective
Jewish,adjective
lithuanian,adjective
transformational,adjective
nutritious,adjective
polyphase,adjective
in good shape,adjective
maladjusted,adjective
croatian,adjective
amitotic,adjective
patrilineal,adjective
assembly's,adjective
consultative,adjective
touched,adjective
ethnological,adjective
tasty,adjective
oviparous,adjective
renowned,adjective
sri lankan,adjective
semistate,adjective
bhutanese,adjective
incremental,adjective
chromic,adjective
filled to the brim,adjective
intercultural,adjective
conjunctival,adjective
deciduous,adjective
losing,adjective
male chauvinistic,adjective
intelligible,adjective
altruistic,adjective
endolymphatic,adjective
sad,adjective
alcaline,adjective
west,adjective
bidirectional,adjective
grievous,adjective
galvanic,adjective
tabular,adjective
carrier,adjective
substitutive,adjective
subcompartmentalized,adjective
pusillanimous,adjective
secessionist,adjective
plutocratic,adjective
moroccan,adjective
guttural,adjective
viticultural,adjective
oversea,adjective
proprietary,adjective
archimedean,adjective
amortizable,adjective
allowable,adjective
second-best,adjective
synergetic,adjective
comely,adjective
pentagonal,adjective
biped,adjective
calcicolous,adjective
uncharacteristic,adjective
Palestinian,adjective
nitrophilous,adjective
Icelandic,adjective
bright-eyed,adjective
nationalistic,adjective
scalene,adjective
enclitic,adjective
isoseismic,adjective
marketable,adjective
vectorial,adjective
from La Coruña,adjective
sexagesimal,adjective
alphanumeric,adjective
international,adjective
non-profit,adjective
orchestral,adjective
shiite,adjective
ultraviolet,adjective
referential,adjective
microbial,adjective
gifted,adjective
genetically modified,adjective
falling,adjective
confiscated,adjective
asian,adjective
terminological,adjective
Iranian,adjective
annular,adjective
unipotent,adjective
equivalent,adjective
cathartic,adjective
destined,adjective
antifederalist,adjective
columnar,adjective
thankless,adjective
astatic,adjective
ballistic,adjective
bold,adjective
pacifist,adjective
communicating,adjective
who suffers losing badly,adjective
under the weather,adjective
portuguese,adjective
constrained,adjective
amateur,adjective
covered in hair,adjective
adjoining,adjective
categorical,adjective
afghan,adjective
except,adjective
triclinic,adjective
outer,adjective
charred,adjective
uninterested,adjective
fatalistic,adjective
anti-francoist,adjective
appetizing,adjective
flammable,adjective
American,adjective
reflective,adjective
extremely courteous,adjective
unilineal,adjective
inflationary,adjective
admonitory,adjective
consular,adjective
describable,adjective
predatory,adjective
albanian,adjective
tectonic,adjective
follicular,adjective
kosovar,adjective
unnoticed,adjective
antimicrobic,adjective
longevous,adjective
reducible,adjective
Iberian,adjective
unrelated,adjective
conspiratorial,adjective
commercially oriented,adjective
recyclable,adjective
clear-cut,adjective
outside,adjective
flowery,adjective
isometric,adjective
semi-detached,adjective
crumbly,adjective
sleeve,adjective
upper-class,adjective
dead boring,adjective
embryonic,adjective
equilateral,adjective
diatomic,adjective
dialectic,adjective
diachronic,adjective
australian,adjective
unpopular,adjective
unmasked,adjective
Castroan,adjective
relational,adjective
saltwater,adjective
finnish,adjective
lewd,adjective
integrable,adjective
polynomial,adjective
neutrophile,adjective
lusophone,adjective
babylonian,adjective
humanist,adjective
pointy,adjective
unauthorised,adjective
malawian,adjective
antropoid,adjective
momentous,adjective
arab,adjective
oncoming,adjective
malaysian,adjective
polymorphic,adjective
all-powerful,adjective
asyndetic,adjective
ultimate,adjective
reptilian,adjective
japanese,adjective
regrettable,adjective
general,adjective
syntactic,adjective
soviet,adjective
revisionist,adjective
arctic,adjective
tense,adjective
installed,adjective
bolivian,adjective
green,adjective
actuarial,adjective
monaural,adjective
hypocoristic,adjective
intracellular,adjective
prudential,adjective
shocking,adjective
trapezoidal,adjective
ferric,adjective
ungrammatical,adjective
mandibular,adjective
peruvian,adjective
uruguayan,adjective
custom,adjective
inalienable,adjective
thoracic,adjective
embittered,adjective
institutional,adjective
motivational,adjective
diverse,adjective
persian,adjective
poisonous,adjective
isochronal,adjective
presentable,adjective
opportunist,adjective
car,adjective
teutonic,adjective
populous,adjective
tarnished,adjective
conjugable,adjective
hypersonic,adjective
zenithal,adjective
resentful,adjective
bristly,adjective
time,adjective
grey-haired,adjective
plumed,adjective
astounding,adjective
inheritable,adjective
relevant,adjective
eutrophic,adjective
tempting,adjective
greenish,adjective
sensitive to cold,adjective
self-taught,adjective
cordless,adjective
eager,adjective
numeral,adjective
catastrophic,adjective
rancid,adjective
combinatory,adjective
additional,adjective
calcifugal,adjective
extemporaneous,adjective
border,adjective
lame,adjective
guerrilla,adjective
inexorable,adjective
circulatory,adjective
avoidable,adjective
handicapped,adjective
hydrophobic,adjective
edaphic,adjective
cardiovascular,adjective
falangist,adjective
medieval,adjective
curling,adjective
folding,adjective
duolineal,adjective
penalizing,adjective
shaving,adjective
palatable,adjective
picaresque,adjective
anti-fraud,adjective
dewy-eyed,adjective
ferromagnetic,adjective
intangible,adjective
low-rise,adjective
napierian,adjective
confederal,adjective
timeless,adjective
armed,adjective
stocky,adjective
Spanish,adjective
climatological,adjective
demographical,adjective
legated,adjective
british,adjective
friable,adjective
isotopic,adjective
triatomic,adjective
supraspinous,adjective
hydrophilic,adjective
deceptive,adjective
not readily passable,adjective
gastronome,adjective
completely capable/competent,adjective
deceitful,adjective
uninjured,adjective
pathogenic,adjective
inarticulate,adjective
fractional,adjective
cockeyed,adjective
hairy,adjective
sacral,adjective
polygenic,adjective
federal,adjective
distributional,adjective
braided,adjective
indivisible,adjective
schematic,adjective
victorious,adjective
interpretable,adjective
fragmentary,adjective
abstruse,adjective
halophilic,adjective
axiomatic,adjective
inept,adjective
overjoyed,adjective
carbonaceous,adjective
exocentric,adjective
their,adjective
fleshy,adjective
‘has-been’,adjective
whole-grain,adjective
cheap,adjective
Nigerian,adjective
inapplicable,adjective
iranian,adjective
ardent,adjective
isoclinal,adjective
contractile,adjective
retractable,adjective
afraid,adjective
unguligrade,adjective
stooping,adjective
cuneiform,adjective
fervent,adjective
Inuit,adjective
intrepid,adjective
talkative,adjective
unforgettable,adjective
tired looking,adjective
winded,adjective
immense,adjective
textual,adjective
vicarious,adjective
hippy,adjective
spotless,adjective
corrector,adjective
surrounding,adjective
worsening,adjective
adiabatic,adjective
cumulative,adjective
god-given,adjective
euphoretic,adjective
guatemalan,adjective
dismountable,adjective
transverse,adjective
sphenoidal,adjective
worthy of respect,adjective
negative,adjective
jamaican,adjective
oscillating,adjective
expressible,adjective
sociable,adjective
soaring,adjective
fascinating,adjective
inconsequential,adjective
helpful,adjective
postwar,adjective
algerian,adjective
hypostyle,adjective
binomial,adjective
asexual,adjective
east,adjective
hospitable,adjective
multilayered,adjective
impressionist,adjective
combinable,adjective
isogonic,adjective
unchanged,adjective
big-hearted,adjective
cheesy,adjective
dissonant,adjective
brackish,adjective
non-EU,adjective
feudal,adjective
fragic,adjective
adulterous,adjective
sacramental,adjective
cuban,adjective
strenuous,adjective
palestinian,adjective
spliced,adjective
oceanic,adjective
dental,adjective
palatal,adjective
worthy,adjective
polymeric,adjective
steamy,adjective
without sense,adjective
axillary,adjective
unrealistic,adjective
Hamiltonian,adjective
epenthetic,adjective
barycentric,adjective
sweetish,adjective
large and imposing,adjective
leptokurtic,adjective
flawed,adjective
our,adjective
kneejerk,adjective
grinning,adjective
succinct,adjective
sporting,adjective
countless,adjective
prehistoric,adjective
intricate,adjective
barcelonan,adjective
omissible,adjective
tricolour,adjective
tractive,adjective
agreed,adjective
asphaltic,adjective
healthy,adjective
démodé,adjective
delighted,adjective
smart,adjective
controllable,adjective
gaseous,adjective
semiformal,adjective
usable,adjective
protohistoric,adjective
monadic,adjective
half-hearted,adjective
burned,adjective
directional,adjective
beside oneself,adjective
exact,adjective
unbalanced,adjective
vocational,adjective
unable to move,adjective
addressable,adjective
retail,adjective
reactive,adjective
official,adjective
venial,adjective
relativistic,adjective
incommutable,adjective
beardless,adjective
transmissive,adjective
collapsible,adjective
metachromatic,adjective
left behind,adjective
matutinal,adjective
scrupulous,adjective
taut,adjective
misty-eyed,adjective
fierce,adjective
prepositional,adjective
vitelline,adjective
disordered,adjective
dexter,adjective
blood,adjective
Finnish,adjective
cytological,adjective
reoffending,adjective
relaxing,adjective
domesticated,adjective
pagan,adjective
gracious,adjective
interinstitutional,adjective
minor,adjective
slavic,adjective
maxillary,adjective
rogatory,adjective
lovable,adjective
halomorphic,adjective
demoniac,adjective
fetid,adjective
bavarian,adjective
Germanic,adjective
melodramatic,adjective
equidirectional,adjective
loaded,adjective
tetrahedral,adjective
gluttonous,adjective
easily understandable,adjective
terribly,adjective
anglican,adjective
playful,adjective
choreographic,adjective
weather-bound,adjective
basal,adjective
multiple,adjective
ready to help,adjective
brand-new,adjective
selling,adjective
pledgable,adjective
multimedia,adjective
mentally retarded/handicapped,adjective
grown-up,adjective
defeated,adjective
buyer,adjective
hydrological,adjective
tertiary,adjective
major,adjective
technoenvironmental,adjective
structuralist,adjective
subsequent,adjective
univocal,adjective
aerobatic,adjective
anemophilous,adjective
reasonable,adjective
obscene,adjective
antidepressant,adjective
unsteadfast,adjective
tetartohedral,adjective
inconvenient,adjective
classic,adjective
vegan,adjective
definable,adjective
dimensional,adjective
metacentric,adjective
erotic,adjective
axonometric,adjective
clerical,adjective
living,adjective
favourite,adjective
consecutive,adjective
scornful,adjective
shrewd,adjective
theban,adjective
hydrographic,adjective
prolix,adjective
ethmoidal,adjective
frosty,adjective
unarmed,adjective
ambilineal,adjective
barefoot,adjective
Majorcan,adjective
chemical,adjective
shocked,adjective
stringent,adjective
rurban,adjective
glib,adjective
uptight,adjective
humiferous,adjective
cyclotomic,adjective
chauvinistic,adjective
reverend,adjective
Oscar-winning,adjective
polemic,adjective
celtic,adjective
anarchistic,adjective
unsuitable,adjective
pederastic,adjective
libidinous,adjective
insoluble,adjective
English-speaking,adjective
knee-jerk,adjective
foodless,adjective
alive,adjective
admissible,adjective
easily obtained,adjective
protective,adjective
fictitious,adjective
crooked,adjective
rhombohedral,adjective
paroxytone,adjective
shapely,adjective
falsifiable,adjective
morphological,adjective
transonic,adjective
nilpotent,adjective
monogamist,adjective
heterocyclic,adjective
dark-haired,adjective
jewish,adjective
extraterrestrial,adjective
neural,adjective
mongrel,adjective
agri-food,adjective
inexperienced,adjective
ugly,adjective
tricky,adjective
runic,adjective
reusable,adjective
brownish,adjective
entire,adjective
vehicular,adjective
sugar-free,adjective
affable,adjective
tourist,adjective
gloomy,adjective
inhibitory,adjective
kymographic,adjective
parliamentary,adjective
preeminent,adjective
oafish,adjective
photoelectric,adjective
freudian,adjective
superconductive,adjective
uninsurable,adjective
hegemonic,adjective
cartilaginous,adjective
very short,adjective
untouchable,adjective
phytophagous,adjective
humoral,adjective
metalinguistic,adjective
investigative,adjective
obstinate,adjective
unstarched,adjective
uncultured,adjective
suprarenal,adjective
liberian,adjective
cantonal,adjective
listless,adjective
inestimable,adjective
uppercase,adjective
inflammable,adjective
tetravalent,adjective
fibular,adjective
aforementioned,adjective
conversational,adjective
banking,adjective
byelorussian,adjective
self-imposed,adjective
militaristic,adjective
poverty-stricken,adjective
matrix,adjective
soapy,adjective
contrapositive,adjective
idempotent,adjective
Hungarian,adjective
tubular,adjective
fragiaquic,adjective
romance,adjective
northeastern,adjective
harrowing,adjective
trading,adjective
pictographic,adjective
exothermic,adjective
photosynthetic,adjective
photovoltaic,adjective
cheerful,adjective
fractured,adjective
from Hondarribia,adjective
emblazoned,adjective
my,adjective
voracious,adjective
unipolar,adjective
deadly poisonous,adjective
messenger,adjective
matt,adjective
offside,adjective
elemental,adjective
euroatlantic,adjective
badly adjusted,adjective
granadan,adjective
privileged,adjective
grumpy,adjective
proportional,adjective
grooved,adjective
rhapsodic,adjective
constant,adjective
placed,adjective
german,adjective
impugnable,adjective
episcopalian,adjective
gelatinous,adjective
qualitative,adjective
still,adjective
faithless,adjective
supporting,adjective
masculine,adjective
hebrew,adjective
interparadigmatic,adjective
concerted,adjective
omnivorous,adjective
untransferable,adjective
dead straight,adjective
news,adjective
strombolian,adjective
post-mortem,adjective
iconic,adjective
spectral,adjective
eukaryotic,adjective
gastric,adjective
proximal,adjective
purist,adjective
downward,adjective
aggregated,adjective
canadian,adjective
deserved,adjective
pleural,adjective
collegiate,adjective
unimodular,adjective
insurable,adjective
duodecimal,adjective
fiduciary,adjective
damning,adjective
modern,adjective
supported,adjective
hellenic,adjective
solvent,adjective
environmentally friendly,adjective
fibric,adjective
anti-semitic,adjective
depreciable,adjective
musculoskeletal,adjective
agro-industrial,adjective
foster,adjective
undoubted,adjective
periphrastic,adjective
runny,adjective
coplanar,adjective
pure,adjective
thermostable,adjective
diploic,adjective
humanitarian,adjective
obstruent,adjective
unidirectional,adjective
inconsiderate,adjective
febrifuge,adjective
