source,POS
Mamai,properNoun
Yerkinovich,properNoun
Herschel,properNoun
congelation,noun
Damien,properNoun
Tabriz,properNoun
Novoselov,properNoun
caliphate,noun
porridge,noun
allured,adjective
hyperconnect,noun
Noel,properNoun
Akbulak,properNoun
Adelina,properNoun
Guillaume,properNoun
gadfly,noun
Asker,properNoun
Zhunusov,properNoun
precious,noun
Jes,properNoun
Minzala,properNoun
intussusception,noun
Balgul,properNoun
Angelo,properNoun
Abraham,properNoun
Zharylgapov,properNoun
Shymkent,properNoun
referring to exchange,adjective
Abdigappar,properNoun
Agedіl,properNoun
Nurgazy,properNoun
Shimon,properNoun
Baynur,properNoun
Leonard,properNoun
Dolgan,properNoun
Nuri,properNoun
Doph,properNoun
broker,noun
Belberdi,properNoun
newsletter,noun
Bornholm,properNoun
Eleanor,properNoun
suds,noun
Angelov,properNoun
Phin,properNoun
Almalyk,properNoun
neurosurgical,adjective
origanum,noun
Kozhageldy,properNoun
sarugaku,noun
Aripbay,properNoun
Keloid,noun
triplet,noun
naturalness,noun
self-will,noun
model,verb
orphanhood,noun
Yevgenyevka,properNoun
Mys,properNoun
Japan,noun
Seisenbi,properNoun
Uncharacteristic,adjective
magpie,noun
Adobe,properNoun
conceal,noun
Nurmukhamedov,properNoun
Radishchev,properNoun
Rymtayevich,properNoun
Balta,properNoun
Shabal,properNoun
Alua,properNoun
Kruchkov,properNoun
Begimbet,properNoun
Ponomarev,properNoun
Nausha,properNoun
Abay studies,noun
chii,noun
uyez,noun
Baiyldyr,properNoun
Kathleen,properNoun
Jeylitbaev,properNoun
Zhanaarka,properNoun
Fabia,properNoun
twentieth,numeral
croquet,noun
Romana,properNoun
naivete,noun
Beck,properNoun
Mason,properNoun
Edita,properNoun
Narmuxambet,properNoun
after that,postposition
Kazakbaev,properNoun
Mirgali,properNoun
except,noun
Shiraz,properNoun
German,properNoun
hellcat,noun
goffer,noun
Frederick,properNoun
recruit,verb
Twqay,properNoun
Krykov,properNoun
Harbour,properNoun
Oralkhan,properNoun
Zhusipaqin,properNoun
Blackadder,properNoun
Barshinkent,properNoun
Kiran,properNoun
Berlusconi,properNoun
Mirqasim,properNoun
lenitive,adjective
Xii,numeral
Ach,properNoun
Ulas,properNoun
Belousovka,properNoun
laureate,noun
Pulkovo,properNoun
FIFA,properNoun
Akimtay,properNoun
face to face,adverb
Akzhelke,properNoun
thirtieth,numeral
Allen,properNoun
colonizing,adjective
Chi,properNoun
Nurlybayev,properNoun
Gabit,properNoun
closeness,noun
Angelina,properNoun
Kasymbekov,properNoun
Christie,properNoun
Shangitbaev,properNoun
Zhetygen,properNoun
Celso,properNoun
Abdumanap,properNoun
Hezekiah,properNoun
Buktyrma,properNoun
Shangereev,properNoun
Akezhan,properNoun
majilis,noun
slanderer,noun
Zhanaidarov,properNoun
Skatov,properNoun
inured,adjective
Sapiev,properNoun
Duysenbay,properNoun
like this,pronoun
like this,determiner
like this,demonstrativePronoun
like this,personalPronoun
zoopark,noun
Fomichev,properNoun
Aspara,properNoun
for today,adverb
Aqqonır,properNoun
Fatima,properNoun
Baygozha,properNoun
Qaybych,properNoun
Abdrashid,properNoun
Ikrama,properNoun
co,noun
Irtysh,properNoun
Klein,properNoun
Plectrum,noun
Kanat,properNoun
Rahim,properNoun
Stakhanov,properNoun
Shergaziev,properNoun
Taranov,properNoun
Chingirlau,properNoun
Hag,properNoun
Christian,properNoun
Nurtalap,properNoun
Abyz,properNoun
melancholy,adjective
Jae,properNoun
Fred,properNoun
italo,properNoun
Kerimali,properNoun
Bestas,properNoun
stud,noun
Bloomberg,properNoun
Onbay,properNoun
Abdenov,properNoun
spyglass,noun
Liana,properNoun
Nurlybek,properNoun
Aibibi,properNoun
Amandos,properNoun
Anar,properNoun
Baydar,properNoun
wooden shaft,noun
years-old,noun
sepulcher,noun
Qobdabay,properNoun
bulging,noun
Panabek,properNoun
unlocked,adjective
networking,adjective
Zac,properNoun
Lilly,properNoun
Tula,properNoun
Aksorang,properNoun
curator,noun
Bronislaw,properNoun
accoutre,verb
howler,noun
Dacia,properNoun
pellicle,noun
Andres,properNoun
vice-minister,noun
mayorship,noun
Baybaqti,properNoun
Akai,properNoun
Kurmanbek,properNoun
De,properNoun
aul,noun
Felimonov,properNoun
Amir,properNoun
Zhamenke,properNoun
Akyn,properNoun
promiser,noun
suite,noun
natured,adjective
Oz,properNoun
Bayanauyl,properNoun
eyesight,noun
Bakyrtau,properNoun
cantankerousness,noun
constrictor,noun
consistence,noun
Ualiaxmet,properNoun
Leo,properNoun
Juliana,properNoun
hue,noun
illinois,properNoun
