source,POS
Liffré,properNoun
Guillac,properNoun
Rivière Guinefort,properNoun
Saint-Herblain,properNoun
Priziac,properNoun
Gwenael,properNoun
Plogonnec,properNoun
Le Goëlo,properNoun
Peñzez,properNoun
Torfaen,properNoun
Clohars-Fouesnant,properNoun
Madalen,properNoun
Hoedic,properNoun
Saint-Perreux,properNoun
Penmarch,properNoun
Gweltaz,properNoun
Treffieux,properNoun
Reun,properNoun
Plourhan,properNoun
Lonny,properNoun
Veig,properNoun
Ar Gernevez,properNoun
Rahun,properNoun
Fukushima,properNoun
Bleuenn,properNoun
Erwan,properNoun
Redenac,properNoun
Pocé-les-Bois,properNoun
Côtes des Avens,properNoun
Lanrelas,properNoun
Saint-Léger-des-Prés,properNoun
Berné,properNoun
Champs-Géraux,properNoun
Baden,properNoun
Roche-Bernard,properNoun
Plélan-le-Grand,properNoun
Plougoumelen,properNoun
Stervinou,properNoun
Izol,properNoun
Hédé,properNoun
Bleu Breizh Izel,properNoun
Lanvéoc,properNoun
Roudouallec,properNoun
Rédené,properNoun
Eréac,properNoun
Noyal-sous-Bazouges,properNoun
Erell,properNoun
Pont-Aven,properNoun
Penfell,properNoun
Lanvollon,properNoun
Chapelle-Basse-Mer,properNoun
Langast,properNoun
Nouaye,properNoun
Roue,properNoun
Pays de Machecoul et de Logne,properNoun
Loroux-Bottereau,properNoun
Trévé,properNoun
Plonévez-Porzay,properNoun
Buhan,properNoun
Taden,properNoun
Rivière Lezevri,properNoun
Gaël,properNoun
Henaff,properNoun
Louan,properNoun
Nominoe,properNoun
Lorient,properNoun
Rosnoën,properNoun
Gramoullé,properNoun
Sango,properNoun
Saint-Jean-Trolimon,properNoun
Camors,properNoun
Guinglaff,properNoun
Brains,properNoun
Jamy,properNoun
Abalain,properNoun
Saint-Malo-de-Guersac,properNoun
Odet,properNoun
Woolworths,properNoun
Jozeb,properNoun
Rieule,properNoun
Canal de Bréca,properNoun
Sèvre Nantaise,properNoun
Hengoat,properNoun
Divskouarn,properNoun
Tréhou,properNoun
Pays Basque Nord,properNoun
Metig,properNoun
Novotel,properNoun
Kerfot,properNoun
Rivière Couyère,properNoun
Grand-Champ,properNoun
Guérande,properNoun
Le Goff,properNoun
Gobie,properNoun
Koadalan,properNoun
Kergloff,properNoun
Malema,properNoun
Landéhen,properNoun
Sarzeau,properNoun
Drian,properNoun
Madelin,properNoun
Carnac,properNoun
Lohéac,properNoun
Bêlon,properNoun
Keleier,properNoun
Trébrivan,properNoun
Hénon,properNoun
Dinard,properNoun
Plonévez-du-Faou,properNoun
Plénée-Jugon,properNoun
Dider,properNoun
Émirats arabes unis,properNoun
Madeg,properNoun
Saint-Aubin-du-Pavail,properNoun
Brulais,properNoun
Landaul,properNoun
Baie de Quiberon,properNoun
Taleg,properNoun
Mathelin,properNoun
Dodds,properNoun
Tallec,properNoun
Tabarly,properNoun
Porzay,properNoun
Coatréven,properNoun
Beyonce,properNoun
Paimpont,properNoun
Elliant,properNoun
Plougasnou,properNoun
États-Unis d’Amérique,properNoun
Iannik,properNoun
Trignac,properNoun
Mer d’Iroise,properNoun
Bulat-Pestivien,properNoun
Elez,properNoun
Conwy,properNoun
Locarn,properNoun
Ville-ès-Nonais,properNoun
Dour Elego,properNoun
France Bleu Breizh Izel,properNoun
Pertre,properNoun
Saint-Pierre-Quiberon,properNoun
Juigné-des-Moutiers,properNoun
Varades,properNoun
Meilleraye-de-Bretagne,properNoun
Brieuc,properNoun
Leff,properNoun
Etrelles,properNoun
Langoëlan,properNoun
Ploubezre,properNoun
Fougères,properNoun
Rivière Val au Houx,properNoun
Saint-Mars-la-Jaille,properNoun
Pays de Rennes,properNoun
Gwen,properNoun
Gwynedd,properNoun
Landéda,properNoun
Lavanant,properNoun
Tanguy,properNoun
Thorigné-Fouillard,properNoun
Caden,properNoun
Pleugueneuc,properNoun
Chapelle-aux-Filzméens,properNoun
Saint-Christophe-des-Bois,properNoun
Kerrain,properNoun
Montreuil-sur-Ille,properNoun
Plaine-sur-Mer,properNoun
Trieux,properNoun
Dourdain,properNoun
Goursez,properNoun
Miramas,properNoun
Sérent,properNoun
Fay-de-Bretagne,properNoun
Sulon,properNoun
Côte d’Amour,properNoun
Tepod,properNoun
Office Public de la Langue Bretonne,properNoun
an Drian,properNoun
Aubigné,properNoun
Les Montagnes Noires,properNoun
Yvignac-la-Tour,properNoun
Saint-Jacut-de-la-Mer,properNoun
Corentin,properNoun
Batz-sur-Mer,properNoun
Laillé,properNoun
Davy Crockett,properNoun
Carmarthen,properNoun
Sains,properNoun
Largillière,properNoun
Baudu,properNoun
Rivière Divatte,properNoun
Mouazé,properNoun
Frederig,properNoun
Guerche-de-Bretagne,properNoun
Daoulas,properNoun
Chapelle-Gaceline,properNoun
Belle-Île-en-Mer,properNoun
Trémel,properNoun
Monterfil,properNoun
Saint-Goazec,properNoun
Chapelle-Blanche,properNoun
Saint-Gilles-Pligeaux,properNoun
Albin,properNoun
Arzano,properNoun
Tual,properNoun
Bénodet,properNoun
Viêt Nam,properNoun
Pluméliau,properNoun
Flèche,properNoun
Truite,properNoun
Guéméné-Penfao,properNoun
Ploumagoar,properNoun
Landivisiau,properNoun
Menemeur,properNoun
Saint-Michel-en-Grève,properNoun
