source,target,POS
verband,verband,noun
daarop,daarop,adverb
voet,voet,noun
Mongolië,Mongolië,properNoun
appél,appel,noun
uithou,uithouden,verb
ontdekking,ontdekking,noun
besproeiing,besproeiing,noun
installasie,installatie,noun
mode,mode,noun
sonder,zonder,preposition
in die algemeen,in het algemeen,adverb
bedrewenheid,bedrevenheid,noun
omspoel,omspoelen,verb
identifiseer,identificeren,verb
skatting,schatting,noun
bedreiging,bedreiging,noun
ontmoet,ontmoeten,verb
België,België,properNoun
verf,verven,verb
inloop,inlopen,verb
aanhaling,citaat,noun
uitleg,uitleg,noun
virtueel,virtueel,adjective
kant,kant,noun
geskeduleer,gepland,adjective
hare,haar,noun
waarde,waarde,noun
sakekern,zakencentrum,noun
oopbron,opensource,adjective
verder,verder,adjective
Siberië,Siberië,properNoun
majesteit,majesteit,noun
ingang,ingang,noun
tuinier,tunier,noun
oneerlik,oneerlijk,adjective
een,één,numeral
kollektief,collectief,adjective
liriek,songtekst,noun
moedig,moedig,adjective
beraam,beramen,verb
geskiedkundige,historicus,noun
vertaling,vertaling,noun
benodig,benodigen,verb
toedoen,toedoen,verb
geneties,genetisch,adjective
asyn,azijn,noun
strand,strand,noun
vuurtoring,vuurtoren,noun
waarmee,waarmee,subordinatingConjunction
sesde,zesde,determiner
wonderlik,wonderlijk,adjective
raak,raken,verb
druif,druif,noun
eintlik,eigenlijk,adverb
totstandkoming,totstandkoming,noun
gedurende die laaste paar jare,gedurende die laatste paar jaren,adverb
rekenaar,computer,noun
Henry,Henry,properNoun
calvinisme,calvinisme,noun
stadsmuur,stadsmuur,noun
advertensie,advertentie,noun
geëlektrifiseer,geëlectrificeerd,adjective
Mianmar,Myanmar,properNoun
vrystel,vrijstellen,verb
sanger,zanger,noun
Noorweegse See,Noorse Zee,properNoun
volksrepubliek,volksrepubliek,noun
reaksie,reactie,noun
wetenskap,wetenschap,noun
fundamenteel,fundamenteel,adjective
helm,helm,noun
stadion,stadion,noun
bobbejaan,baviaan,noun
industrieel,industrieel,adjective
outisme,outisme,noun
voertuig,voertuig,noun
staf,staf,noun
hoekom,waarom,adverb
hoekom,waarom,interrogativePronoun
hoekom,waarom,adverb
hoekom,waarom,interrogativePronoun
hoekom,waarom,adverb
hoekom,waarom,interrogativePronoun
hoekom,waarom,adverb
hoekom,waarom,interrogativePronoun
natuurkunde,natuurkunde,noun
gespesialiseer,gespecialiseerd,adjective
vragmotor,vrachtwagen,noun
eienaar,eigenaar,noun
voorwerp,voorwerp,noun
skyf,schijf,noun
