source,target,POS
produadur,production,noun
kudenn stummañ,problème de formation,noun
a-geflen,corrélativement,adverb
krispenn,penchant,noun
oad,âge,noun
menn,petit,noun
dre heg,de force,adverb
formulenn,formule,noun
trenk,aigre,adjective
skrapadeg,razzia,noun
uhelgarg,dignité,noun
studiañ,étudier,verb
treuzkas,transmission,noun
Tregeriad,Trégorois,noun
mad,avoir,noun
Enez Vreizh,Île de Bretagne,properNoun
Brelevenez,Merlevenez,properNoun
adalek deroù,depuis le début de,preposition
maleur,malheur,noun
gopr kriz,salaire brut,noun
perzhiad,participant,noun
prestañ,prêter,verb
gwienn,fibre,noun
Nagorno-Karabac’h,Haut-Karabagh,properNoun
Lokoal-Mendon,Locoal-Mendon,properNoun
yeun,marais,noun
marvbouez,tare,noun
Jordanian,Jordanien,noun
Jean-Luc,Jean-Luc,properNoun
mereuri,ferme,noun
tapis,tapis,noun
skignañ,diffuser,verb
France,France,properNoun
framm prevez,structure privée,noun
bronneg,mammifère,noun
ken,jusque,preposition
a-zevri,pour de bon,adverb
Republik Korea,Corée du Sud,properNoun
enoeamant,ennui,noun
kilhog,coq,noun
iskis,étrange,adjective
adalek ar bloaz da zont,à partir de l’année prochaine,adverb
brasjedadenn,estimation,noun
degas a ober da soñj da,rappeler à,verb
Gwengamp Kumuniezh,Guingamp Communauté,properNoun
yourc’h,chevreuil,noun
erbediñ,conseiller,verb
kent da,avant que,preposition
nevesadur,renouvellement,noun
dindandouar,souterrain,adjective
Gwikar,Plougar,properNoun
Yougoslavia,Yougoslavie,properNoun
egorenn,espace,noun
displijout,déplaire,verb
sakrifis,sacrifice,noun
ma,si,subordinatingConjunction
Kuzul ar Brezhoneg,Kuzul ar Brezhoneg,properNoun
stradadenn,base,noun
Yaoueneg,Javené,properNoun
sevel ar rouedoù,relever les filets,verb
Turk,Turc,noun
Ar Chapel-Nevez,Chapelle-Neuve,properNoun
arouezennañ,caractériser,verb
dañser,danseur,noun
leuriadur,délégation,noun
treiñ a ober ur skrid,traduire un texte,verb
gwez -p er,poirier,noun
Benjamin,Benjamin,properNoun
diveleg,civil,noun
Burundiad,Burundais,noun
pemoc’h-Indez,cochon de Inde,noun
dinac’hañ,refuser,verb
strap,piège,noun
difoc’h,débraillé,adjective
orfebour,orfèvre,noun
terminologiezh,terminologie,noun
kador -ruilh,chaise roulante,noun
rampo,à égalité,adverb
lec’h degemer,lieu d’accueil,noun
bredour,psychologue,noun
Cariou,Cariou,properNoun
hogen,mais,coordinatingConjunction
kantved,siècle,noun
Paoul,Paule,properNoun
Bro Gerne,Pays de Cornouaille,properNoun
diouzhtu pa,aussitôt que,subordinatingConjunction
mignon ker,cher ami,interjection
jahin,torture,noun
c’hoarier mell-droad,joueur de foot,noun
Ar C’haeoù,Quiou,properNoun
poull -ruzikat,patinoire,noun
sachañ,tirer,verb
boulc’henn,brèche,noun
Delphine,Delphine,properNoun
mezegel,médical,adjective
