source,target,POS
abstracte,astratu,adjective
Puig i Godes,Puig i Godes,properNoun
Mallofré,Mallofré,properNoun
Cisa,Cisa,properNoun
menys,de mancu,adverb
Belén,Belén,properNoun
Schmid,Schmid,properNoun
minar,minare,verb
exclusivitat,esclusividade,noun
Morier,Morier,properNoun
Salisbury,Salisbury,properNoun
Gort,Gort,properNoun
Ofelia,Ofelia,properNoun
Jugnot,Jugnot,properNoun
microbiològic,microbiològicu,adjective
Noreau,Noreau,properNoun
Lyndon,Lyndon,properNoun
vectorialment,in manera vetoriale,adverb
bicampió,bicampione,noun
escampar,ispartzinare,verb
Saray,Saray,properNoun
observable,osservàbile,adjective
paleolític,paleolìticu,noun
Obón,Obón,properNoun
precursor,antitzipadore,adjective
tancar,tancare,verb
faltar,mancare,verb
públicament,publicamente,adverb
Pujals,Pujals,properNoun
ambaixador,ambasciadore,noun
Antonia,Antonia,properNoun
aplegar,regollire,verb
Isidre,Isidre,properNoun
Vaudreuil,Vaudreuil,properNoun
Händel,Händel,properNoun
Carla,Carla,properNoun
Bayes,Bayes,properNoun
alerta,alerta,adverb
notable,notèvole,noun
Yannice,Yannice,properNoun
Abigaïl,Abigaïl,properNoun
tors,bustu,noun
Dor,Dor,properNoun
contradictori,contraditòriu,adjective
novembre,santandria,noun
imparablement,in manera imparàbile,adverb
Hang,Hang,properNoun
gratuïtament,de badas,adverb
Gelin,Gelin,properNoun
no pas,nemmancu,adverb
Bernois,Bernois,properNoun
Deserres,Deserres,properNoun
Tesira,Tesira,properNoun
jurisdiccional,de giurisditzione,adjective
Neomenia,Neomenia,properNoun
problema,problema,noun
calamitat,calamidade,noun
temptar,tenteare,verb
gerra,broca,noun
leucèmia,leutzemia,noun
etcètera,etzètera,noun
pegar,iscùdere,verb
clot,istampu,noun
bolxevic,bolscevicu,noun
holding,holding,noun
Hiba,Hiba,properNoun
Selladurai,Selladurai,properNoun
Ari,Ari,properNoun
Salomé,Salomè,properNoun
dieta,dieta,noun
vena,vena,noun
independitzar,indipendentizare,verb
Parker,Parker,properNoun
Silveira,Silveira,properNoun
Caballo,Caballo,properNoun
orgànic,orgànicu,adjective
Josela,Josela,properNoun
Brenda,Brenda,properNoun
loteria,loteria,noun
assimilar,agualare,verb
escalada,iscalada,noun
xai,angione,noun
Yonium,Yonium,properNoun
evaporació,evaporatzione,noun
immòbil,firmu,adjective
Lamia,Lamia,properNoun
absència,ausèntzia,noun
Yoda,Yoda,properNoun
excessivament,tropu,adverb
Galbany,Galbany,properNoun
Malec,Malec,properNoun
justificació,giustificatzione,noun
pràcticament,in pràtica,adverb
Spénard,Spénard,properNoun
Frisch,Frisch,properNoun
Also,Also,properNoun
Barquero,Barquero,properNoun
palatal,palatale,adjective
real,reale,adjective
opi,òpiu,noun
Manuela,Manuela,properNoun
Farrán,Farrán,properNoun
Capricia,Capricia,properNoun
arreu,in totue,adverb
acusació,acusatzione,noun
Jansson,Jansson,properNoun
Ferré,Ferré,properNoun
emparentar,imparentare,verb
romà,romanzu,adjective
Niño,Niño,properNoun
certament,tzertamente,adverb
Elhage,Elhage,properNoun
multilingüisme,multilinguismu,noun
centreamericà,tzentruamericanu,adjective
Benitez,Benitez,properNoun
Cebriá,Cebriá,properNoun
Camarena,Camarena,properNoun
sobrepassar,propassare,verb
tribunal,tribunale,noun
Ernst,Ernst,properNoun
Larriba,Larriba,properNoun
Inès,Inès,properNoun
Pagnol,Pagnol,properNoun
Espuga,Espuga,properNoun
Brocal,Brocal,properNoun
Leung,Leung,properNoun
Juliane,Juliane,properNoun
Weierstrass,Weierstrass,properNoun
lloro,papagallu,noun
Cossu,Cossu,properNoun
cirerer,àrbore de cariasa,noun
Marcelline,Marcelline,properNoun
deteriorament,peoramentu,noun
relegar,disterrare,verb
Tan,Tan,properNoun
von Wright,von Wright,properNoun
distracció,distratzione,noun
plantejament,pianu,noun
invers,contràriu,adjective
Gautier,Gautier,properNoun
Giacomo,Giacomo,properNoun
Casaus,Casaus,properNoun
Illa de Guadalupe,Ìsula Guadalupa,properNoun
Pato,Pato,properNoun
Ion,Ion,properNoun
Hediliza,Hediliza,properNoun
Aarab,Aarab,properNoun
simpatitzar,simpatizare,verb
reafirmar,torrare a afirmare,verb
Xifrà,Xifrà,properNoun
sionisme,sionismu,noun
Carratalá,Carratalá,properNoun
resistentment,in manera resistente,adverb
Moral,Moral,properNoun
pomer,àrbore de mela,noun
Pulitzer,Pulitzer,properNoun
suport,suportu,noun
Obiols,Obiols,properNoun
pagà,paganu,noun
Feliciano,Feliciano,properNoun
equinocci,ecuinòtziu,noun
fascinació,meravìgia,noun
Franch,Franch,properNoun
Belmar,Belmar,properNoun
Palanques,Palanques,properNoun
Dinares,Dinares,properNoun
menjador,mandigadore,noun
grip,influèntzia,noun
artístic,artìsticu,adjective
extensiu,estensivu,adjective
monitor,ischermu,noun
generalització,generalizatzione,noun
Rómula,Rómula,properNoun
solistament,in manera solista,adverb
governació,guvernu,noun
interpretatiu,interpretativu,adjective
rus,russu,noun
ratera,ratera,noun
Foucreault,Foucreault,properNoun
Múrcia,Mùrtzia,properNoun
Bonachera,Bonachera,properNoun
anomalia,anomalia,noun
Dechantal,Dechantal,properNoun
Mimbrero,Mimbrero,properNoun
Chaloux,Chaloux,properNoun
von Bismarck,von Bismarck,properNoun
Verna,Verna,properNoun
Paris Hilton,Paris Hilton,properNoun
Mariannes,Mariannas,properNoun
Figueiredo,Figueiredo,properNoun
inútilment,in manera inùtile,adverb
Noha,Noha,properNoun
vegetarianisme,vegetarianismu,noun
veïnat,bighinadu,noun
sanció,santzione,noun
jardineria,giardinàgiu,noun
Max,Max,properNoun
McKenna,McKenna,properNoun
Porto,Porto Rico,properNoun
acte,atu,noun
Yubero,Yubero,properNoun
Otaola,Otaola,properNoun
