source,target,POS
Sergeyev,Sergeyev,properNoun
ortalıq,ortalık,noun
Nazarov,Nazarov,properNoun
isse,hisse,noun
yaslan,yaslan,verb
bağlan,bağlan,verb
Apollo,Apollo,properNoun
Selimov,Selimov,properNoun
Ümerov,Ümerov,properNoun
Revenko,Revenko,properNoun
Jan,Jan,properNoun
teftiş,teftiş,noun
çalqan,çalkalan,verb
bölük,bölük,noun
qartal,kartal,noun
Krılatov,Krılatov,properNoun
tikil,gel,verb
Volohov,Volohov,properNoun
Abdureşit,Abdureşit,properNoun
zorbalıq,zulüm,noun
müdir,müdür,noun
Gaynutdinov,Gaynutdinov,properNoun
terrorizm,terörizm,noun
çatış,çatış,verb
sağlıq,sağlık,noun
kerçek,gerçek,adjective
Yeysk,Yeysk,properNoun
Lınovıtsâ,Lınovıtsa,properNoun
traktor,traktör,noun
Gromenko,Gromenko,properNoun
Aksenov,Aksenov,properNoun
yaşa,yaşa,verb
Homâkov,Homakov,properNoun
Ades,Ades,properNoun
Bizans,Bizans,properNoun
Çalenko,Çalenko,properNoun
bar,var,adjective
Çobanzade,Çobanzade,properNoun
Serov,Serov,properNoun
Makeyev,Makeyev,properNoun
Ladan,Ladan,properNoun
Körbekül,Körbekül,properNoun
qamçı,kamçı,noun
Sidney,Sidney,properNoun
Kupriyanov,Kupriyanov,properNoun
Qalımtay,Kalımtay,properNoun
rol,rol,noun
muqaddesat,mukaddesat,noun
tekrar,tekrar,noun
boşa,boşal,verb
BTR,BTR,properNoun
tebrik,tebrik,noun
rektor,rektör,noun
kereste,kereste,noun
Bahçesaray,Bahçesaray,properNoun
Voinka,Voinka,properNoun
Zotov,Zotov,properNoun
iyün,haziran,noun
kör,gör,verb
toqta,dur,verb
Kirimov,Kirimov,properNoun
Gonçarivske,Gonçarivske,properNoun
reorganizatsiya,reorganizasyon,noun
talil,talil,noun
turmuş,hayat,noun
tenqit,tenkit,noun
lektsiya,konuşma,noun
sonuç,sonuç,noun
teren,yüksek,adjective
müfti,müftü,noun
merkeziy,merkezi,adjective
Brüsov,Brüsov,properNoun
Sumı,Sumi,properNoun
İlyenko,İlyenko,properNoun
Vladimiroviç,Vladimirov,properNoun
qulaq,kulak,noun
rejissör,yapımcı,noun
közetüv,gözetim,noun
İslâmov,İslamov,properNoun
Zelenodolsk,Zelenodolsk,properNoun
binayen,binaen,adverb
Kürbedinov,Kürbedinov,properNoun
mezat,açık artırma,noun
Kornın,Kornın,properNoun
Kotov,Kotov,properNoun
islâm,islam,noun
küçük,küçük,adjective
Ladıjın,Ladıjın,properNoun
avtovokzal,otogar,noun
felsefe,felsefe,noun
Bella,Bella,properNoun
Storojikov,Storojikov,properNoun
egil,eğil,verb
Arpat,Arpat,properNoun
müür,mühür,noun
serbestlik,serbestlik,noun
qarıştır,karıştır,verb
deva,deva,noun
mülkiyet,mülkiyet,noun
Geraşçenko,Geraşçenko,properNoun
çelik,çelik,noun
Artemenko,Artemenko,properNoun
bezdir,şişir,verb
buzlu,buzlu,adjective
bal,bal,noun
Yemen,Yemen,properNoun
Ennanov,Ennanov,properNoun
Bekir,Bekir,properNoun
patlav,patlama,noun
mustaqil,müstakil,adjective
Tovste,Tovste,properNoun
alevlen,yalımlan,verb
memuriyet,idare,noun
barış,barış,noun
Mañ Kermen,Man Kermen,properNoun
Qaire,Kahire,properNoun
aq,hak,noun
bataqlıq,bataklık,noun
aşk,aşk,noun
talap,talep,noun
Pospelov,Pospelov,properNoun
Amet,Ahmet,properNoun
lirik,lirik,adjective
Feşçenko,Feşçenko,properNoun
Simonenko,Simonenko,properNoun
Çotı,Çotı,properNoun
muqavemet,mukavemet,noun
maliyeviy,mali,adjective
sığdır,sığdır,verb
repressiya,baskı,noun
binaen,göre,postposition
Zuyev,Zuyev,properNoun
Ahmet,Ahmet,properNoun
İlbav,İlbav,properNoun
kultura,kültür,noun
yüklen,yüklen,verb
improvizatsiya,uydurma,noun
hatır,hatır,noun
qabar,rüşvet,noun
toldur,doldur,verb
Markov,Markov,properNoun
kabinet,kabine,noun
Lebedın,Lebedın,properNoun
eyileştir,iyileştir,verb
Ablâtipov,Ablatipov,properNoun
Saltıkov,Saltıkov,properNoun
çapar,kurye,noun
Saidahmedov,Saidahmedov,properNoun
ertesi,sonraki,adjective
tüzet,düz,verb
mefküre,düşünce,noun
duvar,duvar,noun
akkumulâtor,pil,noun
İvan,İvan,properNoun
Ostrovskiy,Ostrovsk,properNoun
mefküre,fikir,noun
ilan,ilan,noun
Bazarçıq,Bazarçık,properNoun
agentlik,ajans,noun
tozlan,tozlan,verb
harabe,harabe,noun
Emine,Emine,properNoun
Şırnak,Şırnak,properNoun
Titov,Titov,properNoun
Foros,Foros,properNoun
en,en,noun
Gorodok,Gorodok,properNoun
dolaş,dolaş,verb
kerginleştir,ger,verb
pek,pek,adverb
şeyh,şeyh,noun
Seyşeller,Seyşeller,properNoun
hortum,hortum,noun
evakuatsiya,tahliye,noun
deyerlik,hemen hemen,adverb
bediiy,sanatsal,noun
bağça,bahçe,noun
demobilizatsiya,terhis,noun
Palapan,Palapan,properNoun
Konnikov,Konnikov,properNoun
kürsü,kürsü,noun
kamera,kamera,noun
mesüliet,mesuliyet,noun
Atlantik,Atlantik,properNoun
Kefe,Kefe,properNoun
esapla,hesapla,verb
qısqa,kısa,adjective
Brühovıçi,Brühovıçi,properNoun
Sergiy,Sergey,properNoun
sarf,sarf,noun
karar,karar,noun
yet,ulaş,verb
ay,ay,noun
animatsion,animasyon,noun
şeytan,şeytan,noun
oşa,benze,verb
traktorcı,traktörcü,noun
tedqiqat,doğrulama,noun
Bıtkiv,Bıtkiv,properNoun
Zubov,Zubov,properNoun
Laos,Laos,properNoun
kere,kere,noun
keşif,keşif,noun
Loşakov,Loşakov,properNoun
qır,kır,verb
konvoy,konvoy,noun
teşebbüs,teşebbüs,noun
diplomat,diplomat,noun
serasker,komutan,noun
eda,yapma,noun
Tsekov,Tsekov,properNoun
mln,milyon,numeral
Fastiv,Fastiv,properNoun
ötker,gönder,verb
köter,göster,verb
boysun,bağlı ol,verb
mahkeme,mahkeme,noun
FM,FM,properNoun
Gayevniki-Kolonya,Gayevniki-Kolonya,properNoun
Emil,Emil,properNoun
tuzlı,tuzlu,adjective
tatlılıq,tatlı,noun
küz,güz,noun
tasil,eğitim,noun
yetmegen,yetmeyen,adjective
sarım,sarım,noun
adise,hadise,noun
Satarenko,Satarenko,properNoun
Bolehiv,Bolehiv,properNoun
o,o,pronoun
o,o,determiner
o,o,demonstrativePronoun
aselet,kasten,adverb
sektsiya,bölüm,noun
tıbbiy,tıbbi,adjective
şeñlen,şenlen,verb
Çernenko,Çernenko,properNoun
Mali,Mali,properNoun
kündelik,kündelik,noun
millitsioner,polis,noun
yevro,euro,noun
Zıncırlı,Zıncırlı,properNoun
aqaret,hakaret,noun
Belgrad,Belgrad,properNoun
madencilik,madencilik,noun
Beznişçenko,Beznişçenko,properNoun
