source,target,POS
annigonol,insufficient,adjective
cannwyll,candle,noun
tromino,tromino,noun
hapus,happy,adjective
anghytûn,incompatible,adjective
trylifo,filter,verb
cabinet,cabinet,noun
cyfain,whole,adjective
ymddiriedig,entrusted,adjective
trafod,discuss,verb
Asturias,Asturias,properNoun
arwahanrwydd,isolation,noun
llwydo,become mouldy,verb
anadnabyddadwy,non-identifiable,adjective
llonydd,still,adjective
olynol,consecutive,adjective
galwad,call,noun
systematig,systematic,adjective
rhwystredigaeth,frustration,noun
consurio,conjure,verb
dadredeg,rerun,verb
cludydd,carrier,noun
Meicronesia,Federated States of Micronesia,properNoun
rhyfeddol,wonderful,adjective
herio,challenge,verb
chwedl,tale,noun
aradru,plough,verb
print,print,noun
Blair,Blair,properNoun
pryderus,concerned,adjective
helynt,predicament,noun
busnesu,meddle,verb
damcanu,theorise,verb
nodiant,notation,noun
nyrsio,nurse,verb
sêl,seal,noun
pêl-droed,football,noun
lloesi,get rid of,verb
pensaernïaeth,architecture,noun
anabl,disabled,adjective
plaen,plain,adjective
addolwr,worshipper,noun
rhagdyb,assumption,noun
partneriaeth,partnership,noun
iachâd,cure,noun
cyd-destun,context,noun
Warin,Warin,properNoun
angerdd,intensity,noun
heddychu,pacify,verb
cyfleu,imply,verb
agennu,slit,verb
lled,width,noun
cilagor,half-open,verb
Eustace,Eustace,properNoun
trachywiredd,precision,noun
gwenieithu,flatter,verb
swyddogaethol,functional,adjective
llesu,be advantageous,verb
Mosambic,Mozambique,properNoun
dawnsio,dance,verb
sgwrio,scour,verb
esgob,bishop,noun
Faye,Faye,properNoun
ymddigrifo,delight,verb
neges,message,noun
hen,old,adjective
sgwario,square,verb
cyrion,margin,noun
cludo,carry,verb
esemptiad,exemption,noun
unarddeg,an eleven,noun
dawn,talent,noun
Ynysoedd y Maldîfs,Maldives,properNoun
gwastraffu,waste,verb
Kabul,Kabul,properNoun
stocio,stock,verb
tuthian,trot,verb
Meryell,Meryell,properNoun
Nathan,Nathan,properNoun
Kady,Kady,properNoun
dwysáu,intensify,verb
rhawio,dig,verb
pregethu,preach,verb
hirdymor,long-term,noun
cysylltiedig,linked,adjective
biomeddygol,biomedical,adjective
prif,principal,adjective
aberu,flow into,verb
gorchfygus,victorious,adjective
ynfydu,go mad,verb
canlynol,following,adjective
dibennu,conclude,verb
yna,that,relativePronoun
yna,that,pronoun
yna,that,determiner
yna,that,demonstrativePronoun
yna,that,determiner
yna,that,demonstrativePronoun
yna,that,relativePronoun
yna,that,pronoun
yna,that,determiner
yna,that,demonstrativePronoun
yna,that,determiner
yna,that,demonstrativePronoun
Dolgellau,Dolgellau,properNoun
erioed,never,adverb
crychio,wrinkle,verb
diwifr,wireless,adjective
lefel,level,noun
ieuenctid,youth,noun
cyhoeddwr,publisher,noun
buddio,profit,verb
clafychu,sicken,verb
gefeillio,twin,verb
oelio,oil,verb
rhagdybio,presume,verb
triniaeth,treatment,noun
mawr,big,adjective
llofnodi,sign,verb
rhyddhad,release,noun
anesmwytho,become restless,verb
cyfran,portion,noun
paced,packet,noun
dallgopi,blind copy,noun
fflachio,flash,verb
gwan,weak,adjective
lindys,caterpillar,noun
tresio,trace,verb
pistyllio,spout,verb
uniongred,orthodox,adjective
ymgymeriad,undertaking,noun
comisiwn,commission,noun
bedyddio,baptise,verb
ymbaratoi,make ready,verb
brasbwythu,sew with large stitches,verb
bardd,poet,noun
cytuno,agree,verb
carcharor,prisoner,noun
trais,rape,noun
amgodiad,encoding,noun
tre,town,noun
anweithred,unperformed action,noun
Hong Kong,Hong Kong,properNoun
canolrif,median,noun
carpedu,carpet,verb
gwahardd,forbid,verb
gwyntyllu,ventilate,verb
colynnu,sting,verb
gorthrechu,overcome,verb
negyddu,negate,verb
dig,angry,adjective
gwyddoniaeth,science,noun
ffaldio,impound,verb
annegatif,non-negative,adjective
Steven,Steven,properNoun
euog,guilty,adjective
ymgrymu,bow,verb
cyfarwydd,skilled,adjective
Oceania,Oceania,properNoun
tanlinelliad,underscore,noun
Charlotte,Charlotte,properNoun
dyfynodi,quote,verb
hela,hunt,verb
byrbwylltra,recklessness,noun
paderu,pray,verb
ailbeintio,repaint,verb
fan,van,noun
jacio,jack,verb
anweledig,invisible,adjective
gweithgynnyrch,manufactured item,noun
grillianu,chirp,verb
cydgomisiynu,commission jointly,verb
adeiladaeth,construction,noun
Scott,Scott,properNoun
grwgnach,grumble,verb
ailgloriannu,reestimate,verb
rhifolyn,numeral,noun
dyrnod,pound,verb
ar goedd,publicly,adverb
cwarel,pane,noun
tonfedd,wavelength,noun
sefyllfa,situation,noun
priodoli,attribute,verb
Clara,Clara,properNoun
Laura,Laura,properNoun
brown,brown,adjective
cenedl,nation,noun
tenis,tennis,noun
Max,Max,properNoun
Kieran,Kieran,properNoun
eiriasu,glow red-hot,verb
edifaru,repent,verb
byrstio,burst,verb
topio,block up,verb
gwerthusiad,evaluation,noun
tipyn,little bit,noun
adnabyddiaeth,recognition,noun
hecsdeilsen,hextile,noun
ailgodi,re-erect,verb
dihengyd,escape,verb
llawr,floor,noun
ennill ar,defeat,verb
Kaiden,Kaiden,properNoun
tref,town,noun
anghydsynio,dissent,verb
cyfath,congruent,adjective
ynni,energy,noun
cyffredinoliad,generalisation,noun
cydgefnogi,support jointly,verb
dyblu,double,verb
blino,tire,verb
blino,tire,presentParticipleAdjective
amserydd,timer,noun
rhoi yr bai,blame,verb
argyhoeddiadol,convincing,adjective
cyflyru,condition,verb
Arizona,Arizona,properNoun
cyfreithloni,legalise,verb
cyrraedd,arrive,verb
claf,patient,noun
amaethyddiaeth,agriculture,noun
lluniad,drawing,noun
enchwythu,inflate,verb
Martin,Martin,properNoun
olew,oil,noun
ailgysodi,recompose,verb
is-raddedig,undergraduate,adjective
Antony,Antony,properNoun
blaenori,precede,verb
România,Romania,properNoun
aroglau,smell,noun
hawdd,easy,adjective
taclu,tackle,verb
gweithiwr mudol,migrant worker,noun
goledd,slope,noun
ymddiriedu,trust,verb
ailddefnyddio,reuse,verb
annibynnwr,independent,noun
cyflog,wage,noun
Prydain,Britain,properNoun
Taleithiau Ffederyddol Meicronesia,Federated States of Micronesia,properNoun
Roberts,Roberts,properNoun
crydu,tremble,verb
rhuddo,scorch,verb
dienyddu,execute,verb
modd,means,noun
cosmopolitan,cosmopolitan,adjective
tywarch,sod,noun
cynllwynio,scheme,verb
Adams,Adams,properNoun
poethi,warm,verb
amhwyllo,go mad,verb
helpu,help,verb
diamedr,diameter,noun
gogrynu,tremble,verb
uwchlaw,overhead,adverb
blin,annoyed,adjective
hyrwyddwr,promoter,noun
pentwr,stack,noun
iengeiddio,rejuvenate,verb
ymchwilydd,researcher,noun
cydlynu,cohere,verb
arweiniol,introductory,adjective
ysgolheictod,scholarship,noun
ailbacio,repack,verb
Margalida,Margalida,properNoun
gwerydu,manure land,verb
cloc,clock,noun
gwahan glwyf,leprosy,noun
newidiad,change,noun
coffáu,commemorate,verb
cyfenwadur,common denominator,noun
dirywio,deteriorate,verb
buddugoliaeth,victory,noun
llythrennedd,literacy,noun
Huws,Huws,properNoun
y Trallwng,Welshpool,properNoun
ymawyddu,yearn,verb
amrywedd,heterogeneity,noun
cymuno,communicate,verb
terfynell,terminal,noun
goleddfu,slant,verb
twtio,tidy,verb
Adrian,Adrian,properNoun
mysgu,disentangle,verb
ffactorial,factorial,noun
cynheica,be in heat,verb
datganu,declare,verb
perswadio,persuade,verb
Shaun,Shaun,properNoun
Rio,Rio,properNoun
cuchio,scowl,verb
neidio,jump,verb
Connor,Connor,properNoun
pyramid,pyramid,noun
cymathu,assimilate,verb
cyfresol,serial,adjective
cyfundrefn,system,noun
ymlaen,on,adverb
pitw,tiny,adjective
gwrthuni,absurdity,noun
bywyd,life,noun
migno,trample,verb
cyd-mynd,go with,verb
