source,target,POS
lus,lus,noun
glimt,snurt,noun
Tunveien,Tunveien,properNoun
Skuronnveien,Skuronnveien,properNoun
bekymre,bekymre,verb
udarte,utarte,verb
Corneille,Corneille,properNoun
Halfdan Kjerulfs plass,Halfdan Kjerulfs plass,properNoun
rockartist,rockeartist,noun
fabriksbyggeri,fabrikkbygg,noun
sammenligne,samanlikne,verb
piske,piske,verb
Hushovd,Hushovd,properNoun
bundpris,botnpris,noun
diskografi,diskografi,noun
Kinnarinen,Kinnarinen,properNoun
Olsson,Olsson,properNoun
bevægelse,flytt,noun
Schambug,Schambug,properNoun
lager,lager,noun
President Christies vei,President Christies vei,properNoun
Sjursøya,Sjursøya,properNoun
Elle-Márjjajávri,Elle-Márjjajávri,properNoun
Ludvika,Ludvika,properNoun
Charity,Charity,properNoun
Øren,Øren,properNoun
smæld,smell,noun
Chaim,Chaim,properNoun
bod,bod,noun
Hiim,Hiim,properNoun
snage,snuse,verb
skole,skolere,verb
Tisted,Tisted,properNoun
forfra,forfra,preposition
Lars Erik,Lars Erik,properNoun
trods,tross,preposition
Jeltsin,Jeltsin,properNoun
tåle,tolerere,verb
opdele,avdele,verb
hverken,hverken,coordinatingConjunction
Serubbabel,Serubbabel,properNoun
makron,makron,noun
tære,tære,verb
Tollef Gravs vei,Tollef Gravs vei,properNoun
Butte,Butte,properNoun
bunkevis,bunkevis,adverb
Alnafetgata,Alnafetgata,properNoun
gløgg,gløgg,noun
filolog,filolog,noun
Måsør,Måsør,properNoun
vie,vie,verb
Hallheimslien,Hallheimslien,properNoun
Suovanen,Suovanen,properNoun
Kesti,Kesti,properNoun
fuske,fjuske,verb
halvtone,halvtone,noun
Yildrim,Yildrim,properNoun
Zoia,Zoia,properNoun
integrationsproces,integrasjonsprosess,noun
mylder,mylder,noun
drogeri,drogeri,noun
samstemme,samstemme,verb
Tanttari,Tanttari,properNoun
Tschudi,Tschudi,properNoun
Sábin,Sábin,properNoun
Facciotti,Facciotti,properNoun
opstillingsplads,oppstillingsplass,noun
kæp,kjepp,noun
Vannøyaveien,Vannøyaveien,properNoun
hugorm,hoggorm,noun
stik,stikk,noun
Kosatsjev,Kosatsjev,properNoun
jamen,joggu,adverb
Selseng,Selseng,properNoun
Skiringsalgaten,Skiringsalgaten,properNoun
Linge,Linge,properNoun
