source,target,POS
Stefan,Stefan,properNoun
vaksi,encerar,verb
Achille,Achille,properNoun
Sirera,Sirera,properNoun
Bernabéu,Bernabéu,properNoun
Añe,Añe,properNoun
antiusonanismo,antiamericanisme,noun
ambicii,ambicionar,verb
kraĉaĵo,gargall,noun
ruĝa,roig,adjective
surprizi,enxampar,verb
Roperuelos del Páramo,Roperuelos del Páramo,properNoun
POUM,POUM,noun
Muntané,Muntané,properNoun
Flàvia,Flàvia,properNoun
Santovenia de Pisuerga,Santovenia de Pisuerga,properNoun
Mattawashish,Mattawashish,properNoun
Monfette,Monfette,properNoun
serpo,podadora,noun
precipito,precipitació,noun
novnaskito,nounat,noun
malsaneta,xacrós,adjective
alivesti,disfressar,verb
kartelo,càrtel,noun
responda,corresponent,adjective
Guifré,Guifré,properNoun
ricevanto,receptor,noun
Cuevas de San Clemente,Cuevas de San Clemente,properNoun
maniero,manera,noun
Farmer,Farmer,properNoun
La Horra,La Horra,properNoun
Cho,Cho,properNoun
apostolo,apòstol,noun
tragedio,tragèdia,noun
Ratelle,Ratelle,properNoun
punkto,punt,noun
aprobo,acceptació,noun
klerikalismo,clericalisme,noun
Anievas,Anievas,properNoun
strida,estrident,adverb
revendado,revenda,noun
Amate,Amate,properNoun
La Solana,La Solana,properNoun
averto,avís,noun
ofta,freqüent,adverb
Raffarin,Raffarin,properNoun
Higueras,Higueras,properNoun
Martella,Martella,properNoun
Campillo de Aranda,Campillo de Aranda,properNoun
Velilla de los Ajos,Velilla de los Ajos,properNoun
Buenaventura,Buenaventura,properNoun
Dibiase,Dibiase,properNoun
eldevigo,exacció,noun
supre,dalt,adverb
Monzón,Monzón,properNoun
Monheit,Monheit,properNoun
Zambito,Zambito,properNoun
ŝelko,elàstics,noun
diametre,diametralment,adverb
Cosp,Cosp,properNoun
San Antonio de Benagéber,San Antonio de Benagéber,properNoun
Osés,Osés,properNoun
Peguerinos,Peguerinos,properNoun
Centenera,Centenera,properNoun
mallongigi,escurçar,verb
ofte,freqüentment,adverb
Arcones,Arcones,properNoun
Sóller,Sóller,properNoun
Palas de Rei,Palas de Rei,properNoun
cinikeco,cinisme,noun
fine,finalment,adverb
Bràfim,Bràfim,properNoun
Babilafuente,Babilafuente,properNoun
Monako,Mònaco,properNoun
profilaktika,profilàctic,adjective
plursportejo,polisportiu,noun
Santibáñez de Esgueva,Santibáñez de Esgueva,properNoun
interveni,intervenir,verb
San Andrés del Congosto,San Andrés del Congosto,properNoun
Térmens,Térmens,properNoun
Fuentes de Valdepero,Fuentes de Valdepero,properNoun
Castañar de Ibor,Castañar de Ibor,properNoun
sankcio,sanció,noun
Meroi,Meroi,properNoun
kulerego,culler,noun
lirikismo,lírica,noun
kulero,cullerada,noun
Monterroso,Monterroso,properNoun
jado,jade,noun
Santaella,Santaella,properNoun
grunti,grunyir,verb
Just,Just,properNoun
mjelo,moll,noun
akompano,acompanyament,noun
Halperin,Halperin,properNoun
libereco,expeditesa,noun
Becerra,Becerra,properNoun
Ari,Ari,properNoun
senato,senat,noun
legio,legió,noun
estinteco,pretèrit,noun
Villatobas,Villatobas,properNoun
posedi,posseir,verb
Calamonte,Calamonte,properNoun
Quintanilla de Onsoña,Quintanilla de Onsoña,properNoun
Leone,Leone,properNoun
diferenci,discrepar,verb
ŝtofo,teixit,noun
Gauvreau,Gauvreau,properNoun
komputika,informàticament,adverb
Merisier,Merisier,properNoun
Soldevilla,Soldevilla,properNoun
Pentekosto,Pentecosta,properNoun
Pozorrubielos de la Mancha,Pozorrubielos de la Mancha,properNoun
Neptuno,Neptú,properNoun
Albolote,Albolote,properNoun
Labrada,Labrada,properNoun
Lasarte,Lasarte,properNoun
persikarbo,melicotoner,noun
Santoña,Santoña,properNoun
Pietracupa,Pietracupa,properNoun
prelegi,discursejar,verb
bakterio,bactèria,noun
tubo,trompa,noun
Salvo,Salvo,properNoun
ĵokero,jòquer,noun
petego,súplica,noun
Maranchón,Maranchón,properNoun
Fisas,Fisas,properNoun
Monteagudo de las Vicarías,Monteagudo de las Vicarías,properNoun
La Pobla de Mafumet,La Pobla de Mafumet,properNoun
faksilo,fax,noun
loktena striko,vaga de braços caiguts,noun
organizacio,organització,noun
kakao,cacau,noun
Alvarado,Alvarado,properNoun
milda,benigne,adjective
Gallart,Gallart,properNoun
sano,sanitat,noun
Flynn,Flynn,properNoun
Llombart,Llombart,properNoun
Sarmiento,Sarmiento,properNoun
Palos,Palos,properNoun
Coso,Coso,properNoun
supla,flexible,adjective
militarizi,militaritzar,verb
fuorto,fortí,noun
Sanguino,Sanguino,properNoun
institucio,institució,noun
deĵoro,guàrdia,noun
loti,sortejar,verb
spinpintaĵo,carpó,noun
Rosique,Rosique,properNoun
vojaĝo,viatge,noun
Jannat,Jannat,properNoun
Tamurejo,Tamurejo,properNoun
La Miñosa,La Miñosa,properNoun
reviziinto,supervisor,noun
premii,remunerar,verb
mekanografio,mecanografia,noun
Amal,Amal,properNoun
Sicard,Sicard,properNoun
ligo,enllaç,noun
Laperdiguera,Laperdiguera,properNoun
eksplodigilo,detonador,noun
tribo,tribu,noun
nekohera,incoherent,adverb
Fran,Fran,properNoun
Bourgon,Bourgon,properNoun
Ezcaray,Ezcaray,properNoun
Borrassà,Borrassà,properNoun
spirito,esperit,noun
Poucachiche,Poucachiche,properNoun
ciklameno,ciclamen,noun
alteco,altura,noun
Roa,Roa,properNoun
ju pli,quant més,subordinatingConjunction
Pedralba,Pedralba,properNoun
Felanitx,Felanitx,properNoun
Hétu,Hétu,properNoun
McLure,McLure,properNoun
Borriol,Borriol,properNoun
flavbekulo,xitxarel·lo,noun
leĝera,lleuger,adjective
Vallvé,Vallvé,properNoun
hoko,ganxo,noun
Desourdy,Desourdy,properNoun
Cárdenas,Cárdenas,properNoun
detrui,abrusar,verb
Lidia,Lidia,properNoun
Trull,Trull,properNoun
kiel,com ara,preposition
tenio,tènia,noun
somera,estiuenc,adjective
nekonato,desconegut,noun
Viña,Viña,properNoun
malsukcesa,infructuós,adjective
Samos,Samos,properNoun
kapuĉoĉapelo,capellina,noun
Sabadello,Sabadell,properNoun
Lou,Lou,properNoun
Villamanrique,Villamanrique,properNoun
Faucher,Faucher,properNoun
puno,pena,noun
Órgiva,Órgiva,properNoun
Lévi,Lévi,properNoun
alĥemiisto,alquimista,noun
Nogué,Nogué,properNoun
karaktero,caire,noun
safrani,ensafranar,verb
agento,agent,noun
senatenda,inesperat,adjective
Millás,Millás,properNoun
islamigo,islamització,noun
Pla,Pla,properNoun
severe,severament,adverb
kun la preteksto ke,amb el pretext que,subordinatingConjunction
Prudence,Prudence,properNoun
Matamala,Matamala,properNoun
kesto,capsa,noun
Wawrinka,Wawrinka,properNoun
Villalbilla de Gumiel,Villalbilla de Gumiel,properNoun
Chrétien,Chrétien,properNoun
tria,tercer,adjective
Cabrejas,Cabrejas,properNoun
Villanueva del Ariscal,Villanueva del Ariscal,properNoun
sud-koreo,sud-coreà,noun
senaktivigi,desactivar,verb
Jauvin,Jauvin,properNoun
Wylie,Wylie,properNoun
Larva,Larva,properNoun
Salar,Salar,properNoun
artiko,blegadissa,noun
Whitty,Whitty,properNoun
kontuzo,contusió,noun
katastrofa,catastròfic,adjective
pulmo,pulmó,noun
torpedi,torpedinar,verb
fanatike,fanàticament,adverb
Vilanova i la Geltrú,Vilanova i la Geltrú,properNoun
glukozo,glucosa,noun
mildigi,temperar,verb
agordi,configurar,verb
eŭnuko,eunuc,noun
