source,target,POS
meriti,merecer,verb
graflando,condado,noun
katastrofo,desastre,noun
Haoyu,Haoyu,properNoun
malvolvado,desenvolvimiento,noun
efiko,incidencia,noun
San Juan del Olmo,San Juan del Olmo,properNoun
marinaĵo,escabeche,noun
kurace,medicinalmente,adverb
burgundo,burgundio,noun
La Cuba,La Cuba,properNoun
migdalo,almendra,noun
Cabanillas del Campo,Cabanillas del Campo,properNoun
registarisma,oficialista,adjective
rilatigebla,relacionable,adjective
energidona,energético,adjective
Mogente,Mogente,properNoun
Serra de Daró,Serra de Daró,properNoun
Cooper,Cooper,properNoun
plilongigi,alargar,verb
Rossell,Rossell,properNoun
Armengou,Armengou,properNoun
Uruñuela,Uruñuela,properNoun
frondoriĉe,frondosamente,adverb
Softbank,Softbank,properNoun
procedi,procedi_proceder,verb
Soucy,Soucy,properNoun
mastri,ser amo,verb
Pinedas,Pinedas,properNoun
Juillet,Juillet,properNoun
Súñer,Súñer,properNoun
subteni,mantener,verb
boato,lancha,noun
antaŭa tago,víspera,noun
Carolina,Carolina,properNoun
paeljo,paella,noun
segregaciismo,segregacionismo,noun
frakcio,quebrado,noun
Alanio,Alania,properNoun
super,super,adjective
Gistaín,Gistaín,properNoun
formato,formato,noun
verso,verso,noun
Arbizu,Arbizu,properNoun
krii,chillar,verb
umado,movida,noun
Móra la Nova,Móra la Nova,properNoun
ĥemia,químico,adjective
elitisto,elitista,noun
Móra d'Ebre,Móra d'Ebre,properNoun
Paül,Paül,properNoun
deknaŭe,décimo novenamente,adverb
IU,IU,noun
atenti,tener cuidado,verb
Valentini,Valentini,properNoun
Chalifour,Chalifour,properNoun
Lagunaseca,Lagunaseca,properNoun
elmigrinto,emigrante,noun
historiografie,historiográficamente,adverb
Aris,Aris,properNoun
submetiĝo,sujeción,noun
masturbo,masturbación,noun
flegmo,cachaza,noun
Japan Tobacco,Japan Tobacco,properNoun
figuro,figura,noun
stalono,semental,noun
kontraŭtumulta,antidisturbios,adjective
kalkanumo,tacón,noun
Monast,Monast,properNoun
Gvineo,Guinea,properNoun
Villamañán,Villamañán,properNoun
Florido,Florido,properNoun
Estrany,Estrany,properNoun
Philips,Philips,properNoun
skribaĵo,escrito,noun
divido,escisión,noun
Benny,Benny,properNoun
Perich,Perich,properNoun
Abreu,Abreu,properNoun
Dayan,Dayan,properNoun
kapitulaci,capitular,verb
Laguardia,Laguardia,properNoun
Torre de Arcas,Torre de Arcas,properNoun
furiozi,estar furioso,verb
kondomo,condón,noun
Kessler,Kessler,properNoun
Crusellas,Crusellas,properNoun
mafiano,mafioso,noun
protekti,amparar,verb
Uxue,Uxue,properNoun
ami,querer a,verb
Puentedura,Puentedura,properNoun
Rastrojo,Rastrojo,properNoun
netaŭge,inadecuadamente,adverb
pepo,tuit,noun
Recuero,Recuero,properNoun
eksponencialo,exponencial,noun
Argelés,Argelés,properNoun
persekuti,hostigar,verb
Valencia de las Torres,Valencia de las Torres,properNoun
senbrida,sin riendas,adjective
amuzi,divertir,verb
forĵetaĵo,desecho,noun
rigida,yerto,adjective
Liérganes,Liérganes,properNoun
Santiuste,Santiuste,properNoun
duobla vo,uve doble,noun
antonimo,antónimo,noun
de Arriba,de Arriba,properNoun
Nord-Irlando,Irlanda del Norte,properNoun
Bouthillier,Bouthillier,properNoun
taŭga,adecuado,adjective
La Almolda,La Almolda,properNoun
signifo,acepción,noun
okullenso,cristalino,noun
Dagostino,Dagostino,properNoun
Benitagla,Benitagla,properNoun
elhejmigi,desahuciar,verb
kulpigi,inculpar,verb
Navalafuente,Navalafuente,properNoun
Jeannotte,Jeannotte,properNoun
Flowers,Flowers,properNoun
Carabantes,Carabantes,properNoun
Masía,Masía,properNoun
groteskaĵo,esperpento,noun
neforta,soso,adjective
fotometro,fotómetro,noun
skaleno,escaleno,noun
miliardo,mil millones,noun
Strabag,Strabag,properNoun
dependeco,dependencia,noun
partikulare,particularmente,adverb
aposteriora,a posteriori,adjective
Castroponce,Castroponce,properNoun
humuristo,humorista,noun
juĝa povo,poder judicial,noun
Chow,Chow,properNoun
Paradis,Paradis,properNoun
pomado,pomada,noun
gradigo,graduación,noun
Xenos,Xenos,properNoun
Monreal de Ariza,Monreal de Ariza,properNoun
elektrolito,electrolito,noun
