source,target,POS
intrigi,comploter,verb
sekreta,secret,adjective
neŭtraleco,neutralité,noun
kanabeno,linotte mélodieuse,noun
komforto,confort,noun
patrolando,patrie,noun
junulo,jeunes gens,noun
pie,pieusement,adverb
makako,macaque,noun
alkaloido,alcaloïde,noun
hidrozoo,hydrozoaire,noun
ebeno,plan,noun
balai,balayer,verb
Bangladeŝo,Bangladesh,properNoun
motorciklista,motocycliste,adjective
hirta,ébouriffé,adjective
mistifiko,mystification,noun
abunda,prolixe,adjective
ema,enclin,adjective
laŭ,en proportion de,preposition
paŭti,faire la moue,verb
alveno,arrivée,noun
ameli,amidonner,verb
kovi,nourrir,verb
veo,lamentation,noun
voli,vouloir,verb
eksplodaĵo,explosif,noun
elektrokemie,électrochimiquement,adverb
preskaŭ certe konverĝa,convergent presque sûrement,adjective
turbano,turban,noun
atike,attiquement,adverb
arbitracii,arbitrer,verb
reveturi,revenir,verb
ĉajoto,chouchou,noun
deŝovi,indenter,verb
Internacia Labor-Organizaĵo,OIT,properNoun
fine,en somme,adverb
senmanke,impeccablement,adverb
rakonto,récit,noun
sloveno,Slovène,noun
latenta,latent,adjective
China Datang,China Datang,properNoun
deĵorŝanĝo,relève,noun
komunikiĝi,être en rapport,verb
havi konfidon,en remettre,verb
Goussainville,Goussainville,properNoun
telero,soucoupe,noun
dikiĝi,grossir,verb
fruktoporta,fertile,adjective
enkovertigi,mettre sous pli,verb
postpalato,palais mou,noun
raspilo,râpe,noun
kinaĵo,film,noun
alkonformigi sin,conformer,verb
breto,rayon,noun
senĉesa,incessant,adjective
roji,ruisseler,verb
komisiono,commission,noun
portepeo,porteépée,noun
mantelo,manteau,noun
komandi,diriger,verb
funto,livre,noun
ibere,ibériquement,adverb
bulbo,bulbe,noun
glaŭko,bleu-vert,noun
referenco,référencement,noun
administra,administratif,adjective
impliki,entraver,verb
rektigilo,redresseur,noun
holografio,holographie,noun
numeri,numéroter,verb
destini,impartir,verb
ĉirkaŭbari,confiner,verb
hibrida,croisé,adjective
vidigi,montrer,verb
unutona,monotone,adjective
poa,à l'unité,adjective
akrobata,acrobatique,adjective
kosti,coûter,verb
koncentri sin,concentrer,verb
per multe da,à force de,preposition
lingvo,langage,noun
Justiniano,Justinien,properNoun
malavantaĝo,désavantage,noun
memdigno,amour-propre,noun
superbo,magnificence,noun
insisti,insister,verb
kanabaco,cannabacée,noun
rula,roulant,adjective
nigra merkato,marché noir,noun
plusendi,faire suivre,verb
primo,nombre premier,noun
muzikŝatanto,mélomane,noun
buldozo,bouteur,noun
ondobanejo,bain à remous,noun
kikeriki,faire cocorico,verb
kreaĵo,création,noun
vinberisto,vigneron,noun
altrudo,dépôt,noun
karesa,caressant,adjective
kvitanco,quittance,noun
betulo,bouleau,noun
malstreĉita,décontracté,adjective
milito,guerre,noun
koloro,coloris,noun
aŭguri,prévoir,verb
neorientita grafeo,graphe non orienté,noun
meleagro,dindon,noun
identa,identique,adjective
komenci,démarrer,verb
tute ne,point du tout,adverb
motorizi,motoriser,verb
disĵeti,éparpiller,verb
individualista,individualiste,adjective
okazigo,célébration,noun
dermatologio,dermatologie,noun
simulilo,simulateur,noun
ekstrakti,isoler,verb
fonduso,fonds,noun
albana,albanais,adjective
atmosfera,atmosphérique,adjective
