source,target,POS
trágicamente,trachicament,adverb
mejora,millora,noun
Amberes,Anvers,properNoun
aritmético,aritmetico,adjective
Aragón,Aragón,properNoun
tanto,tanto,adverb
invadir,invadir,verb
indulgentemente,indulchentment,adverb
Gorbachov,Gorbachov,properNoun
euro,euro,noun
conmigo,con yo,pronoun
Relleu,Relleu,properNoun
treinta y cuatro,trenta y quatro,numeral
Gonzales,Gonzales,properNoun
quemar,cremar,verb
Desirée,Desirée,properNoun
Oxfam,Oxfam,properNoun
Maón,Maón,properNoun
pensar,pensar,verb
revulsivamente,revulsivament,adverb
corta,grandaria,noun
revisable,revisable,adjective
abalizar,abalizar,verb
centrípeto,centripeto,adjective
procesamiento,procesamiento,noun
rechazable,refusable,adjective
litográficamente,litograficament,adverb
Jávea,Jávea,properNoun
como,como,preposition
criminología,criminolochía,noun
Martha,Martha,properNoun
perchero,penchador,noun
discriminatorio,discriminatorio,adjective
peritécticamente,peritecticament,adverb
pupila,nineta,noun
cilíndricamente,cilindricament,adverb
Bellcaire d'Urgell,Bellcaire d'Urgell,properNoun
inaugural,inaugural,adjective
repugnar,repugnar,verb
europeizadamente,europeizadament,adverb
jilguero,cardelina,noun
férreo,ferrio,adjective
indefinidamente,indefinidament,adverb
Boquer,Boquer,properNoun
cojonudo,collonudo,adjective
impredecible,impredictible,adjective
Tíbet,Tíbet,properNoun
los Alcázares,los Alcázares,properNoun
información,información,noun
enseñanza,amostranza,noun
esférico,esferico,adjective
Valldemossa,Valldemossa,properNoun
vicisitud,vicisitut,noun
listar,listar,verb
inaccesiblemente,inaccesiblement,adverb
Edimburgo,Edimburgo,properNoun
Sant Serni,Sant Serni,properNoun
Julià,Julià,properNoun
momentáneamente,momentaniament,adverb
ratón,rato,noun
restablecimiento,restablimiento,noun
obeso,obeso,adjective
Ibi,Ibi,properNoun
galleta,galleta,noun
Zeta,Zeta,properNoun
Vilafranca,Vilafranca,properNoun
inexorablemente,inexorablement,adverb
desempleo,desemplego,noun
Doherty,Doherty,properNoun
Calvin,Calvin,properNoun
Español,Español,properNoun
arabismo,arabismo,noun
interjección,interchección,noun
Corea del Norte,Corea d'o Norte,properNoun
Cambrils de Mar,Cambrils de Mar,properNoun
anotar,anotar,verb
celosía,zelosía,noun
seguro,seguro,adjective
Villalobos,Villalobos,properNoun
autofinanciación,autofinanciación,noun
competitivamente,competitivament,adverb
papelería,papelería,noun
Avinyó,Avinyón,properNoun
Guineueta,Guineueta,properNoun
Sarabia,Sarabia,properNoun
sonriente,sonrient,adjective
Vilamitjana,Vilamitjana,properNoun
Sóller,Sóller,properNoun
radiotelefónicamente,radiotelefonicament,adverb
proscribir,proscribir,verb
morir,morir,verb
sobresaliente,excelent,adjective
risa,risa,noun
embaucador,embabucador,adjective
rectitud,rectitut,noun
Ribes,Ribes,properNoun
boyantemente,prosperament,adverb
Comores,Comores,properNoun
macroeconómico,macroeconomico,adjective
invernal,hibernal,adjective
tibio,tebio,adjective
Piferrer,Piferrer,properNoun
Universidad Virtual de Verano,Universidad Virtual de Verano,properNoun
lesivamente,lesivament,adverb
salida,salida,noun
africado,africau,adjective
el Pinell de Brai,lo Pinell de Brai,properNoun
Aldazabal,Aldazabal,properNoun
borealmente,borealment,adverb
pacientemente,pacientment,adverb
Ellen,Ellen,properNoun
parisiense,parisino,adjective
Malta,Malta,properNoun
costear,pagar,verb
organizado,organizau,adjective
Pep,Pep,properNoun
Vallbona,Vallbona,properNoun
escénico,scenico,adjective
Sharif,Sharif,properNoun
Bicorb,Bicorb,properNoun
exministro,exministro,noun
veneración,veneración,noun
temático,tematico,adjective
Ania,Ania,properNoun
coral,coral,adjective
inhibición,inhibición,noun
indisponiblemente,indisponiblement,adverb
conspicuo,conspicuo,adjective
litigación,litigación,noun
desmovilización,desmobilización,noun
área,aria,noun
favor,favor,noun
Jerry,Jerry,properNoun
ocioso,ocioso,adjective
Arkotxa,Arkotxa,properNoun
inminentemente,imminentment,adverb
maravillosamente,marabillosament,adverb
Alcala,Alcala,properNoun
repudiable,repudiable,adjective
referente,referent,adjective
Alberic,Alberic,properNoun
independiente,independient,adjective
Penedés,Penedés,properNoun
disquisición,disquisición,noun
supervivientemente,supervivientment,adverb
tonalmente,tonalment,adverb
Azrael,Azrael,properNoun
arriba,alto,adverb
acerca de,sobre,preposition
Sambeat,Sambeat,properNoun
clasificar,clasificar,verb
titánico,titanico,adjective
Dolores,Dolores,properNoun
Pakistán,Pakistán,properNoun
monarquismo,monarquismo,noun
desocupación,desocupación,noun
regularidad,regularidat,noun
Navigator,Navigator,properNoun
farmacéutico,farmaceutico,noun
platinadamente,platinadament,adverb
frescamente,frescament,adverb
escarlatina,escarlatina,noun
Sant Miquel de la Vall,Sant Miquel de la Vall,properNoun
reevaluación,reavaluación,noun
Antonia,Antonia,properNoun
jovialmente,chovialment,adverb
Bogotá,Bogotá,properNoun
Etxegoien,Etxegoien,properNoun
Maggie,Maggie,properNoun
firmar,sinyar,verb
formulismo,formulismo,noun
vajilla,vaixiella,noun
importación,importación,noun
rendija,fendilla,noun
prevaricadoramente,prevaricadorament,adverb
Pau,Pau,properNoun
Olmo,Olmo,properNoun
temporizador,temporizador,noun
inferior,inferior,adjective
Bardem,Bardem,properNoun
tarifa,tarifa,noun
por supuesto,pro,adverb
concorde,concorde,adjective
Lisipo,Lisipo,properNoun
ambiente,ambient,noun
boa,boa,noun
librero,librero,noun
inmortalidad,immortalidat,noun
acta,acta,noun
malo,malo,adjective
Peralbo,Peralbo,properNoun
por más que,por mas que,subordinatingConjunction
detenido,deteniu,adjective
cerca de,amán de,preposition
Molina de Segura,Molina de Segura,properNoun
díscolo,discolo,adjective
Olivella,Olivella,properNoun
rizar,frisar,verb
industrialmente,industrialment,adverb
Kubica,Kubica,properNoun
permitir,permitir,verb
transposición,transposición,noun
comedia,comedia,noun
alarmar,alarmar,verb
predominancia,predominancia,noun
acercamiento,amanamiento,noun
Bengaluru,Bengaluru,properNoun
evangélicamente,evanchelicament,adverb
lubricantemente,lubrificantment,adverb
conciliar,conciliar,verb
Sant Romà d'Abella,Sant Romà d'Abella,properNoun
Patricia,Patricia,properNoun
fonográficamente,fonograficament,adverb
Bienvenida,Bienvenida,properNoun
sépticamente,septicament,adverb
Scarlett,Scarlett,properNoun
cancilleresco,cancilleresco,adjective
papelera,papelera,noun
Montferri,Montferri,properNoun
Vinyols,Vinyols,properNoun
Marcelino,Marcelino,properNoun
Brasilia,Brasilia,properNoun
voltereta,volteta,noun
Vilajoana,Vilajoana,properNoun
manipulable,manipulable,adjective
conducción,conducción,noun
Mohamed,Mohamed,properNoun
planta del pie,soleta,noun
Sagàs,Sagàs,properNoun
Puigcerdá,Puigcerdá,properNoun
vulgarismo,vulgarismo,noun
exclusiva,exclusiva,noun
briosamente,rasmiudament,adverb
izquierdo,cucho,adjective
resonante,resonant,adjective
escanear,escaniar,verb
subestructura,substructura,noun
km²,km²,noun
aseveración,aseveración,noun
concurrente,concurrent,adjective
longitudinal,lonchitudinal,adjective
monótono,monotono,adjective
bonificación,bonificación,noun
nuboso,nuble,adjective
acritud,acritut,noun
fúnebre,funebre,adjective
Ecclestone,Ecclestone,properNoun
suavización,suavización,noun
Sala,Sala,properNoun
desarmar,desarmar,verb
de jure,de iure,adverb
Larreula,Larreula,properNoun
Toulouse-Lautrec,Toulouse-Lautrec,properNoun
Opentrad,Opentrad,properNoun
Mejía,Mejía,properNoun
lícito,licito,adjective
ermita,ermita,noun
Urús,Urús,properNoun
preservador,preservador,adjective
jactar,avantar,verb
magníficamente,magnificament,adverb
Varea,Varea,properNoun
sigla,sigla,noun
firmeza,firmeza,noun
Roser,Roser,properNoun
microorganismo,microorganismo,noun
recuerdo,acordanza,noun
Chacón,Chacón,properNoun
netamente,netament,adverb
Benafer,Benafer,properNoun
abdominalmente,abdominalment,adverb
inviable,inviable,adjective
desinfectar,desinfectar,verb
higiene,hichiene,noun
intrahospitalariamente,intrahospitalariament,adverb
Jerez,Jerez,properNoun
índice,indiz,noun
prometer,prometer,verb
exacción,exacción,noun
apacible,afable,adjective
inconexo,inconnexo,adjective
secretario,secretario,noun
Keita,Keita,properNoun
el Ràfol de Salem,lo Ràfol de Salem,properNoun
remotamente,remotament,adverb
contradictorio,contradictorio,adjective
electromecánicamente,electromecanicament,adverb
prudencialmente,prudencialment,adverb
Abuya,Abuya,properNoun
Toga,Toga,properNoun
CCUC,CCUC,properNoun
nominal,nominal,adjective
trisección,trisección,noun
participante,participant,noun
paritario,paritario,adjective
Lucena del Cid,Lucena del Cid,properNoun
suyo,lur,possessivePronoun
suyo,lur,determiner
suyo,lur,possessivePronoun
suyo,lur,determiner
suyo,lur,possessivePronoun
suyo,lur,determiner
suyo,lur,possessivePronoun
suyo,lur,determiner
paciencia,paciencia,noun
aunque,anque,subordinatingConjunction
