source,target,POS
escondedor,escondedor,adjective
robledar,rebollar,noun
barrabasada,barrabasada,noun
a trancas y barrancas,a xataes,adverb
hacia fuera,pa escontra fora,adverb
nuberu,ñuberu,noun
niñada,rapazada,noun
alteración,alteriadura,noun
pascua,pascua,noun
indefensión,indefensión,noun
ultraderecha,ultraderecha,noun
electricidad,eletricidá,noun
desinencial,desinencial,adjective
viernes,vienres,noun
castellanohablante,castellanofalante,adjective
gastronomía,gastronomía,noun
lisonja,afalagamientu,noun
rotación,rotación,noun
intendencia,intendencia,noun
dibujador,dibuxador,adjective
provocativo,provocatible,adjective
capellanía,capellanía,noun
amontonar,atropar,verb
campanada,campanada,noun
mimar,acancallar,verb
preparado,preparáu,noun
reagrupamiento,reagrupamientu,noun
granito,granín,noun
bregar,bregar,verb
fugaz,fugaz,adjective
pirata,pirata,adjective
reumatólogo,reumatólogu,adjective
abono,abonamientu,noun
subdelegado,sodelegáu,noun
hectómetro,hectómetru,noun
plurianual,tresañal,adjective
bagazo,poxa,noun
extravagante,estravagante,adjective
descartable,descartable,adjective
psicomotriz,psicomotriz,adjective
tomatera,tomatal,noun
casería,casería,noun
vivienda,vivienda,noun
componer,tresnar,verb
zoólogo,zoólogu,noun
lechuga,llechuga,noun
matraca,matraca,noun
transportable,tresportable,adjective
mostrenco,mostrencu,adjective
lentilla,lentilla,noun
identidad,identidá,noun
despotricador,espotricador,adjective
hurgar,escarabicar,verb
descifrar,descifrar,verb
perejil,perrexil,noun
tesalio,tesaliu,adjective
antroxador,antroxador,adjective
violación,violación,noun
cadena,calamiyera,noun
tejer,texer,verb
azapatado,azapatáu,adjective
esperable,esperable,adjective
pelaje,pelaxe,noun
cuidado,curiu,noun
niño,neñu,noun
dermatosis,dermatosis,noun
chiste,chiste,noun
pocho,pochu,adjective
ola,fola,noun
spray,esprái,noun
descarcañalar,escalcañar,verb
ración,ración,noun
tenaz,aportunante,adjective
superable,superable,adjective
defraudación,defraudación,noun
ecuestre,ecuestre,adjective
cogote,cogote,noun
desde su más tierna infancia,dende bien neñu,adverb
firmar,roblar,verb
novena,novena,noun
adverbio,alverbiu,noun
tono,tonu,noun
escepticismo,escepticismu,noun
palometa,palombeta,noun
breña,argañal,noun
tipógrafo,tipógrafu,noun
arañón,arañón,noun
renal,renal,adjective
cuarteta,cuarteta,noun
tutor,tutor,noun
por ejemplo,por exemplu,adverb
fisgar,chisbar,verb
cornear,puñar,verb
costumbrismo,costumismu,noun
llaneza,llaneza,noun
ánimo,ánimu,noun
incomparable,incomparable,adjective
amojonador,finsador,adjective
salvador,salvador,adjective
extensor,estensor,adjective
mordedura,mordedura,noun
improvisto,improvistu,adjective
diente,diente,noun
resolver,resolver,verb
edafológico,edafolóxicu,adjective
teosofía,teosofía,noun
pantocrátor,pantocrátor,noun
por un lado,per un sitiu,adverb
alfareme,alfareme,noun
unilineal,unillinial,adjective
cimentación,cimentación,noun
trasladar,treslladar,verb
apostillar,repostiar,verb
egiptólogo,exiptólogu,adjective
piritoso,piritosu,adjective
a cada instante,a cada poco,adverb
San Emeterio,Santu Medero,properNoun
calavera,calavera,noun
lastre,llastre,noun
semidiós,semidiós,noun
prevalecer,prevalecer,verb
alistano,alistanu,adjective
conoidal,conoidal,adjective
imaginación,maxinación,noun
Giménez,Giménez,properNoun
criador,criador,adjective
polimérico,poliméricu,adjective
encaramado,engaramáu,adjective
Libardón,Lliberdón,properNoun
descalzar,descalzar,verb
grosero,bastu,adjective
activo,activu,adjective
martirologio,martiroloxu,noun
finar,finar,verb
