source,target,POS
monotonía,monotonía,noun
loco,louco,adjective
lanzar,lanzar,verb
Iter,Iter,noun
magnitud,magnitude,noun
Gabriel,Gabriel,properNoun
El Bosque,El Bosque,properNoun
interlineal,interlineal,adjective
Audrey,Audrey,properNoun
egipcio,exipcio,noun
Monterrubio de la Sierra,Monterrubio de la Sierra,properNoun
multicelular,multicelular,adjective
tonalidad,tonalidade,noun
Villanueva del Fresno,Villanueva del Fresno,properNoun
Ferrería,Ferrería,properNoun
impasible,impasíbel,adjective
arquitectura,arquitectura,noun
inevitablemente,inevitabelmente,adverb
octosilábico,octosilábico,adjective
prototipo,prototipo,noun
estenográfico,estenográfico,adjective
hambruna,fame negra,noun
alcista,alcista,adjective
triclínico,triclínico,adjective
Iturgaiz,Iturgaiz,properNoun
apuntalamiento,apontoamento,noun
gnóstico,gnóstico,adjective
presente,presente,noun
pelotón,pelotón,noun
Arroba de los Montes,Arroba de los Montes,properNoun
de bote en bote,ata os topes,adverb
IVA,IVE,noun
Bolonia,Bolonia,properNoun
como una lapa,como a cotra,adverb
bici,bici,noun
numerado,numerado,adjective
notarial,notarial,adjective
arabesco,arabesco,adjective
Manresa,Manresa,properNoun
sesquiáltero,sesquiáltero,adjective
Lupa,Lupa,properNoun
dilatable,dilatable,adjective
lograr,lograr,verb
vitaminado,vitaminado,adjective
tener mala suerte,ter mala sorte,verb
carisma,carisma,noun
asteroide,asteroide,noun
desove,desova,noun
Mercagalicia,Mercagalicia,properNoun
fenomenal,fenomenal,adjective
creatividad,creatividade,noun
RFEF,RFEF,noun
Cipollini,Cipollini,properNoun
Albacete,Albacete,properNoun
dial,dial,noun
Borobó,Borobó,properNoun
integrismo,integrismo,noun
Dylan,Dylan,properNoun
estructurar,estruturar,verb
La Alamedilla,La Alamedilla,properNoun
Teiraboa,Teiraboa,properNoun
posta,posta,noun
INT,INT,properNoun
inspirable,inspirable,adjective
Villalba del Alcor,Villalba del Alcor,properNoun
jurado,xurado,adjective
usurpar,usurpar,verb
jardinería,xardinería,noun
aval,aval,noun
reciclado,reciclado,adjective
acromatizar,acromatizar,verb
farisaico,farisaico,adjective
dactilar,dactilar,adjective
Amancio,Amancio,properNoun
mientras,entrementres,subordinatingConjunction
recorrible,recorrible,adjective
analizable,analizábel,adjective
incapaz,incapaz,adjective
canal,canle,noun
higrométrico,higrométrico,adjective
mucho,moito,pronoun
mucho,moito,determiner
A Peroxa,A Peroxa,properNoun
necesidad,necesidade,noun
fermentable,fermentable,adjective
impetiginoso,impetixinoso,adjective
colector,colector,adjective
jubilación,retiro,noun
abocado,abocado,adjective
inculpable,inculpable,adjective
La Hiniesta,La Hiniesta,properNoun
fenotípico,fenotípico,adjective
brecha,brecha,noun
apartadizo,apartadizo,adjective
Olmos,Olmos,properNoun
escribir,escribir,verb
alumbrar,alumear,verb
palatino,palatino,adjective
Robinho,Robinho,properNoun
alaricano,allaricense,noun
desenrollar,desenrolar,verb
prevalecer,prevalecer,verb
muchísimo,moitísimo,adverb
acocear,coucear,verb
Hitler,Hitler,properNoun
individualizado,individualizado,adjective
pradera,pradería,noun
diastáltico,diastáltico,adjective
descansar,descansar,verb
jerezano,xerezano,adjective
Murphy,Murphy,properNoun
titanífero,titanífero,adjective
cuadrimestral,cuadrimestral,adjective
siniestralidad,sinistralidade,noun
marcescible,marcescible,adjective
impugnable,impugnable,adjective
diccionario,dicionario,noun
catóptrico,catóptrico,adjective
empañar,embazar,verb
desprender,desprender,verb
idolátrico,idolátrico,adjective
lítico,lítico,adjective
chasco,chasco,noun
indisculpable,indesculpable,adjective
antropométrico,antropométrico,adjective
participante,participante,noun
sufrible,sufrible,adjective
regenerativo,rexenerativo,adjective
aulario,aulario,noun
Corbaceiras,Corbaceiras,properNoun
decepción,decepción,noun
Loreto,Loreto,properNoun
ocultación,ocultación,noun
Prado del Rey,Prado del Rey,properNoun
neroniano,neroniano,adjective
gracias a,grazas a,subordinatingConjunction
sitiar,cercar,verb
científicamente,cientificamente,adverb
ronco,rouco,adjective
pasado,falmaguento,adjective
estanque,estanque,noun
desarticular,desarticular,verb
irrecuperable,irrecuperable,adjective
epiléptico,epiléptico,adjective
surrealista,surrealista,adjective
potásico,potásico,adjective
abatible,abatíbel,adjective
ironía,sorna,noun
propensión,propensión,noun
existencial,existencial,adjective
ebrio,ebrio,adjective
cardiorrespiratorio,cardiorrespiratorio,adjective
surfista,surfeiro,noun
vasto,vasto,adjective
tramitación,tramitación,noun
indeliberado,indeliberado,adjective
criptográfico,criptográfico,adjective
insostenible,insustentábel,adjective
lateranense,lateranense,adjective
El Royo,El Royo,properNoun
divorcio,divorcio,noun
Lavadores,Lavadores,properNoun
chulo,chulo,noun
virtual,virtual,adjective
asa,asa,noun
madurar,madurar,verb
extraoficial,extraoficial,adjective
centroderecha,centrodereita,noun
enzimático,encimático,adjective
pajizo,palloso,adjective
chocolatería,chocolataría,noun
comediante,comediante,noun
bisutería,bixutería,noun
ensanche,ensanche,noun
Cantón,Cantón,properNoun
extra,extra,adjective
vehicular,vehicular,adjective
desintegrador,desintegrador,adjective
Formoso,Formoso,properNoun
Mota del Cuervo,Mota del Cuervo,properNoun
diferencial,diferencial,noun
amedrentador,amedrentador,adjective
sus series,as súas series,adverb
agrocomercial,agrocomercial,adjective
Campillo,Campillo,properNoun
lenticular,lenticular,adjective
inimitable,inimitábel,adjective
retrasado,atrasado,adjective
Brañas,Brañas,properNoun
brecha digital,fenda dixital,noun
Herrera,Herrera,properNoun
sobriedad,sobriedade,noun
Ellen,Ellen,properNoun
reeducable,reeducable,adjective
discriminar,discriminar,verb
Ferrer,Ferrer,properNoun
La Puebla del Río,La Puebla del Río,properNoun
esta presente semana,esta semana,adverb
moreno,moreno,noun
fisterrán,fisterrán,adjective
escoriáceo,escoriáceo,adjective
Nabil,Nabil,properNoun
plica,plica,noun
Saw,Saw,properNoun
garzo,garzo,adjective
páncreas,páncreas,noun
estrenar,estrear,verb
subcomité,subcomité,noun
futurible,futuríbel,adjective
plantar,plantar,verb
abductor,abdutor,adjective
Narciso,Narciso,properNoun
aislante,illante,adjective
tarado,tarado,adjective
almuerzo,xantar,noun
y eso que,e iso que,subordinatingConjunction
en buena ley,en boa lei,adverb
reorientar,reorientar,verb
sudamericano,suramericano,adjective
esporífero,esporífero,adjective
psicología,psicoloxía,noun
eximir,eximir,verb
eficiente,eficiente,adjective
amapola,mapoula,noun
per se,per se,adverb
PGOM,PGOM,noun
Moratinos,Moratinos,properNoun
rizomatoso,rizomatoso,adjective
sahariano,sahariano,adjective
dos,dous,numeral
de golpe,de vez,adverb
media noche,media noite,adverb
botica,botica,noun
nada más que,máis nada que,adverb
divisional,divisional,adjective
infantil,infantil,adjective
vagón,vagón,noun
indelicado,indelicado,adjective
bicentenario,bicentenario,noun
Badajoz,Badaxoz,properNoun
poltrona,poltrona,noun
estereotipo,estereotipo,noun
extraterrestre,extraterrestre,adjective
potabilizador,potabilizador,adjective
Lila,Lila,properNoun
Nino,Nino,properNoun
Clavijo,Clavijo,properNoun
Holly,Holly,properNoun
injuriar,inxuriar,verb
componente,compoñente,noun
pensador,pensador,adjective
colectivista,colectivista,noun
Monti,Monti,properNoun
kit,kit,noun
Fontecha,Fontecha,properNoun
indefinido,indefinido,adjective
faena,faena,noun
hartante,farturento,adjective
explorable,explorable,adjective
proporcionado,proporcionado,adjective
Santar,Santar,properNoun
comunista,comunista,adjective
inigualable,inigualable,adjective
Asbury,Asbury,properNoun
contraponer,contrapor,verb
refrigeración,refrixeración,noun
sobredosis,sobredose,noun
germinal,xerminal,adjective
técnico,técnico,adjective
menisco,menisco,noun
Boqueixón,Boqueixón,properNoun
subyugante,subxugante,adjective
prepucial,prepucial,adjective
bucal,bucal,adjective
abakuá,abakuá,noun
estanco,estanco,adjective
proscrito,proscrito,adjective
Riofrío del Llano,Riofrío del Llano,properNoun
balanceo,abalo,noun
Bercianos del Páramo,Bercianos del Páramo,properNoun
billón,billón,noun
tipográfico,tipográfico,adjective
Alcobendas,Alcobendas,properNoun
asexuado,asexuado,adjective
subsistencia,subsistencia,noun
Pinario,Pinario,properNoun
casi,case,adverb
ciliar,ciliar,adjective
refractario,refractario,adjective
centrocampista,centrocampista,noun
puertorriqueño,portorriqueño,noun
corzo,corzo,noun
ninfal,ninfal,adjective
Donosti,Donosti,properNoun
definir,definir,verb
crear,crear,verb
betanceiro,betanceiro,adjective
demora,demora,noun
pacífico,pacífico,adjective
Msp,Msp,noun
Frades,Frades,properNoun
curvilíneo,curvilíneo,adjective
arsenioso,arsenioso,adjective
manar,manar,verb
fundir,fundir,verb
Abu,Abu,properNoun
prever,prever,verb
gramofónico,gramofónico,adjective
ondeante,ondeante,adjective
camerunés,camerunés,noun
tropiezo,tropezo,noun
La Revilla y Ahedo,La Revilla y Ahedo,properNoun
cuidadosamente,coidadosamente,adverb
preceder,preceder,verb
inelegible,inelixible,adjective
lentamente,lentamente,adverb
imposición,imposición,noun
vocablo,vocábulo,noun
Orriols,Orriols,properNoun
amonestador,amoestador,adjective
napoleónico,napoleónico,adjective
ceense,ceense,noun
Villanueva de la Serena,Villanueva de la Serena,properNoun
águila,aguia,noun
Santa María de la Vega,Santa María de la Vega,properNoun
jorobado,chepudo,adjective
gafo,gafeño,adjective
negar,negar,verb
reiterar,reiterar,verb
equívoco,equívoco,adjective
negrero,negreiro,noun
medalla,medalla,noun
inconfundiblemente,inconfundiblemente,adverb
estival,estival,adjective
desdeñoso,desdeñoso,adjective
viperino,viperino,adjective
sonajero,axóuxere,noun
Cerecinos del Carrizal,Cerecinos del Carrizal,properNoun
menos,menos,adverb
Mortensen,Mortensen,properNoun
regularidad,regularidade,noun
campo,agro,noun
aducible,aducible,adjective
mugardés,mugardés,noun
sentimiento,sentimento,noun
alusión,alusión,noun
ahusado,afusado,adjective
planeta,planeta,noun
cebra,cebra,noun
uralita,uralita,noun
flojo,trocho,adjective
tercermundista,terceiromundista,adjective
fragmento,fragmento,noun
desmontable,desmontable,adjective
escandalizar,escandalizar,verb
Jake,Jake,properNoun
olimpismo,olimpismo,noun
Aspamite,Aspamite,properNoun
cohesivo,cohesivo,adjective
nestoriano,nestoriano,adjective
desparramar,esparexer,verb
privilegio,privilexio,noun
federal,federal,adjective
tinta,tinta,noun
Financial,Financial,properNoun
sofisticar,sofisticar,verb
pujanza,puxanza,noun
Honrubia,Honrubia,properNoun
Abilleira,Abilleira,properNoun
net,net,noun
psicólogo,psicólogo,noun
jamás de los jamases,nunca na vida,adverb
basta ya,xa abonda,adverb
glanduloso,glanduloso,adjective
convento,convento,noun
cístico,cístico,adjective
superior,superior,noun
imperecedero,imperecedoiro,adjective
teluroso,teluroso,adjective
Torremocha del Pinar,Torremocha del Pinar,properNoun
Abla,Abla,properNoun
conciudadano,concidadán,noun
de rodillas,de xeonllos,adverb
desembarazado,desembarazado,adjective
rememorar,rememorar,verb
Fide,Fide,properNoun
Palazuelos de la Sierra,Palazuelos de la Sierra,properNoun
arrimar,arrimar,verb
grabador,gravador,noun
cristalero,cristaleiro,noun
trasnacional,transnacional,adjective
restaurable,restaurable,adjective
evasión,evasión,noun
en trance,en transo,adverb
sintetizable,sintetizábel,adjective
indomesticable,indomesticable,adjective
peñascoso,penedoso,adjective
delincuente,delincuente,noun
en setiembre,en setembro,adverb
Las Pedrosas,Las Pedrosas,properNoun
por entero,de maneira total,adverb
fluir,fluír,verb
absidial,absidal,adjective
Navas del Madroño,Navas del Madroño,properNoun
careciente,carecente,adjective
pizarrera,louseira,noun
Vallés,Vallés,properNoun
anular,anular,adjective
inauténtico,inauténtico,adjective
trampolín,trampolín,noun
recluso,recluso,adjective
flauta,frauta,noun
abstemio,abstemio,adjective
hioideo,hioideo,adjective
bizco,birollo,adjective
Orwell,Orwell,properNoun
Dobarro,Dobarro,properNoun
Newell,Newell,properNoun
se le condenó a muerte,condenóuselle á morte,adverb
radiante,radiante,adjective
estampador,estampador,adjective
Boullosa,Boullosa,properNoun
espantosamente,espantosamente,adverb
anagramático,anagramático,adjective
Fuencarral,Fuencarral,properNoun
anteproyecto,anteproxecto,noun
Xaco,Xaco,properNoun
proseguir,proseguir,verb
hasta el gorro,ata os cumios,adverb
Jagger,Jagger,properNoun
meteorológico,meteorolóxico,adjective
intruso,intruso,adjective
abrileño,abrileiro,adjective
Ferrera,Ferrera,properNoun
soleado,sollío,adjective
humillante,humillante,adjective
calorífero,calorífero,adjective
alaricano,allaricense,adjective
interpelar,interpelar,verb
Las Navas de la Concepción,Las Navas de la Concepción,properNoun
duatlón,dúatlon,noun
News,News,properNoun
comillas,comiñas,noun
relación,relación,noun
inmolar,inmolar,verb
inextinto,inextinto,adjective
explotable,explotable,adjective
emoliente,emoliente,adjective
lanza,lanza,noun
Pichi,Pichi,properNoun
pimpante,pimpante,adjective
deslenguado,deslinguado,adjective
incoercible,incoercíbel,adjective
diluvial,diluvial,adjective
romería,romaría,noun
ingresar,ingresar,verb
paridad,paridade,noun
director,director,adjective
aconchabar,confabular,verb
guía,guía,noun
máscara,máscara,noun
dolorosamente,dolorosamente,adverb
exclusión,exclusión,noun
afásico,afásico,adjective
Cee,Cee,properNoun
Rajoy,Rajoy,properNoun
expulsivo,expulsivo,adjective
Frank,Frank,properNoun
malo,malo,adjective
inefable,inefábel,adjective
revivir,revivir,verb
peñascoso,peneleiro,adjective
baldío,baldío,adjective
bufanda,bufanda,noun
Alicia,Alicia,properNoun
dónde están,ulas,adverb
