source,target,POS
a la vez,în același moment,adverb
abofetear,pocni,verb
entontecer,tembeliza,verb
sefardí,sefard,adjective
por cuánta vez,pentru a câta oară,adverb
habitáculo,habitaclu,noun
renunciar,renunța,verb
articulación,articulare,noun
luchador,luptător,adjective
chárter,charter,noun
apenas ahora,de-abia acum,adverb
bicho,gâză,noun
trance,transă,noun
implacable,implacabil,adjective
seguridad,securitate,noun
confundir,confunda,verb
necio,nerod,noun
estilizar,stiliza,verb
favorable,favorabil,adjective
prosperar,prospera,verb
neo-objetivismo,neoobiectivism,noun
metálico,metalic,adjective
Murgeanu,Murgeanu,properNoun
tema,temă,noun
solicitante,solicitant,noun
adherencia,aderență,noun
meditar,medita,verb
cazar furtivamente,bracona,verb
nominalización,nominalizare,noun
torturador,chinuitor,adjective
subprefecto,subprefect,noun
en la escala de la evolución,pe scara evoluției,adverb
en su opinión,după părerea lor,adverb
manufactura,manufactură,noun
que nunca,decât oricând,adverb
hipnotismo,hipnotism,noun
Balatón,Balaton,properNoun
abrasador,dogorâtor,adjective
ahorrador,econom,adjective
frecuente,frecvent,adjective
nombramiento,desemnare,noun
privatización,privatizare,noun
gorro,căciulă,noun
reaparición,reapariție,noun
índole,natură,noun
filosófico,filosofic,adjective
vejar,vexa,verb
egoísmo,egoism,noun
bádminton,badminton,noun
obedecer,asculta,verb
oscilante,oscilant,adjective
epitafio,epitaf,noun
necropsia,necropsie,noun
par,pereche,noun
cortar,tăia,verb
toalla,prosop,noun
río,fluviu,noun
pedigueño,pomanagiu,noun
característica,caracteristică,noun
deshacer,desface,verb
alterar,altera,verb
león,leu,noun
asesinar,asasina,verb
km,km,adverb
indicación,indicație,noun
salvo,teafăr,adjective
ciudadano,orășean,noun
tedio,plictis,noun
chapucear,rasoli,verb
gorrión,vrabie,noun
todas juntas,cu toatele,adverb
hieromonje,ieromonah,noun
traer al buen camino,da pe brazdă,verb
finanza,finanță,noun
agresor,atacator,noun
victimizar,victimiza,verb
cocodrilo,crocodil,noun
postal,poștal,adjective
vestíbulo,vestibul,noun
conducto,conductă,noun
bendición,binecuvântare,noun
colombiano,columbian,adjective
lapidario,lapidar,adjective
seleccionador,selecționer,noun
magnamidad,mărinimie,noun
vaca,vacă,noun
intranquilidad,neliniște,noun
naturalmente,firește,adverb
cuerpo,corp,noun
disco,disc,noun
albúmina,albumină,noun
premio,premiu,noun
cortar el pelo,tunde,verb
torpor,moleșeală,noun
compadre,confrate,noun
calvo,chel,adjective
lenguaje,limbaj,noun
ecuación,ecuație,noun
ensordecer,asurzi,verb
grupito,grupuleț,noun
tender,așterne,verb
majadero,netot,noun
panificación,panificare,noun
diurético,diuretic,adjective
improvisado,improvizat,adjective
chalupa,șalupă,noun
aliar,alia,verb
galvanómetro,galvanometru,noun
arraigo,încetățenire,noun
micromonografía,micromonografie,noun
roca,rocă,noun
rotonda,rotondă,noun
temporada,sezon,noun
sublime,sublim,adjective
exorbitante,exorbitant,adjective
candidato,candidat,noun
cerrar el trato,bate palma,verb
ciego,orb,noun
broma,glumă,noun
resultante,rezultantă,noun
falsete,falset,noun
plana,planșă,noun
ciento,o sută,numeral
hecho,fapt,noun
país candidato,țară candidată,noun
aromatizante,aromatizant,adjective
antena,antenă,noun
gángster,gangster,noun
exigir,cere,verb
embargo,embargo,noun
incomodidad,disconfort,noun
cese,încetare,noun
térmico,termic,adjective
insultado,insultat,adjective
despilfarrador,cheltuitor,adjective
así llamada,așa-zisa,adverb
reservar,rezerva,verb
resplandor,strălucire,noun
resolución,rezoluție,noun
no gubernamental,non-guvernamental,adjective
malgastar,risipi,verb
surrealista,suprarealist,noun
protesta,protest,noun
profano,profan,adjective
orgasmo,orgasm,noun
higienista,igienist,adjective
hebreo,ebraic,adjective
reñido,certat,adjective
cobarde,laș,adjective
traviesa,traversă,noun
autentificar,autentifica,verb
contribución,contribuție,noun
ebullición,clocot,noun
medallón,medalion,noun
arquetipo,arhetip,noun
nómada,nomad,noun
red,rețea,noun
a expensas de,pe seama,preposition
crisis,criză,noun
onanismo,onanism,noun
meado,pișat,noun
veintiséis,douăzeci și șase,numeral
neobarroco,neobaroc,noun
tarea,sarcină,noun
perjudicial,dăunător,adjective
crema,cremă,noun
sucesor,succesor,noun
adormecer,adormi,verb
decorador,decorator,noun
taller,atelier,noun
desestructurar,destructura,verb
periodista,ziarist,noun
elusión,eludare,noun
romanizar,romaniza,verb
mastín,dulău,noun
soterrar,îngropa,verb
constructor,constructor,noun
cubismo,cubism,noun
reunir,întruni,verb
comedia,comedie,noun
codicioso,jinduitor,adjective
especie,speță,noun
matrimonio,mariaj,noun
gel,gel,noun
sustraer,sustrage,verb
consorcio,concern,noun
sudario,giulgiu,noun
en absoluto,deloc,adverb
instrucción,instruire,noun
os,vi,pronoun
junto a,alături de,preposition
aldea,sat,noun
estado,land,noun
transitable,carosabil,adjective
tricornio,tricorn,noun
inventariar,catagrafia,verb
pecuniario,pecuniar,adjective
programático,programatic,adjective
masoquista,masochist,adjective
tratamiento,tratare,noun
incuestionable,necontestat,adjective
atizar,ațâța,verb
victoria,izbândă,noun
buhardilla,mansardă,noun
multitud,noian,noun
encajar,potrivi,verb
blancuzco,alburiu,adjective
transilvano,transilvănean,adjective
se trata de,este vorba despre,preposition
cubista,cubist,adjective
neurología,neurologie,noun
limitar,îngrădi,verb
lacado,lăcuit,adjective
catolicismo,catolicism,noun
perjuicio,prejudiciu,noun
loar,slăvi,verb
buceador,scufundător,noun
copropietario,coproprietar,noun
púnico,punic,adjective
sacar a luz,scoate la iveală,verb
podrido,putrezit,adjective
instrucción,instrucțiune,noun
restringir,restrânge,verb
de pura cepa,get-beget,adverb
tacita,ceșcuță,noun
lúdico,ludic,adjective
artificio,artificiu,noun
autocrítica,autocritică,noun
instalación,instalație,noun
música sacra,muzică sacră,noun
huracán,uragan,noun
narración,narațiune,noun
suave,suav,adjective
sobregarantizar,supragaranta,verb
vulgaridad,vulgaritate,noun
convergencia,convergență,noun
tranvía,tramvai,noun
lanzar,avânta,verb
antisocial,antisocial,adjective
invasor,invadator,noun
con miramientos,cu menajamente,adverb
jockey,jocheu,noun
Bush,Bush,properNoun
calvície,chelie,noun
esperar,spera,verb
poema,poemă,noun
asmático,astmatic,adjective
alojar,caza,verb
estrella,stea,noun
eficiencia,eficiență,noun
población gitana,populație romă,noun
impresionar,impresiona,verb
balada,baladă,noun
reminiscencia,reminiscență,noun
esponsorización,sponsorizare,noun
pórtico,portic,noun
conducta,purtare,noun
listado,listă,noun
transportista,transportor,noun
claustrar,claustra,verb
terquedad,îndărătnicie,noun
naranjada,oranjadă,noun
imponderado,neponderat,adjective
activismo,activism,noun
comprensible,comprehensibil,adjective
prójimo,seamăn,noun
transliterar,translitera,verb
draconiano,draconic,adjective
Armenia,Armenia,properNoun
asombrar,uimi,verb
abrigo,palton,noun
chiquillo,băiețel,noun
punzada,împunsătură,noun
vicario,vicar,noun
reparable,reparabil,adjective
tango,tango,noun
zapatero,pantofar,noun
superponer,suprapune,verb
participar,participa,verb
espiga,spic,noun
basculante,basculant,adjective
pringoso,năclăit,adjective
torcido,strâmb,adjective
trivial,trivial,adjective
radar,radar,noun
deshonrar,necinsti,verb
libanés,libanez,noun
sin reivindicar,nerevendicat,adjective
secreción,secreție,noun
aun cuando,chiar și în cazul în care,subordinatingConjunction
cancelado,contramandat,adjective
número,număr,noun
fenicio,fenician,noun
fatalidad,fatalitate,noun
recobrar,recăpăta,verb
