source,target,POS
arazo,problema,noun
kontinental,continental,adjective
bihotzeko,cordial,adjective
nekazaritza,agricultura,noun
ase,saciar,verb
finko,fijo,adjective
inspiratu,inspirar,verb
egin,obrar,verb
ezpainak lotu,atar la lengua,verb
esku onetan,en buenas manos,adverb
askatu,desatar,verb
irakatsi,enseñar,verb
ofizioz,de oficio,adverb
maite izan,amar,verb
katalan,catalán,adjective
orduan,a la sazón,adverb
itxitura,cierre,noun
norbaiten alde egin,tomar partido,verb
erliebedun,en relieve,adverb
seguraski,a buen seguro,adverb
kalte egin,hacer mal,verb
gorri,rojo,adjective
hartze,toma,noun
hartu,coger,verb
purran,a voleo,adverb
astuna izan,pesar mucho,verb
larru,cuero,noun
itzulipurdika,dando volteretas,adverb
Iruña,Pamplona,properNoun
poesia,poesía,noun
zerrenda irakurri,pasar lista,verb
sakon,con profundidad,adverb
trebea izan,ser lo nuestro,adverb
nabari,patente,adjective
geldi,inmóvil,adjective
atzo,ayer,adverb
barrez lehertu,morirse de risa,verb
leherketa,explosión,noun
metaketa,acumulación,noun
kale,callejero,adjective
erreakzionatu,reaccionar,verb
armategi,arsenal,noun
autobus,autobús,noun
barregarri,de risa,adverb
sor,latente,adjective
soinu,sonido,noun
erdiratu,centrar,verb
erreakzio-hegazkin,avión_a_reacción,noun
arte,hasta,preposition
injustizia,injusticia,noun
gehiegi,demasiado,pronoun
gehiegi,demasiado,determiner
talka egin,chocar,verb
oinordeko,heredero,noun
likido,líquido,noun
deskribapen,descripción,noun
greko,griego,noun
guztiarekin ere,después de todo,adverb
zupatu,chupar,verb
gaizki,mal,noun
lausengatu,hacer la pelota,verb
sinpatia,simpatía,noun
hodei,nube,noun
pistolaz,a punta de pistola,adverb
eurodiputatu,eurodiputado,noun
kezkatu,preocupar,verb
kO,fuera de combate,adverb
hutsune,hueco,noun
esker mila,muchas gracias,interjection
lagungarri,ayuda,noun
lehorreko_lur,secano,noun
lasai,sin atropellos,adverb
ilegal,ilegal,adjective
helegite,recurso,noun
hortaz,por lo tanto,subordinatingConjunction
akusazio,acusación,noun
Siria,Siria,properNoun
izan ezik,excepto,preposition
iruzur,fraude,noun
garaipen,triunfo,noun
gutxitu,menguar,verb
izurra izurtu,rizar el rizo,verb
masail,mejilla,noun
hasi,ponerse a,verb
SA,SA,noun
berriro,de nuevo,adverb
behar,necesario,adjective
gorputz eta arimaz,con uñas y dientes,adverb
ongizate,bienestar,noun
goroldio,musgo,noun
gai,asunto,noun
aurren,primer,determiner
ezpal berekoak izan,ser primos hermanos,adverb
ezkerreko,izquierdo,adjective
eliminazio,eliminación,noun
besaulki,sillón,noun
pinudi,pinar,noun
bart arratsean,anoche,adverb
ikaragarri,de campeonato,adverb
hiriburu,capital,noun
irabazi,ganar,verb
soziolinguistiko,sociolingüístico,adjective
errepublikako,republicano,adjective
kostu,costo,noun
infinitu,infinito,noun
kartzelatu,encarcelar,verb
baizik ere,sino,coordinatingConjunction
erabat,de solemnidad,adverb
erruz,a todo pasto,adverb
herenegun gauean,anteayer por la noche,adverb
oso ondo etorri,venir a el pelo,verb
batbedera,cada uno,pronoun
tekniko,técnico,adjective
eboluzionista,evolucionista,adjective
dezente,bastante,adverb
berri,noticia,noun
txofer,chófer,noun
mozkortu,emborrachar,verb
lotsarazi,avergonzar,verb
gainerako,restante,noun
bankari,banquero,noun
dantza,danza,noun
estatutu,estatuto,noun
koherentzia,coherencia,noun
jarduneko,en_ejercicio,adjective
moneta,moneda,noun
israeldar,israelí,noun
horrez gain,además de eso,adverb
zabal-zabal,sin rebozo,adverb
segurtasun osoz,a ciencia cierta,adverb
hornikuntza,equipamiento,noun
Fernando,Fernando,properNoun
uko egin,repudiar,verb
eraldaketa,transformación,noun
tipula,cebolla,noun
ezta pentsatu ere,ni mucho menos,adverb
modernotasun,modernidad,noun
Julio,Julio,properNoun
susmagarri,sospechoso,adjective
baimena eman,autorizar,verb
finkapen,fijación,noun
itsasadar,ría,noun
estu hartu,apretar las tuercas,verb
gero eta okerrago,de mal en peor,adverb
ebatsi,hurtar,verb
japoniar,japonés,noun
erdian,en medio,adverb
sortzeko,creativo,adjective
xeheka,a el detalle,adverb
izan,redundar en beneficio de,verb
gezurra errazago harrapatzen da ezen ez maingua,antes se coge a el mentiroso que al cojo,adverb
erregela,regla,noun
gaixo,enfermo,noun
begi onez ez ikusi,mirar mal,verb
NCCN000,[IZE][LIB],possessivePronoun
madarikatu,soltar un taco,verb
