source,target,POS
senjang,jurang,noun
wujud,perwujudan,noun
aman,jamin,verb
lira,lira,noun
hinggap,hinggap,verb
sara,sara,noun
dermaga,dermaga,noun
lele,keli,noun
kolom,turus,noun
tulus,tulus,adjective
erotik,erotik,adjective
swedia,sweden,properNoun
tumbang,tumbang,verb
lalim,zalim,adjective
lamar,pemohon,noun
bao,bao,noun
seksualitas,keseksualan,noun
skisma,skisma,noun
unggah,muat,verb
lebur,lebur,adjective
keramik,seramik,noun
benah,berbenah,verb
investor,labur,verb
cara,cara,noun
stiker,pelekat,noun
sulu,sulu,noun
konservasi,pemuliharaan,noun
hantar,hantar,verb
ilmu,ilmu,noun
indeks,indeks,noun
sega,sega,adjective
tribune,tribune,noun
tempur,tempur,verb
alquran,alquran,noun
sipil,awam,adjective
garap,penggarapan,noun
lantai,lantai,noun
intens,mendedah,adjective
asam,asam,noun
tagih,tagih,verb
tumit,tumit,noun
campur,kacukan,noun
hanyut,hanyut,verb
manggis,manggis,noun
suai,suai,noun
pungut,pemungut,noun
konteks,konteks,noun
kawin,perkawinannya,noun
terlebih,terlebih,adverb
perangkat lunak,perisian,verb
kembang,kembang,verb
arti,arti,noun
tepuk,bertepuk,verb
detail,mendetail,verb
hotel,hotel,noun
semut,semut,noun
pelangi,pelangi,noun
um,um,noun
tokoh,tokoh,noun
epik,epik,noun
kelamin,kelamin,noun
kualitas,kualiti,noun
barat,barat,noun
uda,uda,adjective
langkat,langkat,noun
wujud,wujud,noun
sesi,sesi,noun
transmisi,transmisi,noun
kopra,kopra,noun
teluk,teluk,noun
tipe,taip,noun
sendirian,sendirian,adverb
banu,banu,noun
justru,justeru,adverb
presentasi,bentang,verb
roboh,roboh,verb
formal,formal,adjective
terkadang,kadangkala,adverb
organisasi,pengorganisasian,noun
kesan,terkesan,verb
syariah,syarak,noun
lebaran,lebaran,noun
er,er,noun
bangkrut,muflis,adjective
radiasi,radiasi,noun
harus,kemestian,noun
cendana,cendana,noun
keledai,keldai,noun
skor,skor,noun
blues,blues,noun
kloroplas,kloroplas,noun
konon,konon,adverb
doktor,doktor,noun
lumut,lumut,noun
babi,khinzir,noun
jelajah,layar,noun
elektrode,elektrod,noun
sahara,sahara,noun
panai,panai,noun
gerejawi,gerejawi,adjective
fotografi,fotografi,noun
milenium,milenium,noun
parodi,parodi,noun
cangkang,cangkerang,noun
tua,tua,adjective
sampah,sampah,noun
fitrah,fitrah,noun
permaisuri,permaisuri,noun
masal,masal,adjective
rudi,rudi,noun
sebanyak-banyaknya,sebanyak-banyaknya,adverb
sebar,penyebarannya,noun
padu,gabung,noun
ekskresi,perkumuhan,noun
tangis,tangis,noun
marinir,marin,noun
penguin,penguin,noun
tidur,tidur,verb
saku,saku,noun
tempat,tempat,noun
jazirah,semenanjung,noun
badut,badut,noun
lembak,lembak,verb
malah,malah,adverb
