source,target,POS
norðmaður,norrman,noun
birta,publicera,verb
Makedónía,Makedonien,properNoun
frá,ifrån,preposition
hraun,lava,noun
útfæra,fullgöra,verb
flokkur,kategori,noun
Jórdanía,Jordan,properNoun
almáttugur,allsmäktig,adjective
Dyflinn,Dublin,properNoun
komast hjá,kringgå,verb
sjálfviljugur,frivillig,adjective
heller,heller,adverb
hnútur,knut,noun
Leonardo,Leonardo,properNoun
samningur,kontrakt,noun
Silla,Silla,properNoun
ættingi,anhörig,noun
ærlegur,ordentlig,adjective
áletrun,textning,noun
einsog,såsom,adverb
endalok,fullbordande,noun
útiloka,utesluta,verb
nifteindastjarna,neutronstjärna,noun
Collins,Collins,properNoun
allt of,alltför,adverb
Jones,Jones,properNoun
aðlögun,anpassning,noun
mikill,stor,adjective
Skúli,Skule,properNoun
hrifning,entusiasm,noun
Posselt,Posselt,properNoun
stund,stund,noun
kenna,lära,verb
áreiðanleiki,tillförlitlighet,noun
samkomulag,överenskommelse,noun
þriðji,tredje,adjective
júgóslavneskur,jugoslavisk,adjective
minn,min,pronoun
minn,min,possessivePronoun
átta,åtta,noun
Stefán,Stefan,properNoun
staða,ställning,noun
þess vegna,därav,adverb
aftan,bakom,adverb
klassískur,klassisk,adjective
handklæði,handduk,noun
sannur,sann,adjective
hreinn,ren,adjective
texti,text,noun
starfsfólk,personal,noun
fjárhagslegur,finansiell,adjective
stökkva,hoppa,verb
manneskjulegur,human,adjective
Madeira,Madeira,properNoun
hljóðfæri,musikinstrument,noun
Breiðdalur,Breiddal,properNoun
vatn,vatten,noun
einkennilegur,egendomlig,adjective
baun,böna,noun
frétta,få reda på,verb
tíðindi,nyheter,noun
víkka,bredda,verb
plágueyðir,bekämpningsmedel,noun
tugur,tiotal,noun
samfélag,samfund,noun
valda,medföra,verb
útsetning,exponering,noun
bandalag,sammanslutning,noun
vik,uppehåll,noun
óraunhæfur,orealistisk,adjective
héðan í frá,hädanefter,adverb
Óskar,Oskar,properNoun
viðskiptaháttur,affärsmetod,noun
teiknari,tecknare,noun
meginregla,princip,noun
út,ut,adverb
í upphafi,i början,adverb
lyfseðill,recept,noun
fjarlægð,avstånd,noun
mæta,närvara,verb
handan,bortom,preposition
Miguélez,Miguélez,properNoun
sviti,svett,noun
byrjun,början,noun
magi,mage,noun
svolítið,tämligen,adverb
náttúrulegur,biologisk,adjective
heppni,tur,noun
staðsettur,belägen,adjective
meðal,bland,preposition
kringum,runt,adverb
ágóði,vinst,noun
glampa,glänsa,verb
bakvið,bakom,preposition
þokkalegur,hyfsad,adjective
hús,hus,noun
umræða,diskussion,noun
votur,våt,adjective
framlag,inlägg,noun
vottun,certifiering,noun
Elísabet,Elizabeth,properNoun
georgíska,georgiska,noun
vinsamlegast,gärna,adverb
Palma,Palma,properNoun
þang,tång,noun
klaufhamar,klyvhammare,noun
stöðugleiki,stabilitet,noun
herða,förhärda,verb
gagnrýna,kritisera,verb
Schengen,Schengen,properNoun
skítugur,smutsig,adjective
svona,så,adverb
Haraldur,Harald,properNoun
meta,utvärdera,verb
glotta,grina,verb
þungi,tyngd,noun
eldsneyti,bränsle,noun
heppnast,lyckas,verb
eldhús,kök,noun
atriði,objekt,noun
kljúfa,klyva,verb
Kambódía,Kambodja,properNoun
stefnumótandi,strategisk,adjective
stafur,pinne,noun
rússneska,ryska,noun
spjall,chatt,noun
lifandi,levande,adjective
spölur,kortdistans,noun
Titley,Titley,properNoun
mildur,mild,adjective
staðfestingarferli,ratificeringsprocess,noun
afkomandi,ättling,noun
svonefndur,så kallad,adjective
vís,viss,adjective
hafa í huga,ha i åtanke,verb
keppandi,konkurrent,noun
Nóra,Nora,properNoun
bágur,benig,adjective
hugtak,koncept,noun
