source,target,POS
бұлғақтат,качать,verb
тырнақ,ноготь,noun
жауырынды,плечистый,adjective
нақсүйер,возлюбленный,adjective
Канзас,Канзас,properNoun
соқ,стукнуть,verb
галл,галл,noun
шығыр,ворот,noun
журналистика,журналистика,noun
қанатты,крылатый,adjective
майыстыр,перегнуть,verb
дактилоскопия,дактилоскопия,noun
орындал,сбыться,verb
қоныстандыр,селить,verb
қаша,загон,noun
игер,освоить,verb
тауық,курица,noun
су,остыть,verb
батырақтық,батрачество,noun
қанат,крыло,noun
айтыл,выговариваться,verb
менсінбе,смеяться,verb
соло-вексель,соло-вексель,noun
гүлшанақ,бутон,noun
консерватория,консерватория,noun
дәнекер,буфер,noun
Бөкей,Бокей,properNoun
қақпақ,покрышка,noun
рок,рок,noun
қой,закладывать,verb
жақ,лицо,noun
торуылда,следить,verb
Екатерина,Екатерина,properNoun
байрақ,знамя,noun
жапсырыл,прикрепиться,verb
электр,электр,noun
кредит,кредит,noun
жітілік,наблюдательность,noun
уәзір,визирь,noun
нанған,убежденный,adjective
мамандану,специализация,noun
дәріс,лекция,noun
обком,обком,noun
жалға,прибавить,verb
бозкілем,очиток,noun
сырғанап түс,соскользнуть,verb
түзулен,выпрямиться,verb
автореферат,автореферат,noun
мемлекетаралық,межгосударственный,adjective
ұйқассыз,нерифмованный,adjective
диуана,бродяга,noun
созылу,затяжка,noun
типтендіру,типизация,noun
децилитр,децилитр,noun
аппликация,аппликация,noun
бүркемеле,прикрыть,verb
қасын,чесаться,verb
сүндетте,обрезать,verb
авиаклуб,авиаклуб,noun
өңде,обрабатывать,verb
мінбе,трибуна,noun
мультипликация,мультипликация,noun
тап,родить,verb
шұғылдан,заниматься,verb
ақырындап,потихоньку,adverb
лалагүл,лилия,noun
ұқсастық,аналогия,noun
зәрлі,аспид,noun
төрешілдік,бюрократизм,noun
сырма,стеганый,adjective
бөшкеші,бондарь,noun
құйыл,облиться,verb
қашыр,осляк,noun
тұшпара,пельмень,noun
ашкөзден,хапать,verb
бұдыр,бугорочек,noun
партия,партия,noun
