source,target,POS
есерлен,юләрлән,verb
жиіркен,чиркан,verb
күрес,көрәш,noun
суық,суык,adjective
музыка,музыка,noun
күнә,гөнаһ,noun
нашар,начар,adjective
Вьетнам,Вьетнам,properNoun
Әділбек,Гаделбәк,properNoun
Еуропа,Аурупа,properNoun
өткірлен,үткенлән,verb
тынышсыздан,тынычсызлан,verb
Новозывков,Новозывков,properNoun
Гольбах,Гольбах,properNoun
Далбағаев,Далбагаев,properNoun
Беляков,Беляков,properNoun
Теләче,Теләче,properNoun
эмпиризм,эмпиризм,noun
саттыр,саттыр,verb
балет,балет,noun
қол,кул,noun
урду,урду,noun
спора,спора,noun
бап,баб,noun
егжей-тегжейлі,тәфсилле,adjective
отырыс,утырыш,noun
Палласов,Палласов,properNoun
изолятор,изолятор,noun
Алина,Алина,properNoun
Баскаков,Баскаков,properNoun
тудыр,тудыр,verb
ая,химая,noun
маңызды,мөһим,adjective
индуизм,индуизм,noun
Фаузия,Фәүзия,properNoun
пластмасса,пластмасса,noun
Айнұр,Айнур,properNoun
сөзінше,сүзенчә,subordinatingConjunction
ассимиляцияла,ассимиляциялә,verb
Чкалов,Чкалов,properNoun
Мироваев,Мироваев,properNoun
абай-қоқай,җәнҗал,noun
орталық,урталык,noun
көмірсутек,углеводород,noun
аудар,тәрҗемә ит,verb
мигрант,мигрант,noun
бақ,бак,verb
ысырап,исраф,noun
Жәңгіров,Жәңгеров,properNoun
шанд,чорна,verb
вице-министр,вице-министр,noun
кел,кил,verb
Сләмқұлов,Сләмкулов,properNoun
ашаршылық,ачлык,noun
күрсін,көрсен,verb
сұхбат,интервью,noun
жиынтық,җыентык,noun
нұрлы,нурлы,adjective
Калимов,Калимов,properNoun
Мельников,Мельников,properNoun
қаңыра,буша,verb
Огурцов,Огурцов,properNoun
Еңсепов,Еңсепов,properNoun
талықсы,талык,verb
ойбайла,ахылда,verb
театр,театр,noun
біржақты,берьяклы,adjective
азық-түлік,азык-төлек,noun
Зәуре,Зәурә,properNoun
Троицк,Троицк,properNoun
бұта,куак,noun
айлы,айлы,adjective
ұқса,охша,verb
Золото,Золото,properNoun
дәстүр,гореф-гадәт,noun
Ергеш,Ергәш,properNoun
Рожков,Рожков,properNoun
Павел,Павел,properNoun
үнде,өндә,verb
Иванов,Иванов,properNoun
жасырын,яшерен,verb
әдет,гадәт,noun
момын,инсафлы,adjective
ал,ал,verb
Мочалов,Мочалов,properNoun
Трофимов,Трофимов,properNoun
тоқта,тукта,verb
ышқын,киерел,verb
әлем,галәм,noun
қаңқ,каңгырап йөр,verb
гамета,гамета,noun
патша,патша,noun
Гей-Люссак,Гей-Люссак,properNoun
қажы,хаҗи,noun
Буш,Буш,properNoun
Баймағанбетов,Баймаганбетов,properNoun
үлгер,өлгер,verb
Қонақай,Конакай,properNoun
газета,газета,noun
әзірлік,әзерлек,noun
террористік,террор,noun
ащы,ачы,adjective
Тәшенев,Тәшенев,properNoun
тыныс,тыныш,noun
фольклор,фольклор,noun
арықсын,ябык күр,verb
сыбаға,өлеш,noun
Тимор-Лесте,Көнчыгыш Тимор,properNoun
қира,ватыл,verb
шолақ,кыска,adjective
атлетика,атлетика,noun
Хорасев,Хорасев,properNoun
абака,абака,noun
Оразбек,Оразбәк,properNoun
қалбағай,көрәкборын,noun
шексіз,чиксез,adjective
Зеленов,Зеленов,properNoun
түнек,караңгылык,noun
Ерман,Ерман,properNoun
Үркімбай,Үркембай,properNoun
самарқаулан,төшенкелеккә бирел,verb
Бөкенші,Бөкәнше,properNoun
салақта,салын,verb
энергетикалық,энергетик,adjective
Дербісәлиев,Дәрбесалиев,properNoun
орман,урман,noun
Болтаев,Болтаев,properNoun
Бек,Бек,properNoun
төрағалық,җитәкчелек,noun
шетелдік,чит ил,noun
мінгіз,менгез,verb
адмирал,адмирал,noun
шеберлен,специальләш,verb
текшеле,әрдәнәгә өй,verb
Бонн,Бонн,properNoun
киік,сайгак,noun
іле,шунда ук,adverb
Есей,Ясәй,properNoun
идеалды,идеаль,adjective
қойнау,уйсулык,noun
Артемьев,Артемьев,properNoun
Сақып,Сәхип,properNoun
айтпақшы,сүз арасында,interjection
Рашит,Рәшит,properNoun
тиімділік,отышлылык,noun
Төлегенов,Төлегенов,properNoun
Омичъ,Омичъ,properNoun
ұйытқы,оеткы,noun
Ислам,Ислам,noun
Сасықов,Сасыков,properNoun
шығанақ,култык,noun
Эрик,Эрик,properNoun
тоғыс,кисеш,verb
есе,өлеш,noun
төңірек,тирә-як,noun
суарыл,сугарыл,verb
жапырақ,яфрак,noun
Балтач,Балтач,properNoun
координата,координата,noun
ағылшынша,инглизчә,adverb
сорпа,шулпа,noun
үрей,кот,noun
үлкейт,зурайт,verb
юмор,юмор,noun
оңайлан,ансатлан,verb
класс,класс,noun
банк,банк,noun
Ляпунов,Ляпунов,properNoun
тор,читлек,noun
барыс,барс,noun
абадан,таза тормышлы,adjective
Екатерина,Екатерина,properNoun
Субботин,Субботин,properNoun
шоғырлан,җыйна,verb
Поликарпов,Поликарпов,properNoun
жаман,яман,adjective
ықтимал,ихтимал,adjective
Әбдісалам,Габдесәлам,properNoun
Әлібеков,Әлебәков,properNoun
Түркістан,Төркестан,properNoun
кәпір,кәфер,noun
Пайгусов,Пайгусов,properNoun
мінажат,мөнәҗәт,noun
Рычков,Рычков,properNoun
ақша,акча,noun
Жақыпов,Жакыпов,properNoun
бөлім,бүлем,noun
Білгір,Белгер,properNoun
Дәулет,Дәүләт,properNoun
резерв,резерв,noun
қарыз,карыз,noun
Белоруссия,Белоруссия,properNoun
Новгород,Новгород,properNoun
қамдан,хәстәрлән,verb
райлан,ачыл,verb
Көжеков,Көжәков,properNoun
ірімшік,эремчек,noun
аждаһа,аждаһа,noun
жарық,ярык,noun
авиациялық,авиацион,adjective
төраға,рәис,noun
өзбек,үзбәк,noun
тактика,тактика,noun
Васильевич,Васильевич,properNoun
салқамдан,таушал,verb
Әбіров,Әберов,properNoun
жақтыр,яктыр,verb
Брагин,Брагин,properNoun
Санко,Санко,properNoun
Кенжебай,Кәнжәбай,properNoun
Сапабек,Сафабәк,properNoun
Жолдасбеков,Жолдасбәков,properNoun
Лукойл,Лукойл,properNoun
февраль,февраль,noun
марал,марал,noun
тәжікше,таҗикча,adverb
Ирландия,Ирландия,properNoun
қысқа,кыска,adjective
ти,туры кил,verb
ауна,ауна,verb
Самұрық,Самрук,properNoun
Марсель,Марсель,properNoun
шенеунік,түрә,noun
Көлбаев,Көлбаев,properNoun
Ахматканов,Ахматканов,properNoun
Абзал,Абзал,properNoun
Намибия,Намибия,properNoun
финал,финал,noun
Надя,Надя,properNoun
Жанат,Жанат,properNoun
Леонардо,Леонардо,properNoun
құрбан,корбан,noun
Бискай,Бискай,properNoun
кеуде,гәүдә,noun
келісім,килешү,noun
адымда,атла,verb
Дарханов,Дарханов,properNoun
қарсаң,алд,noun
мемлекеттік,дәүләт,noun
несібе,насыйп,noun
Обаев,Обаев,properNoun
кен,казылма,noun
метафизик,метафизик,noun
Ғамман,Гамман,properNoun
құрғат,корыт,verb
дедекте,кабалан,verb
кісі,кеше,noun
бел,бил,noun
түп,төп,noun
нақтылы,конкрет,adjective
Мамаев,Мамаев,properNoun
Гондурас,Гондурас,properNoun
Ада,Ада,properNoun
әшкереле,фаш ит,verb
Туров,Туров,properNoun
изотроп,изотроп,noun
шыны,пыяла,noun
қандыр,туйдыр,verb
актриса,актриса,noun
Персей,Персей,properNoun
секілді,күк,postposition
Жаманов,Жаманов,properNoun
жын,җен,noun
спорт,спорт,noun
Тараз,Тараз,properNoun
қадам,адым,noun
қырғыз,кыргыз,noun
арықтат,арыгайт,verb
кір,кер,verb
күрт,кырт,adverb
паспорт,паспорт,noun
торф,торф,noun
Петербург,Петербург,properNoun
Лех,Лех,properNoun
дабыл,дабыл,noun
бірыңғай,тиңдәш,adjective
Балтасов,Балтасов,properNoun
зал,зал,noun
Лесото,Лесото,properNoun
орталық,үзәк,noun
Крамаренко,Крамаренко,properNoun
Орфей,Орфей,properNoun
қызық,кызык,adjective
әттең,аһ,interjection
теп,тип,verb
Репин,Репин,properNoun
халықтық,халык,noun
емде,дәвала,verb
байымда,асылын аңла,verb
Ахмедияров,Ахмедияров,properNoun
студент,студент,noun
қуғын,сөрген,noun
Тарғын,Таргын,properNoun
Онищенко,Онищенко,properNoun
макарон,макарон,noun
арала,арала,verb
неліктен,нилектән,adverb
Березов,Березов,properNoun
егер,әгәр,subordinatingConjunction
қор,сакла,verb
қара,кара,adjective
тағам,тәгам,noun
Абрумов,Абрумов,properNoun
Восток,Восток,properNoun
Уәлиахмет,Вәлиәхмәт,properNoun
белдеуле,капла,verb
кәдімгі,гади,adjective
Смақов,Смаков,properNoun
Ломов,Ломов,properNoun
аласта,төтәслә,verb
көптеп,күпләп,adverb
мықта,ныкла,verb
Тәжібаев,Тәжебаев,properNoun
Грегориус,Григориан,properNoun
Артем,Артем,properNoun
сүрет,сурәт,noun
қақтығыс,төрткәләш,verb
Сәлім,Сәлим,properNoun
Сарман,Сарман,properNoun
Айнагүл,Айнагүл,properNoun
әскери,хәрби,adjective
тұжыр,кайтар,verb
ұжымдық,коллектив,adjective
Белинский,Белинский,properNoun
мүйіз,мөгез,noun
тұр,тор,verb
Ратьков,Ратьков,properNoun
дүние,дөнья,noun
рентген,рентген,noun
жаз,яз,verb
Қайбыч,Кайбыч,properNoun
Бақтаев,Бактаев,properNoun
Мамонтов,Мамонтов,properNoun
Сафонов,Сафонов,properNoun
Вадуц,Вадуц,properNoun
Арсентьев,Арсентьев,properNoun
Конго,Конго,properNoun
айналыс,шөгыльлән,verb
нөкер,нөкәр,noun
Альмяшев,Альмяшев,properNoun
экваторлық,экватор,noun
ұна,ярат,verb
әлгі,әлеге,determiner
әлгі,әлеге,demonstrativePronoun
әлгі,әлеге,determiner
әлгі,әлеге,demonstrativePronoun
әлгі,әлеге,determiner
әлгі,әлеге,demonstrativePronoun
әлгі,әлеге,determiner
әлгі,әлеге,demonstrativePronoun
оппозициялық,оппозиция,noun
ажырат,аер,verb
фельдшер,фельдшер,noun
парасат,сәламәт фикерләү,noun
Веремеенко,Веремеенко,properNoun
аян,мәгълүм,adjective
Ермұхамет,Ермухамет,properNoun
Айшуақов,Айшуаков,properNoun
Кирсанов,Кирсанов,properNoun
сауаттан,укый-яза бел,verb
сырла,буя,verb
сырт,сырт,noun
Гдов,Гдов,properNoun
Пономарев,Пономарев,properNoun
тоғыз,тугыз,numeral
Евдокимов,Евдокимов,properNoun
эстафета,эстафета,noun
Ганс,Ганс,properNoun
Шәріпов,Шәрипов,properNoun
ерік,ирек,noun
абалат,өстер,verb
бейбітшілік,тынычлык,noun
Арамнов,Арамнов,properNoun
Алёна,Алёна,properNoun
лаборант,лаборант,noun
стандарт,стандарт,noun
монголоид,монголоид,adjective
мөлшер,зурлык,noun
Висконсин,Висконсин,properNoun
Боранбай,Боранбай,properNoun
сапалы,сыйфатлы,adjective
қамты,каплап ал,verb
оян,уян,verb
үгіт,үгет,noun
Радаев,Радаев,properNoun
Андреевич,Андреевич,properNoun
туысқан,туган,noun
егжей,бәйнә-бәйнә,adverb
меншік,милек,noun
Нурлат,Нурлат,properNoun
Читта,Читта,properNoun
Рязанов,Рязанов,properNoun
Ғаббас,Габбас,properNoun
жекеменшік,милекче,noun
қош,хуш,adjective
Кот-д-Ивуар,Кот-д’Ивуар,properNoun
Әшеккев,Әшеккев,properNoun
соңғы,соңгы,adjective
Григориан,Григориан,properNoun
Магдиев,Магдиев,properNoun
стилистика,стилистика,noun
не,ни,pronoun
не,ни,interrogativePronoun
ауқымды,киң,adjective
талас,талаш,noun
сонда да,шулай да,subordinatingConjunction
мирас,мирас,noun
Дурнев,Дурнев,properNoun
батист,батист,noun
Ltd,Ltd,properNoun
Шри-Ланка,Шри-Ланка,properNoun
Мирошниченко,Мирошниченко,properNoun
Тунис,Тунис,properNoun
автомобиль,автомобиль,noun
Абайділданов,Абайделданов,properNoun
Абдулатипов,Абдулатипов,properNoun
Күрдер,Күрдәр,properNoun
топырла,таптан,verb
шанышқыла,чәнчеп тиш,verb
қанша,ничә,numeral
қанша,ничә,interrogativePronoun
қанша,ничә,numeral
қанша,ничә,interrogativePronoun
Фридрих,Фридрих,properNoun
фамилия,фамилия,noun
топтан,туплан,verb
Тимирязев,Тимирязев,properNoun
Кенбаев,Кенбаев,properNoun
Оксфорд,Оксфорд,properNoun
Асқар,Әскәр,properNoun
жалға,ялга,verb
комедия,комедия,noun
Зерек,Зәрәк,properNoun
Петляков,Петляков,properNoun
көркемдік,күркәмлек,noun
физкультура,физкультура,noun
торал,хәллән,verb
Ауғанстан,Әфганстан,properNoun
жер,җир,noun
құрама,җыелма,adjective
шай,чайка,verb
Асад,Асад,properNoun
желінде,җиленлә,verb
мүшеле,туракла,verb
Прокофьев,Прокофьев,properNoun
эмоциялық,эмоциональ,adjective
қайнар көз,чыганак,noun
жүргіз,үткәр,verb
от,ут,noun
Панама,Панама,properNoun
тұжырымда,йомгакла,verb
Чистай,Чистай,properNoun
теңізші,диңгезче,noun
қолбасшы,гаскәр башлыгы,noun
Шынар,Шынар,properNoun
Уәлиханов,Вәлиханов,properNoun
тер,җый,verb
концентрация,концентрация,noun
саз,саз,noun
Барлас,Барлас,properNoun
Фомин,Фомин,properNoun
сен,ышан,verb
Исраил,Исраил,properNoun
рамазан,рамазан,noun
химьярит,химьярит,noun
форма,форма,noun
индукциялық,индукцион,adjective
қаншалықты,никадәрле,adverb
ахуал,әхвәл,noun
арқыра,шаула,verb
Червоненко,Червоненко,properNoun
бастапқы,беренче,numeral
контр-адмирал,контр-адмирал,noun
қош,хуш,interjection
күзе,кыр,verb
мемлекет,мәмләкәт,noun
романс,романс,noun
ұя,оя,noun
Грызов,Грызов,properNoun
Анкара,Әнкара,properNoun
Кириллов,Кириллов,properNoun
император,император,noun
Ғафу,Гафу,properNoun
Орков,Орков,properNoun
үйрет,өйрәт,verb
Альберт,Альберт,properNoun
Тарасов,Тарасов,properNoun
Halal,Halal,properNoun
дамыт,үстер,verb
құнарлы,уңдырышлы,adjective
Самара,Самара,properNoun
эпикалық,эпик,adjective
көз,күз,noun
әже,дәү әни,noun
тап,төркем,noun
баяндама,доклад,noun
этап,этап,noun
конденсатор,конденсатор,noun
аспанда,өскә күтәрел,verb
пәк,пакъ,adjective
Колесниченко,Колесниченко,properNoun
оқытушы,укытучы,noun
қой,куй,noun
жанжал,җәнҗал,noun
Сабыржан,Сабирҗан,properNoun
Бейрут,Бейрут,properNoun
телеарна,телеканал,noun
тұтқында,кулга ал,verb
есіт,ишет,verb
Шыңғыс,Чыңгыз,properNoun
тая,сөя,verb
күзет,сакла,verb
Дон,Дон,properNoun
дәлел,дәлил,noun
Қожамқұлов,Кожамкулов,properNoun
Бекетаев,Бекетаев,properNoun
денелі,зур гәүдәле,adjective
Василенко,Василенко,properNoun
жаңа,яңа,adjective
Санат,Санат,properNoun
айыппұл,штраф,noun
Смородинов,Смородинов,properNoun
кінәлі,гаепле,adjective
атақ,звание,noun
