source,target,POS
vortestein,vortestein,noun
sjøfartsdirektorat,sjøfartsdirektorat,noun
Poikulainen,Poikulainen,properNoun
fuksia,fuksia,noun
RiksTV,RiksTV,properNoun
feltpost,feltpost,noun
High,High,properNoun
Ulster,Ulster,properNoun
Wahlert,Wahlert,properNoun
småspove,småspove,noun
vaskevassfat,vaskevassfat,noun
kal,kal,noun
Margith,Margith,properNoun
Anguilla,Anguilla,properNoun
Tomason,Tomason,properNoun
Bekkstrand,Bekkstrand,properNoun
kontraktør,kontraktør,noun
sklerometer,sklerometer,noun
La Verne,La Verne,properNoun
Smed Kjeldsens vei,Smed Kjeldsens vei,properNoun
Inger-Johanne,Inger-Johanne,properNoun
Valkeejärvi,Valkeejärvi,properNoun
primærkommune,primærkommune,noun
Gyttorp,Gyttorp,properNoun
Frillesås,Frillesås,properNoun
fenomenologi,fenomenologi,noun
Durango,Durango,properNoun
frikete,frikete,adjective
munnparti,munnparti,noun
fjell,fjell,noun
NATO-alliert,NATO-alliert,adjective
Folldalslia,Folldalslia,properNoun
Drabløs,Drabløs,properNoun
Meteorologisk institutt,Meteorologisk institutt,properNoun
Kanala,Kanala,properNoun
Last Cache Nunatak,Last Cache Nunatak,properNoun
gullslegen,gullslått,adjective
rakletre,rakletre,noun
synderleg,synderlig,adjective
Munsön,Munsön,properNoun
koloksid,koloksid,noun
Karttunen,Karttunen,properNoun
VG,VG,properNoun
periferi,periferi,noun
preg,preg,noun
Bernstein,Bernstein,properNoun
Filey,Filey,properNoun
kirologi,kirologi,noun
postskip,postskip,noun
Tonsenveien,Tonsenveien,properNoun
London Chess Classic,London Chess Classic,properNoun
minkande,minkende,adjective
Bacoli,Bacoli,properNoun
vinterforråd,vinterforråd,noun
Kyle Cone,Kyle Cone,properNoun
Austad,Austad,properNoun
køyrekar,kjørekar,noun
Lillienskjold,Lillienskjold,properNoun
alarmsignal,alarmsignal,noun
slangeagurk,slangeagurk,noun
