source,target,POS
illustre,il·lustre,adjective
mar Negra,mar Negre,properNoun
desequilibrar,desequilibrar,verb
espaciau,espacial,adjective
leugièr,lleu,adjective
graduau,gradual,adjective
drech,dret,adjective
comissariat,comissaria,noun
gastronomic,gastronòmic,adjective
dire,dir,verb
Messenia,Messènia,properNoun
repercutir,repercutir,verb
carretièira,carretera,noun
Clapés,Clapés,properNoun
siloeta,silueta,noun
sanar,sanar,verb
Valldigna,Valldigna,properNoun
incondicional,incondicional,adjective
fidèlament,fidelment,adverb
barril,barril,noun
simpatia,simpatia,noun
qualque,algun,determiner
Emmanuelle,Emmanuelle,properNoun
ochanta uèch,vuitanta-vuit,numeral
periple,periple,noun
letra,lletra,noun
cargòlha,cargol,noun
Tianjin,Tianjin,properNoun
Mediterranèa,Mediterrani,properNoun
Stalingrad,Stalingrad,properNoun
JEC,JEC,noun
Orinòco,Orinoco,properNoun
Porto Alegre,Porto Alegre,properNoun
fóter,fúmer,verb
Impèria,Imperia,properNoun
en çò mèn,a casa meva,adverb
enforismar,enfurismar,verb
abséncia,absència,noun
golejador,golejador,noun
estrangièr,foraster,adjective
reposar,reposar,verb
Changsha,Changsha,properNoun
estructurau,estructural,adjective
trasladar,traslladar,verb
Ryan,Ryan,properNoun
replicar,replicar,verb
regne,regne,noun
extrèm,extrem,adjective
grèmi,gremi,noun
basquetbòl,bàsquetbol,noun
auath,avall,adverb
beuenda,beguda,noun
impunitat,impunitat,noun
Zhengzhou,Zhengzhou,properNoun
farmacia,farmàcia,noun
deth temps que,mentre que,subordinatingConjunction
acordeon,acordió,noun
inconstitucionau,inconstitucional,adjective
revelar,revelar,verb
milh,blat de moro,noun
òrdre,ordre,noun
perspectiva,perspectiva,noun
reticéncia,reticència,noun
alfabetizacion,alfabetització,noun
acompanhaire,acompanyant,noun
èster malautes,estar malaltes,verb
empossar,empènyer,verb
a l'escòla,a l'escola,adverb
repoblacion,repoblació,noun
acustic,acústic,adjective
abac,àbac,noun
dialècte,dialecte,noun
internauta,internauta,noun
mèrci,gràcies,interjection
socialament,socialment,adverb
abertzale,abertzale,adjective
pèth,pell,noun
lentor,lentitud,noun
evocar,evocar,verb
demorança,adreça,noun
Lo Cap,Ciutat del Cap,properNoun
vantatge,lloança,noun
aquel,eixe,pronoun
aquel,eixe,determiner
aquel,eixe,demonstrativePronoun
de contunh,a continuació,adverb
teologia,teologia,noun
Tim,Tim,properNoun
sosòrdre,subordre,noun
multitud,gernació,noun
soscriure,subscriure,verb
Apia,Apia,properNoun
Sarrià,Sarrià,properNoun
sen,seny,noun
sajar,intentar,verb
Ciutat Vella,Ciutat Vella,properNoun
avient,adient,adjective
Seychelles,Seychelles,properNoun
laboriós,laboriós,adjective
detier,detenir,verb
annèx,annex,adjective
endeutament,endeutament,noun
contextualizar,contextualitzar,verb
bruch,soroll,noun
aprofitar,aprofitar,verb
Cisco,Cisco,properNoun
dètz-e-ueit,divuit,numeral
destacar,ressaltar,verb
lipotejar,grapejar,verb
enquia,fins a,preposition
espion,espia,noun
Maon,Maó,properNoun
extrèmaments,extremadament,adverb
substancial,substancial,adjective
endrabar,embolicar,verb
absòlvre,absoldre,verb
garguilh,baralla,noun
incoerent,incoherent,adjective
Maldives,Maldives,properNoun
innocéncia,innocència,noun
desenganar,desenganyar,verb
quand,quan,adverb
quand,quan,relativePronoun
quand,quan,interrogativePronoun
Natàlia,Natàlia,properNoun
díder çai sus,dir més amunt,verb
trenta cinc,trenta-cinc,adjective
Luigi,Luigi,properNoun
papièr,paper,noun
entà ua auta,fins la propera,interjection
trenta un,trenta-u,adjective
pastèra,pastera,noun
e mai que,encara que,subordinatingConjunction
malícia,malícia,noun
