source,target,POS
clauar,clavar,verb
crudèl,cruel,adjective
Marcatosa,Marcatosa,properNoun
auviatge,patrimonio,noun
repetir,repetir,verb
detalhadaments,pormenorizadamente,adverb
entosiasmar,entusiasmar,verb
patrolhar,patrullar,verb
Montmeló,Montmeló,properNoun
amic,amigo,noun
borgesia,burguesía,noun
gratuitament,gratuitamente,adverb
satisfasent,satisfactorio,adjective
millenari,milenario,adjective
suscitar,suscitar,verb
fascinant,fascinante,adjective
Birmania,Birmania,properNoun
fèsta,fiesta,noun
Blair,Blair,properNoun
prevaricacion,prevaricación,noun
estonament,extrañeza,noun
ostiu,verano,noun
leugèraments,ligeramente,adverb
certan,cierto,determiner
rapidesa,rapidez,noun
exclusiva,exclusiva,noun
parcatge,parking,noun
a viatges,a veces,adverb
consí,cómo,adverb
consí,cómo,interrogativePronoun
Linux,Linux,properNoun
Assiot,Asyut,properNoun
Llach,Llach,properNoun
guèine,zorro,noun
Rubio,Rubio,properNoun
curd,kurdo,adjective
trufaria,broma,noun
increment,incremento,noun
a dètz oras,a las diez,adverb
pancarta,rótulo,noun
porteria,portería,noun
influïr,influir,verb
Lucio,Lucio,properNoun
jo,yugo,noun
gàbia,jaula,noun
alimentari,alimentario,adjective
Wilson,Wilson,properNoun
magnetic,magnético,adjective
Paquistan,Pakistán,properNoun
contentar,contentar,verb
doblar,doblar,verb
V,V,numeral
laurèr,laurel,noun
obrador,obrador,noun
incalculable,incalculable,adjective
pres,preso,adjective
envirolar,atornillar,verb
tradicion,tradición,noun
Tamino,Tamino,properNoun
massís,macizo,adjective
persecucion,persecución,noun
Fabra,Fabra,properNoun
antologia,antología,noun
Hezbollah,Hezbol·lah,properNoun
mar de Barents,Mar de Barents,properNoun
Justin,Justin,properNoun
grauar,gravar,verb
assolidar,consolidar,verb
formar,formar,verb
pagar,pagar,verb
malastrós,desafortunado,adjective
annèxe,anejo,adjective
espenjolar,colgar,verb
brigada,brigada,noun
redusir,reducir,verb
coïncidir,coincidir,verb
mieicampiste,mediocampista,noun
fòc,fuego,noun
Rosario,Rosario,properNoun
salvar,salvar,verb
articulacion,articulación,noun
mainat,nene,noun
neishement,nacimiento,noun
York,York,properNoun
suprèm,supremo,adjective
precisar,precisar,verb
imparable,imparable,adjective
darrièr,último,adjective
calfatge,calefacción,noun
coquèla,cacerola,noun
arribent,pendiente,noun
Ventura,Ventura,properNoun
renauiment,renovación,noun
preferentament,preferentemente,adverb
Austràlia,Australia,properNoun
escular,desfondar,verb
Aleixandre,Aleixandre,properNoun
ostal,casa,noun
sensuau,sensual,adjective
indocumentat,indocumentado,adjective
Saviola,Saviola,properNoun
bandiment,despido,noun
lexicalizacion,lexicalización,noun
precipitacion,precipitación,noun
hormigon,hormigón,noun
gotilh,manantial,noun
ciclista,ciclista,noun
entre,por entre,preposition
teologia,teología,noun
dubèrt,abierto,adjective
Bòsnia,Bosnia,properNoun
transparent,transparente,adjective
administracion,administración,noun
ser,atardecer,noun
dançaire,bailarín,adjective
aborrir,aborrecer,verb
Milà,Milán,properNoun
editor,editor,noun
intencion,propósito,noun
uèi matin,esta mañana,adverb
amstèr,hámster,noun
hèira,feria,noun
a cargue de,a cargo de,preposition
similitud,similaridad,noun
vegetal,vegetal,adjective
menaça,amenaza,noun
margarideta,margarita,noun
inquisicion,inquisición,noun
familiarizacion,familiarización,noun
Salvadó,Salvadó,properNoun
aprigondir,ahondar,verb
hangassejar,enlodar,verb
eficàcia,eficacia,noun
paupeta,párpado,noun
despuòi,desde,preposition
prestar,prestar,verb
malhorquin,mallorquín,adjective
espompir,hinchar,verb
Politecnica,Politècnica,properNoun
èst,este,noun
Maestre,Maestre,properNoun
reverar,venerar,verb
Ivan,Ivan,properNoun
cementèri,cementerio,noun
consistoriau,consistorial,adjective
demissionar,dimitir,verb
coma,como,adverb
coma,como,relativePronoun
comprensiu,comprensivo,adjective
reciclatge,reciclaje,noun
comèdia,comedia,noun
ara seguida,todo seguido,adverb
plenitud,plenitud,noun
Prat,Prat,properNoun
veire,cristal,noun
CDA,CDA,noun
aspècte,viso,noun
çai sobre,aquí sobre,adverb
caplòc,capital,noun
Moyà,Moyà,properNoun
fesomia,fisionomía,noun
engabiar,enjaular,verb
ireua,nuera,noun
perspectiua,perspectiva,noun
Canàries,Canarias,properNoun
pel tresen còp,por tercera vez,adverb
quauqu'un,alguno,pronoun
quauqu'un,alguno,determiner
Barea,Barea,properNoun
acòrd,convenio,noun
meteis,mismo,adjective
seishanta dos,cuarenta y dos,numeral
desacadiar,desencadenar,verb
grauar,grabar,verb
brega,querella,noun
rescriure,reescribir,verb
provar,probar,verb
tatà,tía,noun
pastor,pastor,noun
escampar,barrer,verb
Ilhes Marianes deth Nòrd,Islas Marianas del Norte,properNoun
vilatge,pueblo,noun
chorma,chusma,noun
vegelha,vigilia,noun
exorbitat,desorbitado,adjective
hangassejar,enfangar,verb
grandesa,grandeza,noun
magnetisme,magnetismo,noun
Apertium,Apertium,properNoun
Torrijos,Torrijos,properNoun
laspan,zona,noun
odor,olor,noun
Valladolid,Valladolid,properNoun
Francis,Francis,properNoun
absurd,absurdo,adjective
pòt,labio,noun
liquid,líquido,adjective
desfiament,desafío,noun
amb jo,conmigo,adverb
intimitat,intimidad,noun
equipa,equipo,noun
conflicte,conflicto,noun
adscriure,adscribir,verb
preistòria,prehistoria,noun
peülla,pezuña,noun
proprietari,dueño,noun
instaurar,instaurar,verb
Calonge,Calonge,properNoun
substituïr,sustituir,verb
Maradona,Maradona,properNoun
gàrdia,guardia,noun
implicacion,implicación,noun
occitan,occitano,adjective
Contreras,Contreras,properNoun
caperar,cubrir,verb
redactor,redactor,noun
gratacèl,rascacielos,noun
brodar,bordar,verb
violonista,violinista,noun
entraïnament,entrenamiento,noun
posita,alcance,noun
lenguatge,lenguaje,noun
dopatge,doping,noun
degrèu,aflicción,noun
bandidalha,chusma,noun
semafòr,semáforo,noun
accesibilitat,accesibilidad,noun
acordeon,acordeón,noun
impedir,impedir,verb
una seguida de,una retahíla de,preposition
pronosticar,pronosticar,verb
mòir,mover,verb
desaubedir,desobedecer,verb
trapadèra,trampa,noun
abandonar,abandonar,verb
mentre,en tanto en cuanto,subordinatingConjunction
complèxe,complejo,noun
esturment,herramienta,noun
sorire,sonreír,verb
domètge,doméstico,adjective
sistematicaments,sistemáticamente,adverb
nòstre,nuestro,adjective
nòstre,nuestro,possessivePronoun
ortografic,ortográfico,adjective
prelitorau,prelitoral,noun
transferéncia,trasferencia,noun
Feliu,Feliu,properNoun
cervèth,cerebro,noun
transparéncia,transparencia,noun
sanglot,hipo,noun
tal,tal,adjective
despús de,después de,preposition
desseparacion,separación,noun
Mohammed,Mohammed,properNoun
Catherine,Catherine,properNoun
illustre,ilustre,adjective
Adolfo,Adolfo,properNoun
informe,informe,noun
endrabar,envolver,verb
opinion,parecer,noun
convencional,convencional,adjective
lestament,rápidamente,adverb
Rosendo,Rosendo,properNoun
mestierau,artesano,adjective
simultanèament,simultáneamente,adverb
fusada,cohete,noun
espantar,espantar,verb
cubic,cúbico,adjective
credit,crédito,noun
inversor,inversor,noun
cortesiá,cortesía,noun
Baalbèc,Baalbek,properNoun
al còp,a la vegada,adverb
Maremàgnum,Maremagnum,properNoun
donar comjat,despedir,verb
Alexàndria,Alejandría,properNoun
centre,centro,noun
Keeling,Keeling,properNoun
sèrra,sierra,noun
excludir,excluir,verb
Coll,Coll,properNoun
entornejar,rodear,verb
aquò,aquello,pronoun
Lorena,Lorena,properNoun
dialectica,dialéctica,noun
conselhièr,concejal,noun
neoliberal,neoliberal,adjective
marxisme,marxismo,noun
Iñaqui,Iñaqui,properNoun
sonca,sólo,adverb
caçum,caza,noun
oscillar,oscilar,verb
tragi-comèdia,tragicomedia,noun
tendau,toldo,noun
revision,repaso,noun
anullacion,anulación,noun
contributiu,contributivo,adjective
cridar,llamar,verb
tractament,tratamiento,noun
parraquet,retal,noun
museïstic,museístico,adjective
tot,todo,pronoun
tot,todo,determiner
entrevista,entrevista,noun
Carreras,Carreras,properNoun
Bielorussia,Bielorrusia,properNoun
usura,desgaste,noun
reial,real,adjective
noveme,noviembre,noun
deute,adeudo,noun
tot lo mond,todo el mundo,pronoun
Lídia,Lídia,properNoun
pistolet,pistola,noun
Trento,Trento,properNoun
suberpaga,gratificación,noun
acòrdi,acuerdo,noun
maxi,maxi,adjective
engiponar,apalear,verb
antan,el año pasado,adverb
alapor,insulsez,noun
mercar,golear,verb
bèra causa,algo,pronoun
Requena,Requena,properNoun
Ròse,Ròse,properNoun
optimisme,optimismo,noun
benèsser,bienestar,noun
sabon,jabón,noun
patron,plantilla,noun
emir,emir,noun
Grècia,Grecia,properNoun
Rússia,Rusia,properNoun
dineròla,hucha,noun
legal,legal,adjective
fascinar,fascinar,verb
subvencion,subvención,noun
excusa,excusa,noun
residenciau,residencial,adjective
imaginari,imaginario,adjective
Lanzarote,Lanzarote,properNoun
creissement,crecimiento,noun
pentura,pintura,noun
ilerdenc,leridano,adjective
meritar,merecer,verb
Pèir,Pèir,properNoun
quan,en cuanto,relativePronoun
transnacionalizacion,transnacionalización,noun
pesar,pesar,verb
Miravitlles,Miravitlles,properNoun
ideal,ideal,adjective
fòl,loco,adjective
sobrassada,sobrasada,noun
neurider,ganadero,noun
succession,sucesión,noun
escoltura,escultura,noun
carta,carta,noun
Aquisgran,Aquisgrán,properNoun
pelegrin,peregrino,noun
crostilhar,descostrar,verb
entà per'mor que,para que,subordinatingConjunction
filmacion,filmación,noun
tipe,tipo,noun
Naua Yòrk,Nueva York,properNoun
directritz,directriz,noun
davant,en frente de,preposition
prescriure,prescribir,verb
luta,lucha,noun
ròck,rock,noun
Asia,Asia,properNoun
digitalizar,digitalizar,verb
M,M,numeral
substanciauments,sustancialmente,adverb
fix,fijo,adjective
contrafòrt,contrafuerte,noun
seminari,seminario,noun
complementar,complementar,verb
arguila,arcilla,noun
mèu,miel,noun
veto,veto,noun
despoblacion,despoblación,noun
conspiracion,conspiración,noun
Sant Cristopher e Nevis,Sant Cristóbal y Nieves,properNoun
suenhat,cuidadoso,adjective
mèn,mío,adjective
mèn,mío,possessivePronoun
Alacant,Alicante,properNoun
discriminacion,discriminación,noun
ruta,ruta,noun
andús,ambos,pronoun
