source,target,POS
von der Schulenburg,von der Schulenburg,properNoun
projector,projecteur,noun
Cerdeira,Cerdeira,properNoun
Cater,Cater,properNoun
Obrero,Obrero,properNoun
Villa,Villa,properNoun
Nasarre,Nasarre,properNoun
mèl,miel,noun
Hu,Hu,properNoun
ordenar,sommer,verb
Mas y Abad,Mas y Abad,properNoun
caledonian,Calédonien,noun
passejada,promenade,noun
Deckard,Deckard,properNoun
Huberdeau,Huberdeau,properNoun
trenta dos,trente-deux,numeral
ministre,ministre,noun
Peig,Peig,properNoun
acusatiu,accusatif,adjective
audiometria,audiométrie,noun
dinamomètre,dynamomètre,noun
Margaret,Margaret,properNoun
Husserl,Husserl,properNoun
Bucci,Bucci,properNoun
Simón,Simón,properNoun
Mas i Gavarró,Mas i Gavarró,properNoun
Véronneau,Véronneau,properNoun
codinèr,cuisinier,noun
cigarreta,cigarette,noun
Midland,Midland,properNoun
sacrificar,sacrifier,verb
Melchor,Melchor,properNoun
Marius,Marius,properNoun
Hébert,Hébert,properNoun
Sesma,Sesma,properNoun
Aubanèu,Aubanèu,properNoun
Nassif,Nassif,properNoun
von Helmholtz,von Helmholtz,properNoun
Cuerva,Cuerva,properNoun
neurològ,neurologue,noun
a fòrça de,à force de,preposition
còfre,coffre,noun
Moscòu,Moscou,properNoun
Sigouin,Sigouin,properNoun
Masdeu,Masdeu,properNoun
prenom,prénom,noun
geocentric,géocentrique,adjective
Portell,Portell,properNoun
Cidoncha,Cidoncha,properNoun
ploraire,pleureur,noun
Meirás,Meirás,properNoun
Forgione,Forgione,properNoun
Magdaleno,Magdaleno,properNoun
pro,assez,adverb
clausurar,clôturer,verb
Peralta,Peralta,properNoun
Germana,Germaine,properNoun
Joannette,Joannette,properNoun
Mogàs,Mogàs,properNoun
esplendor,splendeur,noun
gabonés,Gabonais,noun
ciutadan,ressortissant,noun
illas de Pitcairn,îles Pitcairn,properNoun
imbricar,imbriquer,verb
canavèra,roseau,noun
frontispici,frontispice,noun
enigma,énigme,noun
Matutes,Matutes,properNoun
Cheung,Cheung,properNoun
tap,tampon,noun
arca,arche,noun
Brisebois,Brisebois,properNoun
lèu,vite,adverb
Hohenzollern,Hohenzollern,properNoun
Escrig,Escrig,properNoun
caissa,boîte,noun
fred,froid,adjective
estranhament,étrangement,adverb
Bertrand,Bertrand,properNoun
OpenOffice,OpenOffice,properNoun
faiòu,haricot,noun
Maté,Maté,properNoun
geriatric,gériatrique,adjective
ostalaria,hôtellerie,noun
Charbonneau,Charbonneau,properNoun
Monzo,Monzo,properNoun
Crowe,Crowe,properNoun
metatèsi,métathèse,noun
Desautels,Desautels,properNoun
Ernestina,Ernestina,properNoun
carnivòr,carnivore,noun
Collette,Collette,properNoun
cinta,lanière,noun
Suzuki,Suzuki,properNoun
sollicitacion,sollicitation,noun
Timboctó,Tombouctou,properNoun
Raimon,Raimon,properNoun
Kuribayashi,Kuribayashi,properNoun
dinnar,déjeuner,verb
deslocalizacion,délocalisation,noun
estructura,structure,noun
Faucher,Faucher,properNoun
Polaris,Polaris,properNoun
Lafarga,Lafarga,properNoun
desblocar,débloquer,verb
Miramón,Miramón,properNoun
Raquepas,Raquepas,properNoun
caumatge,chômage,noun
Mallafré,Mallafré,properNoun
acostumança,accoutumance,noun
monastic,monastique,adjective
centen,centième,adjective
Cruzado,Cruzado,properNoun
sobeiranetat,souveraineté,noun
Formentera,Formentera,properNoun
Haniyeh,Haniyeh,properNoun
Catilina,Catilina,properNoun
Feng,Feng,properNoun
exegèsi,exégèse,noun
basa,base,noun
utilisar,utiliser,verb
aurelheta,girolle,noun
Head,Head,properNoun
Olivé,Olivé,properNoun
absida,abside,noun
impausar,imposer,verb
dich,dit,noun
tranquillizar,tranquilliser,verb
Albistur,Albistur,properNoun
solemnitat,solemnité,noun
satanisme,satanisme,noun
preocupar,préoccuper,verb
pifre,fifre,noun
Regan,Regan,properNoun
caritat,charité,noun
Pasolini,Pasolini,properNoun
departement,département,noun
transformisme,transformisme,noun
Burgués,Burgués,properNoun
tiron,canard,noun
Edmund,Edmund,properNoun
util,utile,adjective
assirian,assyrien,adjective
Burrows,Burrows,properNoun
cotet,nuque,noun
desoxigenar,désoxygéner,verb
agarrar,prendre,verb
Fulla,Fulla,properNoun
descomposicion,décomposition,noun
