source,target,POS
depilacja,depilacyjŏ,noun
niob,niob,noun
akcent,akcynt,noun
królewski,krōlewski,adjective
bój,bōj,noun
budżetowy,budżetowy,adjective
dyplom,dyplōma,noun
referendum,absztimōng,noun
zanieść,zaniyść,verb
semazjologia,symazjologijŏ,noun
troska,dozorność,noun
czterdzieści,sztyrdziści,numeral
niesataniczny,niysataniczny,adjective
egoteizm,egoteizm,noun
dyspozycja,dyspozycyjŏ,noun
niepokrystaliczność,niypokrystaliczność,noun
stereofotograficzny,stereofotograficzny,adjective
higromorficzność,higrōmorficzność,noun
uroczy,urodny,adjective
jasny,jasny,adjective
okulistyczny,ôkulistyczny,adjective
podwójny,dwojisty,adjective
inwolucja,inwolucyjŏ,noun
strumyk,dōnojek,noun
seksualność,seksualność,noun
adoptacja,adoptacyjŏ,noun
trójwymiarowy,trōjwymiŏrowy,adjective
niepewny,niyisty,adjective
nieginekologiczność,niyginekologiczność,noun
filozoficznie,filozoficznie,adverb
pełny,połny,adjective
poligraficzność,poligraficzność,noun
wers,rzōndek,noun
białawy,bioławy,adjective
adiektywizacja,adiektywizacyjŏ,noun
monumentalizm,mōnumyntalizm,noun
półtora,pōłtora,numeral
bezbarwny,bezfarbiaty,adjective
eksportować,eksportować,verb
kartograficznie,kartograficznie,adverb
saltacjonizm,saltacjōnizm,noun
reinkarnacja,reinkarnacyjŏ,noun
haniebny,haniebny,adjective
trójkątny,trōjkōntny,adjective
nieplanktoniczność,niyplanktōniczność,noun
nabój,patrōn,noun
fenomenologiczny,fynōmynologiczny,adjective
wiejski,dziedziński,adjective
niegraniczny,niygraniczny,adjective
belgijski,belgijski,adjective
homeopatia,hōmeopatyjŏ,noun
autarkiczność,autarkiczność,noun
obcas,abzac,noun
asynchroniczny,asynchrōniczny,adjective
niegeochronologiczny,niygeochrōnologiczny,adjective
partyjny,partyjny,adjective
rasa,rasa,noun
poddać,poddać,verb
rozpuszczać,rozpuszczać,verb
akwizycyjnie,akwizycyjnie,adverb
psychobiologia,psychobiologijŏ,noun
prudencja,prudyncyjŏ,noun
cząstka,tajleczka,noun
potrzeba,potrza,verb
rzadko,rzŏdko,adverb
zapałka,sztrahecla,noun
franciszkanin,franciszkōn,noun
felinologiczny,felinologiczny,adjective
egzotyzacja,egzotyzacyjŏ,noun
zwyczaj,zwyk,noun
kinematografia,kinymatografijŏ,noun
nieptasiomiedniczny,niyptasiōmiedniczny,adjective
kalejdoskopiczny,kalejdoskopiczny,adjective
parzyście,pŏrziście,adverb
wybuch,abszus,noun
egalitaryzacja,egalitaryzacyjŏ,noun
zyskać,zyskać,verb
gongoryzm,gōngoryzm,noun
czarnoskóro,czŏrnoskōro,adverb
niesynergiczny,niysynergiczny,adjective
troszczyć,starać,verb
przerywać,przerywać,verb
śmiech,śmiych,noun
heterofilia,heterofilijŏ,noun
konfiskować,sekwystrować,verb
impregnacja,impregnacyjŏ,noun
forsa,forsa,noun
niegeostrategiczność,niygeostrategiczność,noun
skąd,skōnd,adverb
hemimetaboliczny,hymimetaboliczny,adjective
szycie,szycie,noun
haplografia,haplografijŏ,noun
minerał,mineroł,noun
gęsty,gynsty,adjective
immunogenetyka,immunogynetyka,noun
parowo,damfowo,adverb
Polinezja,Polinezyjŏ,properNoun
rozwijać,rozwijać,verb
platforma,platforma,noun
szaleć,gupieć,verb
niemuzeograficzność,niymuzeograficzność,noun
psychochirurgiczność,psychochirurgiczność,noun
analizować,analizować,verb
wycieczkowo,ausflugowo,adverb
naruszenie,naruszynie,noun
interesować,interesować,verb
inżynieria,inżynieryjŏ,noun
makroekonomia,makroekōnōmijŏ,noun
arytmetyka,arytmetyka,noun
zoo,zoo,noun
podejmować,powzimać,verb
nieeurytmiczny,niyeurytmiczny,adjective
konceptualizm,kōnceptualizm,noun
lustro,zrzadło,noun
seksoholizm,seksoholizm,noun
konfliktowo,kōnfliktowo,adverb
kultyzm,kultyzm,noun
hiperfunkcja,hiperfōnkcyjŏ,noun
nieruszniczność,niyruszniczność,noun
piana,szauma,noun
metropolizacja,metropolizacyjŏ,noun
zorientować,spōmiarkować,verb
kazanie,egzorta,noun
detektyw,detektyw,noun
rejencja,rejyncyjŏ,noun
mikcja,mikcyjŏ,noun
gigabit,gigabit,noun
scjencja,scjyncyjŏ,noun
nieznajomy,cudzy,adjective
niepalinologiczny,niypalinologiczny,adjective
kodominacja,kodōminacyjŏ,noun
naturopatia,naturopatyjŏ,noun
komin,kōmin,noun
gruszka,gruszka,noun
areszt,hereszt,noun
tandeta,erzac,noun
Pyskowice,Pyskowice,properNoun
chory,niymocny,adjective
nieortofoniczny,niyortofōniczny,adjective
granit,granit,noun
brunatny,brōnny,adjective
Brytania,Brytanijŏ,properNoun
dłużnik,dużnik,noun
listwa,lajsta,noun
stereograficzność,stereograficzność,noun
nieproporcja,niyproporcyjŏ,noun
wódka,machmŏl,noun
chwała,chwoła,noun
nasłuchiwać,nasuchować,verb
kulawy,chrōmawy,adjective
wanilia,wanilijŏ,noun
niebimorficzność,niybimorficzność,noun
nieergograficzny,niyergograficzny,adjective
weksylologiczny,weksylologiczny,adjective
homogeniczność,hōmogyniczność,noun
posuwać,pōnkać,verb
izotermiczny,izotermiczny,adjective
drzazga,drzizga,noun
pomniejszyć,pōmyńszyć,verb
daleko,daleko,adverb
undulacja,undulacyjŏ,noun
nacjonalizm,nacjōnalizm,noun
synergiczny,synergiczny,adjective
różaniec,rōuzynkranc,noun
stolica,stolica,noun
nieheterocykliczny,niyheterocykliczny,adjective
charakterologia,charakterologijŏ,noun
terytorium,terytorium,noun
błyskawica,blic,noun
eksklamacja,eksklamacyjŏ,noun
alkaliczny,alkaliczny,adjective
oftalmiczny,oftalmiczny,adjective
nieultrasonograficzność,niyultrasōnograficzność,noun
nieleksykograficzność,niyleksykograficzność,noun
upierzenie,upierzynie,noun
nierutyniczność,niyrutyniczność,noun
browar,piwowar,noun
autochtonizm,autochtōnizm,noun
dyslokacja,dyslokacyjŏ,noun
niehomerologiczny,niyhōmerologiczny,adjective
wrazić,wrazić,verb
reakcja,reakcyjŏ,noun
szwagier,dziywior,noun
niehipersoniczność,niyhipersōniczność,noun
abrupcja,abrupcyjŏ,noun
Nepal,Nepal,properNoun
omyłkowy,niynŏleżny,adjective
socjaldemokratyzm,socjaldymokratyzm,noun
energetyzm,ynergetyzm,noun
marginalizacja,marginalizacyjŏ,noun
pieczywo,piyczywo,noun
urządzać,ajnrychtować,verb
bezokolicznik,bezôkolicznik,noun
ruralizm,ruralizm,noun
niebłyskawiczność,niybłyskawiczność,noun
gigantycznie,gigantycznie,adverb
maksymalizm,maksymalizm,noun
liturgiczność,liturgiczność,noun
daremny,darymny,adjective
poddawać,poddŏwać,verb
niemakrokinematograficzność,niymakrokinymatograficzność,noun
dokuczliwie,dokuczliwie,adverb
alkalicznie,alkalicznie,adverb
antyempiryzm,antyympiryzm,noun
teleelektryka,teleelektryka,noun
sarmatyzm,sarmatyzm,noun
głuchołaski,guchołaski,adjective
koagulologia,koagulologijŏ,noun
komparatywizm,kōmparatywizm,noun
materialny,sztofowy,adjective
dodatkowy,ekstra,adjective
genologiczność,gynologiczność,noun
mało,mało,adverb
dupa,dupa,noun
cześć,cześ,interjection
powtarzalnie,powtŏrzalnie,adverb
inwestor,inwestōr,noun
pośladek,pōłrzitko,noun
doketyzm,doketyzm,noun
pseudointelektualizm,pseudointelektualizm,noun
elastycznie,elastycznie,adverb
defloracja,defloracyjŏ,noun
defenestracja,defynestracyjŏ,noun
sztuczny,niynaturalny,adjective
komunistycznie,kōmunistycznie,adverb
mysłowicki,mysłowski,adjective
prymatologiczny,prymatologiczny,adjective
unijnie,unijnie,adverb
mahometanizm,mahōmetanizm,noun
punktualizm,punktualizm,noun
adekwatny,adekwatny,adjective
balsamiczny,balsamiczny,adjective
natychmiast,ôrŏz,adverb
reumatologiczność,reumatologiczność,noun
lwowski,lwowski,adjective
eozoiczność,eozoiczność,noun
kulturystyka,kulturystyka,noun
karmelizacja,karmelizacyjŏ,noun
sterowanie,sterowanie,noun
pleomorfizm,pleōmorfizm,noun
prerafaeliczność,prerafaeliczność,noun
jodła,jedła,noun
kosmograficzność,kosmograficzność,noun
reinwestycja,reinwestycyjŏ,noun
agnostycyzm,agnostycyzm,noun
nabierać,nabiyrać,verb
kognitywistyka,kognitywistyka,noun
zagrać,zagrać,verb
przybrzeżnie,przibrzyżnie,adverb
zdrada,wyzdrada,noun
domniemanie,dōmniymanie,adverb
protetyczny,protetyczny,adjective
hungaryzm,hungaryzm,noun
senegalski,synegalski,adjective
przedmiot,przedmiot,noun
choreograficzny,choreograficzny,adjective
niealchemiczny,niyalchymiczny,adjective
średnik,strzednik,noun
topiczny,topiczny,adjective
defraudacja,defraudacyjŏ,noun
licznik,rachownik,noun
moralność,moralność,noun
hektograficzny,hektograficzny,adjective
nieneurasteniczny,niyneurastyniczny,adjective
cykloniczność,cyklōniczność,noun
heraldyczny,heraldyczny,adjective
prereformacja,prereformacyjŏ,noun
wyprodukować,wyprodukować,verb
heterosylabiczny,heterosylabiczny,adjective
ziemsko,ziymsko,adverb
ochlokracja,ôchlokracyjŏ,noun
luźny,frajny,adjective
klasyka,klasyka,noun
pobudzać,pobudzać,verb
śrubokręt,szraubyncyjer,noun
mammalogiczność,mammalogiczność,noun
herpetologia,herpetologijŏ,noun
XUL,XUL,noun
wypisać,wypisać,verb
nieheterocykliczność,niyheterocykliczność,noun
ścisły,ścisły,adjective
mierny,mierny,adjective
somatologia,sōmatologijŏ,noun
chopinologiczność,chopinologiczność,noun
brutalny,jarny,adjective
wolno,poleku,adverb
kostiumologia,kostiumologijŏ,noun
słuchawka,suchŏwka,noun
melon,melōn,noun
transportować,transportować,verb
chłód,chłōd,noun
dyspalatalizacja,dyspalatalizacyjŏ,noun
termiczność,termiczność,noun
niepsychobiologiczność,niypsychobiologiczność,noun
nieloksodromiczny,niyloksodrōmiczny,adjective
dostęp,dostymp,noun
eugenika,eugynika,noun
nieleptosomiczność,niyleptosōmiczność,noun
inżynier,inżinier,noun
niesoniczny,niysōniczny,adjective
nomologiczny,nōmologiczny,adjective
nietelegraficzność,niytelegraficzność,noun
buzia,sznut,noun
etiopsko,etiopsko,adverb
towarowo,towarowo,adverb
labirynt,labirynt,noun
zakręt,winkel,noun
obfitować,ôbfitować,verb
nauka,nauka,noun
tytuł,tytuł,noun
komensalizm,kōmynsalizm,noun
artystyczny,artystyczny,adjective
rodzinnie,familijnie,adverb
jednolity,lity,adjective
święcić,świyncić,verb
niebożniczny,niybożniczny,adjective
dendrochronologiczność,dyndrochrōnologiczność,noun
metalografia,metalografijŏ,noun
niepoligeniczność,niypoligyniczność,noun
niecyruliczny,niycyruliczny,adjective
jakikolwiek,jaki ino,pronoun
logicznie,logicznie,adverb
wydzielić,wydzielić,verb
rok,rok,noun
wrogość,wrogość,noun
laska,kryka,noun
niehippiczność,niyhippiczność,noun
deszyfrować,deszyfrować,verb
obco,cudzo,adverb
zawadzki,zawadzki,adjective
barodynamika,barodynamika,noun
reszta,ôstatek,noun
estetyzacja,estetyzacyjŏ,noun
zanurzyć,zanurzić,verb
celebrować,celebrować,verb
wyruszyć,wyruszyć,verb
łagodny,ôpaterny,adjective
pirolityczny,pirolityczny,adjective
niemikroelektroniczny,niymikroelektrōniczny,adjective
symfonika,symfōnika,noun
przyjemniejszy,przijymniyjszy,adjective
makroekonomiczny,makroekōnōmiczny,adjective
byt,byt,noun
ablacja,ablacyjŏ,noun
pokuta,pokuta,noun
heroikomiczność,heroikōmiczność,noun
orficzność,ôrficzność,noun
sylwetka,sylwetka,noun
dziko,dziwoko,adverb
delecja,delecyjŏ,noun
silnie,fest,adverb
teocentryzm,teocyntryzm,noun
urodziwy,urodliwy,adjective
petycja,petycyjŏ,noun
neontologia,neontologijŏ,noun
pandemiczny,pandymiczny,adjective
elityzm,elityzm,noun
faworyzacja,faworyzacyjŏ,noun
referat,referat,noun
rak,rak,noun
renegacja,rynegacyjŏ,noun
niehipotoniczny,niyhipotōniczny,adjective
sporadyczny,sporadyczny,adjective
legendyzm,legyndyzm,noun
pieróg,pierōg,noun
pocztowy,pocztowy,adjective
szukać,szukać,verb
katastrofalnie,katastrofalnie,adverb
meteor,meteor,noun
jaki,jaki,pronoun
nieproliferacja,niyproliferacyjŏ,noun
grzybiczny,grzibiczny,adjective
ładować,ladować,verb
nieharmonogramiczność,niyharmōnogramiczność,noun
nieelektromechaniczny,niyelektrōmechaniczny,adjective
opryskliwy,byrklawy,adjective
nieorograficzny,niyorograficzny,adjective
typolitograficzny,typolitograficzny,adjective
duma,hyra,noun
kolaboracja,kolaboracyjŏ,noun
arteria,arteryjŏ,noun
godecja,godecyjŏ,noun
oftalmiczność,ôftalmiczność,noun
charakteryzować,cechować,verb
rytmiczność,rytmiczność,noun
kierować,regiyrować,verb
niehomeomorficzność,niyhōmeōmorficzność,noun
sekunda,sekunda,noun
deregulacja,deregulacyjŏ,noun
niepozaliturgiczność,niypozaliturgiczność,noun
niesylabotoniczny,niysylabotōniczny,adjective
imażinizm,imażinizm,noun
śląski,ślōnski,adjective
somacja,sōmacyjŏ,noun
pop,pop,noun
gal,gŏl,noun
szyizm,szyizm,noun
indywidualny,indywidualny,adjective
spożycie,spożycie,noun
ryć,ryć,verb
niepatogeniczny,niypatogyniczny,adjective
nieprometeiczność,niyprōmeteiczność,noun
liturgicznie,liturgicznie,adverb
dziedziczny,erbowy,adjective
apofoniczność,apofōniczność,noun
zewnątrz,aus,adverb
stróż,wachtyrz,noun
obrzydzenie,brzidzynie,noun
zależnie,znŏleżnie,adverb
niemizantropiczny,niymizantropiczny,adjective
rana,bolōnczka,noun
cytatologia,cytatologijŏ,noun
przechwycić,przechycić,verb
ziele,ziele,noun
niebalneotechniczny,niybalneotechniczny,adjective
starannie,sprŏwnie,adverb
brzoskwinia,fyrzicha,noun
scyntygraficzność,scyntygraficzność,noun
produkcja,produkcyjŏ,noun
nitka,nitka,noun
powodować,powodować,verb
akademika,akadymika,noun
wirtualizacja,wirtualizacyjŏ,noun
wiolencja,wiolyncyjŏ,noun
mimografia,mimografijŏ,noun
startować,sztartować,verb
przewracać,przewrŏcać,verb
autobiograficzny,autobiograficzny,adjective
ateistyczny,ateistyczny,adjective
zwolnić,zwolnić,verb
szal,plyjd,noun
dokładny,akuratny,adjective
krokodyl,krokodyl,noun
przedstawiciel,przedstŏwiciel,noun
wokacja,wokacyjŏ,noun
wystarczać,stykać,verb
wyskoczyć,wyskoczyć,verb
aprioryczny,aprioryczny,adjective
leksyka,leksyka,noun
niepograniczny,niypograniczny,adjective
wchodzić,wchodzić,verb
przepaść,przepaść,noun
dialektyzacja,dialektyzacyjŏ,noun
transgraniczny,transgraniczny,adjective
metalochromia,metalochrōmijŏ,noun
suka,kunda,noun
cynkograficzny,cynkograficzny,adjective
rybak,rybŏk,noun
brachylogia,brachylogijŏ,noun
koedycja,koedycyjŏ,noun
embriografia,ymbriografijŏ,noun
antroponimiczny,antropōnimiczny,adjective
przeciwstawny,przeciwstawny,adjective
służyć,sużyć,verb
pośrednictwo,postrzednictwo,noun
niesubordynacja,niysubordynacyjŏ,noun
reperacja,reperacyjŏ,noun
rdzawo,rzawo,adverb
kontynuować,kōntynuować,verb
ewangelizacja,ewangelizacyjŏ,noun
kalotechniczność,kalotechniczność,noun
niespontaniczność,niyspōntaniczność,noun
obstrukcjonizm,ôbstrukcjōnizm,noun
mineralogiczny,mineralogiczny,adjective
niepolarograficzność,niypolarograficzność,noun
specjalistycznie,fachmōńsko,adverb
szkocki,szkocki,adjective
etiolacja,etiolacyjŏ,noun
nietomograficzność,niytōmograficzność,noun
gej,gej,noun
Anguilla,Anguilla,properNoun
Uganda,Uganda,properNoun
blondynka,blōndynka,noun
wylądować,wylōndować,verb
chałupa,chałupa,noun
zoomorfizm,zoōmorfizm,noun
karabin,gywera,noun
programista,programista,noun
siostrzenica,synowica,noun
eremityzm,erymityzm,noun
gastrologia,gastrologijŏ,noun
dużo,moc,determiner
zażywać,zażywać,verb
mykologia,mykologijŏ,noun
Fidżi,Fidżi,properNoun
konopia,kōnopie,noun
tyflopedagogiczność,tyflopedagogiczność,noun
moderacja,moderacyjŏ,noun
lunatyzm,lunatyzm,noun
nieterminologiczność,niyterminologiczność,noun
wideofonia,wideofōnijŏ,noun
polecić,zarekōmandować,verb
wyglądać,wyglōndać,verb
fotochromografia,fotochrōmografijŏ,noun
demoniczny,dymōniczny,adjective
prudnicki,prudnicki,adjective
podobieństwo,podobiyństwo,noun
niealogiczność,niyalogiczność,noun
ominąć,ôbminōńć,verb
kopalnia,hawiyrnia,noun
miauczeć,miauczeć,verb
na wszelki wypadek,dlŏ przigody,preposition
dystynkcja,dystynkcyjŏ,noun
perfekcjonizm,perfekcjōnizm,noun
ksiądz,ksiōndz,noun
wizualny,wizualny,adjective
edaficzny,edaficzny,adjective
prosekucja,prosekucyjŏ,noun
kongregacjonalizm,kōngregacjōnalizm,noun
wełniany,wołniany,adjective
niewątpliwy,niywōntpliwy,adjective
niegalwanotechniczny,niygalwanotechniczny,adjective
nieelektrofizjologiczny,niyelektrofizjologiczny,adjective
afoniczność,afōniczność,noun
naprawiać,sprawiać,verb
deserializować,deserializować,verb
szczenię,psiã,noun
zwinąć,swinōńć,verb
makabryczny,makabryczny,adjective
gloryfikacja,gloryfikacyjŏ,noun
krzemoorganiczność,krzymoorganiczność,noun
hegemonizm,hegymōnizm,noun
wypadać,wypadać,verb
nieszczery,ôszydny,adjective
sensualizm,synsualizm,noun
wieniec,kranc,noun
rekonfederacja,rekōnfederacyjŏ,noun
chrześcijański,krześcijōński,adjective
szybko,wartko,adverb
muzeum,muzeum,noun
niełasiczność,niyłasiczność,noun
pojedynek,pojedynek,noun
korespondować,korespōndować,verb
zoologia,zoologijŏ,noun
nieidylliczny,niyidylliczny,adjective
zawiły,zawiły,adjective
powtórzyć,powtōrzić,verb
przesada,przesŏda,noun
nieampelologiczność,niyampelologiczność,noun
punktacja,punktacyjŏ,noun
niediatermiczny,niydiatermiczny,adjective
demonstracyjnie,dymōnstracyjnie,adverb
baryczny,baryczny,adjective
utrzymywanie,utrzimywanie,noun
komplet,kōmplet,noun
balneologia,balneologijŏ,noun
kulturologia,kulturologijŏ,noun
sprawiedliwy,sprawiedliwy,adjective
zapłata,płat,noun
cenić,wŏżyć,verb
organologia,ôrganologijŏ,noun
kłuć,dziubać,verb
rozsądny,usōndny,adjective
sowietologiczny,sowietologiczny,adjective
czarnogórski,czŏrnogōrski,adjective
psychasteniczność,psychastyniczność,noun
macedoński,macedōński,adjective
mezozoiczny,mezozoiczny,adjective
dola,los,noun
osjaniczność,ôsjaniczność,noun
siodło,zatel,noun
znakomity,perfekt,adjective
pora,czas,noun
puszka,dōuza,noun
mikronezyjski,mikrōnezyjski,adjective
ametaboliczność,ametaboliczność,noun
plastycznie,plastycznie,adverb
irradiacja,irradiacyjŏ,noun
Niderlandy,Niderlandy,properNoun
nieegiptologiczny,niyegiptologiczny,adjective
ptasio,ptŏsio,adverb
futuryzm,futuryzm,noun
angiokardiografia,angiokardiografijŏ,noun
uśmiechnąć,uśmiychnōńć,verb
zręczność,grajfka,noun
pastuch,pastuch,noun
steniczny,styniczny,adjective
uciekinier,drot,noun
autotroficzność,autotroficzność,noun
cyrenaizm,cyrynaizm,noun
kopalnia,gruba,noun
katedra,katyjdra,noun
diabetologia,diabetologijŏ,noun
obydwa,ôba,pronoun
token,tokyn,noun
Rydułtowy,Rydułtowy,properNoun
otaczać,ôbtŏczać,verb
nieradiotelefoniczność,niyradiotelefōniczność,noun
polonofobia,polōnofobijŏ,noun
ascetyka,ascetyka,noun
desperacja,desperacyjŏ,noun
wirylizacja,wirylizacyjŏ,noun
partnerka,partnerka,noun
synchroniczny,synchrōniczny,adjective
fumigacja,fumigacyjŏ,noun
kucharka,kucharka,noun
pieczęć,sztympel,noun
ateista,atyista,noun
pejzaż,landszaft,noun
pawłowizm,pawłowizm,noun
Szwajcaria,Szwajcaryjŏ,properNoun
kontrafakcja,kōntrafakcyjŏ,noun
papierologia,papierologijŏ,noun
niegeochronologiczność,niygeochrōnologiczność,noun
zaleta,zŏlyta,noun
staranie,starōnek,noun
ilotyzm,ilotyzm,noun
niemoralnie,niymoralnie,adverb
kodować,kodować,verb
wsiadać,siŏdać,verb
perspektywa,perspektywa,noun
falandyzacja,falandyzacyjŏ,noun
uczęszczać,uczynszczać,verb
gaduła,gaduła,noun
strapienie,strŏpiynie,noun
samoironia,samoirōnijŏ,noun
mróz,mrōz,noun
włączyć,włōnczyć,verb
pała,palica,noun
asocjacjonizm,asocjacjōnizm,noun
zakładnik,zakładnik,noun
patronimiczny,patrōnimiczny,adjective
popielaty,szady,adjective
mózg,mōzg,noun
niesanskrytologiczny,niysanskrytologiczny,adjective
niewersologiczność,niywersologiczność,noun
łatwość,lekość,noun
brak,chyba,noun
odpowiednio,ôdpednio,adverb
nieoftalmologiczny,niyoftalmologiczny,adjective
ekspozycja,ekspozycyjŏ,noun
atomizm,atōmizm,noun
badać,podszukować,verb
przy,wele,preposition
uaktualnić,uaktualnić,verb
okręg,rejōn,noun
bezużyteczny,bezużyteczny,adjective
ambasada,ambasŏda,noun
manizm,manizm,noun
kamyk,kamolek,noun
nr,nr,noun
humanizm,humanizm,noun
kundlizm,kundlizm,noun
szczegółowy,detajlowy,adjective
kwadryliard,kwadrylijard,numeral
właściwość,włŏsność,noun
zerknąć,kuknōńć,verb
przymus,przimus,noun
hurtownia,hurtownia,noun
diagram,diagram,noun
brachygrafia,brachygrafijŏ,noun
nieakefaliczny,niyakefaliczny,adjective
bieda,chudoba,noun
kluczowy,isty,adjective
segregacjonizm,segregacjōnizm,noun
ipsacja,ipsacyjŏ,noun
odwrotnie,ôpacznie,adverb
oceanologiczny,oceanologiczny,adjective
botswański,botswański,adjective
malowidło,malowidło,noun
bosy,bosy,adjective
proliferacja,proliferacyjŏ,noun
anegdota,anegdota,noun
gmina,gmina,noun
nieegzogeniczny,niyegzogyniczny,adjective
generalizacja,gyneralizacyjŏ,noun
instytucjonalizacja,instytucjōnalizacyjŏ,noun
sensomotoryka,synsōmotoryka,noun
wyjść,wyjść,verb
udostępnić,udostympnić,verb
kohabitacja,kohabitacyjŏ,noun
orzech,ôrzech,noun
zooplastyka,zooplastyka,noun
tłuszcz,szpek,noun
sadzawka,sadzawka,noun
spadać,spadować,verb
makroklimatologia,makroklimatologijŏ,noun
