source,target,POS
дискриминационный,дискримінаційний,adjective
дань,данина,noun
подчинение,підпорядкування,noun
добиться,добитися,verb
след,слід,noun
полуоборот,напівоберт,noun
хлопок,бавовна,noun
избранник,обранець,noun
модерн,модерн,noun
заинтересованность,зацікавлення,noun
сначала,спочатку,adverb
фан,фан,noun
ценность,коштовність,noun
резнуть,різнути,verb
электроэнергия,електроенергія,noun
тележка,візочок,noun
последовать,наслідувати,verb
последовать,наслідувати,presentParticipleAdjective
последовать,наслідувати,verb
последовать,наслідувати,presentParticipleAdjective
афелий,афелій,noun
в отдельности,зокрема,adverb
Шевчук,Шевчук,properNoun
адоптация,адоптація,noun
сын бондаря,бондаренко,noun
счёт,лік,noun
переливание,переливання,noun
паралогизм,паралогізм,noun
персональный,персональний,adjective
электроснабжение,електропостачання,noun
голос,голос,noun
корпорация,корпорація,noun
фрагмент,фрагмент,noun
сведение,зведення,noun
очистка,очищення,noun
потом,потім,adverb
диссертация,дисертація,noun
выделение,виділення,noun
дёшево,дешево,adverb
угрожать,погрожувати,verb
вол,віл,noun
приют,притулок,noun
старожилец,старожил,noun
политизация,політизація,noun
репутация,репутація,noun
сумасшедший,божевільний,adjective
лёд,лід,noun
говядина,яловичина,noun
вечерний,вечірній,adjective
поздно,запізно,adverb
во время,під час,preposition
агропромышленный,агропромисловий,adjective
ремонт,ремонт,noun
координатор,координатор,noun
возражать,заперечувати,verb
примитивный,примітивний,adjective
садок,садок,noun
иноземец,чужинець,noun
быт,побит,noun
непрофессионализм,непрофесіоналізм,noun
медицинский,медичний,adjective
сын,син,noun
арендатор,орендар,noun
стадия,стадія,noun
в конце,насамкінець,adverb
верхушечный,вершковий,adjective
политика,політика,noun
угол,кут,noun
тщательно,ретельно,adverb
уделять,приділяти,verb
геотехнология,геотехнологія,noun
документация,документація,noun
фасад,фасад,noun
останавливать,зупиняти,verb
тайно,таємно,adverb
невозможный,неможливий,adjective
угнетение,пригнічення,noun
птица,птах,noun
староста,староста,noun
бекграунд,бекграунд,noun
пятно,пляма,noun
морализм,моралізм,noun
темник,темник,noun
преувеличение,перебільшення,noun
рынок,ринок,noun
полутысяча,півтисяча,noun
сложность,складність,noun
территория,терен²,noun
кризис,криза,noun
песня,співанка,noun
зодческий,архітектурний,adjective
сокрушительный,нищівний,adjective
канцлер,канцлер,noun
ипотека,іпотека,noun
топонимика,топоніміка,noun
помогать,допомагати,verb
магазин,магазин²,noun
цинический,цинічний,adjective
творожный,сирний,adjective
зачёт,залік,noun
прийти,прийти,verb
Волден,Волден,properNoun
разное,різне,noun
неожиданно,зненацька,adverb
юриспруденция,юриспруденція,noun
вы,ви,pronoun
вы,ви,personalPronoun
тираспольский,тираспольський,adjective
сжимать,стискувати,verb
эссе,есе,noun
королевство,королівство,noun
выправить,виправити,verb
повозка,візочок,noun
стерлинг,стерлінг,noun
акциз,акциз,noun
знаток,знавець,noun
исполняться,виповнюватися,verb
птицефабрика,птахофабрика,noun
жилищный,житловий,adjective
приходской священник,парох,noun
составить,скласти,verb
отпирание,відімкнення,noun
атрибут,атрибут,noun
преждевременный,дочасний,adjective
нецелесообразно,недоцільно,adverb
сенсуализм,сенсуалізм,noun
изощрить,витончити,verb
прогрессивный,прогресивний,adjective
фурия,фурія,noun
присяга,присяга,noun
обидно,образливо,adverb
недоступно,недоступно,adverb
феодосийский,феодосійський,adjective
живопись,живопис,noun
судья,суддя,noun
туннель,тунель,noun
верность,вірність,noun
выкладывать,викладати,verb
подвижный,рухомий,adjective
разлад,розлад,noun
нанимать,наймати,verb
завершаться,завершуватися,verb
несколько десятков,кількадесят,numeral
погребение,похорон,noun
опровергнуть,заперечити,verb
приезжий,приїжджий,adjective
справедливый,справедливий,adjective
решать,вирішувати,verb
Головко,Головко,properNoun
чиновник,чиновник,noun
детёныш,малюк,noun
трепетать,потерпати,verb
непрерывно,безупинно,adverb
уверенно,упевнено,adverb
двухлетний,дворічний,adjective
эмоционально,емоційно,adverb
расстояние,відстань,noun
внезапно,раптово,adverb
побуждать,спонукати,verb
отдел,відділ,noun
пристрастие,пристрасть,noun
воплощение,втілення,noun
хибара,халупа,noun
нападающий,нападник,noun
кризисный,кризовий,adjective
строитель,будівельник,noun
крыса,щур,noun
отчётливый,виразний,adjective
ориентироваться,орієнтуватися,verb
слив,злив,noun
спонтанно,спонтанно,adverb
аккуратно,акуратно,adverb
гемикрания,гемікранія,noun
вовремя,вчасно,adverb
захоронение,захоронення,noun
обозначить,позначити,verb
имплементация,імплементація,noun
бортняк,бортняк,noun
голосование,голосування,noun
нарочно,навмисно,adverb
достать,здобути,verb
далеко,далеко,adverb
слух,слух,noun
провозгласить,проголосити,verb
житель,мешканець,noun
субстанция,субстанція,noun
профессионал,професіонал,noun
холодильник,холодильник,noun
цензура,цензура,noun
ярь,яр,noun
погашение,погашення,noun
происхождение,походження,noun
однако,однак,coordinatingConjunction
сигнал,сигнал¹,noun
упрощение,спрощення,noun
смысл,смисл,noun
вредный,шкідливий,adjective
ужас,жах,noun
интеллигент,інтелігент,noun
бисегментация,бісегментація,noun
юг,південь,noun
животный,тваринний,adjective
обход,обхід,noun
результативность,результативність,noun
расположение,розташування,noun
разделять,поділяти,verb
героин,героїн,noun
доведение,доведення,noun
генплан,генплан,noun
позволять,дозволяти,verb
апроксимация,апроксимація,noun
сечевой,січовий,adjective
пройти,пройти,verb
Аризона,Аризона,properNoun
наводить,наводити,verb
исламизм,ісламізм,noun
заговор,змова,noun
заурядный,пересічний,adjective
ратифицировать,ратифікувати,verb
языковед,мовник,noun
сравнять,порівняти,verb
оживление,пожвавлення,noun
автономия,автономія,noun
коллаборационизм,колабораціонізм,noun
анемохория,анемохорія,noun
актуализация,актуалізація,noun
супер,супер,noun
командирование,відрядження,noun
консолидировать,консолідувати,verb
голодомор,голодомор,noun
коптить,коптити,verb
изделие,виріб,noun
достигнуть,досягнути,verb
концепция,концепція,noun
зерно,зерно,noun
неоколониализм,неоколоніалізм,noun
централизованный,централізований,adjective
скромный,скромний,adjective
иноземный,іноземний,adjective
работодатель,працедавець,noun
унионизм,уніонізм,noun
призовой,призовий,adjective
зачистка,зачистка,noun
блистательный,блискучий,adjective
Гамбия,Гамбія,properNoun
регистрация,реєстрація,noun
рёбрышко,реберце,noun
абляция,абляція,noun
шкала,шкала,noun
умереть,померти,verb
минута,хвилина,noun
указать,вказати,verb
коренья,коріння,noun
заражение,зараження,noun
очаг,осередок,noun
изнасилование,зґвалтування,noun
подарок,подарунок,noun
аттестация,атестація,noun
обидеть,образити,verb
чемодан,валіза,noun
аргумент,аргумент,noun
баррель,барель,noun
колодец,криниця,noun
износить,зносити,verb
ознакомиться,ознайомитися,verb
литр,літр,noun
газопровод,газопровід,noun
предвзятый,упереджений,adjective
