source,target,POS
logahasdávda,infeksjonssykdom,noun
guhkkásii,for lang tid,adverb
ráfibargu,fredsarbeid,noun
Lemmetjohka,Lemmetjohka,properNoun
Sunnan,Sunnan,properNoun
prinsihppadieđáhus,prinsippmelding,noun
Kay,Kay,properNoun
Ansbach,Ansbach,properNoun
Luossanjárguolbba,Luossanjárguolbba,properNoun
Jokipii,Jokipii,properNoun
Faber,Faber,properNoun
njunušvirgi,toppstilling,noun
Centralbureau,Centralbureau,properNoun
siivvut,stille,adverb
fuolahusbálvalus,omsorgstjeneste,noun
háhppil,kjapp,adjective
ráhtta,ratt,noun
nomadskoleproposišuvdna,nomadskoleproposisjon,noun
Dahle,Dahle,properNoun
Meinert,Meinert,properNoun
bálkágollu,lønnsutgift,noun
oahpadit,passe,verb
Håker,Håker,properNoun
Belinda,Belinda,properNoun
Kálát,Kálát,properNoun
tabuleret,tabulere,verb
fuolalaš,pertentlig,adjective
Albrectsen,Albrectsen,properNoun
suorggideapmi,ordavledning,noun
gámaculci,støvelknott,noun
beananálli,hunderase,noun
bearráigeahččoorgána,tilsynsorgan,noun
Čuidnárjohka,Čuidnárjohka,properNoun
Schwarzwald,Schwarzwald,properNoun
Svazieana,Swaziland,properNoun
buohccedoarjja,sykepenger,noun
retarderet,retardere,verb
stoagus,leke,noun
jaa,jaa,interjection
Sørby,Sørby,properNoun
dáiddapolitihkka,kunstpolitikk,noun
Boncalanjávri,Boncalanjávri,properNoun
Camelus,Camelus,properNoun
Randi,Randi,properNoun
Alteidet,Alteidet,properNoun
Hilary,Hilary,properNoun
gođđan,gyting,noun
maoisma,maoisme,noun
resursapolitihkka,ressurspolitikk,noun
Rantakaulio,Rantakaulio,properNoun
Lauderdale,Lauderdale,properNoun
ruopmaskearru,reimskive,noun
stipeandalávdegoddi,stipendkomite,noun
Hoikka,Hoikka,properNoun
Ferie,Ferie,properNoun
Tømmerås,Tømmerås,properNoun
Liksebiđđinjohka,Liksebiđđinjohka,properNoun
Árdagavárri,Ardekfjellet,properNoun
sálteláhka,saltlov,noun
Boazojávri,Reinvatnet,properNoun
beakkálmas,kjendis,noun
husmorskola,husmorskole,noun
Stuornjárga,Stuornjárga,properNoun
Oažželuovtt-Suolojávri,Stangholmvatnet,properNoun
Emblem,Emblem,properNoun
morfema,morfem,noun
Sahi,Sahi,properNoun
sampel,sampel,noun
fámuhisvuohta,maktesløshet,noun
Varila,Varila,properNoun
Borthen,Borthen,properNoun
Nohppenuorri,Nohppenuorri,properNoun
Tonttila,Tonttila,properNoun
Vuottasgohppi,Sildkroken,properNoun
Isleiv,Isleiv,properNoun
gilvvagárdeealáhus,gartnernæring,noun
Westerberg,Westerberg,properNoun
Kastrup,Kastrup,properNoun
lágajegolaš,lovlydig,adjective
Dronninglund,Dronninglund,properNoun
Buvssasmohkki,Buvssasmohkki,properNoun
Håvard,Håvard,properNoun
responderet,respondere,verb
vearroguitečálli,oppebørselmann,noun
Miennavárri,Miennavárri,properNoun
Haukenes,Haukenes,properNoun
biebmoruhta,kostgodtgjørelse,noun
mielas,oppfatning,adverb
Bierffetjohka,Bierffetjohka,properNoun
Dominikaaninen,Dominikaaninen,properNoun
riepmomállásat,bankett,noun
vuosttašamanueansa,førsteamanuensis,noun
Håkonsson,Håkonsson,properNoun
mensa,menstruasjon,noun
riebansilba,kråkesølv,noun
neahttarusttet,nettanlegg,noun
Bremen,Bremen,properNoun
geaŋga,rein,noun
Gilje,Gilje,properNoun
