source,target,POS
uglađenost,olika,noun
emocionalan,čustven,adjective
useljenje,vselitev,noun
Tom,Tom,properNoun
toplifikacija,ogrevanje,noun
uzak,ozek,adjective
Mađarska,Madžarska,properNoun
Čotrić,Čotrić,properNoun
tekući,tekajoč,adverb
tekući,tekajoč,adverb
naveden,naštet,adjective
prolazeći,mimo,adverb
prolazeći,mimo,adverb
paušalno,pavšalno,adverb
nerealno,nerealno,adjective
nerealno,nerealno,adverb
nerealno,nerealno,adjective
nerealno,nerealno,adverb
okupatorski,okupatorsko,adjective
okupatorski,okupatorsko,adverb
okupatorski,okupatorsko,adjective
okupatorski,okupatorsko,adverb
izlaženje,izhod,noun
smirivati,umiriti,verb
mutiranje,mutiranje,noun
Šulajkovski,Šulajkovski,properNoun
vrtoglavo,vrtoglavo,adverb
Karganović,Karganović,properNoun
organizujući,organizirajoč,adverb
organizujući,organizirajoč,adverb
ispušan,izpušen,adjective
učeći,učeč,adverb
učeći,učeč,adverb
srednjovjekovno,srednjeveško,adjective
srednjovjekovno,srednjeveško,adverb
srednjovjekovno,srednjeveško,adjective
srednjovjekovno,srednjeveško,adverb
apćiha,apćiha,interjection
žabokrečina,mlakuža,noun
podgorički,podgoriški,adjective
mijenjajući,menjaje,adverb
mijenjajući,menjaje,adverb
znojnica,znojnica,noun
nasilno,nasilno,adjective
nasilno,nasilno,adverb
nasilno,nasilno,adjective
nasilno,nasilno,adverb
studentski,študentsko,adjective
studentski,študentsko,adverb
studentski,študentsko,adjective
studentski,študentsko,adverb
visina,višava,noun
izniman,izjemen,adjective
Bačinović,Bačinović,properNoun
tvrd,trd,adjective
tenkovski,tankovsko,adverb
Hercegovina,Hercegovina,properNoun
Spirić,Spirić,properNoun
nametnuti,prisiliti,verb
Tepavčević,Tepavčević,properNoun
rascjep,razcep,noun
duhovnik,duhoven,noun
štand,stojnica,noun
pohlepno,požrešno,adverb
vršiti,vršiti,verb
nedosljedan,nedosleden,adjective
Balić,Balić,properNoun
rangirati,rangirati,verb
značajno,znatno,adjective
značajno,znatno,adverb
značajno,znatno,adjective
značajno,znatno,adverb
Mionić,Mionić,properNoun
Tomo,Tomo,properNoun
trepavica,trepalnica,noun
trideset,trideset,numeral
Mareković,Mareković,properNoun
srednjeevropski,srednjeevropsko,adjective
srednjeevropski,srednjeevropsko,adverb
srednjeevropski,srednjeevropsko,adjective
srednjeevropski,srednjeevropsko,adverb
snebivanje,krčenje,noun
trešnja,višnjevo,adverb
ugodno,ugodno,adverb
komesarstvo,komisar,noun
investirajući,vlagajoč,adverb
investirajući,vlagajoč,adverb
prakticirati,prakticirati,verb
Jelinić,Jelinić,properNoun
Bugajski,Bugajski,properNoun
primjena,uporaba,noun
španski,špansko,adjective
španski,špansko,adverb
španski,špansko,adjective
španski,špansko,adverb
ulaz,vhod,noun
nastavljati,nadaljevati,verb
gozba,pojedina,noun
komunistički,komunistično,adjective
komunistički,komunistično,adverb
komunistički,komunistično,adjective
komunistički,komunistično,adverb
imutak,blago,noun
unositi,vnesti,verb
ispasti,izpasti,verb
pasti,pasti,verb
protivljenje,nasprotovanje,noun
Kitanovski,Kitanovski,properNoun
tekuće,tekoč,adverb
sumnjičavo,dvomljivo,adjective
sumnjičavo,dvomljivo,adverb
sumnjičavo,dvomljivo,adjective
sumnjičavo,dvomljivo,adverb
koalicijski,koalicijski,adjective
često,pogosto,adverb
jonski,ionsko,adjective
jonski,ionsko,adverb
jonski,ionsko,adjective
jonski,ionsko,adverb
strukturni,strukturen,adjective
Školč,Školč,properNoun
etiketa,etiketa,noun
niz,niz,noun
vlasnik,lastnik,noun
svinjarija,kozlarija,noun
pobijediti,zmagati,verb
bezopasno,varno,adjective
bezopasno,varno,adverb
bezopasno,varno,adjective
bezopasno,varno,adverb
bostonski,bostonsko,adjective
bostonski,bostonsko,adverb
bostonski,bostonsko,adjective
bostonski,bostonsko,adverb
jednom,nekoč,adverb
obučavati,poučevati,verb
spočetka,spočetka,adverb
neumoljivo,neizprosno,adverb
sumišljenik,somišljenik,noun
zaoštravajući,zaostren,adjective
zaoštravajući,zaostren,adjective
Engleska,Anglija,properNoun
Todorović,Todorović,properNoun
dijamant,diamant,noun
onakav,takšen,pronoun
onakav,takšen,demonstrativePronoun
sirov,nesramen,adjective
mesti,mesti,verb
instrument,instrument,noun
božanski,božansko,adverb
prodavaonica,trgovina,noun
kombinat,kombinat,noun
rujanski,septembersko,adjective
rujanski,septembersko,adverb
rujanski,septembersko,adjective
rujanski,septembersko,adverb
Bailey,Bailey,properNoun
zabluda,blodnja,noun
zastupnik,poslanec,noun
podrijetlo,poreklo,noun
demarkacija,razmejitev,noun
korištenje,uporaba,noun
zamišljeno,razmišljajoče,adverb
kobasa,klobasa,noun
dozvoljavati,dovoljevati,verb
akrobatski,akrobatski,adjective
sveučilišni,univerziteten,adjective
potreban,potreben,adjective
Žižić,Žižić,properNoun
razlika,diferenca,noun
Katanić,Katanić,properNoun
Trbiž,Trbiž,properNoun
Bozović,Bozović,properNoun
izvanredno,izredno,adjective
izvanredno,izredno,adverb
izvanredno,izredno,adjective
izvanredno,izredno,adverb
manjina,manjšina,noun
Metka,Metka,properNoun
relativno,relativno,adjective
relativno,relativno,adverb
relativno,relativno,adjective
relativno,relativno,adverb
smoći,zmoči,verb
polarizacija,polarizacija,noun
izlagati,razložiti,verb
oslabljivati,oslabiti,verb
donji,spodnji,adjective
Stojanović,Stojanović,properNoun
tiranski,tiransko,adjective
tiranski,tiransko,adverb
tiranski,tiransko,adjective
tiranski,tiransko,adverb
događati,dogajati,verb
euro,evro,noun
perika,lasulja,noun
presijati,presejati,verb
seks,seks,noun
prečka,prečka,noun
žižak,žužek,noun
krećući,premikajoče,adverb
krećući,premikajoče,adverb
realizovati,realizirati,verb
realizovati,realizirati,verb
turkmenistanski,turkmenski,adjective
Čurković,Čurković,properNoun
Drnovšek,Drnovšek,properNoun
obvezujući,zavezujoč,adjective
umjetnina,umetnina,noun
pronalazeći,iščoč,adverb
pronalazeći,iščoč,adverb
šija,vrat,noun
pravljenje,izdelovanje,noun
šampionski,šampionski,adjective
isprobavati,preizkusiti,verb
bijući,udarjajoč,adverb
bijući,udarjajoč,adverb
biohemija,biokemija,noun
viteštvo,viteštvo,noun
ministerstvo,ministrstvo,noun
izgradnja,gradnja,noun
odreći,odrekati,verb
odreći,odrekati,verb
salata,solata,noun
uspravno,pokončno,adverb
Brnik,Brnik,properNoun
nenormalno,nenormalno,adjective
nenormalno,nenormalno,adverb
nenormalno,nenormalno,adjective
nenormalno,nenormalno,adverb
narušavati,rušiti,verb
lako,lahko,adjective
lako,lahko,adverb
lako,lahko,adjective
lako,lahko,adverb
Bjelić,Bjelić,properNoun
zmaj,zmaj,noun
konkretno,konkretno,adjective
konkretno,konkretno,adverb
konkretno,konkretno,adjective
konkretno,konkretno,adverb
predstavnik,predstavnik,noun
trpeljivost,strpnost,noun
ako je,četudi,subordinatingConjunction
glasina,govorica,noun
krpelj,klop,noun
bogat,premožen,adjective
škrip,natezalnica,noun
odsluživati,odslužiti,verb
filmski,filmsko,adjective
filmski,filmsko,adverb
filmski,filmsko,adjective
filmski,filmsko,adverb
dioničarski,delničarsko,adverb
leukemija,levkemija,noun
ohrabrujući,vzpodbuden,adjective
zemljište,zemljišče,noun
kremiranje,upepelitev,noun
bilo kuda,kamorkoli,adverb
libijski,libijski,adjective
Đidić,Đidić,properNoun
voziti,voziti,verb
klauzula,klavzula,noun
okrunjujući,okronan,adjective
okrunjujući,okronan,adjective
valovito,valovito,adverb
kreda,črtalo,noun
neprihvatljiv,nesprejemljiv,adjective
naputak,navodilo,noun
veseo,prešeren,adjective
uhićen,prijet,adjective
prolaziti,hoditi,verb
Šehić,Šehić,properNoun
apstrakcija,abstrakcija,noun
točno,natančno,adverb
krštenje,krst,noun
interesovati,interesirati,verb
nametati,nametati,verb
ponešto,nekaj,pronoun
zboreći,govoreč,adverb
zboreći,govoreč,adverb
pažljivo,oprezno,adverb
Stanković,Stanković,properNoun
ruglo,zasmeh,noun
Portugal,Portugalska,properNoun
južnoafrički,južnoafriški,adjective
Kenović,Kenović,properNoun
uspjeh,uspeh,noun
Dadić,Dadić,properNoun
Vače,Vače,properNoun
veselo,veseljaško,adjective
veselo,veseljaško,adverb
veselo,veseljaško,adjective
veselo,veseljaško,adverb
dvopartijski,dvostransko,adjective
dvopartijski,dvostransko,adverb
dvopartijski,dvostransko,adjective
dvopartijski,dvostransko,adverb
odziv,odziv,noun
priznajući,priznavajoč,adverb
priznajući,priznavajoč,adverb
Boroević,Boroević,properNoun
liburnski,liburnski,adjective
trogodišnjica,triletka,noun
obmana,prevara,noun
nastava,pouk,noun
rehabilitacija,rehabilitacija,noun
inspekcijski,inšpekcijski,adjective
potraživati,zahtevati,verb
junski,junijski,adjective
Brane,Brane,properNoun
malezijski,malezijsko,adjective
malezijski,malezijsko,adverb
malezijski,malezijsko,adjective
malezijski,malezijsko,adverb
optužiti,obtožiti,verb
raspoložen,dobrodušen,adjective
ubijati,ubijati,verb
očna jabučica,zrklo,noun
mračno,mračno,adverb
deblokirajući,deblokirajoč,adverb
deblokirajući,deblokirajoč,adverb
među zvjezdama,medzvezdno,adverb
uporno,trdovratno,adverb
Nikolić,Nikolić,properNoun
zadovoljan,zadoščen,adjective
bjesnilo,besnenje,noun
željezarija,železnina,noun
evidentno,umevno,adverb
plitak,plehek,adjective
automatski,avtomatičen,adjective
izbočeno,štrleč,adverb
uključenost,sodelovanje,noun
hrana,hrana,noun
obustava,ukinitev,noun
pokretač,gibalo,noun
inteligentno,inteligentno,adjective
inteligentno,inteligentno,adverb
inteligentno,inteligentno,adjective
inteligentno,inteligentno,adverb
trajektni,trajekten,adjective
Urša,Urša,properNoun
jul,julij,noun
nužda,nuja,noun
nasljeđe,dediščina,noun
inflacijski,inflacijski,adjective
umjetan,umeten,adjective
subota,sobota,noun
raspisivanje,razpis,noun
glazbeno,glasbeno,adjective
glazbeno,glasbeno,adverb
glazbeno,glasbeno,adjective
glazbeno,glasbeno,adverb
sponzorski,sponzorsko,adjective
sponzorski,sponzorsko,adverb
sponzorski,sponzorsko,adjective
sponzorski,sponzorsko,adverb
zora,svit,noun
mišić,mišica,noun
trideset i četiri,štiriintrideset,numeral
milanski,milansko,adjective
milanski,milansko,adverb
milanski,milansko,adjective
milanski,milansko,adverb
Komšić,Komšić,properNoun
dostupan,razpoložljiv,adjective
prozvati,imenovati,verb
postepeno,postopoma,adverb
Olimp,Olimp,properNoun
Zukić,Zukić,properNoun
oj,oj,interjection
anglikanski,anglikanski,adjective
statistički,statističen,adjective
stadion,stadion,noun
ikud,kam,coordinatingConjunction
Ljubljana,Ljubljana,properNoun
autentično,avtentično,adjective
autentično,avtentično,adverb
autentično,avtentično,adjective
autentično,avtentično,adverb
latvijski,latvijski,adjective
gdje,kje,adjective
gdje,kje,adverb
gdje,kje,adjective
gdje,kje,adverb
dur,dur,noun
insulinski,inzulinski,adjective
ponovivši,ponavljajoče,adverb
ponovivši,ponavljajoče,adverb
brojanje,štetje,noun
prasak,tresk,noun
pogoršanje,poslabšanje,noun
saslušavajući,zaslišajoč,adverb
saslušavajući,zaslišajoč,adverb
tačno,točno,adjective
tačno,točno,adverb
tačno,točno,adjective
tačno,točno,adverb
papinski,papeško,adjective
papinski,papeško,adverb
papinski,papeško,adjective
papinski,papeško,adverb
srednje,srednjo,adjective
srednje,srednjo,adverb
srednje,srednjo,adjective
srednje,srednjo,adverb
rijetko,poredko,adjective
rijetko,poredko,adverb
rijetko,poredko,adjective
rijetko,poredko,adverb
računalni,računalen,adjective
okolno,okoliško,adjective
okolno,okoliško,adverb
okolno,okoliško,adjective
okolno,okoliško,adverb
nevjerovatan,neverjeten,adjective
Lesić,Lesić,properNoun
vrsta,svojevrstno,adverb
mistik,mistik,noun
proporcija,delež,noun
troje,troj,numeral
prijatno,prijetno,adverb
anatomija,anatomija,noun
ponešto,nekaj,adverb
trojako,trivrsten,adjective
promovirati,promovirati,verb
zločin,zločin,noun
smjenjujući,menjavajoč,adverb
smjenjujući,menjavajoč,adverb
sopstvenost,lastništvo,noun
Bregović,Bregović,properNoun
žestoko,sunkovito,adjective
žestoko,sunkovito,adverb
žestoko,sunkovito,adjective
žestoko,sunkovito,adverb
pripeka,pripeka,noun
kontrolor,kontrolor,noun
bilateralno,dvostransko,adjective
bilateralno,dvostransko,adverb
bilateralno,dvostransko,adjective
bilateralno,dvostransko,adverb
efikasno,učinkovito,adjective
efikasno,učinkovito,adverb
efikasno,učinkovito,adjective
efikasno,učinkovito,adverb
Đerić,Đerić,properNoun
žeravica,žerjavica,noun
hostija,hostija,noun
napast,skušnjava,noun
idiotizam,idiotizem,noun
Vučković,Vučković,properNoun
mrvica,drobtina,noun
Viteškić,Viteškić,properNoun
mikenski,mikensko,adjective
mikenski,mikensko,adverb
mikenski,mikensko,adjective
mikenski,mikensko,adverb
sud,sodišče,noun
devedeset i pet,petindevetdeset,numeral
jutarnje,jutranje,adverb
Katarina,Katarina,properNoun
mentalno,umsko,adverb
krotko,krotko,adjective
krotko,krotko,adverb
krotko,krotko,adjective
krotko,krotko,adverb
kontinuirano,zdržema,adverb
Stojanovski,Stojanovski,properNoun
Arsović,Arsović,properNoun
anti-dampinški,protidampinško,adverb
poslujući,delujoč,adverb
poslujući,delujoč,adverb
nehigijenski,nehigienski,adjective
Freud,Freud,properNoun
raspoznavati,razpoznati,verb
tugujući,žalujoč,adverb
tugujući,žalujoč,adverb
Rističević,Rističević,properNoun
zapovjednik,poveljnik,noun
Ilić,Ilić,properNoun
Bezarević,Bezarević,properNoun
netočan,nekorekten,adjective
neodgovornost,neodgovornost,noun
sentimentalno,sentimentalno,adverb
Kongo,Kongo,properNoun
osnaženje,ojačanje,noun
otkako,odkar,subordinatingConjunction
Emmanuela,Emmanuela,properNoun
