source,target,POS
Marcus Thranes gate,Marcus Thranes gate,properNoun
Tegnestiften,Tegnestiften,properNoun
kryptering,kryptering,noun
fjärrvärme,fjernvarme,noun
tillströmning,tilstrømning,noun
Almelien,Almelien,properNoun
transponera,transponere,verb
Bohinen,Bohinen,properNoun
bombattentat,bombeattentat,noun
puls,puls,noun
ogräs,ukrudt,noun
tjära,tjære,noun
Søndre Hulveien,Søndre Hulveien,properNoun
kors,kryds,noun
understödja,støtte,verb
Lohscheller,Lohscheller,properNoun
tempo,tempo,noun
kronologi,kronologi,noun
Kortbølgen,Kortbølgen,properNoun
Caeleb,Caeleb,properNoun
ödeläggelse,ødelæggelse,noun
Heimdalsgata,Heimdalsgata,properNoun
eskortera,eskortere,verb
Magnefaret,Magnefaret,properNoun
fosfor,fosfor,noun
presenta,give,verb
Vestveien,Vestveien,properNoun
Levon,Levon,properNoun
Kranabakken,Kranabakken,properNoun
i somras,sidste sommer,adverb
koka,koge,verb
överskott,overskud,noun
farinsocker,farin,noun
lånord,låneord,noun
Landstads gate,Landstads gate,properNoun
ur,fra,preposition
nytta,nytte,noun
inkompetens,inkompetanse,noun
svepa,vandre,verb
Tørrestadgrenda,Tørrestadgrenda,properNoun
tillvarata,forsvare,verb
tillstyrka,godkende,verb
Orveien,Orveien,properNoun
Kinam,Kinam,properNoun
Sigurd Johannesens vei,Sigurd Johannesens vei,properNoun
skinka,skinke,noun
kärnkraft,atomenergi,noun
Haugmoveien,Haugmoveien,properNoun
skåla,skåle,verb
odyssé,odyssé,noun
Lerketunet,Lerketunet,properNoun
häckla,hækle,verb
Hellandsgården,Hellandsgården,properNoun
Soleglad,Soleglad,properNoun
Bjørnåsveien,Bjørnåsveien,properNoun
lyssnare,lytter,noun
vedergälla,gengælde,verb
Fossheimveien,Fossheimveien,properNoun
telefonera,hidkalde,verb
Tang,Tang,properNoun
hundring,hundredelap,noun
pollen,poll,noun
Glitneveien,Glitneveien,properNoun
insteg,indpas,noun
Axel Huitfeldts vei,Axel Huitfeldts vei,properNoun
avlopp,afløb,noun
gymnasium,gymnasium,noun
Fenris vei,Fenris vei,properNoun
deltävling,delturnering,noun
Lahelleveien,Lahelleveien,properNoun
thriller,thriller,noun
Hagaskogen,Hagaskogen,properNoun
aperitif,aperitif,noun
försäljning,sal,noun
Bulgarien,Bulgarien,properNoun
drivhuseffekt,drivhuseffekt,noun
ommöblera,ommøblere,verb
brinna,brænde,verb
skötsel,sti,noun
atschi,atschi,interjection
Holmeset,Holmeset,properNoun
ströva,vandre,verb
Kolleveien,Kolleveien,properNoun
läroår,læreår,noun
åverkan,skade,noun
överfall,overfald,noun
jämt,altid,adverb
Svartåsbrinken,Svartåsbrinken,properNoun
Urderåsstien,Urderåsstien,properNoun
sträva,tilstræbe,verb
television,fjernsyn,noun
farmor,bedste,noun
Divock,Divock,properNoun
Egerton,Egerton,properNoun
Soe,Soe,properNoun
Åsheimsvegen,Åsheimsvegen,properNoun
Tungesvik 2,Tungesvik 2,properNoun
sang,sang,noun
Zakharova,Zakharova,properNoun
Nitridveien,Nitridveien,properNoun
bortförklaring,bortforklaring,noun
Alistar,Alistar,properNoun
Colin Archers gate,Colin Archers gate,properNoun
Jokics,Jokics,properNoun
Rosenbergveien,Rosenbergveien,properNoun
Fenicien,Fønikerne,properNoun
kadaverdisciplin,kadaverdisciplin,noun
sprint,sprint,noun
Øvre Kongsbrekkene,Øvre Kongsbrekkene,properNoun
bolster,dyne,noun
Eikelundveien,Eikelundveien,properNoun
kontrollera,efterprøve,verb
kärlek,elsk,noun
skollov,skoleferie,noun
lagring,lagring,noun
Sollien,Sollien,properNoun
Eilif Dues vei,Eilif Dues vei,properNoun
kristna,døbe,verb
bostad,bolig,noun
provisorium,provisorium,noun
liv,liv,noun
Emilio,Emilio,properNoun
skandinavism,skandinavisme,noun
Vinsa,Vinsa,properNoun
Dombrovskis,Dombrovskis,properNoun
est,estlænder,noun
asymmetri,asymmetri,noun
Krueger,Krueger,properNoun
smörja,smøre,noun
dravel,vrøvl,noun
pubertet,pubertet,noun
Lakskjønnveien,Lakskjønnveien,properNoun
undra,undre,verb
projicera,projicere,verb
inkarnera,inkarnere,verb
green,green,noun
senat,senat,noun
profilera,profilere,verb
Bruksveien,Bruksveien,properNoun
vinscha,hejse,verb
auktorisera,godkende,verb
upptäckt,opdagelse,noun
milis,milits,noun
Solløkkasletta,Solløkkasletta,properNoun
stadsmiljö,bymiljø,noun
selektera,markere,verb
Fagerengveien,Fagerengveien,properNoun
chock,chok,noun
oval,oval,noun
grahamsmjöl,grahamsmel,noun
Ahlefeldts gate,Ahlefeldts gate,properNoun
bygga ut,udbygge,verb
Parksvingen,Parksvingen,properNoun
redd,red,noun
inrätta,skabe,verb
försändelse,forsendelse,noun
urinprov,urinprøve,noun
Lyngbøveien,Lyngbøveien,properNoun
gringo,gringo,noun
Ringstabekk,Ringstabekk,properNoun
lasarett,sygehus,noun
Østre Totenveg,Østre Totenveg,properNoun
Ringstadbekkalleen,Ringstadbekkalleen,properNoun
färdighet,færdighed,noun
gourmand,gourmand,noun
Kallerudveien,Kallerudveien,properNoun
Sagfossen,Sagfossen,properNoun
tyfon,tyfon,noun
ländkläde,lændeklæde,noun
klick,klik,noun
Ormsundveien,Ormsundveien,properNoun
tagning,tagning,noun
Oleksij,Oleksij,properNoun
nisch,niche,noun
kristna,omvende,verb
vidta,beslutte,verb
trut,måge,noun
Bjørn Magnussons vei,Bjørn Magnussons vei,properNoun
Gjerdrums vei,Gjerdrums vei,properNoun
Kranaveien,Kranaveien,properNoun
svälla,hæve,verb
Nordvikvegen,Nordvikvegen,properNoun
Reinsborg,Reinsborg,properNoun
avhämta,afhente,verb
Eddavegen,Eddavegen,properNoun
värdshus,værtshus,noun
Brøggers vei,Brøggers vei,properNoun
i förfjol,i forfjor,adverb
Storoveien,Storoveien,properNoun
diligens,diligence,noun
hälft,halve,noun
Kollstien,Kollstien,properNoun
Thousand,Thousand,properNoun
Øvre Lundenvei,Øvre Lundenvei,properNoun
vattenånga,vanddamp,noun
konservatism,konservatisme,noun
Nordhordlandsvegen,Nordhordlandsvegen,properNoun
Skogsnipeveien,Skogsnipeveien,properNoun
Munkerudåsen,Munkerudåsen,properNoun
ohm,ohm,noun
Furuset allé,Furuset allé,properNoun
groda,frø,noun
jazz,jazz,noun
skådespel,skuespil,noun
Raja,Raja,properNoun
Ayyubiderna,Ayyubide-dynastiet,properNoun
Vadim,Vadim,properNoun
utgåva,udgave,noun
Holtavegen,Holtavegen,properNoun
särskilja,skelne,verb
sladder,sladd,noun
särprägel,særpræg,noun
Steingata,Steingata,properNoun
Sandbrekketoppen,Sandbrekketoppen,properNoun
Litauiska SSR,Litauiske SSR,properNoun
Vestbrenne,Vestbrenne,properNoun
förhänge,forhæng,noun
John Lunds Plass,John Lunds Plass,properNoun
Rødshella,Rødshella,properNoun
Båhusveien,Båhusveien,properNoun
doktorera,doktorere,verb
kronhjort,kronhjort,noun
Nm,Nm,numeral
onani,onani,noun
enbär,enebær,noun
majsena,maizena,noun
Henrichsdammen,Henrichsdammen,properNoun
Skjeggerødtoppen,Skjeggerødtoppen,properNoun
överösa,overøse,verb
halvapa,halvabe,noun
Frenningfaret,Frenningfaret,properNoun
greyhound,greyhound,noun
elektron,elektron,noun
Vittenberg,Vittenberg,properNoun
Seavey,Seavey,properNoun
Buerkollen,Buerkollen,properNoun
fyndighet,forekomst,noun
Nordåsveien,Nordåsveien,properNoun
möjligen,muligvis,adverb
Ravnøveien,Ravnøveien,properNoun
åker,ager,noun
Grev Wedels gate,Grev Wedels gate,properNoun
järnkors,jernkors,noun
himmel,himmel,interjection
Tyrsvei,Tyrsvei,properNoun
Kaasbølsvei,Kaasbølsvei,properNoun
Messepromenaden,Messepromenaden,properNoun
avrätta,eksekvere,verb
pålaga,pålæg,noun
Lajcak,Lajcak,properNoun
linje,linje,noun
vattenväg,vandvej,noun
Salhuslia,Salhuslia,properNoun
vakta,vare,verb
exempel,eksempel,noun
tomt,tomt,noun
avlossa,løse,verb
försätta,fortsætte,verb
Creagh,Creagh,properNoun
överflytta,overføre,verb
gudskelov,gudskelov,adverb
Schwabes gate,Schwabes gate,properNoun
flytta,udflytte,verb
universitetslektor,universitetslektor,noun
beta,beta,noun
gutår,skål,interjection
Måsør,Måsør,properNoun
Saudalen,Saudalen,properNoun
punktur,punktur,noun
vingård,vingård,noun
föräldraansvar,forældreansvar,noun
guru,guru,noun
Nesveien,Nesveien,properNoun
kulturdebatt,kulturdebat,noun
tröttna,trætte,verb
feber,feber,noun
Masovngata,Masovngata,properNoun
anhålla,arrestere,verb
vägbana,vejbane,noun
kår,korps,noun
säck,taske,noun
bekostnad,regning,noun
gynna,anvende,verb
Amdam,Amdam,properNoun
Ytre,Ytre,properNoun
gyroskop,gyroskop,noun
Haugesmauet,Haugesmauet,properNoun
nu,nu,adverb
homosexualitet,homoseksualitet,noun
ren,rensdyr,noun
infiltrera,infiltrere,verb
frisersalong,frisørsalon,noun
Vesteråsveien,Vesteråsveien,properNoun
Suella,Suella,properNoun
Vennerbakken,Vennerbakken,properNoun
Republiken Texas,Republikken Texas,properNoun
svartna,sortne,verb
onsdag,onsdag,noun
extrapolera,ekstrapolere,verb
revisor,revisor,noun
mothugg,modstand,noun
sköterska,passer,noun
Kong Olav Vs Plass,Kong Olav Vs Plass,properNoun
omdana,omdanne,verb
landskamp,landskamp,noun
förbehålla,reservere,verb
översålla,nøle,verb
Juerg,Juerg,properNoun
båtplats,bådplads,noun
Østre Skostredet,Østre Skostredet,properNoun
övertrassera,overtrække,verb
spruta,sprøjte,verb
obduktion,obduktion,noun
Rønholtveien,Rønholtveien,properNoun
frambringa,fremskaffe,verb
Ovenbakken,Ovenbakken,properNoun
åstadkomma,volde,verb
löfte,løfte,noun
Åsaneveien,Åsaneveien,properNoun
Janaflaten,Janaflaten,properNoun
nere,nede,adverb
Høyvik,Høyvik,properNoun
raseri,raseri,noun
tåt,tot,noun
Håkansson,Håkansson,properNoun
jämställa,assimilere,verb
Søndre stiger,Søndre stiger,properNoun
Kvitneshammeren,Kvitneshammeren,properNoun
stege,stige,noun
bemödande,bestræbelse,noun
vanvett,vanvid,noun
koks,koks,noun
kongruera,kongruere,verb
blåved,blåved,noun
Frankrike,Frankrig,properNoun
Segla,Segla,properNoun
leja,forhyre,verb
Skranevegen,Skranevegen,properNoun
Hågangen,Hågangen,properNoun
Hjaj,Hjaj,properNoun
honorera,honorere,verb
brom,brom,noun
testköra,testkøre,verb
Klingenberggata,Klingenberggata,properNoun
Clemens' gate,Clemens' gate,properNoun
Høyenhallvegen,Høyenhallvegen,properNoun
Pynten,Pynten,properNoun
utrangera,udrangere,verb
stänka,stænke,verb
mycket,usædvanlig,adverb
empire,empire,noun
samlingsregering,samlingsregering,noun
Schlanbusch vei,Schlanbusch vei,properNoun
Pindsleveien,Pindsleveien,properNoun
Markesmauet,Markesmauet,properNoun
kastrera,kastrere,verb
apa,abe,noun
parti,parti,noun
sekundant,sekundant,noun
trädgårdsskötsel,havebrug,noun
generallöjtnant,generalløjtnant,noun
Revebåsen,Revebåsen,properNoun
Veraåsen,Veraåsen,properNoun
dödläge,dødvande,noun
Pelosi,Pelosi,properNoun
Gierløw Meyers gate,Gierløw Meyers gate,properNoun
Valborgs vei,Valborgs vei,properNoun
Jotneveien,Jotneveien,properNoun
Radwanska,Radwanska,properNoun
ockultism,okkultisme,noun
riksdag,rigsdag,noun
uppnå,realisere,verb
etanol,ætanol,noun
honorera,beære,verb
censor,sensor,noun
snava,snuble,verb
bemärka,bemærke,verb
Sjølystveien,Sjølystveien,properNoun
Asher,Asher,properNoun
Grorudenga,Grorudenga,properNoun
naturligtvis,givetvis,adverb
yrke,profession,noun
Vatakerveien,Vatakerveien,properNoun
Karl Jebsens Veg,Karl Jebsens Veg,properNoun
kutter,kutter,noun
bortovaro,fravær,noun
Tollbugata,Tollbugata,properNoun
referent,referent,noun
Grønsundveien,Grønsundveien,properNoun
isolering,isolering,noun
rashat,racehad,noun
bantning,slankekur,noun
nonchalans,nonchalance,noun
Puigdemont,Puigdemont,properNoun
stoja,larme,verb
Valkyriegata,Valkyriegata,properNoun
Grünerstubben,Grünerstubben,properNoun
Domingo,Domingo,properNoun
radie,radius,noun
Slaattenesalleen,Slaattenesalleen,properNoun
Munkegata,Munkegata,properNoun
Oppsalveien,Oppsalveien,properNoun
Borgveien,Borgveien,properNoun
biljardsalong,billardsalon,noun
läsart,læsemåde,noun
panna,pande,noun
negociera,forhandle,verb
Aulilundveien,Aulilundveien,properNoun
teater,teater,noun
furore,furore,noun
Eno,Eno,properNoun
final,finale,noun
knöl,knold,noun
Sergio,Sergio,properNoun
pappersark,papirark,noun
demagogi,demagogi,noun
Almåslia,Almåslia,properNoun
förläna,låne,verb
slunga,slynge,verb
Øvre Holen,Øvre Holen,properNoun
endast,bare,adverb
Prjadkin,Prjadkin,properNoun
ånyo,igen,adverb
konterfej,afbildning,noun
påverka,påvirke,verb
sjal,sjal,noun
Magnus Barfots gate,Magnus Barfots gate,properNoun
Dyvekegangen,Dyvekegangen,properNoun
Skutevikens Tver gate,Skutevikens Tver gate,properNoun
Muselundgrenda,Muselundgrenda,properNoun
Draghi,Draghi,properNoun
Storheilia,Storheilia,properNoun
stridsflygplan,kampfly,noun
Tussefaret,Tussefaret,properNoun
Smøråsveien,Smøråsveien,properNoun
krydda,krydderi,noun
Birkeveien,Birkeveien,properNoun
Absalon Beyers gate,Absalon Beyers gate,properNoun
bakteriekultur,bakteriekultur,noun
belåna,låne,verb
Vallerkroken,Vallerkroken,properNoun
Klineman,Klineman,properNoun
Staverbråtan,Staverbråtan,properNoun
kirurgi,kirurgi,noun
kudde,pude,noun
Asia,Asia,properNoun
Djibouti,Djibouti,properNoun
kronprinsessa,kronprinsesse,noun
bekräfta,genbekræfte,verb
nätverk,netværk,noun
persondator,personlig computer,noun
Lysdahl,Lysdahl,properNoun
Professor Kohts vei,Professor Kohts vei,properNoun
hustyrann,hustyran,noun
svalna,svalne,verb
option,option,noun
Glad,Glad,properNoun
tveka,drysse,verb
motorvagn,motorvogn,noun
guuud,guuud,interjection
simulation,simulation,noun
alludera,alludere,verb
skottår,skudår,noun
jordskred,jordskred,noun
födkrok,levebrød,noun
föda upp,opdrætte,verb
Republiken Novgorod,Republikken Novgorod,properNoun
vadå,hvad,interjection
Nedre Nattland,Nedre Nattland,properNoun
berömma,prise,verb
peppra,pebre,verb
livssituation,livssituation,noun
stöd,understøttelse,noun
nejd,egn,noun
kontrollera,kontrollere,verb
Vadumåsen,Vadumåsen,properNoun
hitta på,finde på,verb
kursivera,kursivere,verb
Kastanjeveien,Kastanjeveien,properNoun
Perez,Perez,properNoun
förtvivla,fortvivle,verb
Rafaelsen,Rafaelsen,properNoun
holmgång,holmgang,noun
schakt,skakt,noun
tända på,antænde,verb
Holmveien,Holmveien,properNoun
Aung,Aung,properNoun
Aronsson,Aronsson,properNoun
konnotation,konnotation,noun
återge,gengive,verb
Havneløkka,Havneløkka,properNoun
MHz,MHz,numeral
trappräcke,gelænder,noun
Øvre Flaktveit,Øvre Flaktveit,properNoun
registrera,tilmelde,verb
uppvisa,eksponere,verb
Havnehagan,Havnehagan,properNoun
styrka,beføje,verb
Adlers gate,Adlers gate,properNoun
Vietnam,Vietnam,properNoun
pensel,pensel,noun
Asvallveien,Asvallveien,properNoun
Allégaten,Allégaten,properNoun
aktualitet,aktualitet,noun
tender,tender,noun
hanne,hane,noun
förutspå,forudsige,verb
Innerhofer,Innerhofer,properNoun
Tiedemann,Tiedemann,properNoun
gärna,helst,adverb
elevator,elevator,noun
tomrum,tomrum,noun
förhöja,hæve,verb
ordinera,ordinere,verb
nemesis,nemesis,noun
spricka,revne,verb
kapitalism,kapitalisme,noun
upphetsa,ophidse,verb
länsväsen,feudalisme,noun
Barkåkerveien,Barkåkerveien,properNoun
värdesätta,værdsætte,verb
Studentbyen Nattland,Studentbyen Nattland,properNoun
Arbeidergaten,Arbeidergaten,properNoun
Folkrepubliken Polen,Folkerepublikken Polen,properNoun
aktionsradie,aktionsradius,noun
Lindemveien,Lindemveien,properNoun
häda,bespotte,verb
våglängd,bølgelængde,noun
ozonskikt,ozonlag,noun
Bogenveien,Bogenveien,properNoun
nederdel,nederdel,noun
koordinator,koordinator,noun
sfinx,sfinks,noun
konsert,koncert,noun
pelletera,pelletere,verb
Catriona,Catriona,properNoun
undervärdera,undervurdere,verb
Suldalsporten,Suldalsporten,properNoun
sensibilisera,sensibilisere,verb
Hauges vei,Hauges vei,properNoun
läsecirkel,læsecirkel,noun
Stallkleiven,Stallkleiven,properNoun
lysa,beskinne,verb
skära,le,noun
sked,skefuld,noun
förtrösta,fortrøste,verb
samovar,samovar,noun
självfallet,selvsagt,adverb
Grethes vei,Grethes vei,properNoun
Reisinger,Reisinger,properNoun
Tordenskiolds gate,Tordenskiolds gate,properNoun
handelsbank,handelsbank,noun
Gartnerveien,Gartnerveien,properNoun
Zetlitz' gate,Zetlitz' gate,properNoun
Dalaveien,Dalaveien,properNoun
stadsbild,bybillede,noun
kärnfamilj,kernefamilie,noun
registrera,registrere,verb
