bravement	</s>	adverb	-0.086255655
Menem	ochre	properNoun	0.2358525
murin	</s>	adjective	0.077454954
député	fanfare	noun	0.21171439
Brandes	signa	properNoun	0.20146424
caroténoïde	valvular	adjective	0.23866192
confucianiste	composing	noun	0.22952503
présentation	irregular	noun	0.19659841
énigmatique	foregone	adjective	0.23367622
argile	aec	noun	0.22476694
Chirino	baroda	properNoun	0.20684046
Aro	mascis	properNoun	0.2638638
dérouter	</s>	verb	-0.00090513425
Eila	solin	properNoun	0.25478566
havre	guardian.co.uk	noun	0.25550354
pétaloïde	pulmonary	adjective	0.25659287
Crimi	baji	properNoun	0.23415582
péritonite	amoskeag	noun	0.24920006
bocage	bowel	noun	0.19992116
faucher	</s>	verb	-0.03758788
retour	besieger	noun	0.17920962
conductivité	</s>	noun	0.11772966
Montezemolo	</s>	properNoun	-0.022010546
compulsif	myrmecochorous	adjective	0.2520543
pulmonaire	military	adjective	0.25161088
exil	landmine	noun	0.20085089
Gava	fortkannur	properNoun	0.31387275
bidonville	decision	noun	0.20591721
aéré	awt	adjective	0.26937646
hellénisme	pvl	noun	0.25772953
oralité	martyrdom	noun	0.205302
Franceschini	chandrika	properNoun	0.22298759
infortuné	</s>	adjective	-0.019898184
adapter	</s>	verb	-0.117143854
multirisque	psychological	adjective	0.23675814
attachement	horkheimer	noun	0.26285508
Gentile	skewb	properNoun	0.23148537
nommer	below	verb	0.18204495
méthylique	cardiovascular	adjective	0.21852237
vulgairement	</s>	adverb	-0.051880784
Bagergue	bugti	properNoun	0.22898969
Sertori	catharines	properNoun	0.2155498
infusible	largest	adjective	0.2216222
moins-value	</s>	noun	0.029997006
malintentionné	patrilocal	adjective	0.21078183
Anand	kohala	properNoun	0.21657476
humoriste	needy	noun	0.19202213
dérober	domain	verb	0.23141704
Orlik	</s>	properNoun	-0.06913778
atavique	</s>	adjective	-0.042012602
triperie	scca	noun	0.23904876
ordinairement	</s>	adverb	0.0038913125
narcose	kenzō	noun	0.2524166
dénivelé	spinozist	noun	0.23104441
vanter	clustere	verb	0.21966323
tarsal	cardiovascular	adjective	0.29934365
portoricain	</s>	adjective	0.028188264
ultrasonique	</s>	adjective	-0.019208502
corporellement	blind	adverb	0.21114147
extasier	anchoring	verb	0.21419892
déisme	anatomy	noun	0.20364454
fêler	flank	verb	0.1855997
consubstantiel	</s>	adjective	-0.0032574916
circuler	</s>	verb	0.072733544
appointer	</s>	verb	0.01804574
anthroposophique	vivid	adjective	0.25073096
soixante-septième	</s>	adjective	0.0011861678
Torri	wangler	properNoun	0.23104814
carrière	db2	noun	0.19737604
fréquentation	displaying	noun	0.22517565
Pavlović	mito	properNoun	0.18304878
peu	essential	adverb	0.20888689
Sacconi	35th	properNoun	0.2527873
Mussato	apx	properNoun	0.23149008
réniforme	ergonomic	adjective	0.21166098
Caligiuri	cortex	properNoun	0.20775658
héliotropisme	payor	noun	0.22811094
dévastateur	name	adjective	0.18961507
télépathiquement	</s>	adverb	0.011750375
clôturer	</s>	verb	-0.052666843
ours	thymus	noun	0.23575197
maintenant	</s>	adverb	0.023941237
vendredi	refuse	noun	0.19691065
mystique	plenoptic	adjective	0.20338908
Asclépios	maci	properNoun	0.24100736
présure	cytology	noun	0.21894337
Arion	snellen	properNoun	0.23465636
tréponème	excavation	noun	0.19513
jaune	</s>	adjective	-0.0017081108
Salomão	35th	properNoun	0.20081303
belette	transfusion	noun	0.23895273
Lentini	kap	properNoun	0.23727752
obélisque	graphene	noun	0.25330013
nucléotide	</s>	noun	-0.0003357716
panégyrique	nauseum	noun	0.22078675
apathie	offset	noun	0.2410327
rosé	cardiovascular	adjective	0.25269657
hydropique	kofun	noun	0.22054599
Izagirre	severus	properNoun	0.20261602
Buzyn	</s>	properNoun	-0.011254989
