'	o	punctuation	0.046091888
İzmir	sine	properNoun	0.23362398
ABC	ABC	properNoun	1.0
AMISOM	comenius	properNoun	0.2994688
API	API	noun	1.0
ASOBAL	allister	properNoun	0.25355992
ATP	ATP	noun	1.0
Aarab	Aarab	properNoun	1.0
Abad	Abad	properNoun	1.0
Abadal	Abadal	properNoun	1.0
Abadia	Abadia	properNoun	1.0
Abadias	Abadias	properNoun	1.0
Abadía	Abadía	properNoun	1.0
Abadías	Abadías	properNoun	1.0
Abascal	Abascal	properNoun	1.0
Abate	Abate	properNoun	1.0
Abbas	Abbas	properNoun	1.0
Abbondanzieri	Abbondanzieri	properNoun	1.0
Abbott	Abbott	properNoun	1.0
Abboud	Abboud	properNoun	1.0
Abdallah	Abdallah	properNoun	1.0
Abdel	Abdel	properNoun	1.0
Abdo	Abdo	properNoun	1.0
Abdulla	vishniac	properNoun	0.18971786
Abe	Abe	properNoun	1.0
Abecassis	Abecassis	properNoun	1.0
Abegondo	rat	properNoun	0.21618018
Abel	Abel	properNoun	1.0
Abelardo	Abelardo	properNoun	1.0
Abella	Abella	properNoun	1.0
Abellard	Abellard	properNoun	1.0
Abelleira	Abelleira	properNoun	1.0
Abellán	Abellán	properNoun	1.0
Abelló	Abelló	properNoun	1.0
Abelson	Abelson	properNoun	1.0
Abenza	Abenza	properNoun	1.0
Abidal	Abidal	properNoun	1.0
Abitbol	Abitbol	properNoun	1.0
Aboujaoude	Aboujaoude	properNoun	1.0
Abraham	Abraham	properNoun	1.0
Abrahams	Abrahams	properNoun	1.0
Abramo	Abramo	properNoun	1.0
Abrams	Abrams	properNoun	1.0
Abran	Abran	properNoun	1.0
Abril	Abril	properNoun	1.0
Abruzzi	pinhas	properNoun	0.19571671
Abruzzo	tubino	properNoun	0.23018175
Abu	Abu	properNoun	1.0
Abu Dhabi	Abu Dhabi	properNoun	1.0
Abuli	Abuli	properNoun	1.0
Abyssinia	madness	properNoun	0.20131259
Abós	Abós	properNoun	1.0
Acadia	1834 1910	properNoun	0.22122863
Acebes	Acebes	properNoun	1.0
Acebo	Acebo	properNoun	1.0
Aceituno	Aceituno	properNoun	1.0
Acero	Acero	properNoun	1.0
Aceña	Aceña	properNoun	1.0
Achille	Achille	properNoun	1.0
Achilles	observando	properNoun	0.18828097
Acin	Acin	properNoun	1.0
Ackerman	Ackerman	properNoun	1.0
Acosta	Acosta	properNoun	1.0
Acuña	Acuña	properNoun	1.0
Adalid	Adalid	properNoun	1.0
Adam	Adam	properNoun	1.0
Adame	Adame	properNoun	1.0
Adams	Adams	properNoun	1.0
Adamuz	Adamuz	properNoun	1.0
Addison	Addison	properNoun	1.0
Adelaide	Adelaide	properNoun	1.0
Adelantado	Adelantado	properNoun	1.0
Adelina	Adelina	properNoun	1.0
Adelino	Adelino	properNoun	1.0
Adenauer	Adenauer	properNoun	1.0
Adjei	Adjei	properNoun	1.0
Adler	Adler	properNoun	1.0
Adobe	Adobe	properNoun	1.0
Adolfo	Adolfo	properNoun	1.0
Adolphe	Adolphe	properNoun	1.0
Adorno	Adorno	properNoun	1.0
Adrian	Adrian	properNoun	1.0
Adriana	Adriana	properNoun	1.0
Adriano	Adriano	properNoun	1.0
Adriá	Adriá	properNoun	1.0
Adroher	Adroher	properNoun	1.0
Adán	Adán	properNoun	1.0
Aeneas	caiuá	properNoun	0.20441903
Aeolia	letizia	properNoun	0.2391921
Aeolis	vegetação	properNoun	0.21461284
Afghan	recheado	adjective	0.18486823
