Șalaru	Guiral	properNoun	0.63
Șandor	Palleja	properNoun	0.64
Șerban	Delice	properNoun	0.61
Șerbu	Ghosn	properNoun	0.64
Șerbănescu	Lujo	properNoun	0.62
Ștefan	Gou	properNoun	0.66
Ștefanescu	Bézier	properNoun	0.68
Ștefania	Sence	properNoun	0.59
Ștefănescu	Cooper	properNoun	0.64
Știrbei	McGraw	properNoun	0.65
Șuluțiu	Bejarano	properNoun	0.59
Țepeș	Carrasquilla	properNoun	0.59
Țiriac	Desautels	properNoun	0.64
Țițeica	Coon	properNoun	0.63
Țurcan	Duguay	properNoun	0.7
Țurcanu	Millette	properNoun	0.66
Țuțea	Gervasi	properNoun	0.6
Țăranu	Asselin	properNoun	0.65
AA	Raffarin	properNoun	0.59
AAB	Snape	properNoun	0.54
AABEF	Vericat	properNoun	0.57
AAC	Heaviside	properNoun	0.54
AAE	Chené	properNoun	0.64
ABC	ABC	properNoun	1.0
ABC	Kathleen	properNoun	0.59
ACGTP	dwarf	noun	0.54
ADE	Seneca	properNoun	0.58
ADSE	Cornellá	properNoun	0.53
AEC	Laurencelle	properNoun	0.55
AECA	Laporte	properNoun	0.57
AEFA	Perdigón	properNoun	0.54
AENOR	Oliván	properNoun	0.55
AESE	Casey	properNoun	0.63
AG	Barr	properNoun	0.56
AGU	Gelin	properNoun	0.63
AHP	byline	noun	0.52
AIA	Lacoursière	properNoun	0.54
AIP	Stevens	properNoun	0.56
AIP	ballad	noun	0.54
ALADI	Dutremble	properNoun	0.59
ANATEL	Fink	properNoun	0.59
ANC	Mignacca	properNoun	0.57
AP	Pruneau	properNoun	0.65
APDC	Alamo	properNoun	0.55
APG	Tous	properNoun	0.57
API	API	noun	1.0
APICER	separability	noun	0.55
APIS	Marsá	properNoun	0.59
ATP	ATP	noun	1.0
AWWA	Lacasse	properNoun	0.57
Aarab	Aarab	properNoun	1.0
Aarão	Vogue	properNoun	0.58
Abad	Abad	properNoun	1.0
Abadal	Abadal	properNoun	1.0
Abadia	Abadia	properNoun	1.0
Abadias	Abadias	properNoun	1.0
Abadía	Abadía	properNoun	1.0
Abadías	Abadías	properNoun	1.0
Abarca	Zimmer	properNoun	0.61
Abas	Rehman	properNoun	0.6
Abascal	Abascal	properNoun	1.0
Abasolo	Mazur	properNoun	0.64
Abate	Abate	properNoun	1.0
Abaterusso	Gorbachev	properNoun	0.62
Abati	Stilicho	properNoun	0.64
Abbado	Nicolae	properNoun	0.6
Abbas	Abbas	properNoun	1.0
Abbas	Dossantos	properNoun	0.6
Abbatangelo	Philippon	properNoun	0.59
Abbate	Meroño	properNoun	0.59
Abbatucci	Llanes	properNoun	0.64
Abbiati	Karem	properNoun	0.66
Abbondanza	Ripoll	properNoun	0.61
Abbondanzieri	Abbondanzieri	properNoun	1.0
Abbondanzieri	Leduc	properNoun	0.57
Abbott	Abbott	properNoun	1.0
Abboud	Abboud	properNoun	1.0
Abbrescia	Talbot	properNoun	0.63
Abbruzzese	Umbert	properNoun	0.59
Abdallah	Abdallah	properNoun	1.0
Abdel	Abdel	properNoun	1.0
Abdias	COE C-IED	properNoun	0.53
Abdo	Abdo	properNoun	1.0
Abdon	Ramí	properNoun	0.63
Abdrazakov	Mitja	properNoun	0.58
Abe	Abe	properNoun	1.0
Abebe	Orlanda	properNoun	0.57
