ČSSD	policlínica	noun	0.6
ČTK	exigibilidade	noun	0.55
&	e	coordinatingConjunction	0.99
İzmir	Goienetxea	properNoun	0.71
11-S	originalidade	noun	0.53
1st	I	numeral	0.52
2-3-5 system	prolixidade	noun	0.56
20th Century Fox	Aitken	properNoun	0.57
2nd	II	numeral	0.56
3GPP	mentalismo	noun	0.61
3rd	III	numeral	0.54
4-2-4 system	continentalidade	noun	0.54
4-3-3 system	infestação	noun	0.53
4-4-2 system	ex-conselheiro	noun	0.49
4th	C	numeral	0.45
4x4	centralidade	noun	0.57
A Barbanza	Tombaugh	properNoun	0.6
A Baña	DiMaggio	properNoun	0.61
A Coruña	a Corunha	properNoun	0.98
A Estrada	Barkley	properNoun	0.64
A Fonsagrada	Marleau	properNoun	0.6
A Gaita Gallega	Ontiveros	properNoun	0.6
A Guarda	Laventure	properNoun	0.57
A Limia	Perreault	properNoun	0.58
A Mariña	Dodier	properNoun	0.61
A Pastoriza	Cédilotte	properNoun	0.62
A Pobra	Grilli	properNoun	0.62
A Pobra de Trives	Bellerose	properNoun	0.62
A Ribeira de Piquín	Gabarron	properNoun	0.57
A Seara	Patru	properNoun	0.6
A&M University	Arrate	properNoun	0.64
A-400	Horne	properNoun	0.57
A/H1N1	antroponímia	noun	0.54
A/H5N1	algonquino	noun	0.53
A400	Lipari	properNoun	0.68
AA	desesperação	noun	0.57
AB Fragrances	Ferrigno	properNoun	0.58
ABBA	Teixidor	properNoun	0.59
ABC	ABC	properNoun	1.0
ABC	increpação	noun	0.58
AC/DC	Illana	properNoun	0.56
ACB	Napartuk	properNoun	0.63
ACB league	Sayegh	properNoun	0.64
ACT	Cadieux	properNoun	0.52
ADP	destronamento	noun	0.53
ADSL	palheiro	noun	0.61
AECID	Masdéu	properNoun	0.57
AFP	transdução	noun	0.64
AIDS	aids	noun	0.97
AK-47	Milanesi	properNoun	0.61
AK47	Dincă	properNoun	0.59
AMISOM	Popescu	properNoun	0.65
ANA	Prieta	properNoun	0.62
ANP	d'Arlandes	properNoun	0.61
ANSI	preempção	noun	0.56
ANV	triboluminescência	noun	0.6
AOL	Korossy	properNoun	0.55
API	API	noun	1.0
ARC	lobotomia	noun	0.59
ARE	Salvo	properNoun	0.65
ASCII	compositor	noun	0.56
ASELE	Angnatuk	properNoun	0.58
ASOBAL	Weinschenck	properNoun	0.56
AT&T	catalanofalante	noun	0.54
ATM	multibanco	noun	1.0
ATP	ATP	noun	1.0
AZF	Jacquard	properNoun	0.64
Aablina	Miousse	properNoun	0.71
Aache	van Beethoven	properNoun	0.56
Aachen	Barenys	properNoun	0.59
Aalen	Baya	properNoun	0.67
Aaliyah	Šoltésová	properNoun	0.65
Aarab	Aarab	properNoun	1.0
Aarhus	Idrissi	properNoun	0.64
Aaron	Ortega i Alemany	properNoun	0.59
Aarón	Solivella	properNoun	0.68
Ab Kamari	Carossino	properNoun	0.65
Abaco	Alcaine	properNoun	0.62
Abad	Abad	properNoun	1.0
Abad Corrales	Connor	properNoun	0.59
Abadal	Abadal	properNoun	1.0
Abadia	Abadia	properNoun	1.0
Abadias	Abadias	properNoun	1.0
Abadía	Abadía	properNoun	1.0
Abadías	Abadías	properNoun	1.0
Abagail	Berthold	properNoun	0.61
Abando	Entença	properNoun	0.62
Abascal	Abascal	properNoun	1.0
Abate	Abate	properNoun	1.0
Abbas	Abbas	properNoun	1.0
Abbey	Anglade	properNoun	0.65
Abbie	Calhoun	properNoun	0.62
Abbigail	Penelope	properNoun	0.65
Abbondanzieri	Abbondanzieri	properNoun	1.0
Abbott	Abbott	properNoun	1.0
Abboud	Abboud	properNoun	1.0
Abby	Rizzuto	properNoun	0.6
Abd	Fortés	properNoun	0.61
Abdala	Troncoso	properNoun	0.59
Abdallah	Abdallah	properNoun	1.0
Abdel	Abdel	properNoun	1.0
Abdiel	Angiola	properNoun	0.62
Abdo	Abdo	properNoun	1.0
Abdu	Aldekoa	properNoun	0.67
Abdul	Rainone	properNoun	0.63
Abdul Hamid II	Rivilla	properNoun	0.53
Abdulla	Bujold	properNoun	0.64
