Șalaru	Fournel	properNoun	0.68
Șandor	Miclette	properNoun	0.63
Șerban	Bragulat	properNoun	0.73
Șerbu	Ashby	properNoun	0.62
Șerbănescu	Orrit	properNoun	0.69
Ștefan	Nash	properNoun	0.64
Ștefanescu	Deng	properNoun	0.62
Ștefănescu	Longstreet	properNoun	0.68
Știrbei	Peluso	properNoun	0.67
Șuluțiu	Ejarque	properNoun	0.74
Țepeș	Michetti	properNoun	0.67
Țiriac	Patrice	properNoun	0.68
Țițeica	Poulette	properNoun	0.74
Țurcan	Thellend	properNoun	0.64
Țurcanu	Cañas	properNoun	0.66
Țuțea	Gabernet	properNoun	0.62
Țăranu	Lebovits	properNoun	0.75
'Ndrangheta	Maltena	properNoun	0.63
100ème	orgasmic	adjective	0.61
10ème	pyrophilous	adjective	0.55
11ème	bodily	adjective	0.55
12ème	grey-haired	adjective	0.49
13ème	breathable	adjective	0.49
14ème	demonstrative	adjective	0.5
15ème	categorial	adjective	0.56
16ème	eastbound	adjective	0.54
17ème	holomorphic	adjective	0.5
18ème	Francoist	adjective	0.51
19ème	endoplasmic	adjective	0.54
1er	combinatorial	adjective	0.6
20 minutos	Blouin	properNoun	0.63
20ème	walled	adjective	0.53
21ème	bacteriological	adjective	0.59
22ème	seventy-eighth	adjective	0.55
23ème	gas	adjective	0.53
24ème	gastrointestinal	adjective	0.52
25ème	Diophantine	adjective	0.58
26ème	trophic	adjective	0.58
27ème	fifty-sixth	adjective	0.6
28ème	Kashubian	adjective	0.57
29ème	messianic	adjective	0.55
2G	macadam	noun	0.59
2nd	boreal	adjective	0.55
2ème	boreal	adjective	0.56
30ème	darwinian	adjective	0.55
31ème	intracellular	adjective	0.58
32ème	flared	adjective	0.55
33ème	Mauritanian	adjective	0.53
34ème	phosphoric	adjective	0.54
35ème	ninety-third	adjective	0.54
36ème	bubonic	adjective	0.63
37ème	sixty-fourth	adjective	0.57
38ème	burnt	adjective	0.58
39ème	snotty	adjective	0.54
3G	borage	noun	0.55
3MA	Nicolasa	properNoun	0.64
3ème	normed	adjective	0.58
40ème	Judaic	adjective	0.54
41ème	Norse	adjective	0.56
