Șalaru	Șalaru	properNoun	1.0
Șandor	Șandor	properNoun	1.0
Șerban	Șerban	properNoun	1.0
Șerbu	Șerbu	properNoun	1.0
Șerbănescu	Șerbănescu	properNoun	1.0
Ștefan	Ștefan	properNoun	1.0
Ștefanescu	Ștefanescu	properNoun	1.0
Ștefănescu	Ștefănescu	properNoun	1.0
Știrbei	Știrbei	properNoun	1.0
Șuluțiu	Șuluțiu	properNoun	1.0
Țepeș	Țepeș	properNoun	1.0
Țiriac	Țiriac	properNoun	1.0
Țițeica	Țițeica	properNoun	1.0
Țurcan	Țurcan	properNoun	1.0
Țurcanu	Țurcanu	properNoun	1.0
Țuțea	Țuțea	properNoun	1.0
Țăranu	Țăranu	properNoun	1.0
'Ndrangheta	Merisier	properNoun	0.61
100ème	vitelino	adjective	0.58
10ème	espiral	adjective	0.52
11ème	dissolutivo	adjective	0.56
12ème	cartaginês	adjective	0.5
13ème	respirável	adjective	0.49
14ème	demostrativo	adjective	0.52
15ème	pró-soviético	adjective	0.6
16ème	sinuoso	adjective	0.58
17ème	inconveniente	adjective	0.53
18ème	fascista	adjective	0.53
19ème	intencionado	adjective	0.51
1er	combinatório	adjective	0.59
20 minutos	Blouin	properNoun	0.63
20ème	inquisitivo	adjective	0.52
21ème	primacial	adjective	0.62
22ème	diretorial	adjective	0.59
23ème	expeditivo	adjective	0.56
24ème	emergente	adjective	0.56
25ème	diofántico	adjective	0.58
26ème	depilatório	adjective	0.63
27ème	vesiculoso	adjective	0.64
28ème	anti-imigratório	adjective	0.58
29ème	messiânico	adjective	0.55
2G	vidraceiro	noun	0.58
2nd	ródico	adjective	0.55
2ème	hegemónico	adjective	0.56
30ème	sublimatório	adjective	0.58
31ème	interdigital	adjective	0.59
32ème	continental	adjective	0.59
33ème	aflautado	adjective	0.54
34ème	fosfórico	adjective	0.53
35ème	noduloso	adjective	0.56
36ème	bubônico	adjective	0.63
37ème	inexpiável	adjective	0.63
38ème	conjetural	adjective	0.6
39ème	semipermeável	adjective	0.56
3G	európio	noun	0.55
3MA	Baya	properNoun	0.64
3ème	tipificado	adjective	0.58
40ème	teleológico	adjective	0.54
41ème	invocável	adjective	0.58
42ème	refractado	adjective	0.62
43ème	populista	adjective	0.61
44ème	hernioso	adjective	0.62
45ème	congressual	adjective	0.62
46ème	fenológico	adjective	0.56
47ème	primacial	adjective	0.61
48ème	cigano	adjective	0.56
49ème	piritoso	adjective	0.56
4G	arranque	noun	0.53
4x4	clarividência	noun	0.58
4x4	luético	adjective	0.65
4ème	miraculoso	adjective	0.53
50ème	manuelino	adjective	0.57
51ème	ortofónico	adjective	0.61
52ème	órfico	adjective	0.67
53ème	carbonatado	adjective	0.55
54ème	bilabial	adjective	0.62
55ème	fissível	adjective	0.59
56ème	climático	adjective	0.52
57ème	pitagórico	adjective	0.58
58ème	referencial	adjective	0.58
59ème	transmediterrâneo	adjective	0.56
5G	FIFA	noun	0.56
5ème	leguminoso	adjective	0.58
60ème	cicatricial	adjective	0.61
61ème	cosmogônico	adjective	0.57
62ème	adjacente	adjective	0.55
63ème	aproximativo	adjective	0.58
64ème	neuromuscular	adjective	0.53
65ème	proclamado	adjective	0.55
66ème	tumultuário	adjective	0.62
67ème	gravativo	adjective	0.65
68ème	corunhês	adjective	0.56
69ème	diagonal	adjective	0.58
6G	lista	noun	0.54
6ème	literal	adjective	0.53
70ème	catatônico	adjective	0.59
71ème	arquivístico	adjective	0.56
72ème	mercurial	adjective	0.53
73ème	cronométrico	adjective	0.58
74ème	congressual	adjective	0.58
75ème	cível	adjective	0.57
76ème	ternário	adjective	0.55
77ème	introspectivo	adjective	0.57
78ème	livoniano	adjective	0.55
79ème	especializado	adjective	0.54
7ème	inconservável	adjective	0.59
80ème	monacal	adjective	0.57
81ème	mesolítico	adjective	0.63
82ème	extrativo	adjective	0.61
83ème	ancestral	adjective	0.52
84ème	trigésimo terceiro	adjective	0.59
85ème	impensado	adjective	0.61
86ème	refugiado	adjective	0.64
87ème	adossado	adjective	0.58
88ème	irresistível	adjective	0.58
89ème	submergir	adjective	0.6
8ème	tranquilizador	adjective	0.51
90ème	filoniano	adjective	0.57
91ème	franciscano	adjective	0.54
92ème	quinado	adjective	0.58
93ème	seccionado	adjective	0.51
94ème	inclusivo	adjective	0.57
95ème	sanguino	adjective	0.55
96ème	abonável	adjective	0.63
97ème	difamatório	adjective	0.54
98ème	fantasmal	adjective	0.59
99ème	microfônico	adjective	0.55
9ème	atomístico	adjective	0.6
@teneu	Callés	properNoun	0.65
A350	Cazorla	properNoun	0.59
A380	Franks	properNoun	0.6
AALO	dipsomania	noun	0.59
ABAO	separabilidade	noun	0.57
ABB	Casu	properNoun	0.59
ABB	prenoção	noun	0.56
ABBA	Teixidor	properNoun	0.56
ABC	ABC	properNoun	1.0
ABF	banto	noun	0.54
ABN	premoção	noun	0.64
ABN Amro	Frías	properNoun	0.67
ABN-Amro	Lebreton	properNoun	0.62
ABP	auditor	noun	0.53
ABS	aramaico	noun	0.72
ACB	bonapartismo	noun	0.58
ACDAR	pequinês	noun	0.56
ACDH	pureza	noun	0.61
ACE	flebografia	noun	0.52
ACES	executante	noun	0.58
ACIS	dimorfismo	noun	0.57
ACISA	gala	noun	0.56
ACL	avicultura	noun	0.55
ACNC	antipartícula	noun	0.6
ACNUR	inapelabilidade	noun	0.56
ACPV	comparabilidade	noun	0.65
ACR	atletismo	noun	0.54
ACS	Balbo	properNoun	0.65
ACT	recorte	noun	0.58
ADAC	eucariota	noun	0.52
ADAE	paraplegia	noun	0.59
ADDA	contra-reforma	noun	0.68
ADECCCO	registrador	noun	0.61
ADEGI	crítico	noun	0.57
ADEMGI	universalização	noun	0.56
ADENA	nestoriano	noun	0.6
ADER	continentalidade	noun	0.6
ADICAE	retroactividade	noun	0.58
ADIL	reimpressão	noun	0.59
ADIMDE	confutação	noun	0.58
ADN	DNA	noun	0.99
ADNes	Santarelli	properNoun	0.59
ADO	aquecimento elétrico	noun	0.51
ADR	supernova	noun	0.57
ADSL	USB	noun	0.55
AECC	catolicidade	noun	0.63
AEDE	cúpula	noun	0.58
