Șalaru	Foulques	properNoun	0.84
Șandor	Freddie Mercury	properNoun	0.83
Șerban	Erlindo	properNoun	0.84
Șerbu	Poldi	properNoun	0.85
Șerbănescu	José Manuel Durão Barroso	properNoun	0.83
Ștefan	Terencio	properNoun	0.85
Ștefanescu	Bronson	properNoun	0.83
Ștefania	Archibaldo	properNoun	0.94
Ștefănescu	Ramsey	properNoun	0.83
Știrbei	Brayam	properNoun	0.83
Șuluțiu	Novia	properNoun	0.84
Țepeș	WEU	properNoun	0.85
Țiriac	Aalen	properNoun	0.83
Țițeica	Carlos Martel	properNoun	0.83
Țurcan	Yamal	properNoun	0.85
Țurcanu	Ab Kamari	properNoun	0.85
Țuțea	Mayco	properNoun	0.82
Țăranu	Trejo	properNoun	0.86
AA	Scunthorpe	properNoun	0.97
AAB	Premiership	properNoun	0.97
AABEF	Stoke-on-Trent	properNoun	0.97
AAC	Seliem	properNoun	0.97
AAE	Charley	properNoun	0.97
ABC	ABC	properNoun	1.0
ABC	Natalio	properNoun	0.73
ACGTP	tutelage	noun	0.97
ADE	San Jose	properNoun	0.97
ADSE	Camões	properNoun	0.97
AEC	Clodomiro	properNoun	0.97
AECA	Matsuo	properNoun	0.97
AEFA	Premiership	properNoun	0.97
AENOR	Baldomar	properNoun	0.96
AESE	Umfredo	properNoun	0.96
AG	Gniezno	properNoun	0.97
AGU	Ayman al-Zawahiri	properNoun	0.97
AHP	bevatron	noun	0.97
AIA	Lot	properNoun	0.97
AIP	Marlborough	properNoun	0.74
AIP	rheostat	noun	0.97
ALADI	Redknapp	properNoun	0.97
ANATEL	Mari Cielo	properNoun	0.97
ANC	Atlantis	properNoun	0.95
AP	Cuellar	properNoun	0.97
APDC	Hansel	properNoun	0.97
APG	Papel de Aguas	properNoun	0.96
API	API	noun	1.0
APICER	bankruptcy court	noun	0.97
APIS	Natanaele	properNoun	0.97
ATP	ATP	noun	1.0
AWWA	Delmiro	properNoun	0.97
Aarab	Aarab	properNoun	1.0
Aarão	Beavis	properNoun	0.97
Abad	Abad	properNoun	1.0
Abadal	Abadal	properNoun	1.0
Abadia	Abadia	properNoun	1.0
Abadias	Abadias	properNoun	1.0
Abadía	Abadía	properNoun	1.0
Abadías	Abadías	properNoun	1.0
Abarca	Jael	properNoun	0.79
Abas	Cesaire	properNoun	0.87
Abascal	Abascal	properNoun	1.0
Abasolo	Mantha	properNoun	0.85
Abate	Abate	properNoun	1.0
Abaterusso	Walmart	properNoun	0.9
Abati	Lienhard	properNoun	0.88
Abbado	Hermindo	properNoun	0.89
Abbas	Abbas	properNoun	1.0
Abbas	Vinicio	properNoun	0.73
Abbatangelo	Ignatius	properNoun	0.89
Abbate	Obdulio	properNoun	0.88
Abbatucci	Andreu Fontàs	properNoun	0.89
Abbiati	Ewell	properNoun	0.9
Abbondanza	Jarred	properNoun	0.87
Abbondanzieri	Abbondanzieri	properNoun	1.0
Abbondanzieri	André Boyer-Mas	properNoun	0.86
Abbott	Abbott	properNoun	1.0
Abboud	Abboud	properNoun	1.0
Abbrescia	Diodoro	properNoun	0.9
Abbruzzese	Zachariah	properNoun	0.87
Abdallah	Abdallah	properNoun	1.0
Abdel	Abdel	properNoun	1.0
Abdias	Bénédict	properNoun	0.97
Abdo	Abdo	properNoun	1.0
Abdon	Stettin	properNoun	0.94
Abdrazakov	Brives	properNoun	0.87
Abe	Abe	properNoun	1.0
Abebe	Gisberto	properNoun	0.9
Abecassis	Abecassis	properNoun	1.0
Abel	Abel	properNoun	1.0
Abelardo	Abelardo	properNoun	1.0
Abella	Abella	properNoun	1.0
Abella de la Conca	Yahed	properNoun	0.8
Abellard	Abellard	properNoun	1.0
Abelleira	Abelleira	properNoun	1.0
Abelli	West Africa	properNoun	0.89
Abellán	Abellán	properNoun	1.0
Abelló	Abelló	properNoun	1.0
Abelson	Abelson	properNoun	1.0
Abengoa	Leiceaga	properNoun	0.74
Abenza	Abenza	properNoun	1.0
Aberasturi	Almando	properNoun	0.9
Aberta	Atchison	properNoun	0.88
Abi-Ackel	Amauri	properNoun	0.9
Abidal	Abidal	properNoun	1.0
Abitbol	Abitbol	properNoun	1.0
Abou	Exequiel	properNoun	0.86
Aboujaoude	Aboujaoude	properNoun	1.0
Abraam	Donaldo	properNoun	0.92
Abraham	Abraham	properNoun	1.0
Abrahams	Abrahams	properNoun	1.0
Abrahão	Spanish Agency for International Cooperation and Development	properNoun	0.88
Abramo	Abramo	properNoun	1.0
Abrams	Abrams	properNoun	1.0
Abran	Abran	properNoun	1.0
Abranis	Eugene	properNoun	0.93
Abrantes	Clever	properNoun	0.96
Abras	Arnulf	properNoun	0.89
Abrera	Demian	properNoun	0.8
Abreu	Odulio	properNoun	0.71
Abric	Milky Way	properNoun	0.91
Abrignani	Javen	properNoun	0.9
Abril	Abril	properNoun	1.0
Abril	April	noun	0.98
Abu	Abu	properNoun	1.0
Abu Dhabi	Abu Dhabi	properNoun	1.0
Abulafia	Kaiden	properNoun	0.8
Abuli	Abuli	properNoun	1.0
Abyshev	Eurystheus	properNoun	0.91
Abás	Albor	properNoun	0.93
Abécassis	Vicenza	properNoun	0.93
Abílio	Kurtis	properNoun	0.96
Abós	Abós	properNoun	1.0
Acciarini	Ty	properNoun	0.91
Acciaro	Coldcut	properNoun	0.9
Accili	Ludlow	properNoun	0.89
Accorinti	Capitol	properNoun	0.91
Accoto	ONCE	properNoun	0.89
Acebes	Acebes	properNoun	1.0
Acebo	Acebo	properNoun	1.0
