ČSSD	marcionite	noun	0.89
ČTK	épiphénomène	noun	0.91
&	et	coordinatingConjunction	0.99
İzmir	Izmir	properNoun	0.91
11-S	mirabelle	noun	0.97
1st	I	numeral	0.65
2-3-5 system	pince à feu	noun	0.88
20th Century Fox	Huffel	properNoun	0.92
2nd	II	numeral	0.67
3GPP	ministre de l'intérieur	noun	0.97
3rd	III	numeral	0.69
4-2-4 system	anneau des classes résiduelles	noun	0.9
4-3-3 system	micro-rupture	noun	0.91
4-4-2 system	enstatite	noun	0.92
4th	IV	numeral	0.6
4x4	4x4	noun	1.0
A Barbanza	Empire des Indes	properNoun	0.97
A Baña	Oshawa	properNoun	0.92
A Coruña	La Corogne	properNoun	0.87
A Estrada	Bathori	properNoun	0.93
A Fonsagrada	Lac Ontario	properNoun	0.93
A Gaita Gallega	Salanque	properNoun	0.96
A Guarda	OSALDE	properNoun	0.93
A Limia	Konstantine Oustinovitch Tchernenko	properNoun	0.97
A Mariña	Orchestra	properNoun	0.97
A Pastoriza	Duplantis	properNoun	0.93
A Pobra	AlDia	properNoun	0.95
A Pobra de Trives	Prolog	properNoun	0.91
A Ribeira de Piquín	Vincennes	properNoun	0.97
A Seara	Creative Communs	properNoun	0.97
A&M University	John Howard	properNoun	0.96
A-400	Miquelon	properNoun	0.97
A/H1N1	polymyxine	noun	0.9
A/H5N1	docimologie	noun	0.9
A400	Bezons	properNoun	0.97
AA	peracide	noun	0.88
AB Fragrances	Orchestra	properNoun	0.97
ABBA	ABBA	properNoun	1.0
ABC	ABC	properNoun	1.0
ABC	orientation sexuelle	noun	0.98
AC/DC	Anne Stuart	properNoun	0.9
ACB	Asepam	properNoun	0.94
ACB league	West Island	properNoun	0.96
ACT	Ernestine	properNoun	0.93
ADP	cuite	noun	0.89
ADSL	ADSL	noun	1.0
AECID	Arantzatzu	properNoun	0.97
AFP	AFP	noun	1.0
AIDS	sida	noun	0.99
AK-47	droits de l'homme et du citoyen	properNoun	0.97
AK47	Alaksi	properNoun	0.97
ALE	ALE	noun	1.0
AMISOM	Djihad	properNoun	0.97
ANA	Prigioni	properNoun	0.97
ANP	Athis-Mons	properNoun	0.97
ANSI	alginate	noun	0.91
ANV	ANV	noun	1.0
AOL	AOL	properNoun	1.0
API	agaricacée	noun	0.97
ARC	ARC	noun	1.0
ARE	Rubis	properNoun	0.97
ASCII	ASCII	noun	1.0
ASELE	Toulosse	properNoun	0.97
ASOBAL	Marignane	properNoun	0.97
AT&T	article de ménage	noun	0.87
ATM	distributeur automatique	noun	0.91
ATP	ATP	noun	1.0
AZF	Ressous	properNoun	0.96
Aablina	Aablina	properNoun	1.0
Aache	Amillano	properNoun	0.97
Aachen	Aix-la-Chapelle	properNoun	0.97
Aalen	Bonnaire	properNoun	0.97
Aaliyah	Aaliyah	properNoun	1.0
Aarab	Aarab	properNoun	1.0
Aarhus	Schaffhouse	properNoun	0.97
Aaron	Aaron	properNoun	1.0
Aarón	Interlingua	properNoun	0.83
Ab Kamari	Grigori Iefimovitch	properNoun	0.97
Abaco	Theravâda	properNoun	0.93
Abad	Abad	properNoun	1.0
Abad Corrales	Nicolas Machiavel	properNoun	0.97
Abadal	Abadal	properNoun	1.0
Abadia	Abadia	properNoun	1.0
Abadias	Abadias	properNoun	1.0
Abadía	Abadía	properNoun	1.0
Abadías	Abadías	properNoun	1.0
Abagail	Abagail	properNoun	1.0
Abando	Abando	properNoun	1.0
Abascal	Abascal	properNoun	1.0
Abate	Abate	properNoun	1.0
Abbas	Abbas	properNoun	1.0
Abbey	Abbey	properNoun	1.0
Abbie	Abbie	properNoun	1.0
Abbigail	Abbigail	properNoun	1.0
Abbondanzieri	Abbondanzieri	properNoun	1.0
Abbott	Abbott	properNoun	1.0
Abboud	Abboud	properNoun	1.0
Abby	Abby	properNoun	1.0
Abd	Hubei	properNoun	0.91
Abdala	Mata-Utu	properNoun	0.96
Abdallah	Abdallah	properNoun	1.0
Abdel	Abdel	properNoun	1.0
Abdiel	SourceForge	properNoun	0.96
Abdo	Abdo	properNoun	1.0
Abdu	Amilibia	properNoun	0.97
Abdul	Abdul	properNoun	1.0
Abdul Hamid II	Serge Gainsbourg	properNoun	0.97
Abdulla	Sportline	properNoun	0.89
Abdullah	Abdullah	properNoun	1.0
Abdullah Ahmad Badawi	Abdullah Ahmad Badawi	properNoun	1.0
Abdullah Gül	Abdullah Gül	properNoun	1.0
Abdías	Halil	properNoun	0.97
