occupational	occupationnel	adjective	0.84
person from Lugo	coofficialité	noun	0.59
Beirut	Beyrouth	properNoun	0.99
scare	frayeur	noun	0.87
Latin	latin	noun	0.97
next February	inviolablement	adverb	0.49
factory	usine	noun	0.99
trap	piéger	verb	0.95
treasure	enrayer	verb	0.49
fellow	ami	adjective	0.83
methodical	méthodique	adjective	0.93
ocular	oculaire	adjective	0.94
biosphere	biosphère	noun	0.98
bay	laurier	noun	0.91
Charleston	Baratella	properNoun	0.55
flirt	flirter	verb	0.97
presidency	présidence	noun	0.99
move out	laisser derrière soi	verb	0.89
practical	pratique	adjective	0.94
radioactivity	radioactivité	noun	1.0
badger	blaireau	noun	0.84
another	autrui	pronoun	0.99
life-threatening	mortel	adjective	0.94
reliance	dépendance	noun	0.84
Navaza	Schirò	properNoun	0.6
buying	limougeaud	adjective	0.56
oxygen	oxygène	noun	0.99
surge ahead of	aller de l'avant	verb	0.97
schooling	scolarisation	noun	0.85
unblock	débloquer	verb	1.0
Deportivo de La Coruña	Papiro	properNoun	0.57
pull	raidir	verb	0.92
suffice	suffire	verb	0.97
total	subliminalement	adverb	0.58
statesman	homme d'État	noun	0.95
worry	soucier	verb	0.91
Malaysian	malais	adjective	0.98
Grammys	Manar	properNoun	0.56
set out	être tenu de	verb	0.5
imperial	impérial	adjective	0.99
render Galician	redesigner	verb	0.57
problematic	problématique	adjective	1.0
outcry	protestation	noun	0.84
emphasise	souligner	verb	0.94
burn	brûler	verb	0.98
positive	positif	adjective	0.98
hypothetical	hypothétique	adjective	1.0
Oreja	Saif	properNoun	0.54
necessary	nécessaire	adjective	0.94
program	application informatique	noun	0.97
lately	dernièrement	adverb	1.0
earn	gagner	verb	0.92
educational	éducateur	adjective	0.95
ill	malsain	adjective	0.98
videoconference	visio	noun	0.98
casket	caisse	noun	0.81
venerable	vénérable	adjective	0.9
graduate	diplômer	verb	0.93
die off	disparaître	verb	0.9
even	apparié	adjective	0.83
natality	taux de natalité	noun	0.99
eighteen hundred	soixante et un	numeral	0.46
blunt	émoussé	adjective	0.91
cathedral	cathédrale	noun	0.97
Romania	Roumanie	properNoun	0.99
get married	épouser	verb	0.95
hilly	montagneux	adjective	0.98
devastate	dévaster	verb	0.93
winkle	transport nerveux	noun	0.5
designate	nommer	verb	0.97
fishing	pêche	noun	0.97
be specialised	tomber amoureuse	verb	0.58
firm	ferme	adjective	0.99
depreciate	déprécier	verb	0.77
Elviña	Alemán	properNoun	0.58
enlightenment	Lumières	noun	0.97
alter	altérer	verb	0.98
wake up	éveiller	verb	0.96
conduct	comportement	noun	0.89
flattering	attrayant	adjective	0.7
contact	contacter	verb	0.99
ark	tabernacle	noun	0.98
conflicting	opposée	adjective	0.83
organize	organiser	verb	0.87
denominator	dénominateur	noun	0.97
Trás-os-Montes e Alto Douro	Ajello	properNoun	0.49
start	arraché	noun	0.97
spider crab	morpion	noun	0.86
hailstorm	grêle	noun	0.76
be obstructive	enrayer	verb	0.45
tiny	minuscule	adjective	0.92
slaughtering	tuerie	noun	0.99
nudism	nudisme	noun	0.98
aroma	arôme	noun	0.99
heave	surélever	verb	0.92
Pillado	Farriols	properNoun	0.57
flat	plan	adjective	0.97
knife	couteau	noun	0.94
medallist	médailleur	noun	0.65
supply	fourniture	noun	0.96
Cuban	cubain	adjective	0.98
dash about	gober	verb	0.55
attempt	tenter de	verb	0.96
rarity	bizarrerie	noun	0.99
attribute	attribuer	verb	0.92
agitate	affairer	verb	0.98
snake	serpent	noun	0.96
juvenile	mineur 18	noun	0.97
state	déclarer	verb	0.85
shut	clore	verb	0.96
overwhelm	désarçonner	verb	0.95
boat	barque	noun	0.96
immediateness	abords	noun	0.81
director	directeur	noun	0.97
northbound	vigilant	adjective	0.55
platinum	platine	noun	1.0
finally	enfin	adverb	0.99
suffocate	asphyxier	verb	0.98
our	notre	pronoun	1.0
our	nôtre	possessivePronoun	1.0
our	à nous	determiner	0.99
rookie	inexpert	adjective	0.85
person from Pontevedra	tireur	noun	0.6
brief	renseigner	verb	0.93
die down	amenuiser	verb	0.84
medicine	médecine	noun	0.97
fearful	peureux	adjective	0.96
consistent	conséquent	adjective	0.87
speciality	spécialité	noun	0.97
appeal	appellation	noun	0.86
advance	avancer	verb	0.98
tubercle	tubercule	noun	0.97
genetically modified food	camériste	noun	0.62
manual	manuel	adjective	0.99
brass	laiton	noun	0.97
constituent	électeur	noun	0.85
lesson	cours magistral	noun	0.88
candy	bonbon	noun	0.96
incapacitate	rendre incapable	verb	0.96
stab	coup de couteau	noun	0.94
integrate	intégrer	verb	0.97
reservation	réservation	noun	0.95
starvation	famine	noun	0.89
squatting	à croupetons	adverb	0.98
unadulterated	de commande	adjective	0.52
O Rosal	Enguera	properNoun	0.58
slam	claquement de porte	noun	0.84
Sigmund	Nirmana	properNoun	0.51
thin	maigre	adjective	0.95
defy	braver	verb	0.89
consign	consigner	verb	0.83
bomb	bombe	noun	0.99
huntsman	chasseur	noun	0.96
checkpoint	réseau local	noun	0.46
controversy	polémique	noun	0.98
willingness	allant	noun	0.99
odontology	odontologie	noun	0.99
deduce	inférer	verb	0.93
patriarch	patriarche	noun	0.99
Ephesus	Éphèse	properNoun	0.99
severe	sévère	adjective	0.82
dreaded	redoutable	adjective	0.93
close to	à la sauvette	adverb	0.46
competitivity	compétitivité	noun	0.98
left-handed	gaucher	adjective	0.95
mythical	mythique	adjective	1.0
at every turn	chaque fois	adverb	1.0
bid	offre	noun	0.86
linguist	linguiste	noun	0.99
caffeine	caféine	noun	0.99
very much	moult	adverb	0.99
insert	insérer	verb	0.92
loudmouthed	formant un bloc	adjective	0.5
prosecution	persécution	noun	0.88
tax	imposte	noun	0.9
abuse	abus	noun	0.98
silly	sot	adjective	0.9
Pacific	océan pacifique	properNoun	0.92
biologist	biologiste	noun	1.0
homophobic	co-officiel	adjective	0.52
abduct	séquestrer	verb	0.89
exchange	permuter	verb	0.93
African	africain	adjective	0.99
purely	purement	adverb	0.99
minor	mineur 18	noun	0.98
right	correct	adjective	0.87
publisher	maison d'édition	noun	0.94
pole	poteau	noun	0.93
scandalize	choquer	verb	0.7
G20	réverbération	noun	0.51
motorise	motoriser	verb	0.94
a	un	determiner	0.97
chimaera	chimère	noun	0.94
Boeotia	Tales	properNoun	0.58
slanted	biaisé	adjective	0.93
uneconomic	anti-économique	adjective	0.94
deal	pacte	noun	0.79
Holy Seat	Poropat	properNoun	0.54
repulsive	répulsif	adjective	0.95
Comoros	Comores	properNoun	0.96
spermatozoid	spermatozoïde	noun	0.97
endure	endurer	verb	0.87
plead	plaider	verb	0.83
sandpaper	fermeture algébrique	noun	0.49
procurement	acquisition	noun	0.78
Clement I	Talbot	properNoun	0.55
warning	avertissement	noun	0.97
after	après	preposition	0.99
farewell	adieu	noun	0.98
flower	moisir	verb	0.99
boot	botte	noun	0.89
Galician-Portuguese	suborbital	adjective	0.58
flat	appart	noun	0.96
awe-inspiring	impressionant	adjective	0.98
elegant	élégant	adjective	0.97
heavy-duty	fort	adjective	0.92
shudder	tressaillir	verb	0.9
Southampton	Pink Floyd	properNoun	0.6
castle	château	noun	1.0
anticipate	anticiper	verb	0.95
rabies	rage	noun	0.95
effectively	efficacement	adverb	0.99
onion	oignon	noun	0.99
cripple	mutilé	noun	0.92
sending	envoi	noun	0.97
bachelor	célibataire	noun	0.89
normally	normalement	adverb	0.99
restructuring	restructuration	noun	0.99
renew	renouveler	verb	0.98
curly	bouclé	adjective	0.96
esteem	estime	noun	0.94
result	score	noun	0.97
treacherous	traîtreux	adjective	0.94
Olympic	olympiade	noun	0.88
confirm	confirmer	verb	0.98
lift	ascenseur	noun	0.9
research	investiguer	verb	0.95
displace	décaler	verb	0.89
disadvantaged	défavorisé	adjective	0.98
range	varier	verb	0.91
fuzzy	bouclé	adjective	0.87
shoulder	épaule	noun	1.0
properly	décemment	adverb	0.98
overtake	passer à côté de	verb	0.87
benchmark	standard	noun	0.93
Menorca	Scarlat	properNoun	0.65
Soviet	soviétique	adjective	0.99
parade	parader	verb	0.99
cloudburst	averse	noun	0.94
conspire	conspirer	verb	0.77
show up	faire jour	verb	0.98
Wednesday	mercredi	noun	0.99
little	petit	adjective	0.97
cold	froid	noun	0.94
concern	préoccupation	noun	0.97
precise	précis	adjective	0.96
geopolitical	géopolitique	adjective	0.99
since	dès	preposition	0.99
geriatric	gériatrique	adjective	0.94
motive	motif	noun	0.98
fire	incendie	noun	0.91
Yorkshire Ouse	Chira	properNoun	0.56
homosexuality	homosexualité	noun	0.99
syrup	sirop	noun	0.98
environmentalist	écologique	adjective	0.81
cleansing	post-littoral	adjective	0.54
lightning	éclair	noun	0.95
Shiite	chiite	noun	0.89
chin	barbiche	noun	0.98
canoeist	canoéiste	noun	0.97
glitch	ratage	noun	0.89
pull off	sous-tirer	verb	0.87
town councilor	conseiller municipal	noun	0.94
register	registre	noun	0.99
coffee	grain de café	noun	0.99
prefix	préfixe	noun	0.99
copy	recopier	verb	0.96
internment	internement	noun	0.83
jab	piqûre	noun	0.89
honest	sincère	adjective	0.91
justifiably	avec justification	adverb	0.99
Santiago de Compostela	Saint-Jacques-de-Compostelle	properNoun	0.98
terrifying	effrayant	adjective	0.9
giant	géant	adjective	0.97
confiscate	confisquer	verb	0.98
function	fonction	noun	0.95
accordingly	par conséquent	subordinatingConjunction	0.97
imitate	émuler	verb	0.94
spare	rechange	noun	0.91
famous	célèbre	adjective	0.98
peak	sommet	noun	0.94
mother	mère	noun	0.99
discontinuous	discontinu	adjective	0.98
chronological	chronologique	adjective	0.99
mutiny	émeute	noun	0.97
disabled	personne handicapée	noun	0.94
descendent	successeur	noun	0.82
heat	chaleur	noun	0.96
eternity	éternité	noun	0.99
retry	faire souffrir	verb	0.54
bind	brocher	verb	0.93
erect	hausser	verb	0.96
takeover	absorption	noun	0.89
especially	notamment	adverb	0.96
Kyrgyz	kirghiz	adjective	0.88
water down	diluer	verb	0.74
surface	émerger	verb	0.94
spearhead	commencer	verb	0.86
butterfly	papillon	noun	0.99
Celanova	Tănăsescu	properNoun	0.6
coordinate	coordonner	verb	0.92
myocardium	myocarde	noun	0.99
how many	combien	adjective	1.0
how many	combien	adverb	0.98
how many	combien est-ce que	relativePronoun	0.99
how many	combien	pronoun	0.99
how many	combien	determiner	0.98
how many	combien est-ce que	interrogativePronoun	0.99
Bournemouth	Calil	properNoun	0.56
time	chronométrer	verb	0.94
itself	nominalement	adverb	0.51
microprocessor	microprocesseur	noun	0.99
insemination	insémination	noun	0.99
interview	interviewer	verb	0.99
excessively	excessivement	adverb	0.96
Fisk	de Moraes	properNoun	0.65
teaching	d'enseignement	adjective	0.94
link	chainon	noun	0.98
good afternoon	bonjour	interjection	0.44
Faroe Islands	Matteotti	properNoun	0.53
hassle	problème	noun	0.77
pride	fierté	noun	0.99
tender	offre	noun	0.97
prank	ébat	noun	0.95
toothpick	cure-dents	noun	0.98
Calvinist	sturnidé	noun	0.55
selfishness	égoïsme	noun	0.98
Spector	Saus	properNoun	0.58
guard	garde	noun	0.95
exalt	hausser	verb	0.81
merciless	impitoyable	adjective	0.93
Indochinese	papable	adjective	0.57
agitated	énervé	adjective	0.92
Sucre	Naiara	properNoun	0.56
compete	faire concurrence à	verb	0.94
shortage	pénurie	noun	0.96
screen	écran	noun	0.94
Philadelphia	Philadelphie	properNoun	0.97
humility	humilité	noun	0.99
anonymity	anonymat	noun	0.99
despair	désespoir	noun	0.99
South Caucasus	Gubbini	properNoun	0.69
motivate	motiver	verb	0.91
invent	inventer	verb	0.93
Vasconia	Tchékhov	properNoun	0.56
get	rattraper	verb	0.88
hierarchical	hiérarchique	adjective	0.97
emphasize	souligner	verb	0.93
department	département	noun	0.97
fond	câlineur	adjective	0.95
throughout	partout	adverb	0.96
homesickness	nostalgie	noun	0.91
prisoner	prisonnier	noun	0.99
the next December	jusqu'à maintenant	adverb	0.53
Senegambia	Buzzi	properNoun	0.54
lively	vivant	adjective	0.94
kingdom	royaume	noun	1.0
medullary	médullaire	adjective	0.97
trunk	malle	noun	0.89
assumption	supposition	noun	0.88
inquest	investigation	noun	0.99
enlist	inscrire	verb	0.72
mining	minier	adjective	0.99
historical	historique	adjective	0.99
tone	tonus	noun	0.98
decisive	décisif	adjective	0.95
emergence	apparition	noun	0.98
etymology	étymologie	noun	0.99
toothless	édenté	adjective	0.98
participle	participe	noun	0.99
move	déménager	verb	0.93
scruple	scrupule	noun	1.0
Polynesia	Polynésie	properNoun	0.94
thank	remerciement	noun	0.97
Ashdown	Oliaro	properNoun	0.56
increase	accroître	verb	0.99
preview	semi-remorque	noun	0.68
indefinable	bregmatique	adjective	0.55
John the Baptist	Spadolini	properNoun	0.5
iron	repasser	verb	0.78
explode	exploiter	verb	0.97
schedule	grille d'horaires	noun	0.92
iconoclastic	assamais	adjective	0.59
gorilla	gorille	noun	0.99
bird	oiseau	noun	1.0
bunch	plumet	noun	0.94
fang	canine	noun	0.92
primary	primaire	adjective	0.95
anthropological	anthropologique	adjective	0.98
in contrast	inviolablement	adverb	0.51
plainly	noir sur blanc	adverb	0.92
stolidness	impassibilité	noun	0.97
kid	enfant	noun	0.98
songwriter	compositeur	noun	0.99
Curros	Beghin	properNoun	0.58
Alcoran	Cannariato	properNoun	0.53
die	mourir	verb	0.98
last	durer	verb	0.93
encyclopaedia	encyclopédie	noun	1.0
in force	en vigueur	adjective	0.98
freebie	NBC	noun	0.5
ideologist	idéologue	noun	0.98
equivalence	équivalence	noun	0.9
next March	gentiment	adverb	0.44
apricot	abricot	noun	0.99
mockery	gouaillerie	noun	0.88
lift	hausser	verb	0.97
faculty meeting	fac	noun	0.78
polluter	réhydratation	noun	0.57
category	catégorie	noun	0.96
cash in	chambarder	verb	0.8
bank	rivage	noun	0.91
perplexed	perplexe	adjective	0.91
stubborn	entêté	adjective	0.99
satirist	rétroversion	noun	0.57
undersea	sous-marin	adjective	0.98
built-in	soixante-treizième	adjective	0.62
check	visitation	noun	0.92
reluctance	résistance	noun	0.74
rig	gréer	verb	0.88
ecosystem	écosystème	noun	0.99
advertisement	réclame	noun	0.95
spot	localiser	verb	0.7
fight	combat	noun	0.93
shady	ombragé	adjective	0.98
Aeneas	Enée	properNoun	0.97
emergent	émergent	adjective	0.98
calamitous	catastrophique	adjective	0.94
span	durée	noun	0.77
lawyer	avocat	noun	0.98
weakening	fragilisation	noun	0.94
noisy	ronflant	adjective	0.98
oatcake	neuropathologie	noun	0.53
down	en bas	adverb	0.98
visit	rendre visite	verb	0.91
accompany	prendre part	verb	0.96
sector	secteur	noun	0.99
render more Galician	helléniser	verb	0.57
wife	époux	noun	0.97
in this way	de cette manière	adverb	0.99
Julius Caesar	Sperantia	properNoun	0.6
disorder	désordre	noun	0.94
each time	chaque fois	adverb	1.0
populist	populiste	adjective	0.87
misapprehension	malentendu	noun	0.77
next Wednesday	qu'il le veuille ou non	adverb	0.46
physiological	physiologique	adjective	0.98
take part	intervenir	verb	0.92
criminal	criminel	adjective	0.96
single	seul	adjective	0.85
right	bien	adverb	0.93
minimization	communaliste	noun	0.56
stick	atteler	verb	0.84
with one mind	unanimement	adverb	0.98
sum up	résumer	verb	0.93
dividend	dividende	noun	1.0
veneration	vénération	noun	0.84
urge	être l'instigateur de	verb	0.82
journalist	journaliste	noun	0.99
flowering	floraison	noun	0.98
home	chez-soi	noun	0.96
manufacturing	industriel	adjective	0.81
straight	droit	adjective	0.93
Baghdad	Bagdad	properNoun	0.99
mead	Mède	noun	0.91
carpet	tapis	noun	0.99
coronation	couronnement	noun	0.73
space	spatial	adjective	0.98
industrial	industriel	adjective	0.97
enable	habiliter	verb	0.88
disclosure	décèlement	noun	0.93
cooperator	avivement	noun	0.63
Togolese	cinquante et unième	adjective	0.54
bequeath	léguer	verb	0.95
Patagonia	Patagonie	properNoun	0.89
possessive	pronom possessif	noun	0.9
sober	serein	adjective	0.92
landlady	propriétaire	noun	0.99
strong	fort	adjective	0.9
blow up	gonfler	verb	0.96
Byzantium	Byzance	properNoun	0.94
remorse	remords	noun	0.95
austere	austère	adjective	0.9
smuggling	contrebande	noun	0.99
under-estimated	post-littoral	adjective	0.53
in bold strokes	sédentairement	adverb	0.52
be incumbent	faire de la provocation	verb	0.76
headbutt	rembourrer	verb	0.52
dual carriageway	route à quatre voies	noun	0.91
gallows	gibet	noun	0.95
retailer	détaillant	noun	0.95
receipt	acquit	noun	0.97
be in danger	être en danger	verb	0.92
secretary's office	secrétairerie	noun	0.97
speech	parler	noun	0.81
squeeze	serrement	noun	0.92
wedding	noce	noun	0.97
advertising	publicité	noun	0.97
four	quatre	numeral	1.0
respectively	respectivement	adverb	1.0
cove	input	noun	0.8
veteran	vétéran	adjective	0.99
differently	dissemblablement	adverb	0.73
attack	attaque	noun	0.92
then	lors	adverb	0.98
straight	directement	adverb	0.88
evaluate	expertiser	verb	0.99
comedy	comédie	noun	0.99
indicator	indicateur	noun	0.92
surprisingly	d’une façon surprenante	adverb	0.98
europeanize	être cave	verb	0.57
scarlatina	gambit	noun	0.56
systematically	systémiquement	adverb	0.98
capture	capturer	verb	0.99
Luftwaffe	New Delhi	properNoun	0.54
lecturer	conférencier	noun	0.82
sign-up	inscription	noun	0.96
chalky	calcaire	adjective	0.9
funny	rigolo	adjective	0.91
digress	dessiner la carte de	verb	0.56
Mantua	Gavet de la Conca	properNoun	0.59
relevance	connexion	noun	0.73
homage	hommage	noun	1.0
tributary	affluent	noun	0.97
damaging	préjudiciable	adjective	0.95
cyclist	cycliste	noun	0.99
rational	rationnel	adjective	0.99
boarding	abordage	noun	0.92
by as early as	devant de	preposition	0.5
develop	dérouler	verb	0.96
unripe	vert	adjective	0.92
preserve	confire	verb	0.91
make up	confectionner	verb	0.86
excessive	en trop	adjective	0.93
included	inclus	adverb	0.99
contentious	contentieux	adjective	0.91
surprise	étonner	verb	0.99
extremist	extrémiste	noun	0.98
demolish	faire tomber	verb	0.8
drunkard	soûlard	noun	0.97
never	jamais	adverb	1.0
trader	négociant	noun	0.97
dolphin	dauphin	noun	0.99
humble	humilier	verb	0.98
deflect	dérouter	verb	0.97
producing	producteur	adjective	0.9
privilege	privilège	noun	0.99
horrify	être horrifié	verb	0.98
September	septembre	noun	1.0
poetry	poésie	noun	0.99
lavatory	baignade	noun	0.99
prelude	prélude	noun	0.98
expansionism	expansionnisme	noun	0.99
status	etat	noun	0.92
numberless	innombrable	adjective	0.99
Nicaraguan	nicaraguayen	adjective	0.96
Saint James of Compostela	Saint-Jacques-de-Compostelle	properNoun	0.95
beauty salon	centre-gauche	noun	0.54
health	santé	noun	0.99
Jethro Tull	Abbiati	properNoun	0.54
more	davantage	adverb	0.99
dump	culbuter	verb	0.85
scan	scanner	noun	0.96
announcement	convocation	noun	0.9
cut	tondre	verb	0.97
charming	ensorceleur	adjective	0.97
have breakfast	petit-déjeuner	verb	0.9
undeniably	indéniablement	adverb	0.96
lick	lécher	verb	0.88
thousand	mil	numeral	0.99
eclipse	éclipser	verb	0.97
consistory	consistoire	noun	0.99
zebra	zèbre	noun	1.0
perhaps	peut-être	adverb	0.98
incomprehensible	incompréhensible	adjective	0.98
lettuce	laitue	noun	0.99
environment	environnement	noun	0.99
desktop	pupitre	noun	0.81
sob	lamentation	noun	0.8
crazy	dément	adjective	0.96
footballer	footballeur	noun	0.99
dadaism	dadaïsme	noun	0.93
Channel Islands	Îles Anglo-Normandes	properNoun	0.98
John VII	Brâncoveanu	properNoun	0.52
moreover	de plus	adverb	0.99
throat	gorge	noun	0.97
spider	araignée	noun	1.0
threshold	seuil	noun	0.89
bachelor apartment	maltraitance	noun	0.55
stamp	sceau	noun	0.93
shipbuilding	conceptualiste	noun	0.61
Belgian	Belge	noun	0.74
steroid	stéroïde	noun	0.93
contrive	manigancer	verb	0.93
spark	étincelle	noun	0.98
slyness	astuce	noun	0.87
upward	haussier	adjective	0.98
duly	dûment	adverb	0.95
be alert	mal parler	verb	0.59
night	nuit	noun	1.0
limit	borner	verb	0.99
theory	théorie	noun	1.0
spin	centrifuger	verb	0.94
designer	dessigner	noun	0.99
crown	couronne	noun	0.96
temperature	température	noun	0.99
magical	magique	adjective	0.99
Protestant	protestant	noun	1.0
workable	factible	adjective	0.94
autism	autisme	noun	0.98
text	texte	noun	1.0
dark	ténébreux	adjective	0.94
scrap	ferraille	noun	0.97
muddy	boueux	adjective	0.96
debenture	obligation	noun	0.94
availability	disponibilité	noun	0.96
extremism	extrémisme	noun	1.0
nonconformist	anticonformiste	adjective	0.96
generalisation	généralisation	noun	0.99
trail	haler	verb	0.8
many times	de nombreuses fois	adverb	0.66
catch a chill	constiper	verb	0.91
continuous	persistant	adjective	0.99
berry	baie	noun	0.91
the next Wednesday	qu'il le veuille ou non	adverb	0.5
debt	dette	noun	1.0
repel	repousser	verb	0.92
very bad	maternellement	adverb	0.56
arid	aride	adjective	0.92
competent	compétent	adjective	0.97
obsessive	obsessionnel	adjective	0.98
prosecutor	procureur	noun	0.95
waterproof	imperméable	adjective	0.85
bilingual	bilingue	adjective	0.99
whereby	touchant	adverb	0.48
bum	carène	noun	0.69
keeper	gardien de but	noun	0.79
gloat	manger avec gourmandise	verb	0.95
decoration	décoration	noun	0.99
compromise	accommodement	noun	0.94
United Left	Iñíguez	properNoun	0.55
elite	élite	noun	0.99
Iraqi	irakien	adjective	0.99
million	soixante-quatorze	numeral	0.44
glassmaker	gobeletier	noun	0.99
sense	sens	noun	0.96
alloy	alliage	noun	0.99
pederast	pédéraste	noun	0.93
semester	semestre	noun	0.99
boyfriend	fiancé	noun	0.95
buxom	gras	adjective	0.83
marrow	moelle	noun	0.97
potential	potentiel	noun	0.97
extremity	extrémité	noun	0.87
rescue	sauvetage	noun	0.95
single handed	in situ	adverb	0.55
Bedfordshire	Orba	properNoun	0.55
comprehensive	à grande échelle	adjective	0.96
polihedron	polyèdre	noun	0.84
a lot	moult	adverb	0.99
health service	santé	noun	0.97
advertiser	apochromatique	adjective	0.54
easily	facilement	adverb	0.98
A Barbanza	Sexta	properNoun	0.54
Napoleon	Napoléon	properNoun	0.98
syllable	syllabe	noun	0.99
choice	election	noun	0.97
purpose	dessein	noun	0.99
hazard	hasarder	verb	0.96
cult	culte	noun	0.85
aid	main-forte	noun	0.98
spine	colonne vertébrale	noun	0.86
the next October	validement	adverb	0.47
appalling	effrayant	adjective	0.91
reliability	fiabilité	noun	0.97
vein	veine	noun	0.96
streamline	moderniser	verb	0.85
go	bouler	verb	0.82
brooch	fermoir	noun	1.0
granting	concession	noun	0.96
contempt	mépris	noun	0.97
Hiddink	Niamh	properNoun	0.54
fidelity	fidélité	noun	0.99
wooden	en bois	adjective	0.97
birder	ingouche	noun	0.55
the most	ils	pronoun	0.52
the most	combien	determiner	0.51
prompt	être l'instigateur de	verb	0.81
flu	grippe	noun	0.99
climb	zoomer	verb	0.98
optional	optionnel	adjective	0.94
end up	finir	verb	0.98
trinket	paillette	noun	0.93
smother	asphyxie	noun	0.93
favourably	favorablement	adverb	0.99
generator	générateur	noun	0.98
baby	nourrisson	noun	0.94
citizen	membre de la communauté	noun	0.99
informal	informel	adjective	0.98
scour	perquisitionner	verb	0.96
curse	maudire	verb	0.98
feeble	débile	adjective	0.96
extreme	extrême	noun	0.93
medium	moyen	noun	0.99
mad	dément	adjective	0.96
