occupational	ocupacional	adjective	0.84
person from Lugo	causticidade	noun	0.61
Beirut	Touzin	properNoun	0.57
scare	alarme	noun	0.81
Latin	latim	noun	0.97
next February	intersindicalmente	adverb	0.48
factory	usina	noun	0.99
trap	atrapar	verb	0.9
treasure	regionalizar	verb	0.49
fellow	homólogo	adjective	0.65
methodical	metódico	adjective	0.92
biosphere	biosfera	noun	0.98
bay	baía	noun	0.9
Charleston	Dickinson	properNoun	0.56
flirt	atar	verb	0.51
presidency	presidência	noun	0.98
move out	marchar	verb	0.93
practical	prático	adjective	0.98
apparition	aparecimento	noun	0.99
speculation	especulação	noun	0.97
radioactivity	radioatividade	noun	0.98
badger	segador	noun	0.53
another	outro	pronoun	0.99
life-threatening	mortal	adjective	0.89
reliance	dependência	noun	0.88
Navaza	Schirò	properNoun	0.61
buying	constitucional	adjective	0.57
oxygen	oxigénio	noun	0.99
surge ahead of	avançar	verb	0.98
schooling	escolarização	noun	0.89
unblock	desbloquear	verb	0.99
Deportivo de La Coruña	Thurston	properNoun	0.58
pull	esticar	verb	0.95
suffice	bastar	verb	0.96
total	ideologicamente	adverb	0.6
statesman	estadista	noun	0.95
worry	preocupar	verb	0.95
Malaysian	malaio	adjective	0.98
Grammys	Crous	properNoun	0.56
interposition	interposição	noun	0.98
set out	anatematizar	verb	0.48
render Galician	helenizar	verb	0.59
problematic	problemático	adjective	0.98
outcry	protesto	noun	0.88
emphasise	ressaltar	verb	0.94
burn	arder	verb	0.94
positive	positivo	adjective	0.96
hypothetical	hipotético	adjective	0.98
Oreja	Escolano	properNoun	0.58
necessary	necessário	adjective	0.99
program	programa	noun	0.95
lately	ultimamente	adverb	0.97
earn	ganhar	verb	0.94
educational	educativo	adjective	0.95
restriction	restrição	noun	0.95
ill	doente	adjective	0.98
avarice	remo	noun	0.53
Lancelot du Lac	Vieille	properNoun	0.59
videoconference	videoconferência	noun	0.99
casket	caixa	noun	0.76
venerable	venerável	adjective	0.96
graduate	escalonar	verb	0.91
die off	desaparecer	verb	0.98
even	plano	adjective	0.82
natality	natalidade	noun	0.99
eighteen hundred	XIX	numeral	0.45
blunt	suave	adjective	0.67
cathedral	catedral	noun	0.95
Romania	Romênia	properNoun	0.98
get married	casar	verb	0.97
hilly	montanhoso	adjective	0.96
devastate	destroçar	verb	0.83
winkle	policial	noun	0.5
designate	denominar	verb	0.98
indisposition	indisposição	noun	0.97
palpable	palpável	adjective	0.91
fishing	pesca	noun	0.97
be specialised	sobrevoar	verb	0.59
firm	firme	adjective	0.96
depreciate	invernar	verb	0.48
Elviña	Alemán	properNoun	0.63
enlightenment	esclarecimento	noun	0.84
course	curso	noun	0.86
alter	alterar	verb	0.95
wake up	despertar	verb	0.95
conduct	conduta	noun	0.95
flattering	atraente	adjective	0.69
contact	contatar	verb	0.99
ark	bolso	noun	0.75
conflicting	contraditório	adjective	0.84
organize	organizar	verb	0.98
denominator	denominador	noun	0.97
start	arranque	noun	0.93
spider crab	eflorescência	noun	0.56
hailstorm	chuva	noun	0.64
be obstructive	honrar	verb	0.45
tiny	minúsculo	adjective	0.91
slaughtering	matança	noun	0.99
nudism	naturismo	noun	0.66
