éplucher	shell	verb	0.96
cependant	though	adverb	0.89
von Kármán	Tolstoï	properNoun	0.55
pleurite	recursivity	noun	0.53
Filon	Canas	properNoun	0.59
gangstérisme	Cornish	noun	0.61
Tagliasacchi	Marshal	properNoun	0.65
grouillement	anteater	noun	0.78
désaccord	disagreement	noun	0.95
vivre	rekindle	verb	0.97
extrêmement	ultra	adverb	0.95
donner	donate	verb	0.97
cachalot	taekwondo	noun	0.55
isocèle	isosceles	adjective	0.91
autoritairement	authoritatively	adverb	0.97
aphasie	aphasia	noun	0.94
XXVIIème	industrialized	adjective	0.52
Amonarriz	Weir	properNoun	0.58
atteint	reach	verb	0.85
inverseur	investor	noun	0.98
utopisme	solvation	noun	0.55
ACB	eucaryote	noun	0.55
demi-finaliste	semifinalist	noun	0.95
gratte-ciel	skyscraper	noun	1.0
Calil	Cabau	properNoun	0.74
Mir	Corrubedo	properNoun	0.63
négligence	neglect	noun	0.98
CSA	premonition	noun	0.5
musculaire	muscular	adjective	0.99
règlement	regulation	noun	0.88
Noferi	Izan	properNoun	0.57
chef de famille	telephonist	noun	0.62
dysgraphique	eighty-first	adjective	0.5
cotiser	pay contributions	verb	1.0
Micheloni	Audubon	properNoun	0.58
déduire	set off against	verb	0.94
vicier	coddle	verb	0.7
tête de lit	pillow	noun	0.88
sarde	Sardinian	noun	0.95
rénover	renovate	verb	0.99
influencer	influence	verb	0.94
habillement	garment	noun	0.96
réduplicatif	my	adjective	0.57
remodelage	remodeling	noun	0.96
Raia	Verner	properNoun	0.6
enquête	investigation	noun	0.92
Fadda	Hemmings	properNoun	0.59
avec tous les détails	intellectually	adverb	0.52
théisme	theism	noun	0.85
aboucher	tip	verb	0.78
Siles	Pujal	properNoun	0.56
normaliser	normalise	verb	0.97
silure	catfish	noun	0.93
acromégalie	acromegaly	noun	1.0
surréaliste	surreal	adjective	0.95
Reza	Homier	properNoun	0.53
Palau-saverdera	Leahy	properNoun	0.6
Tymoshenko	Timoshenko	properNoun	0.76
symphoniste	symphonist	noun	1.0
Marenco	de Condorcet	properNoun	0.65
dialectologie	dialectology	noun	0.95
antenne	antenna	noun	0.98
caddie	chariot	noun	0.98
Franconi	Hastings	properNoun	0.61
inférer	set off against	verb	0.93
faunistique	doric	adjective	0.57
savoureux	wealthy	adjective	0.89
styptique	stereophonic	adjective	0.6
pioche	pickaxe	noun	0.98
pilosité	archduchess	noun	0.58
Pezzella	Vericat	properNoun	0.64
short	shorts	noun	0.98
simpliste	glib	adjective	0.93
exonérer	cancel	verb	0.78
despotique	lexicological	adjective	0.58
réaffirmation	reaffirmation	noun	0.94
Gange	Ganges	properNoun	1.0
Prusse-Orientale	Souhait	properNoun	0.55
souillé	soiled	adjective	0.99
rétinopathie	retinopathy	noun	0.97
graduer	grade	verb	0.95
autojustification	lexicographer	noun	0.52
Setcases	Pujolar	properNoun	0.62
régulièrement	regularly	adverb	0.93
architecturer	structure	verb	0.95
curation	curing	noun	0.97
centraliser	centralise	verb	0.91
Oudmourtie	Mensa	properNoun	0.61
recrutement	recruitment	noun	0.87
permis	permit	noun	1.0
raccourci	short cut	noun	0.98
indubitable	undoubted	adjective	0.97
ductilité	ductility	noun	0.88
Arenys de Munt	Surette	properNoun	0.64
dégoûter	repulse	verb	0.86
à votre aise	comfortable	adjective	0.97
Bucovine	Bukovina	properNoun	0.97
antineutrino	rosebush	noun	0.52
fenêtre	window	noun	0.95
siège	headquarters	noun	0.88
Massoteres	Clot	properNoun	0.63
transporteur	carrier	noun	0.82
versant	hillside	noun	0.99
perditance	radiometry	noun	0.54
Bertinelli	Méthot	properNoun	0.62
recouvrement	covering	noun	0.9
coupable	guilty	adjective	0.99
Saint-Vincent-et-les-Grenadines	Saint Vincent and the Grenadines	properNoun	0.98
Athènes	Athens	properNoun	1.0
moralisation	paragenesis	noun	0.56
épingler	signal	verb	0.77
coïncider	coincide	verb	0.99
Goti	Crichton	properNoun	0.59
pangermanique	forty-fifth	adjective	0.59
funeste	fateful	adjective	0.82
ventilatoire	Berber	adjective	0.59
communautariste	curved	adjective	0.55
Transylvanie	Transylvania	properNoun	0.95
tâche	task	noun	0.89
partiel	fragmented	adjective	0.96
algonquin	Algonquian	adjective	0.98
à point	at the point	adverb	1.0
étalage	shop window	noun	0.97
assorti	assorted	adjective	0.96
Palop	Veliz	properNoun	0.55
épicycle	leucoplast	noun	0.6
controversé	controversial	adjective	0.95
imide	reseeding	noun	0.52
caoutchouc	rubber	noun	0.97
castrer	castrate	verb	0.92
chevaleresque	knightly	adjective	0.91
reportage	report	noun	0.83
Lafont	Cañizares	properNoun	0.57
intermitent	intermittent	adjective	0.98
Ratisbonne	Regensburg	properNoun	0.89
unitif	iambic	adjective	0.55
