éplucher	pelar	verb	0.96
cependant	enquanto isso	adverb	0.81
pleurite	submarinista	noun	0.52
gangstérisme	quarto de final	noun	0.62
spectre	espetro	noun	0.94
grouillement	formigueiro	noun	0.73
désaccord	discordo	noun	0.96
vivre	viver	verb	0.98
extrêmement	extremamente	adverb	0.94
donner	dar	verb	0.97
cachalot	ícone	noun	0.57
isocèle	isósceles	adjective	0.99
autoritairement	autoritariamente	adverb	1.0
Giovannina	Benedetti	properNoun	0.63
Eddy	Chiu	properNoun	0.56
aphasie	separabilidade	noun	0.55
XXVIIème	industrial	adjective	0.55
atteint	conseguir	verb	0.87
inverseur	investidor	noun	1.0
utopisme	desaceleração	noun	0.56
ACB	eucariota	noun	0.56
demi-finaliste	semifinalista	noun	0.98
gratte-ciel	arranha-céus	noun	0.98
New Nintendo 3DS XL	Howells	properNoun	0.58
négligence	negligência	noun	0.98
perspective	perspetiva	noun	0.95
CSA	premonição	noun	0.49
musculaire	muscular	adjective	0.98
bracelet	cristalização	noun	0.53
règlement	regulamento	noun	0.96
chef de famille	telefonista	noun	0.61
dysgraphique	hipofosforoso	adjective	0.51
cotiser	cotar	verb	0.98
expert	perito	noun	0.99
déduire	deduzir	verb	0.95
vicier	consentir	verb	0.73
tête de lit	chefe	noun	0.71
sarde	sardo	noun	0.95
essence	essência	noun	0.88
rénover	renovar	verb	0.98
influencer	influenciar	verb	0.98
habillement	indumentária	noun	0.92
réduplicatif	reduplicativo	adjective	1.0
remodelage	remodelagem	noun	0.96
enquête	indagação	noun	0.94
avec tous les détails	intelectualmente	adverb	0.55
théisme	teísmo	noun	0.93
aboucher	verter	verb	0.8
normaliser	normalizar	verb	0.98
silure	torpedo	noun	0.75
acromégalie	cerejeira	noun	0.58
surréaliste	surrealista	adjective	0.95
invagination	invaginação	noun	1.0
Reza	Homier	properNoun	0.53
Tymoshenko	Timochenko	properNoun	1.0
symphoniste	sinfonista	noun	1.0
fasciculation	salto à vara	noun	0.58
dialectologie	dialetologia	noun	0.98
antenne	antena	noun	0.93
caddie	carroça	noun	0.91
inférer	deduzir	verb	0.94
faunistique	faunístico	adjective	1.0
savoureux	rico	adjective	0.89
styptique	estíptico	adjective	1.0
pioche	bico	noun	0.95
pilosité	pilosidade	noun	1.0
ascension	ascensão	noun	0.94
short	calções	noun	0.98
simpliste	simplista	adjective	0.98
bourgeois	burguês	noun	0.95
exonérer	anular	verb	0.77
despotique	despótico	adjective	1.0
réaffirmation	reafirmação	noun	0.94
Gange	Ponte	properNoun	0.68
Prusse-Orientale	Spena	properNoun	0.58
souillé	bruto	adjective	1.0
rétinopathie	tecnologista	noun	0.61
graduer	escalonar	verb	0.94
autojustification	trimestre	noun	0.53
régulièrement	regularmente	adverb	0.97
architecturer	estruturar	verb	0.99
curation	curação	noun	1.0
centraliser	centralizar	verb	0.91
Oudmourtie	Pizzo	properNoun	0.61
recrutement	recrutamento	noun	0.91
permis	permissão	noun	0.99
insatiable	insaciável	adjective	1.0
hippie	expresidente	noun	0.55
raccourci	atalho	noun	0.97
Charo	Busqué	properNoun	0.57
indubitable	indudável	adjective	0.98
ductilité	ductilidade	noun	0.97
dégoûter	dar asco	verb	0.87
castration	castração	noun	0.97
à votre aise	à vontade	adjective	1.0
Bucovine	Maguire	properNoun	0.64
fenêtre	janela	noun	0.97
siège	sede	noun	0.92
Airbus	Chicane	properNoun	0.57
transporteur	transportador	noun	0.92
versant	vertente	noun	0.98
perditance	radiometria	noun	0.57
recouvrement	recobrimento	noun	0.94
coupable	culpável	adjective	0.95
Saint-Vincent-et-les-Grenadines	Ouellet	properNoun	0.58
Athènes	Atenas	properNoun	0.98
moralisation	moralização	noun	0.98
épingler	assinalar	verb	0.74
coïncider	coincidir	verb	0.87
pangermanique	pangermânico	adjective	1.0
funeste	fatídico	adjective	0.76
ventilatoire	binocular	adjective	0.59
communautariste	acético	adjective	0.56
Transylvanie	Coronel	properNoun	0.54
tâche	tarefa	noun	0.91
partiel	parcial	adjective	0.89
algonquin	algonquino	adjective	0.98
Icahel	Scotti	properNoun	0.62
à point	no ponto	adverb	0.92
étalage	aparador	noun	0.97
assorti	sinuoso	adjective	0.53
épicycle	inconstância	noun	0.62
controversé	controverso	adjective	0.94
participation	participação	noun	0.9
imide	ginástica	noun	0.51
caoutchouc	caucho	noun	0.98
castrer	capar	verb	0.94
Leylén	Lockhead	properNoun	0.6
chevaleresque	nobre	adjective	0.79
reportage	reportagem	noun	0.98
intermitent	intermitente	adjective	1.0
Ratisbonne	Degrandpré	properNoun	0.61
unitif	unitivo	adjective	0.98
déroulement	desenvolvimento	noun	0.99
loyaliste	legitimista	adjective	0.98
savant	sábio	adjective	0.95
Bertha	Nickner	properNoun	0.55
faire la gueule	posar	verb	0.78
implacable	implacável	adjective	0.94
Yamilem	Guinart	properNoun	0.6
classificateur	classificador	noun	0.95
Sahnti	Casso	properNoun	0.63
vélociste	velocista	noun	1.0
triton	permeabilidade	noun	0.56
océanique	oceânico	adjective	0.98
cylindrique	cilíndrico	adjective	0.96
Pearl Harbor	Crivellari	properNoun	0.6
étonner	surpreender	verb	0.99
fisc	fisco	noun	0.98
prescient	presciente	adjective	1.0
bacilliforme	homólogo	adjective	0.54
farfadet	anão	noun	0.6
avocat	advogado	noun	0.97
rouble	etimologia	noun	0.58
intercepter	intercetar	verb	0.9
virer	rotacionar	verb	0.83
meuble	mobiliário	adjective	0.75
inflammabilité	inflamabilidade	noun	1.0
impassible	impassível	adjective	0.87
médailler	condecorar	verb	0.92
payer des impôts	tributar	verb	0.97
développeur	desenvolvedor	noun	0.98
Aragon	Aragó	properNoun	0.96
phare	farol	noun	0.97
mictionnel	interatómico	adjective	0.6
Ariadna	Lecault	properNoun	0.64
glucocorticoïde	esmalte	noun	0.58
Prudència	Pilo	properNoun	0.64
Theodor	Matarazzo	properNoun	0.59
repousser	rechaçar	verb	0.94
cour des comptes	pantografia	noun	0.56
graffiti	etiqueta	noun	0.65
décret royal	espaçador	noun	0.55
rassemblement	concentração	noun	0.8
littoral	litoral	adjective	0.98
gangréner	independentizar	verb	0.51
quatrième	quarto	adjective	0.99
Chili	Chile	properNoun	0.99
rom	cigano	adjective	0.97
structurel	estrutural	adjective	0.97
burgonde	procurador	noun	0.52
Jovina	Salvatori	properNoun	0.59
acidifiant	acidificante	adjective	1.0
exergie	revolucionário	noun	0.54
plantigrade	trombone	noun	0.56
arrosage	irrigação	noun	0.94
articuler	articular	verb	0.96
chamanique	quinquagésimo quarto	adjective	0.55
Hanae	Estapé	properNoun	0.65
Querubina	Rizea	properNoun	0.57
