ilegitimamente	unlawfully	adverb	0.77
o qual	which	relativePronoun	0.98
o qual	the one which	pronoun	0.99
ctônico	ninety-fifth	adjective	0.66
Borea	Pozas	properNoun	0.63
rubefacção	rubefaction	noun	0.98
prata	silver	noun	0.98
dissimulável	forty-fifth	adjective	0.58
dispositivo	untouched	adjective	0.59
Granyena de Segarra	Halde	properNoun	0.64
Zaragocí	St-Sauveur	properNoun	0.6
Bornemisza	Macintosh	properNoun	0.59
inconvertível	inconvertible	adjective	0.97
fundamentar	base	verb	0.92
átrio	atrium	noun	0.95
correlativo	correlated	adjective	1.0
retweet	tweet	noun	0.56
insofrível	intolerable	adjective	0.64
alvorada	aurora	noun	1.0
vara de condão	romanization	noun	0.54
tecnólogo	urea	noun	0.74
snobismo	militarist	noun	0.57
reciprocamente	reciprocally	adverb	1.0
Seller	Busqué	properNoun	0.64
inconstitucional	shared	adjective	0.63
recapitalização	bus station	noun	0.58
custo	cost	noun	0.89
sintáctico	syntactic	adjective	0.99
Backer	Elies	properNoun	0.62
Jarafuel	Mañá	properNoun	0.6
nada	not at all	adverb	0.95
Melgarejo	Sabbah	properNoun	0.65
barroco	baroque	noun	0.83
autodestruição	self-destruction	noun	0.99
estupendamente	stupendously	adverb	0.99
Rui	Trieu	properNoun	0.56
Icaria	Rollins	properNoun	0.6
tomar o café da manhã	have lunch	verb	0.98
veterano	veteran	adjective	0.99
divisionário	vibrational	adjective	0.59
defeito	flaw	noun	0.99
levantamento	upraising	noun	0.99
explosivo	explosive	noun	0.99
figurativo	figurative	adjective	0.89
ostentação	ostentation	noun	0.97
fôlego	breath	noun	0.73
Bardeen	Adelais	properNoun	0.63
d	diction	noun	0.61
Frassinetti	Larissa	properNoun	0.65
Holanda	Holland	properNoun	0.95
espiralmente	late on in the morning	adverb	0.61
injustiça	inequity	noun	0.99
Áureo	Garrigó	properNoun	0.59
concentracionário	their	adjective	0.55
Maior	Durban	properNoun	0.6
areolado	oscillating	adjective	0.59
Mandelbrot	Lazore	properNoun	0.6
perversão	perversion	noun	0.97
amplo	wide	adjective	0.97
Siracusa	Syracuse	properNoun	0.82
Berengário	Segado	properNoun	0.58
Balauru	Milana	properNoun	0.6
insonorização	soundproofing	noun	0.99
sistematicamente	systematically	adverb	0.97
mitológico	mythological	adjective	0.99
Capodicasa	Gras	properNoun	0.59
Karamanou	Drammeh	properNoun	0.63
recta	right	noun	0.68
Vernetti	Vatcher	properNoun	0.63
conceptualista	conceptualist	adjective	0.93
inconsciente	oblivious	adjective	0.97
