ilegitimamente	illégitimement	adverb	0.83
o qual	lequel	relativePronoun	0.99
o qual	celui que	pronoun	0.99
ctônico	multitubulaire	adjective	0.68
rubefacção	rubéfaction	noun	1.0
prata	argent	noun	0.96
dissimulável	dissimulable	adjective	1.0
dispositivo	dispositif	adjective	0.97
inconvertível	inconvertible	adjective	1.0
fundamentar	donner une base	verb	0.95
átrio	atrium	noun	1.0
correlativo	corrélatif	adjective	0.97
insofrível	intenable	adjective	0.59
alvorada	aurore	noun	0.87
vara de condão	chaise longue	noun	0.55
tecnólogo	dactylographie	noun	0.74
snobismo	Bohème	noun	0.58
reciprocamente	réciproquement	adverb	0.97
inconstitucional	inconstitutionnel	adjective	1.0
recapitalização	recapitalisation	noun	0.96
custo	coût	noun	0.93
sintáctico	syntactique	adjective	1.0
nada	point du tout	adverb	0.93
barroco	opérabilité	noun	0.63
autodestruição	autodestruction	noun	0.98
estupendamente	excellemment	adverb	0.93
Rui	Poienaru	properNoun	0.56
Icaria	Salma	properNoun	0.59
tomar o café da manhã	petit-déjeuner	verb	0.96
veterano	vétéran	adjective	0.99
divisionário	divisionnaire	adjective	1.0
defeito	défaut	noun	0.95
levantamento	soulevement	noun	0.98
explosivo	explosif	noun	0.99
figurativo	figuratif	adjective	0.98
ostentação	ostentation	noun	0.95
fôlego	haleine	noun	0.97
Holanda	Hollande	properNoun	0.95
espiralmente	spiralement	adverb	1.0
injustiça	injustice	noun	0.99
concentracionário	à il	adjective	0.56
areolado	envahissant	adjective	0.64
perversão	perversion	noun	0.98
amplo	ample	adjective	0.95
Berengário	Berenguer	properNoun	0.92
insonorização	insonorisation	noun	0.97
sistematicamente	systémiquement	adverb	0.98
mitológico	mythologique	adjective	0.98
recta	ligne droite	noun	0.93
conceptualista	conceptualiste	adjective	1.0
inconsciente	inconscient	adjective	0.96
supersticioso	supersticieux	adjective	1.0
bibliograficamente	mot pour mot	adverb	0.54
marisco	fruits de mer	noun	0.99
decorativamente	où est-ce que	adverb	0.6
refrigeração	réfrigération	noun	0.96
muito	moult	adverb	0.99
inapelavelmente	main dans la main	adverb	0.49
embriagador	quadrupède	adjective	0.6
castelhanização	castillanisation	noun	0.99
sacristão	sacristain	noun	0.97
a cabo de	au bout de	preposition	0.98
rarefactivo	inextirpable	adjective	0.57
somatório	somme	noun	0.98
desaparelhado	trente-cinquième	adjective	0.61
mitificação	mythification	noun	1.0
sobreiral	rouvraie	noun	1.0
projectante	basal	adjective	0.59
paraguaio	paraguayen	noun	0.99
iniciativa	initiative	noun	0.94
época	époque	noun	0.97
constituir	constituer	verb	0.97
racionalista	rationaliste	noun	0.96
inutilidade	inutilité	noun	0.97
iônico	ionique	adjective	0.95
marcescível	marcescible	adjective	1.0
arbitrariedade	arbitraire	noun	0.97
salineiro	salinier	adjective	1.0
abolicionismo	abolitionnisme	noun	0.97
ante	devant de	preposition	0.99
esteárico	stéarique	adjective	1.0
expetorante	expectorant	adjective	1.0
Waldenor	Mungari	properNoun	0.55
aforístico	aphoristique	adjective	1.0
melão	melon	noun	0.98
vasco	basque	noun	0.98
machista	machiste	noun	0.97
modular	modulaire	adjective	0.97
consola	console de jeux vidéo	noun	0.92
vingança	vengeance	noun	0.98
malcriado	mal élevé	adjective	0.92
secundariamente	secondairement	adverb	0.88
a varejo	au détail	adverb	0.91
tripolitano	intimidable	adjective	0.63
calar	taire	verb	0.88
desorientado	désorienté	adjective	1.0
gasolina	benzine	noun	0.91
partido	match	noun	0.98
Vivaldo	Elba	properNoun	0.59
catorze	quatorze	numeral	0.99
clareza	clarté	noun	0.98
vermelho	rouge	adjective	0.99
investigador	chercheur	noun	0.89
ecossistema	écosystème	noun	0.98
santuário	sanctuaire	noun	1.0
de rua	démocrate-chrétien	adjective	0.58
Flórida	Floride	properNoun	0.99
superdotado	surdoué	adjective	0.97
frondoso	touffu	adjective	0.9
expansibilidade	expansibilité	noun	1.0
cério	cérium	noun	0.99
diminuto	petit	adjective	0.93
ânsia	transe	noun	0.99
Rogério	Caparvi	properNoun	0.56
octogenário	octogénaire	adjective	0.98
cosmográfico	cosmographique	adjective	1.0
recriminação	récrimination	noun	0.98
nitrogênio	nitrogène	noun	0.99
reconciliador	capucin	adjective	0.56
cosmólogo	cosmologue	noun	1.0
volta	retour	noun	0.94
troca	change	noun	0.94
leucocitário	leucocytaire	adjective	1.0
de perto	étroitement	adverb	0.89
insolubilidade	insolubilité	noun	0.98
inofensivamente	inoffensivement	adverb	0.78
consciente	conscient	noun	1.0
pirâmide	pyramide	noun	0.99
gonocórico	nombrable	adjective	0.53
horrífico	horrifique	adjective	1.0
recensão	recension	noun	1.0
conversável	barbaresque	adjective	0.54
desempenhar	mener à bien	verb	0.83
encolher	mincir	verb	0.69
ideologia	idéologie	noun	0.99
solicitador	huméral	adjective	0.59
antroposófico	anthroposophique	adjective	1.0
envolver	emmêler	verb	0.95
desintegrador	striduleux	adjective	0.56
lapidoso	intracommunautaire	adjective	0.58
rigorosidade	rigueur	noun	0.79
Gervásio	Bundestag	properNoun	0.58
personagem	personnage	noun	0.97
incurável	incurable	adjective	0.98
legislador	législateur	noun	0.98
estatuto	statut	noun	0.9
cláusula	clause	noun	0.93
neolítico	néolithique	adjective	0.98
Bálcãs	Balkans	properNoun	0.98
visigótico	visigothique	adjective	1.0
duplicação	duplication	noun	0.99
fobia	phobie	noun	0.98
figurável	figurable	adjective	0.99
loubar	louer	verb	0.93
gnomónico	auto-référentiel	adjective	0.58
sempre	toujours	adverb	0.98
imaterial	immatériel	adjective	0.99
compulsivo	compulsif	adjective	0.97
matador	flosculeux	adjective	0.54
Waneta	Saratov	properNoun	0.59
eucariota	eucaryote	noun	0.98
microbiólogo	microbiologiste	noun	0.95
parasitologista	parasitologue	noun	1.0
atribuir	assigner	verb	0.98
Trastámaras	Trastàmares	properNoun	0.98
quarto	quart-temps	noun	0.96
fato	fait	noun	0.87
canalizador	céphalée	noun	0.59
biólogo	biologiste	noun	0.99
baixa	baisse	noun	0.84
olfação	olfaction	noun	1.0
extracurricular	flabellé	adjective	0.52
recém	naguère	adverb	0.99
escudeiro	écuyer	noun	0.97
anabático	anabatique	adjective	1.0
indonésio	indonésien	noun	0.98
subcomissão	soumission	noun	0.65
permutabilidade	permutabilité	noun	1.0
incrementar	incrémenter	verb	0.98
foz	bouche fleuve	noun	0.95
muscularmente	musculeusement	adverb	0.91
renúncia	renoncement	noun	0.93
adultério	adultère	noun	0.95
descongestivo	décongestif	adjective	1.0
amigdalectomia	amygdalectomie	noun	1.0
cordado	cordé	adjective	1.0
intercalação	intercalation	noun	1.0
conserto	dépannage	noun	0.99
asserção	assertion	noun	0.97
doente	malsain	adjective	1.0
demográfico	démographique	adjective	0.98
elipse	ellipse	noun	0.96
logar	connecter	verb	0.97
lentidão	lenteur	noun	0.99
gravanço	pois chiche	noun	0.98
ejaculador	hyperesthésique	adjective	0.54
droga	drogue	noun	0.96
fotolitografia	photolithographie	noun	0.98
motivação	motivation	noun	0.98
fisiográfico	physiographique	adjective	0.98
meteorográfico	agonistique	adjective	0.53
clima	climat	noun	0.93
fabricar	fabriquer	verb	0.96
fiabilidade	fiabilité	noun	0.97
caracterizar	typer	verb	0.99
estrangeiro	étranger	noun	0.96
reabilitar	réhabiliter	verb	0.96
ástato	astate	noun	0.94
persuasão	persuasion	noun	0.99
recomendação	recommandation	noun	0.99
ureteral	urétéral	adjective	1.0
algoritmo	algorithme	noun	0.99
reificação	réification	noun	1.0
saída	saillie	noun	0.99
assibilação	assibilation	noun	1.0
bem como	autant que	subordinatingConjunction	0.98
engenharia	ingénierie	noun	0.99
laudatório	tumoral	adjective	0.58
operacionalmente	inviolablement	adverb	0.61
componente	composant	noun	0.97
deficit	signe moins	noun	0.97
liberalizador	de vandalisme	adjective	0.58
desemparelhado	panarabiste	adjective	0.58
mnemônico	mnémonique	adjective	1.0
Abril	avril	noun	0.93
comentar	faire le commentaire	verb	0.91
Bergüzar	Dinescu	properNoun	0.53
consulado	consulat	noun	0.95
maiúsculo	majuscule	adjective	0.98
replicar	riposter	verb	0.98
epistemológico	épistémologique	adjective	0.98
sueco	suédois	adjective	0.99
exculpação	absolution	noun	0.76
improcedente	non fondé	adjective	0.98
Etiópia	Éthiopie	properNoun	0.99
ilírio	illyrien	adjective	1.0
inexcitável	inexcitable	adjective	1.0
filarmónico	philharmonique	adjective	0.97
recobrável	transfusionnel	adjective	0.56
russofobia	russophobie	noun	1.0
identificar	identifier	verb	0.96
recuperador	arbitral	adjective	0.55
beijo	bise	noun	1.0
descontente	mécontent	adjective	0.99
equatorial	équatorial	adjective	0.99
empatar	égaliser	verb	0.89
pronunciável	nucal	adjective	0.56
dragão	dragon	noun	0.99
tirador	valérique	adjective	0.54
tessálico	électrophorétique	adjective	0.58
licenciado	licencié	noun	0.97
datador	opérabilité	noun	0.55
Hannie	Telly	properNoun	0.58
publicidade	publicité	noun	0.98
formiga	fourmi	noun	0.98
oração	oraison	noun	0.96
carbonizar	carboniser	verb	0.99
alucinação	hallucination	noun	0.96
veterano	vétéran	noun	0.99
aspiração	aspiration	noun	0.87
anemometria	tine	noun	0.59
ferroviariamente	spatialement	adverb	0.56
medievalidade	salsa	noun	0.55
sultanado	réincarnation	noun	0.64
tradicionalista	sacoche	noun	0.57
diariamente	journellement	adverb	0.99
altura	haut	noun	0.98
afundar	faire couler	verb	0.93
disparar	tirer sur	verb	0.96
arrancar	démarrer	verb	0.93
eletrificado	cinquante et unième	adjective	0.61
organização	organization	noun	0.99
pernicioso	pernicieux	adjective	0.99
canalha	pédant	adjective	0.54
noroeste	nord-ouest	noun	0.99
mínimo	minimum	adjective	1.0
arquitetônico	architectural	adjective	0.98
festivamente	festivement	adverb	0.88
Cristóvão	Zacchera	properNoun	0.54
esteticamente	esthétiquement	adverb	0.99
ardentoso	radiotéléphonique	adjective	0.56
derrota	déroute	noun	0.95
binariamente	binairement	adverb	1.0
nosso	à nous	adjective	0.99
nosso	nôtre	possessivePronoun	1.0
silenciador	sourdine	noun	0.94
transnacional	transnational	adjective	0.99
ultimar	conclure	verb	0.98
tênis	tennis	noun	0.94
pneumonia	pneumonie	noun	0.99
amnistiar	amnistier	verb	0.98
atriz	actrice	noun	0.99
ao todo	au total	adverb	0.92
circassiano	apothéose	noun	0.56
Mediterrâneo	Méditerranée	properNoun	0.99
proibição	prohibition	noun	0.97
representador	crural	adjective	0.59
salazarista	post-soviétique	adjective	0.56
carvão	charbon	noun	0.98
conflito	conflit	noun	0.92
demagogicamente	démagogiquement	adverb	0.97
retardado	asymptotique	adjective	0.6
categorizar	catégoriser	verb	0.98
macroeconômico	macroéconomique	adjective	0.99
sevícia	photoconductivité	noun	0.6
inofensivo	sans danger	adjective	0.84
totalitário	totalitaire	adjective	0.97
videoclipe	vidéoclip	noun	0.96
chover	pleuvoir	verb	0.98
parisiense	parisien	adjective	0.98
generalizável	apologique	adjective	0.57
contrastação	legging	noun	0.57
epagógico	soixante-troisième	adjective	0.54
erigir	ériger	verb	0.98
platônico	platonique	adjective	0.99
planamente	bonnement	adverb	0.83
rancoroso	rancunier	adjective	0.71
Homero	Homère	properNoun	0.98
desratização	argumentaire	noun	0.55
quase	quasi	adverb	0.99
numeral	numéral	adjective	1.0
Alceu	OMV	properNoun	0.54
espécie	espèce	noun	0.96
Túlio	Dobre	properNoun	0.57
de ganga	texan	adjective	0.9
adaptador	irritatif	adjective	0.53
circulação	circulation	noun	0.98
cobalto	cobalt	noun	0.98
parasito	parasite	noun	0.95
opugnação	GSM	noun	0.54
documental	documentaire	adjective	0.97
eleição	comice	noun	0.98
estorninho	appart	noun	0.61
ondejante	désillusionné	adjective	0.51
credor	créditeur	noun	1.0
dianteiro	avant	adjective	1.0
pineal	pinéal	adjective	1.0
finalização	finalisation	noun	0.99
tráfico	trafic routier	noun	0.97
frangível	intégré	adjective	0.52
amanhado	à leur aise	adjective	0.55
jantar	souper	noun	0.99
en breve	bientôt	adverb	0.98
resiliente	résilient	adjective	1.0
berço	rouget	noun	0.85
preguiça	flemmard	noun	1.0
pressionar	faire pression sur	verb	0.93
aquilino	basal	adjective	0.59
enérgico	énergique	adjective	0.98
hispano-americano	etymologie	noun	0.56
individualista	individualiste	noun	0.94
plebiscitário	plébiscitaire	adjective	0.95
halterofilista	excipient	noun	0.64
vadio	vagabond	adjective	0.91
Walney	Corbi	properNoun	0.54
quantificar	quantifier	verb	0.99
Corunha	La Corogne	properNoun	0.91
interioridade	intériorité	noun	0.98
Aimee	Giugni	properNoun	0.63
helenização	hellénisation	noun	1.0
ressuscitar	ressusciter	verb	0.97
sinal	signal	noun	0.98
levantino	d'est	adjective	0.84
congénito	congénial	adjective	0.99
índice	index	noun	0.97
efémero	éphémère	adjective	0.99
caramelização	caramélisation	noun	1.0
rapper	rappeur	noun	0.98
incontrastável	glandulaire	adjective	0.56
faucal	activable	adjective	0.51
faz favor	s'il vous plaît	interjection	0.97
eternidade	éternité	noun	0.99
em potencial	doctrinalement	adverb	0.52
limitação	limitation	noun	0.96
isentrópico	isentropique	adjective	1.0
campesinato	paysannerie	noun	0.92
exosfera	coupelle	noun	0.59
Timor-Leste	Timor oriental	properNoun	0.99
estragar	détraquer	verb	0.99
pessimista	pessimiste	adjective	0.95
inequação	inéquation	noun	0.98
colofônia	colophane	noun	0.9
endossador	subventionnel	adjective	0.52
autocarro	bus	noun	0.98
paisagem	paysage	noun	0.99
amazônico	amazonien	adjective	0.99
diacrônico	inexpressif	adjective	0.61
desarranjador	oxydatif	adjective	0.52
eletroquímico	électrochimique	adjective	0.97
comunicador	communicateur	noun	0.98
egotista	illibéral	adjective	0.51
imensamente	énormément	adverb	0.72
servidor público	fonctionnaire	noun	0.97
genésico	génésique	adjective	0.97
sinalizar	signaliser	verb	0.99
recepção	réception	noun	0.99
originalmente	originellement	adverb	0.98
divórcio	divorce	noun	0.99
franzir	froncer	verb	0.94
obediencial	obédientiel	adjective	1.0
toponímia	toponymie	noun	0.98
psicanalítico	psychanalytique	adjective	1.0
pedaço	tronçon	noun	0.92
melodia	mélodie	noun	0.99
arménio	arménien	adjective	0.97
biocompatibilidade	biocompatibilité	noun	1.0
parcial	partiel	adjective	0.89
Juscelino	Elionor	properNoun	0.57
deformidade	difformité	noun	1.0
farisaico	quarante-cinquième	adjective	0.57
Olímpia	Olympie	properNoun	0.97
excelência	excellence	noun	0.98
premissa	prémisse	noun	0.99
antipróton	antiproton	noun	0.98
rígido	bétonné	adjective	0.99
infetante	infectant	adjective	1.0
milênio	millénaire	noun	0.99
Balcãs	Balkans	properNoun	0.98
reativação	réactivation	noun	0.98
reptante	indocile	adjective	0.58
Melanésia	Mélanésie	properNoun	1.0
quarenta	quarante	numeral	0.99
irresistível	irrésistible	adjective	0.96
individualizável	transpacifique	adjective	0.6
excreção	excrétion	noun	0.97
retalhamento	vilenie	noun	0.57
unitariamente	unitairement	adverb	1.0
desarme	désarmement	noun	0.97
caranguejo	crabe	noun	0.97
triásico	triasique	adjective	1.0
igualmente	également	adverb	0.92
papoila	coquelicot	noun	0.88
irreflexão	irréflexion	noun	1.0
acusado	accusé	noun	0.78
damasceno	photomécanique	adjective	0.57
incivilizado	désolé	adjective	0.54
torrador	prostatique	adjective	0.58
obscenidade	obscénité	noun	0.96
liso	lisse	adjective	0.94
ortogonal	orthogonal	adjective	0.93
vivificador	conjectural	adjective	0.52
desnecessário	innécessaire	adjective	0.98
demoníaco	sarmenteux	adjective	0.57
conceptualização	quart de finale	noun	0.59
estoicamente	stoïquement	adverb	0.9
tesoureiro	trésorier	noun	0.96
vermelhoso	rougeâtre	adjective	0.96
dactilográfico	dactylographique	adjective	1.0
incessável	jaculatoire	adjective	0.63
paleográfico	paléographique	adjective	0.98
incriminação	incrimination	noun	0.89
instaurável	quoi	adjective	0.52
modernizador	comtal	adjective	0.55
indomesticado	saudo	adjective	0.62
algum	quelques uns	pronoun	0.99
correcção	correction	noun	0.93
aprovável	approuvable	adjective	1.0
uruguaio	uruguayen	adjective	1.0
vizinhança	alentours	noun	0.94
sexagésimo terceiro	soixante-troisième	adjective	1.0
arrendamento	location	noun	0.91
fabricante	fabriquant	noun	0.97
vitalista	globaliste	adjective	0.56
familiar	familial	adjective	0.93
a favor	pour	adverb	0.98
recusável	récusable	adjective	0.98
maçador	lassant	adjective	0.94
particularidade	particularité	noun	0.96
sociedade	société	noun	0.92
geocronológico	abkhazien	adjective	0.51
conceitual	conceptuel	adjective	0.96
giboso	à il	adjective	0.56
inspecionar	inspecter	verb	0.94
gipsoso	gypseux	adjective	1.0
índico	indien	adjective	0.98
gravidez	grossesse	noun	0.96
declinar	décliner	verb	0.9
perclórico	cingalais	adjective	0.57
numeroso	nombreux	adjective	0.96
autopático	sismologique	adjective	0.53
dicotômico	secessionniste	adjective	0.59
israelense	israélien	adjective	0.99
digressão	digression	noun	0.87
doente	malade	noun	0.98
correlação	corrélation	noun	0.98
helenístico	hellénistique	adjective	0.94
declaração	declaration	noun	0.98
tirolês	tyrolien	adjective	1.0
ugarítico	caucasique	adjective	0.56
risibilidade	théogonie	noun	0.59
estalinista	staliniste	noun	0.98
Éder	la Nucia	properNoun	0.54
em forte descida	homériquement	adverb	0.54
desenfadado	en sûreté	adjective	0.95
Helesponto	Hellespont	properNoun	0.98
impressionante	impressionant	adjective	0.98
coreógrafo	chorégraphe	noun	0.97
