ČSSD	antipatia	noun	0.5
ČTK	molusco	noun	0.5
&	e	coordinatingConjunction	0.99
İzmir	Lu	properNoun	0.62
11-S	temeridade	noun	0.6
1st	I	numeral	0.5
2-3-5 system	polemista	noun	0.52
20th Century Fox	Berman	properNoun	0.54
2nd	II	numeral	0.49
3GPP	codificador	noun	0.56
3rd	III	numeral	0.49
4-2-4 system	medo	noun	0.51
4-3-3 system	bisneto	noun	0.52
4-4-2 system	mó	noun	0.5
4th	I	numeral	0.43
4x4	encantamento	noun	0.56
A Barbanza	Montal	properNoun	0.55
A Baña	Badeau	properNoun	0.6
A Coruña	a Corunha	properNoun	0.97
A Estrada	Domené	properNoun	0.58
A Fonsagrada	Ureña	properNoun	0.64
A Gaita Gallega	Popovici	properNoun	0.56
A Guarda	Bishop	properNoun	0.64
A Limia	Larissa	properNoun	0.6
A Mariña	Zarza	properNoun	0.58
A Pastoriza	Jeudy	properNoun	0.61
A Pobra	Caravaggio	properNoun	0.65
A Pobra de Trives	Kadoch	properNoun	0.62
A Ribeira de Piquín	Luther	properNoun	0.59
A Seara	Sharon	properNoun	0.54
A&M University	Letendre	properNoun	0.52
A-400	Gabarrón	properNoun	0.53
A/H1N1	empregada da limpeza	noun	0.55
A/H5N1	entomologia	noun	0.5
A400	Adão	properNoun	0.55
AA	polifonia	noun	0.55
AB Fragrances	Falcó	properNoun	0.59
ABBA	Kułakowski	properNoun	0.6
ABC	ABC	properNoun	1.0
ABC	ambliopia	noun	0.58
AC/DC	Pruneau	properNoun	0.56
ACB	Alt Camp	properNoun	0.6
ACB league	Agarici	properNoun	0.55
ACT	Hijano	properNoun	0.6
ADP	hóquei em patins	noun	0.53
ADSL	córnico	noun	0.64
AECID	Ortuño	properNoun	0.55
AFP	dialectologista	noun	0.59
AIDS	aids	noun	0.97
AK-47	Banús	properNoun	0.54
AK47	Nogales	properNoun	0.56
AMISOM	Nogales	properNoun	0.58
ANA	Chicharro	properNoun	0.55
ANP	Natta	properNoun	0.54
ANSI	induração	noun	0.57
ANV	ecumenismo	noun	0.56
AOL	Gámez	properNoun	0.54
API	API	noun	1.0
ARC	demografia	noun	0.52
ARE	Redón	properNoun	0.57
ASCII	depuração	noun	0.55
ASELE	Castilloux	properNoun	0.62
ASOBAL	Păun	properNoun	0.55
AT&T	conjurado	noun	0.53
ATM	multibanco	noun	1.0
ATP	ATP	noun	1.0
AZF	Valderas	properNoun	0.54
Aablina	Després	properNoun	0.63
Aache	Filsaime	properNoun	0.55
Aachen	Anglehart	properNoun	0.59
Aalen	Courville	properNoun	0.67
Aaliyah	Vianu	properNoun	0.65
Aarab	Aarab	properNoun	1.0
Aarhus	Ponte	properNoun	0.68
Aaron	Casany	properNoun	0.56
Aarón	Wu	properNoun	0.6
Ab Kamari	Castilloux	properNoun	0.58
Abaco	Aldea	properNoun	0.59
Abad	Abad	properNoun	1.0
Abad Corrales	Salois	properNoun	0.59
Abadal	Abadal	properNoun	1.0
Abadia	Abadia	properNoun	1.0
Abadias	Abadias	properNoun	1.0
Abadía	Abadía	properNoun	1.0
Abadías	Abadías	properNoun	1.0
Abagail	Barbany	properNoun	0.66
Abando	Lizée	properNoun	0.59
Abascal	Abascal	properNoun	1.0
Abate	Abate	properNoun	1.0
Abbas	Abbas	properNoun	1.0
Abbey	Lantagne	properNoun	0.6
Abbie	Bejan	properNoun	0.58
Abbigail	Silveira	properNoun	0.63
