occupational	occupationnel	adjective	0.89
person from Lugo	pareil	noun	0.83
Beirut	Beyrouth	properNoun	0.99
scare	frayeur	noun	0.91
Latin	latin	noun	0.98
next February	du monde entier	adverb	0.57
factory	usine	noun	1.0
trap	piéger	verb	0.96
treasure	requalifier	verb	0.66
fellow	ami	adjective	0.84
methodical	méthodique	adjective	0.93
ocular	oculaire	adjective	0.97
biosphere	biosphère	noun	0.99
bay	laurier	noun	0.9
Charleston	Aleksandrovitch	properNoun	0.97
flirt	flirter	verb	0.97
presidency	présidence	noun	0.99
move out	laisser derrière soi	verb	0.94
practical	pratique	adjective	0.94
radioactivity	radioactivité	noun	1.0
badger	blaireau	noun	0.88
another	autrui	pronoun	1.0
life-threatening	mortel	adjective	0.96
reliance	dépendance	noun	0.87
Navaza	Aezkoa	properNoun	0.93
buying	crénelé	adjective	0.88
oxygen	oxygène	noun	1.0
surge ahead of	aller de l'avant	verb	0.99
schooling	scolarisation	noun	0.86
unblock	débloquer	verb	1.0
Deportivo de La Coruña	Afrique-Équatoriale française	properNoun	0.9
pull	raidir	verb	0.94
suffice	suffire	verb	0.98
total	répréhensiblement	adverb	0.94
statesman	homme d'État	noun	0.96
worry	tracasser	verb	0.93
Malaysian	malais	adjective	0.98
Grammys	péninsule de Kamtchatka	properNoun	0.97
set out	ASCIIfier	verb	0.89
imperial	impérial	adjective	0.99
render Galician	envoyer une demande	verb	0.95
problematic	problématique	adjective	1.0
outcry	protestation	noun	0.85
emphasise	souligner	verb	0.95
burn	brûler	verb	0.99
positive	positif	adjective	0.97
hypothetical	hypothétique	adjective	1.0
Oreja	Rosny-sous-Bois	properNoun	0.97
necessary	nécessaire	adjective	0.94
program	progiciel	noun	0.98
lately	dernièrement	adverb	1.0
earn	gagner	verb	0.93
educational	éducatif	adjective	0.98
ill	malsain	adjective	0.99
videoconference	visioconférence	noun	0.99
casket	boîtier	noun	0.89
venerable	vénérable	adjective	0.94
graduate	diplômer	verb	0.94
die off	disparaître	verb	0.92
even	apparié	adjective	0.85
natality	taux de natalité	noun	0.99
eighteen hundred	XXVIII	numeral	0.65
blunt	émoussé	adjective	0.91
cathedral	cathédrale	noun	0.97
Romania	Roumanie	properNoun	1.0
get married	épouser	verb	0.97
hilly	montagneux	adjective	0.99
devastate	dévaster	verb	0.95
winkle	duite	noun	0.91
designate	nommer	verb	0.98
fishing	pêche	noun	0.97
be specialised	décatir	verb	0.93
firm	ferme	adjective	0.99
depreciate	déprécier	verb	0.83
Elviña	Maple Ridge	properNoun	0.94
enlightenment	Lumières	noun	0.98
alter	altérer	verb	0.99
wake up	éveiller	verb	0.97
conduct	comportement	noun	0.94
flattering	attractif	adjective	0.78
contact	contacter	verb	0.99
ark	tabernacle	noun	0.98
conflicting	contraire	adjective	0.86
organize	organiser	verb	0.89
denominator	dénominateur	noun	0.98
Trás-os-Montes e Alto Douro	Danesi	properNoun	0.78
start	arraché	noun	0.97
spider crab	morpion	noun	0.92
hailstorm	grêle	noun	0.8
be obstructive	mettre en relation	verb	0.57
tiny	minuscule	adjective	0.95
slaughtering	tuerie	noun	0.99
nudism	nudisme	noun	0.99
aroma	arôme	noun	1.0
heave	surélever	verb	0.96
Pillado	Apesteguía	properNoun	0.97
flat	plan	adjective	0.98
knife	couteau	noun	0.96
medallist	médailleur	noun	0.78
supply	fourniture	noun	0.98
Cuban	cubain	adjective	0.99
dash about	fendre en quatre	verb	0.94
attempt	tenter	verb	0.97
rarity	bizarrerie	noun	0.99
attribute	attribuer	verb	0.94
agitate	affairer	verb	0.99
snake	serpent	noun	0.96
juvenile	mineur 18	noun	0.98
state	déclarer	verb	0.87
shut	clore	verb	0.98
overwhelm	désarçonner	verb	0.96
boat	barque	noun	0.95
immediateness	abords	noun	0.8
director	directeur	noun	0.98
northbound	décuple	adjective	0.97
platinum	platine	noun	1.0
finally	enfin	adverb	0.99
suffocate	asphyxier	verb	0.99
our	notre	pronoun	1.0
our	nôtre	possessivePronoun	1.0
our	à nous	determiner	0.99
rookie	inexpert	adjective	0.87
person from Pontevedra	capitaine de corvette	noun	0.92
brief	renseigner	verb	0.96
die down	amenuiser	verb	0.91
medicine	médecine	noun	0.98
fearful	peureux	adjective	0.95
consistent	conséquent	adjective	0.88
speciality	spécialité	noun	0.97
appeal	appellation	noun	0.88
advance	avancer	verb	0.99
tubercle	tubercule	noun	0.99
genetically modified food	masque à gaz	noun	0.95
manual	manuel	adjective	0.99
brass	laiton	noun	0.98
constituent	électeur	noun	0.87
lesson	cours magistral	noun	0.9
candy	sucre candi	noun	0.97
incapacitate	rendre incapable	verb	0.95
stab	coup de couteau	noun	0.95
integrate	intégrer	verb	0.98
reservation	réservation	noun	0.96
starvation	sous-alimentation	noun	0.91
squatting	à croupetons	adverb	0.97
unadulterated	99ème	adjective	0.97
O Rosal	Ieper	properNoun	0.93
slam	claquement de porte	noun	0.85
Sigmund	Volskwagen	properNoun	0.9
thin	maigre	adjective	0.96
defy	braver	verb	0.91
consign	consigner	verb	0.82
bomb	bombe	noun	0.99
huntsman	chasseur	noun	0.97
checkpoint	instagrammer	noun	0.59
controversy	polémique	noun	0.99
willingness	allant	noun	0.99
odontology	odontologie	noun	1.0
deduce	déduire	verb	0.94
patriarch	patriarche	noun	0.99
Ephesus	Éphèse	properNoun	0.99
severe	sévère	adjective	0.85
dreaded	redoutable	adjective	0.92
close to	patentement	adverb	0.63
competitivity	compétitivité	noun	0.98
left-handed	gaucher	adjective	0.96
mythical	mythique	adjective	1.0
at every turn	chaque fois	adverb	1.0
bid	offre	noun	0.89
linguist	linguiste	noun	0.99
caffeine	caféine	noun	0.99
very much	moult	adverb	0.99
insert	insérer	verb	0.94
loudmouthed	mercurien	adjective	0.65
prosecution	traque	noun	0.89
tax	taxe	noun	0.92
abuse	abus	noun	0.99
silly	bête	adjective	0.93
Pacific	océan pacifique	properNoun	0.93
biologist	biologue	noun	1.0
homophobic	exanthémateux	adjective	0.96
abduct	séquestrer	verb	0.9
exchange	permuter	verb	0.94
African	africain	adjective	0.99
purely	purement	adverb	0.99
minor	mineur 18	noun	0.98
right	correct	adjective	0.87
publisher	maison d'édition	noun	0.95
pole	poteau	noun	0.95
scandalize	impacter	verb	0.78
G20	joueur de bridge	noun	0.97
motorise	motoriser	verb	0.95
a	un	determiner	0.98
chimaera	chimère	noun	0.94
Boeotia	PPDA	properNoun	0.97
slanted	biaisé	adjective	0.95
uneconomic	antiéconomique	adjective	0.96
deal	concertation	noun	0.84
Holy Seat	Apesteguía	properNoun	0.97
repulsive	répulsif	adjective	0.96
Comoros	Comores	properNoun	0.98
spermatozoid	spermatozoïde	noun	0.98
endure	endurer	verb	0.92
plead	plaider	verb	0.87
sandpaper	ministre de l'intérieur	noun	0.9
procurement	acquisition	noun	0.83
Clement I	Orrù	properNoun	0.72
warning	avertissement	noun	0.98
after	après	preposition	1.0
farewell	adieu	noun	0.99
flower	fleurir	verb	0.99
boot	botte	noun	0.89
Galician-Portuguese	extragalactique	adjective	0.97
flat	appart	noun	0.97
awe-inspiring	impressionant	adjective	0.99
elegant	élégant	adjective	0.98
heavy-duty	fort	adjective	0.94
shudder	tressaillir	verb	0.88
Southampton	Vincenzi	properNoun	0.76
castle	château	noun	1.0
anticipate	anticiper	verb	0.96
rabies	rage	noun	0.98
effectively	efficacement	adverb	0.99
onion	oignon	noun	0.99
cripple	infirme	noun	0.9
sending	envoi	noun	0.98
bachelor	célibataire	noun	0.91
normally	normalement	adverb	1.0
restructuring	restructuration	noun	0.99
renew	renouveler	verb	0.99
curly	bouclé	adjective	0.97
esteem	estime	noun	0.96
result	score	noun	0.97
treacherous	félon	adjective	0.94
Olympic	olympiade	noun	0.89
confirm	confirmer	verb	0.99
lift	ascenseur	noun	0.92
research	enquêter	verb	0.96
displace	décaler	verb	0.91
disadvantaged	défavorisé	adjective	0.97
range	varier	verb	0.92
fuzzy	bouclé	adjective	0.88
shoulder	épaule	noun	1.0
properly	décemment	adverb	0.99
overtake	aller de l'avant	verb	0.89
benchmark	standard	noun	0.94
Menorca	Alaitz	properNoun	0.94
Soviet	soviétique	adjective	1.0
parade	parader	verb	0.99
cloudburst	averse	noun	0.96
conspire	conspirer	verb	0.8
show up	être publié	verb	0.99
Wednesday	mercredi	noun	1.0
little	petit	adjective	0.98
cold	froid	noun	0.95
concern	préoccupation	noun	0.97
precise	précis	adjective	0.98
geopolitical	géopolitique	adjective	0.99
since	dès	preposition	1.0
geriatric	gériatrique	adjective	0.96
motive	motif	noun	0.99
fire	incendie	noun	0.93
Yorkshire Ouse	Iacopo Robusti	properNoun	0.97
homosexuality	homosexualité	noun	0.99
syrup	sirop	noun	0.99
environmentalist	écologique	adjective	0.83
cleansing	anticipatif	adjective	0.62
lightning	éclair	noun	0.97
Shiite	chiite	noun	0.91
chin	barbiche	noun	0.99
canoeist	canoéiste	noun	0.97
glitch	ratage	noun	0.91
pull off	enlever	verb	0.91
town councilor	conseiller municipal	noun	0.94
register	registre	noun	0.99
coffee	grain de café	noun	0.99
prefix	préfixe	noun	0.99
copy	copier	verb	0.97
internment	internement	noun	0.9
jab	piqûre	noun	0.89
honest	sincère	adjective	0.93
justifiably	avec justification	adverb	0.98
Santiago de Compostela	Saint-Jacques-de-Compostelle	properNoun	0.98
terrifying	effrayant	adjective	0.93
giant	géant	adjective	0.98
confiscate	confisquer	verb	0.99
function	fonction	noun	0.96
accordingly	par conséquent	subordinatingConjunction	0.98
imitate	émuler	verb	0.95
spare	rechange	noun	0.91
famous	célèbre	adjective	0.99
peak	sommet	noun	0.96
mother	mère	noun	0.99
discontinuous	discontinu	adjective	0.99
chronological	chronologique	adjective	0.99
mutiny	émeute	noun	0.98
disabled	personne handicapée	noun	0.96
descendent	successeur	noun	0.85
heat	chaleur	noun	0.97
eternity	éternité	noun	1.0
retry	envoyer une demande	verb	0.96
bind	brocher	verb	0.96
erect	hausser	verb	0.98
takeover	absorption	noun	0.92
especially	notamment	adverb	0.97
Kyrgyz	kirghiz	adjective	0.89
water down	diluer	verb	0.79
surface	émerger	verb	0.96
spearhead	commencer	verb	0.87
butterfly	papillon	noun	0.99
Celanova	Digitala	properNoun	0.91
coordinate	coordonner	verb	0.93
myocardium	myocarde	noun	0.99
how many	combien	adjective	1.0
how many	combien	adverb	0.98
how many	combien est-ce que	relativePronoun	0.99
how many	combien	pronoun	0.99
how many	combien	determiner	0.98
how many	combien	interrogativePronoun	0.99
Bournemouth	Courjault	properNoun	0.91
time	chronométrer	verb	0.96
itself	incivilement	adverb	0.89
microprocessor	microprocesseur	noun	0.99
insemination	insémination	noun	1.0
interview	interviewer	verb	0.99
excessively	excessivement	adverb	0.97
Fisk	Troppo	properNoun	0.97
teaching	d'enseignement	adjective	0.97
link	chainon	noun	0.98
good afternoon	oh là là	interjection	0.59
Faroe Islands	Ludwig Scotty	properNoun	0.86
hassle	inconvénient	noun	0.78
pride	fierté	noun	0.99
tender	offre	noun	0.98
prank	ébat	noun	0.97
toothpick	cure-dents	noun	0.96
Calvinist	finial	noun	0.97
selfishness	égoïsme	noun	0.98
Spector	Passion	properNoun	0.97
guard	garde	noun	0.96
exalt	hausser	verb	0.89
merciless	impitoyable	adjective	0.94
Indochinese	épileptiforme	adjective	0.96
agitated	énervé	adjective	0.95
Sucre	Alcée	properNoun	0.84
compete	rivaliser	verb	0.95
shortage	pénurie	noun	0.97
screen	écran	noun	0.96
Philadelphia	Philadelphie	properNoun	0.98
humility	humilité	noun	0.99
anonymity	anonymat	noun	0.99
despair	désespoir	noun	0.99
South Caucasus	Samarkand	properNoun	0.92
motivate	motiver	verb	0.93
invent	inventer	verb	0.95
Vasconia	Atahualpa	properNoun	0.94
get	rattraper	verb	0.93
